Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Oct 2020","26 May 2020","28 Oct 2019","29 May 2019","29 Oct 2018","24 May 2018","30 Oct 2017","29 May 2017","24 Oct 2016","30 May 2016","22 Oct 2015","25 May 2015","27 Oct 2014","19 May 2014","28 Oct 2013","27 May 2013","22 Oct 2012","21 May 2012","20 Oct 2011","23 May 2011","25 Oct 2010","11 May 2010",
"Turnover",2008534,7780315,3862406,7724630,3583615,7023095,3401195,5720363,2451327,4308318,1997831,3283342,1571682,2825979,1376948,2516287,1183918,2155615,1013443,1878036,908329,1684840,
"Cost of Sales",1085084,3672030,1809149,3592399,1667424,3254591,1584260,2948744,1373418,2469947,1165248,,,,,,,,,,,,
"Gross Profit",923450,4108285,2053257,4132231,1916191,3768504,1816935,2771619,1077909,1838371,832583,1450820,685215,1227396,582468,1052566,,922967,,813153,,715749,
"Operating Expenses",1033284,3195851,1677021,3285257,1494397,2878246,1410853,1833571,673413,1046263,,,,,,,,,,,,,
"Operating Income",-109834,912434,376236,846974,421794,890258,406082,938048,404496,792108,346711,672024,303016,565517,253640,465842,206594,412656,183836,358453,170082,307947,
"Profit Before Exceptional Items",-109834,912434,376236,846974,421794,890258,406082,938048,404496,792108,346711,672024,303016,565517,253640,465842,206594,412656,183836,358453,170082,307947,
"Exceptional Item 1",-1844919,-52953,,-916648,-873925,-372592,,-120755,120602,-12000,,,,,,,,,,,,-4506,
"Profit Before Interest And Tax",-1954753,859481,376236,-69674,-452131,517666,406082,817293,525098,780108,346711,672024,303016,565517,253640,465842,206594,412656,183836,358453,170082,303441,
"Interest Received",11073,46893,26253,61097,34242,53342,29122,52832,8991,20466,8270,13281,,,,,,,,,,,
"Interest Paid",-137997,265575,141068,289149,140025,304687,167268,184389,17263,27375,7185,13550,,,,,,,,,,,
"Net Interest Paid/(Received)",-149070,218682,114815,228052,105783,251345,138146,131557,8272,6909,-1085,269,323,3212,695,3969,2077,10652,4863,14934,7698,20648,
"Income From Associates Before Tax",1265,5228,1394,4479,157,3906,1726,4314,2688,-622,1938,7608,3056,5140,,,,,,,,,
"Income Before Tax",-1804418,646027,262815,-293247,-557757,270227,269662,690050,519514,772577,349734,679363,305749,567445,252945,461873,204517,402004,178973,343519,162384,282793,
"Taxation",-271919,219210,91024,133103,-14119,206876,77630,235246,108953,221011,96625,194651,85623,161985,72751,130821,58313,133950,58523,112520,53100,91153,
"Profit For The Period",-1532499,426817,171791,-426350,-543638,63351,192032,454804,410561,551566,253109,484712,220126,405460,180194,331052,146204,268054,120450,230999,109284,191640,
"Income Attributable To Minority Interests",5640,64553,31925,57243,28461,41733,21046,41057,19859,23867,11818,18956,9613,3823,2732,2247,885,1243,501,739,230,273,
"Attributable Income Before Extraordinary Items",-1538139,362264,139866,-483593,-572099,21618,170986,413747,390702,527699,241291,465756,210513,401637,177462,328805,145319,266811,119949,230260,109054,191367,
"Income Attributable To Equity Holders",-1538139,362264,139866,-483593,-572099,21618,170986,413747,390702,527699,241291,465756,210513,401637,177462,328805,145319,266811,119949,230260,109054,191367,
"Total Comprehensive Income/Loss for the period",-1352854,500643,166749,-144523,-258185,80871,170967,206497,376663,617319,291357,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-240123,417332,139826,316010,187534,392978,169774,426844,409970,539611,240827,465201,210320,401942,177819,330188,145439,267438,120171,230502,109189,194307,
"Enterprise Value (EV)",5920620,6682011,9519800,10782107,12153595,14494007,11700328,18003017,15377788,11633190,13784930,11104371,9901544,9640702,9490580,8258027,6740571,4324427,4614422,3795286,3309856,2524269,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Oct 2020","26 May 2020","28 Oct 2019","29 May 2019","29 Oct 2018","24 May 2018","30 Oct 2017","29 May 2017","24 Oct 2016","30 May 2016","22 Oct 2015","25 May 2015","27 Oct 2014","19 May 2014","28 Oct 2013","27 May 2013","22 Oct 2012","21 May 2012","20 Oct 2011","23 May 2011","25 Oct 2010","11 May 2010",
"Fixed Assets",2043040,2226797,2076674,1048537,1166729,1339789,1465164,1397601,353221,286448,251816,208951,202250,196244,204986,194080,154895,155739,136566,130847,125140,115580,
"Investments in Associates",61540,62299,61752,57199,79894,80926,83059,83083,32983,52746,58106,57568,54240,52934,810,,,,,,,,
"Intangible Assets",1144901,2274895,2172886,2179770,2236718,2547845,2844137,2818755,1101312,1095888,1022226,922576,910936,879675,849567,800470,717546,694977,692158,659668,608676,613315,
"Deferred Tax Asset",56685,21615,26947,14515,14714,16144,23567,16074,1295,1295,8579,7744,9185,11075,11433,11587,9423,8588,2808,2808,4792,4792,
"Long-Term Receivables",29907,55357,,,,,,,,,,,,,,,,,,,,,
"Total Fixed Assets",3336073,4640963,4338259,3300021,3498055,3984704,4415927,4315513,1488811,1436377,1340727,1196839,1176611,1139928,1066796,1006137,881864,859304,831532,793323,738608,733687,
"Stock",366563,426690,475431,455817,483746,436102,530566,454656,367740,301625,287740,186513,214729,177511,209633,167277,159217,119987,157108,75552,85790,80157,
"Debtors",699020,602587,728828,655920,788310,663405,798703,649290,573911,463261,410829,316276,339751,277867,290033,249537,223620,199912,192238,182572,177265,161306,
"Cash",341250,486257,427623,453765,924674,716988,492994,428820,452193,146134,,126228,7977,90699,70794,84736,31689,40580,46535,86397,112741,94520,
"Tax",14428,14891,12001,59060,110591,99132,61301,38174,182921,60786,55635,26404,6165,6834,2032,2780,1705,1386,1739,1468,1828,1159,
"Other Current Assets",,1783,35635,35350,2212,,,,189837,100,,,,,,,,,,,,,
"Total Current Assets",1421261,1532208,1679518,1659912,2309533,1915627,1883564,1570940,1766602,971906,754204,655421,568622,552911,572492,504330,416231,361865,397620,345989,377624,337142,
"Total Assets",4757334,6173171,6017777,4959933,5807588,5900331,6299491,5886453,3255413,2408283,2094931,1852260,1745233,1692839,1639288,1510467,1298095,1221169,1229152,1139312,1116232,1070829,
"Ordinary Shareholders' Interest",349756,1680132,1474220,1413799,1237383,1500996,1552193,1383509,1633293,1474780,1463046,1389388,1281891,1224365,1102751,991743,907362,834792,754528,703674,635698,583641,
"Minority Interest",115624,120260,120870,113730,137510,125571,115051,101805,92325,75819,46024,27766,20434,10583,15923,8345,7184,5578,5421,4920,514,285,
"Total Shareholders' Interest",465380,1800392,1595090,1527529,1374893,1626567,1667244,1485314,1725618,1550599,1509070,1417154,1302325,1234948,1118674,1000088,914546,840370,759949,708594,636212,583926,
