Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (9m)",
,"3 Sep 2020","5 Mar 2020","3 Sep 2019","5 Mar 2019","21 Aug 2018","2 Feb 2018","8 Aug 2017","9 Feb 2017","11 Aug 2016","9 Feb 2016","30 Jul 2015","10 Feb 2015","12 Aug 2014","11 Feb 2014","14 Aug 2013","13 Feb 2013","15 Aug 2012","15 Feb 2012","17 Aug 2011","23 Feb 2011","25 Aug 2010",
"Other Income",,,,,,,,,,615.223,805.398,386.032,727.545,371.38,629.683,359.056,560.63,274.468,453.966,212.948,289.362,
"Turnover",3617.183,1919.091,3628.427,1821.743,3633.404,1817.921,3893.865,1626.955,2276.344,,,,,,,,,,,,,
"Other Expenses",,,,,,,,569.877,719.007,,,,,,,,,,,,,
"Net Rental / Investment Income",3617.183,1919.091,3628.427,1821.743,3633.404,1817.921,3893.865,1057.078,1557.337,424.352,554.9,279.108,516.189,274.837,454.323,246.542,379.719,178.738,317.996,148.569,209.349,
"Interest Receivable",80.814,36.846,540.738,246.713,531.694,263.341,438.312,446.058,650.426,461.793,251.629,91.367,181.934,57.43,108.483,24.74,65.347,42.252,34.193,14.917,12.222,
"Total Income",3697.997,1955.937,4169.165,2068.456,4165.098,2081.262,4332.177,1503.136,2207.763,886.145,806.529,370.475,707.111,332.267,573.379,271.282,445.066,220.99,352.189,163.486,221.571,
"Interest Payable",1127.543,547.55,1191.195,583.866,1187.031,559.658,1171.407,630.909,777.819,289.945,779.366,604.125,928.518,399.395,569.797,270.241,525.415,224.127,349.58,167.947,211.761,
"Expenses",1617.626,719.383,1355.235,686.461,1206.248,630.988,,,,,,,,,,,,,,,,
"Income Before Exceptional Items",952.828,689.004,1622.735,798.129,1771.819,890.616,3160.77,872.227,1429.944,596.2,27.163,-233.65,-221.407,-67.128,3.582,1.041,-15.002,-3.137,36.802,-4.461,9.81,
"Exceptional Item 1",-9178.808,-663.61,-107.543,-1081.982,-9536.232,5653.148,1329.576,881.654,-6705.687,-8458.475,2787.611,982.778,1468.483,373.28,1393.332,302.447,674.916,55.49,289.295,28.52,155.712,
"Income From Associates Before Tax",-139.712,752.867,1553.156,779.721,1913.476,531.057,,,,,,,,,,,,,,,,
