Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Oct 2020","29 May 2020","31 Oct 2019","31 May 2019","7 Nov 2018","30 May 2018","12 Oct 2017","29 May 2017","3 Oct 2016","20 Apr 2016","29 Sep 2015","16 Apr 2015","18 Sep 2014","28 Mar 2014","19 Sep 2013","17 May 2013","22 Oct 2012","24 May 2012","25 Nov 2011","5 May 2011","28 Oct 2010","7 May 2010",
"Interest Paid",152009,254247,130695,193876,99129,208231,100228,144929,55304,87525,42658,76137,35289,44286,16271,20720,10322,16802,8296,15949,9548,19724,
"Interest Received",731200,2095820,1030487,1809953,814867,1541716,645961,978551,200905,161435,78978,145457,69103,93019,38427,,,,,,,,
"Net Interest Received",579191,1841573,899792,1616077,715738,1333485,545733,833622,145601,73910,,,,,,,,,,,,,
"Other Income",203450,525342,262196,768344,435921,841294,464174,572093,336219,,,,,,,,,,,,,,
"Translation gains (losses)",672,-4750,-4421,,,,,,,,,,,,,,,,,,,,
"Operating expenses",785739,1649294,798334,1501548,701259,1296444,606508,863960,316057,304425,135187,242418,109001,164294,84649,134743,64023,127042,68483,145327,71471,189307,
"Operating Income",-2426,712871,359233,882873,450400,878335,403399,541755,165763,-230515,,,,,,,,,,,,,
"Net Income Before Exceptional Items",-2426,712871,359233,882873,450400,878335,403399,541755,165763,-230515,-131,30612,16152,22804,10679,21840,13639,28229,-5494,-7095,-6033,57610,
"Exceptional Inc 1",-147726,-452903,-234533,-736818,-272936,-454970,-232040,-262315,-90118,325430,5961,-26569,-25254,-24685,-16374,20054,10323,16802,8296,-3443,11123,23462,
"Net Income Before Tax",-150152,259968,124700,146055,177464,423365,171359,279440,75645,94915,42150,73363,24712,46852,16461,21174,13640,28229,-5494,-26487,-4458,61348,
"Tax",-38619,45368,23004,6100,40568,102164,38519,72156,21178,37661,13932,22496,4552,9935,2628,696,4621,14805,-771,-6143,572,3150,
"Profit For The Period",-111533,214600,101696,139955,136896,321201,132840,207284,54467,57254,28218,50867,20160,36917,13834,20478,9019,13424,-4723,-20344,-5030,58198,
"Income Attributable To Minority Interests",28351,116957,55931,113427,46482,93760,40090,41719,4852,,,,,,,-254,-254,-128,-55,-323,-142,,
"Attributable Income Before Extraordinary Items",-139884,97643,45765,26528,90414,227441,92750,165565,49615,57254,28218,50867,20160,36917,13834,20732,9273,13552,-4668,-20021,-4888,58198,
"Income Attributable To Equity Holders",-139884,97643,45765,26528,90414,227441,92750,165565,49615,57254,28218,50867,20160,36917,13834,20732,9273,13552,-4668,-20021,-4888,58198,
"Total Comprehensive Income/Loss for the period",22767,421099,248006,395792,497454,185027,121445,97108,23838,57254,28218,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-135312,95136,45877,127329,90665,245835,92898,139114,49615,62384,28218,51181,20055,33722,13806,17773,9413,-4803,-4790,-6311,-5257,-64354,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Oct 2020","29 May 2020","31 Oct 2019","31 May 2019","7 Nov 2018","30 May 2018","12 Oct 2017","29 May 2017","3 Oct 2016","20 Apr 2016","29 Sep 2015","16 Apr 2015","18 Sep 2014","28 Mar 2014","19 Sep 2013","17 May 2013","22 Oct 2012","24 May 2012","25 Nov 2011","5 May 2011","28 Oct 2010","7 May 2010",
"Ordinary Share Capital & Premium",990357,1016488,1155131,1150684,1135684,724525,732016,715667,715876,203365,183868,201523,205234,225953,235995,239162,221042,201776,201793,201793,201696,201708,
"Distributable Reserves",142026,281910,124526,199530,344297,261627,323248,292351,203149,178972,149936,141777,107213,99598,76226,62681,51178,38840,21667,26304,40985,45738,
"Non-Distributable Reserves",245392,153895,230032,2241,60674,-193715,-79078,-72350,-24153,6476,4586,3428,6273,4876,1531,3913,4080,7022,8091,7439,6182,5004,
"Ordinary Shareholders' Interest",1377775,1452293,1509689,1352455,1540655,792437,976186,935668,894872,388813,338390,346728,318720,330427,313752,305756,276300,247638,231551,235536,248863,252450,
"Minority Interest",276667,247461,190221,154146,263203,122932,212129,226249,47225,-824,-824,-824,-824,-824,-824,-824,-824,-570,-496,-441,,142,
"Total Shareholders' Interest",1654442,1699754,1699910,1506601,1803858,915369,1188315,1161917,942097,387989,337566,345904,317896,329603,312929,304932,275476,247068,231055,235095,248863,252592,
"Tax",5919,9643,,16853,43221,44409,66417,95499,44319,50270,,,,,,,,,,,,,
"Deposits and Other Accounts",1211751,1095116,995913,998604,1070511,1027114,1090137,1098609,1014939,907705,,,,,,,,,,,,,
"Creditors and Provisions",101722,316086,167917,155980,148569,149503,126878,81428,41323,33003,1181,1532,1355,1328,257,240,744,2702,3852,4629,4075,3974,
"Long Term Liabilities",511041,555426,501183,84970,161920,470586,503021,508440,18000,47628,,,,,,,,,,,,,
"Insurance Funds",,,,,,,,,,,18000,,11,,8,23489,159391,174442,155434,170427,170176,164564,
"Other Liabilities",1280183,997502,834244,536784,403021,429048,331146,251205,227155,4833,,,,,,,,,,,,,
"Other Liabilities: Bank overdraft",,,,,,,94691,27725,38173,,,,,,,,,,,,,,
"Other Liabilities: Commercial paper",,,,,,,87692,,,,,,,,,,,,,,,,
"Other Liabilities: Current tax payable",,,,,,,,,11787,,,,,,,,,,,,,,
"Other Liabilities: Other Liabilities",,,,,,,9688,10105,6742,,,,,,,,,,,,,,
"Other Liabilities: Purchase consideration",,,,,,,139075,213375,170453,,,,,,,,,,,,,,
"Liabilities",3110616,2973773,2499257,1793191,1827242,2120660,2117599,2035181,1345736,1043439,39181,38513,37948,38906,5822,35656,11074,16946,-462,7857,11453,14416,
"Total Liabilities and Short Term Funds",4765058,4673527,4199167,3299792,3631100,3036029,3305914,3197098,2287833,1431428,,,,,,,,,,,,,
"Fixed Assets",214565,213189,151680,195184,182482,131816,136779,113800,94036,62090,52191,46044,31908,22568,18821,16201,15985,19058,21147,22541,21304,18758,
"Right-of-use Asset",482474,481834,500410,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,788554,,463445,425614,415207,352486,318654,340907,306975,315724,289409,290803,311708,312315,
"Other Investments",142071,142071,137200,137200,266807,266771,286662,278185,271060,269540,264605,248820,244818,242620,238571,233006,229728,229620,207000,207000,207000,207000,
"",,,,,,,,,,,2071,2532,2037,3760,,,,,,4633,,,
"Goodwill",1036013,981905,958234,891313,1021175,766050,820293,752699,404364,152976,139808,120034,115313,62596,61262,61262,61262,61262,61262,61262,61332,61332,
"Deferred Tax Asset",81086,53093,55247,53914,21895,16130,379,20115,,,6670,10545,23168,24702,,30438,,5784,,,,,
