Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)",
,"23 Sep 2020","2 Mar 2020","5 Sep 2019","27 Feb 2019","4 Sep 2018","1 Mar 2018","5 Sep 2017","2 Mar 2017","8 Sep 2016","3 Mar 2016","8 Sep 2015","2 Mar 2015","8 Sep 2014","6 Mar 2014","19 Sep 2013","27 Mar 2013","12 Sep 2012","15 Mar 2012","29 Sep 2011","10 Mar 2011","21 Sep 2010","3 Jun 2010",
"Turnover",532106,267926,489653,239399,404257,186878,331142,162204,279735,134445,187926,89377,148961,62724,54184,10384,16421,8905,17295,8990,19801,15846,
"Admin & Collection Fees",,,,,,,,,,,,,,,45838,5548,12615,5990,11385,5672,10839,6837,
"Net Rental / Investment Income",532106,267926,489653,239399,404257,186878,331142,162204,279735,134445,187926,89377,148961,62724,8346,4836,3806,2915,5910,3318,8962,9009,
"Dividend Income",,,,,,,,,,,,,,,,,353,,,,,,
"Interest Receivable",40810,20627,40823,19144,27175,6730,9420,3164,2050,741,1025,335,629,354,4998,979,2856,1837,2256,1243,4389,3395,
"Other Income",5696,3471,1946,806,,,,,,,,,,,,17635,,843,1861,-197,2133,,
"Depreciation",272,137,155,,101,,161,,,,,,,,,,,,,,,,
"Total Income",578612,292024,532422,259349,431432,193608,340562,165368,281785,135186,188951,89712,149590,63078,13344,23450,7015,5595,10027,4364,15484,12404,
"Debenture Interest",,,,,,,,,,,38992,39033,,,,,,,,,,,
"EBITDA (ProfileData Calc)",233368,,,,,,,,,,,,,,,,,,,,,,
"Interest Payable",108559,52916,89486,42972,77876,32589,53091,,,,,,59600,24284,27255,5551,9867,4461,9352,4247,12642,8573,
"Expenses",237649,117253,206046,99181,,,,,,,,,,,,,,,,,,984,
"Income Before Exceptional Items",232404,121855,236890,117196,353556,161019,287471,165368,281785,135186,149959,50679,89990,38794,-13911,17899,-2852,1134,675,117,2842,2847,
"Exceptional Item 1",-88734,42844,20788,47637,-59599,-12846,15339,-38248,-58561,-72467,-32103,-54301,-86374,-38794,10664,-12900,5325,,,,,,
"Income Before Tax",143670,164699,257678,164833,293957,148173,302810,127120,223224,62719,117856,-3622,3616,,-3247,4999,2473,1134,675,117,2842,2847,
"Tax",313,2,735,575,198,22,191,330,6,-11,-3348,-3622,3616,,-3247,4999,2473,1134,675,117,2842,2847,
"Profit For The Period",143357,164697,256943,164258,293759,148151,302619,126790,223218,62730,121204,,,,,,,,,,,,
"Income Attributable To Minority Interests",19133,14905,26503,7154,20470,4250,3385,216,1081,,,,,,,,,,,,,,
"Net Income Before Extraords",124224,149792,230440,157104,273289,143901,299234,126574,222137,62730,121204,,,,,,,,,,,,
"Income Attributable To Equity Holders",124224,149792,230440,157104,273289,143901,299234,126574,222137,62730,121204,,,,,,,,,,,,
"Total Comprehensive Income/Loss for the period",143357,164697,256943,164258,293759,148151,302619,126790,223218,,,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",109087,109601,214885,115728,179815,77815,141951,65415,115553,62730,86052,46979,59330,29311,16917,3447,8822,6383,10157,5142,10366,-984,
"Enterprise Value (EV)",2919995,3258567,3013726,3143538,2932445,2642260,2028968,1870527,1586228,1555866,1278625,1079127,729748,495439,500963,351768,82510,69645,64824,64132,50329,48357,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)",
,"23 Sep 2020","2 Mar 2020","5 Sep 2019","27 Feb 2019","4 Sep 2018","1 Mar 2018","5 Sep 2017","2 Mar 2017","8 Sep 2016","3 Mar 2016","8 Sep 2015","2 Mar 2015","8 Sep 2014","6 Mar 2014","19 Sep 2013","27 Mar 2013","12 Sep 2012","15 Mar 2012","29 Sep 2011","10 Mar 2011","21 Sep 2010","3 Jun 2010",
"Ordinary Capital & Premium",734046,761751,804177,778989,747349,465353,327951,310619,105332,105332,5994,5274,,,,,,,,,,,
"Distributable Reserves",1434112,1569028,1531174,1564629,1510036,1465083,1395267,1292439,1221747,1116126,1099427,,,,,,,,,,,,
"Ordinary Unitholders Interest",2168158,2330779,2335351,2343618,2257385,1930436,1723218,1603058,1327079,1221458,1105421,5274,5254,3598,3598,2890,857,857,857,857,857,857,
"Debentures",,,,,,,,,,,,841393,830024,546814,543309,386862,143331,138377,136455,125772,124877,123674,
"Minority Interest",135916,131688,127816,108467,106469,90414,4454,1287,1081,,,,,,,,,,,,,,
"Total Stockholders' Interest",2304074,2462467,2463167,2452085,2363854,2020850,1727672,1604345,1328160,1221458,1105421,846667,835278,550412,546907,389752,144188,139234,137312,126629,125734,124531,
"Interest Bearing Loans",1190494,870206,810829,448503,342845,531866,272339,477110,571227,405427,203063,229729,,,,,,,,,,,
"Other Long-Term Liabilities",240195,183637,125676,138796,125697,57694,36555,35982,22291,7518,5901,,,,,,,,,,,,
"Long-Term Liabilities",1430689,1053843,936505,587299,468542,589560,308894,513092,593518,412945,208964,229729,222000,221515,200047,28461,,,,,,,
"Deferred Tax Liability",1718,1406,1405,1245,670,503,472,611,281,264,275,,3623,7,7,8175,3712,2187,1551,1604,1678,1141,
"Total Capital Employed",3736481,3517716,3401077,3040629,2833066,2610913,2037038,2118048,1921959,1634667,1314660,1076396,1060901,771934,746961,426388,147900,141421,138863,128233,127412,125672,
"Investments",3553179,3764420,3395131,3364238,3191294,2951311,2160244,2043485,1851726,1689904,1339407,1100834,1089481,790400,770307,356737,97079,97372,97372,88766,88766,86426,
"Fixed Assets / Property",,,,,,,,,,,,,,,,41040,27768,4673,623,,,,
"Right-of-use Asset",137,,,,,,,,,,,,,,,,,,,,,,
"Deferred Tax Asset",,,,,,,,,,,,,,,59,,127,,,,,,
"Other Assets",67939,60823,56894,55454,50866,44879,103568,94402,44232,36804,26186,22531,14437,9316,4503,5512,362,1963,2191,2563,2856,3116,
"Debtors",64331,71579,61393,72653,61989,46860,36000,25727,19831,35425,16030,16055,15347,13300,7506,8462,3591,2407,2401,2543,2127,1783,
"Cash and Short Term Funds",13757,17488,15356,14909,9943,14208,12634,10106,9916,9245,3427,5373,3666,4631,2704,29775,24735,40174,33841,34533,48336,46877,
"Other Current Assets",192030,9031,21293,12528,10880,5362,5476,,41482,2963,1399,1396,4500,,,,9725,2949,10600,8280,2684,,
"Current Assets",270118,98098,98042,100090,82812,66430,54110,35833,71229,47633,20856,22824,23513,17931,10210,38237,38051,45530,46842,45356,53147,48660,
"Total Assets",3891373,3923341,3550067,3519782,3324972,3062620,2317922,2173720,1967187,1774341,1386449,1146189,1127431,817647,785079,441526,163387,149538,147028,136685,144769,138202,
"Creditors",73736,82619,66235,70626,79975,53609,56232,49655,41698,46374,27418,69793,66530,45706,38118,14732,15487,7765,8130,7309,15340,10844,
"Receiver of Revenue",,,,,,,,,,,,,,7,,406,,352,35,1143,2017,1686,
"Bank O/D & S/T Loans",80154,321595,74549,408527,411931,398098,224652,6017,3530,93300,,,,,,,,,,,,,
"Other Current Liabilities",1002,1411,8206,,,,,,,,44371,,,,,,,,,,,,
"Current Liabilities",154892,405625,148990,479153,491906,451707,280884,55672,45228,139674,71789,69793,66530,45713,38118,15138,15487,8117,8165,8452,17357,12530,
"Net Current Assets",115226,-307527,-50948,-379063,-409094,-385277,-226774,-19839,26001,-92041,-50933,-46969,-43017,-27782,-27908,23099,22564,37413,38677,36904,35790,36130,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)",
,"23 Sep 2020","2 Mar 2020","5 Sep 2019","27 Feb 2019","4 Sep 2018","1 Mar 2018","5 Sep 2017","2 Mar 2017","8 Sep 2016","3 Mar 2016","8 Sep 2015","2 Mar 2015","8 Sep 2014","6 Mar 2014","19 Sep 2013","27 Mar 2013","12 Sep 2012","15 Mar 2012","29 Sep 2011","10 Mar 2011","21 Sep 2010","3 Jun 2010",
"Number of Linked Units Issued (Actual)",1018125441,996207165,1018125441,1005940398,991020553,861100145,789824245,780010521,658261805,658261805,599438276,527636276,527636276,359762307,359762307,289048021,85795988,85795988,85795988,85795988,85795988,85795988,
"Treasury Shares",37864324,21918276,,,,,,,,,,,,,,,,,,,,,
"Weighted Ave Stock Units (Actual)",996871197,1007290251,1004697875,997831787,862248577,814665426,738319633,693363896,641064762,624054644,540053358,525762609,432337771,359762307,210840698,116651643,85721986,85721986,85721986,85721986,85721986,85721986,
"Market Capitalisation (R000)",1527188,1952566,2015888,2192950,2081143,1636090,1540157,1396219,1020306,1066384,1078989,854771,733414,500070,503667,381543,107245,109819,98665,98665,98665,95234,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)",
,"23 Sep 2020","2 Mar 2020","5 Sep 2019","27 Feb 2019","4 Sep 2018","1 Mar 2018","5 Sep 2017","2 Mar 2017","8 Sep 2016","3 Mar 2016","8 Sep 2015","2 Mar 2015","8 Sep 2014","6 Mar 2014","19 Sep 2013","27 Mar 2013","12 Sep 2012","15 Mar 2012","29 Sep 2011","10 Mar 2011","21 Sep 2010","3 Jun 2010",
"Earnings Per Linked Unit (ZARc)",12.46,14.87,22.94,15.74,31.69,17.66,40.53,18.26,34.65,10.05,22.44,,,,,,,,,,,,
"Diluted Earnings Per Linked Unit (ZARc)",12.46,14.87,22.94,15.74,31.69,17.66,40.53,18.26,34.65,10.05,22.44,,,,,,,,,,,,
"Headline Earnings Per Linked Unit (CO) (ZARc)",10.94,10.88,21.39,11.6,20.85,9.55,19.23,9.43,18.03,10.05,15.93,8.94,13.7,8.1,8,3,10.3,7.4,11.8,6,12.1,-1.1,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",10.94,10.88,21.39,11.6,20.85,9.55,19.23,9.43,18.03,10.05,15.93,8.94,13.7,8.1,8,3,10.3,7.4,,,,,
"Distributions Per Linked Unit (ZARc)",21.04,11.16,21.77,10.62,20.15,9.81,18.33,8.95,16.66,8.17,15.11,7.43,13.72,6.75,10.57,4.57,11.5,5.2,10.9,5,13.8,10,
