Income statement (million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Dec 2015","Sep 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"20 Aug 2020","12 Feb 2020","15 Aug 2019","15 Feb 2019","16 Aug 2018","14 Feb 2018","17 Aug 2017","16 Feb 2017","18 Aug 2016","18 Feb 2016","18 Feb 2016","19 Nov 2015","20 Aug 2015","20 Aug 2015","7 May 2015","12 Feb 2015","12 Feb 2015","20 Nov 2014","21 Aug 2014","21 Aug 2014","8 May 2014","13 Feb 2014","13 Feb 2014","20 Nov 2013","22 Aug 2013","22 Aug 2013","10 May 2013","10 May 2013","14 Feb 2013","26 Nov 2012","23 Aug 2012","23 Aug 2012","17 May 2012","17 Feb 2012","17 Feb 2012","10 Nov 2011","11 Aug 2011","11 Aug 2011","19 May 2011","25 Feb 2011","18 Feb 2011","4 Nov 2010","5 Aug 2010","5 Aug 2010","7 May 2010",
,"USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR",
"Working Revenue",1754.3,2967.1,1378.5,2577.8,1350.7,2761.8,1304.5,2749.5,1304.9,640.1,2545.4,635.1,660.4,1270.2,609.8,2868.8,708,699.2,1461.6,747,714.6,27900.6,7877.1,6826.9,13196.6,6037.9,7158.7,8228.2,28915.8,7109,13578.6,6652.8,6925.8,12266.9,41876.8,11059.5,18550.4,9581,8969.4,34390.7,9255.3,9052.8,8802.7,31565.3,7279.9,
"Working Cost",1072.5,2033.5,986.4,2043,1034.8,2105.1,1002.3,1387.5,666.3,342,1456.2,366,382.2,748.2,366,1677.7,404.8,414.3,858.6,435.9,422.7,16001.8,4712.6,3986.6,7302.6,3736.9,3565.7,3888.1,13528.7,3362.9,6277.6,3165.5,3112.1,5358.6,20765.3,5404.1,10002.7,5124.2,4878.4,19921.9,5015.4,5132,5064.7,18992.1,4709.8,
"Depreciation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761.3,5655.9,1377.4,2517.2,1277.2,1240,5283.5,1333.5,1442.5,1368.2,4837.3,1139.3,
"Working Profit",681.8,933.6,392.1,534.8,315.9,656.7,302.2,1362,638.6,298.1,1089.2,269.1,278.2,522,243.8,1191.1,303.2,284.9,603,311.1,291.9,11898.8,3164.5,2840.3,5894,2301,3593,4340.1,15387.1,3746.1,7301,3487.3,3813.7,5147,15455.6,4278,6030.6,3179.6,2851,9185.3,2906.4,2478.3,2369.8,7735.9,1430.8,
"Investment Income",,,,,,,,,,,,,,,,,,,,,,-2.9,,,,,,,-4.5,,,,,0.9,31.6,-0.3,31,24.6,6.4,1,9.5,-2.6,19.1,209.7,-25,
"Development / Exploration Costs",,,,,,,,,,,,,,,,,,,,,,632.6,,,,,,,1052.7,,,,,291.6,832.1,188.5,352,213.5,138.5,659.1,223.2,123.5,185.5,612.9,126.9,
"EBITDA (ProfileData Calc)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6268.8,18301.2,5028.3,7004.1,3678.2,3161.3,9548.4,1273.5,3062,3166,11842.6,1929.7,
"Profit Before Exceptional Items",681.8,933.6,392.1,534.8,315.9,656.7,302.2,1362,638.6,298.1,1089.2,269.1,278.2,522,243.8,1191.1,303.2,284.9,603,311.1,291.9,11263.3,3164.5,2840.3,5894,2301,3593,4340.1,14329.9,3746.1,7301,3487.3,3813.7,4856.3,14655.1,4089.2,5709.6,2990.7,2718.9,8527.2,2692.7,2352.2,2203.4,7332.7,1278.9,
"Amortisation",305.1,610,291.9,668.4,346.9,748.1,324.8,679.2,299.6,172.4,609.9,155,141.5,282.5,141,656.7,172.1,151.3,333.3,174.6,158.7,5864.4,1831.5,1473.5,2559.4,1345.3,1214.1,1223.7,4088.2,998.8,1865.7,920.7,945,,,,,,,,,,,,,
"Exceptional Income",-71.3,105.5,70.9,-197.5,-440.2,307.4,176.9,-255.6,-117.5,-247.8,-404.2,-44.2,-63.3,-112.2,-48.9,-316.9,-114.1,-55.1,-147.7,-64.9,-82.8,-11484.5,-7986.1,-739.6,-3089.9,-2023.6,-1327.9,-2061.6,-3759.7,-948.7,-1576.5,-1029.6,968.9,-271.3,-1259.3,-338.9,-649.1,-344.1,-469.6,-3354.3,-2547.5,-292.1,-304.1,197.4,-327.8,
"Exceptional Income: Exceptional items",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-588.6,,-82.6,,-2328.9,,-144.1,917.2,22.3,
"Exceptional Income: Exchange gain/loss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-138.3,,,,
"Exceptional Income: Feasibility and evaluation costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.1,-125.6,-48,-44.5,-17.2,-27.3,-66.4,-66.4,,,,,
"Exceptional Income: Foreign currency translation  reserve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,
"Exceptional Income: Foreign Exchange Gain/(Loss)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16,-19,3,,,,6,-64.6,-15.6,
"Exceptional Income: Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-115.3,-716.6,-167.2,,-185.4,,-679.6,,,,,,
"Exceptional Income: Other expenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-132.5,-482.9,-195.9,,,-362.7,-2589,,-142.7,-166,-655.2,-334.5,
"Exceptional Income: Other operating expenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-153.6,,,,,
"Exceptional Income: Profit/(Loss) on foreign exchange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,65.8,72.2,,,,-19.3,,-11.1,,,,
"Exceptional Income: Share based payments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-122.5,,,,,,,,
"Profit Before Interest And Tax",305.4,429.1,171.1,-331.1,-471.2,216,154.3,427.2,221.5,-122.1,75.1,69.9,73.4,127.3,53.9,217.5,17,78.5,122,71.6,50.4,-6085.6,-6653.1,627.2,244.7,-1067.9,1051,1054.8,6482,1798.6,3858.8,1537,3837.6,4585,13395.8,3750.3,5060.5,2646.6,2249.3,5172.9,145.2,2060.1,1899.3,7530.1,951.1,
"Interest Paid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,202.5,69,72.4,31.5,40.9,212.4,64.7,69.6,33.4,492.7,44.7,
"Net Interest Paid/(Received)",41.2,81.9,30.9,66.5,33.2,62.3,31.8,59.1,30.6,14.3,64.9,16.3,15.2,34.3,19.1,76.6,19.5,19.4,37.7,18.8,18.9,562.9,165.5,178.4,219,127.5,91.5,81.3,295.2,78.9,135,74,61,61.1,202.5,69,72.4,31.5,40.9,212.4,64.7,69.6,33.4,492.7,44.7,
"Income From Associates Before Tax",,3.1,,-13.1,6,-1.3,-0.8,-2.3,-1.6,-1.1,-5.7,-0.6,-1.3,-4,-2.7,-2.4,0.5,-1.4,-1.5,-0.9,-0.6,176.5,-21.5,24.2,-130.8,50,80.8,129.9,407.4,162.4,-115.1,115.8,0.7,26.8,29.1,5,-2.7,0.8,-3.5,-116.3,11,-217.6,86.2,118.3,4.1,
