Income statement (USD '000),"Feb 2019","Nov 2018","Aug 2018","May 2018","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (14m)","Final (12m)",
,"14 Feb 2020","31 Jan 2019","15 Oct 2018","1 Aug 2018","26 Jun 2018","11 Jan 2018","13 Oct 2017","19 Jul 2017","3 Oct 2017","24 Jan 2017",
"Turnover",4136,1109,1271,573,1819,787,438,343,1405,722,
"Operating Expenses",2822,702,784,402,1015,425,280,194,1170,628,
"Operating Income",1314,408,487,171,804,361,158,150,235,95,
"Profit Before Exceptional Items",1314,408,487,171,804,361,158,150,235,95,
"Exceptional Item 1",,,,,,,,,28,,
"Profit Before Interest And Tax",1314,408,487,171,804,361,158,150,263,95,
"Interest Received",,,,1,,,,3,,5,
"Interest Paid",548,105,207,85,313,71,71,71,284,,
"Net Interest Paid/(Received)",548,105,207,84,313,71,71,68,284,-5,
"Income From Associates Before Tax",14,36,79,29,190,35,32,28,51,,
"Income Before Tax",780,339,359,116,681,325,119,110,30,100,
"Taxation",126,,,,106,,,,8,,
"Profit For The Period",654,339,359,116,575,325,119,110,22,100,
"Attributable Income Before Extraordinary Items",654,339,359,116,575,325,119,110,22,100,
"Income Attributable To Equity Holders",654,339,359,116,575,325,119,110,22,100,
"Total Comprehensive Income/Loss for the period",654,339,359,116,575,325,119,110,22,100,
"Headline Earnings (Cont Ops)",654,697,359,116,575,288,119,110,22,,
"Enterprise Value (EV)",468106,453565,452729,632991,578852,497389,533605,541850,370459,522671,

Balance sheet (USD '000),"Feb 2019","Nov 2018","Aug 2018","May 2018","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (14m)","Final (12m)",
,"14 Feb 2020","31 Jan 2019","15 Oct 2018","1 Aug 2018","26 Jun 2018","11 Jan 2018","13 Oct 2017","19 Jul 2017","3 Oct 2017","24 Jan 2017",
"Fixed Assets",6439,8013,7787,7679,7520,6803,6803,6829,6810,6379,
"Investments in Associates",1489,900,849,849,849,999,999,849,849,,
"Intangible Assets",29597,29948,29026,29026,29026,28858,28858,22313,28858,22313,
"Total Fixed Assets",37867,38861,37662,37554,37395,36660,36659,29991,36517,28692,
"Stock",107,249,185,137,97,,,,105,,
"Debtors",190,395,245,232,173,489,335,278,144,363,
"Cash",,643,883,702,573,599,383,362,383,227,
"Tax",,,,,13,,,,6,,
"Total Current Assets",297,1287,1313,1071,856,1088,717,640,638,590,
"Total Assets",38164,40148,38975,38625,38251,37748,37376,30631,37155,29282,
"Ordinary Share Capital & Premium",34964,34965,34965,34965,34965,34965,34965,33766,34965,33766,
"Distributable Reserves",-5616,685,-12,-371,-487,-482,-796,-8008,-1028,-8145,
"Non-Distributable Reserves",,,,,,,,2377,,2377,
"Translation Reserves",,,,,,,,227,,227,
