Income statement (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"18 Sep 2020","6 Apr 2020","20 Sep 2019","25 Mar 2019","28 Sep 2018","17 Apr 2018","26 Sep 2017","29 Mar 2017","21 Sep 2016","30 Mar 2016","14 Sep 2015","23 Mar 2015","22 Sep 2014","27 Mar 2014","27 Sep 2013","8 Apr 2013","28 Sep 2012","30 Mar 2012","21 Sep 2011","28 Mar 2011","22 Sep 2010",
"Turnover",15000,216233,88960,206090,102131,81650,,,,,,,,,,,,,,,,
"Cost of Sales",34107,124683,51680,123546,60210,44319,,,,,,,,,,,,,,,,
"Gross Profit",-19107,91550,37280,82544,41921,37331,,,,,,,,,,,,,,,,
"Operating Expenses",-16885,56773,22769,63170,25464,32154,7379,5892,3170,7608,3672,6202,2956,6091,3207,7147,3052,-27108,29871,37971,-2631,
"EBITDA (ProfileData Calc)",-43813,,38367,-15447,,70901,,,,,,,,,,,,,,,,
"Depreciation",12891,,16606,30633,,22169,,,,,,,,,,,,,,,,
"Operating Income",-62491,71853,23497,-45103,32477,54654,-81198,44566,-33002,-149053,3183,55391,103605,14885,-75895,-40449,-17973,-110453,-70614,157942,-1558,
"Profit Before Exceptional Items",-62491,71853,23497,-45103,32477,54654,-81198,44566,-33002,-149053,3183,55391,103605,14885,-75895,-40449,-17973,-110453,-70614,157942,-1558,
"Profit Before Interest And Tax",-62491,71853,23497,-45103,32477,54654,-81198,44566,-33002,-149053,3183,55391,103605,14885,-75895,-40449,-17973,-110453,-70614,157942,-1558,
"Interest Received",223,6985,559,805,373,1240,21,13,,6,5,8,6,32,18,281,,136,,494,,
"Interest Paid",3796,11465,2871,9650,6242,3251,5,6,2,5,,2,,,,,,,,,,
"Net Interest Paid/(Received)",3573,4480,2312,8845,5869,2011,-16,-7,2,-1,-5,-6,-6,-32,-18,-281,-254,-136,-43,-494,-299,
"Income From Associates Before Tax",,,,,,,,,61,-70,13,11,7,-224,-474,1120,3135,-4106,-2219,-292,-70,
"Income Before Tax",-66064,67373,21185,-53948,26608,52643,-81182,44573,-32943,-149122,3201,55408,103618,14693,-76351,-39048,-14584,-114423,-72790,158144,-1329,
"Taxation",-9327,28242,8742,6483,10618,7589,3,3,2,4,,4,,4,,,,-42114,-26067,42114,,
"Profit For The Period",-56737,39131,12443,-60431,15990,45054,-81185,44570,-32945,-149126,3201,55404,103618,14689,-76351,-39048,-14584,-72309,-46723,116030,-1329,
"Income Attributable To Minority Interests",-5564,10762,2295,1782,3647,7162,,,,,,,,,,,,,,,,
"Attributable Income Before Extraordinary Items",-51173,28369,10148,-62213,12343,37892,-81185,44570,-32945,-149126,3201,55404,103618,14689,-76351,-39048,-14584,-72309,-46723,116030,-1329,
"Income Attributable To Equity Holders",-51173,28369,10148,-62213,12343,37892,-81185,44570,-32945,-149126,3201,55404,103618,14689,-76351,-39048,-14584,-72309,-46723,116030,-1329,
"Total Comprehensive Income/Loss for the period",-57440,41576,13219,-60222,14907,43885,-81185,44570,-32945,-149126,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-51173,,10148,-42427,,-58514,,44570,,,3201,,103618,,-76351,-39048,-14584,-72309,-46723,116030,-1329,
"Enterprise Value (EV)",1921909,2167215,1969194,2601802,3572543,4399131,4368023,6727704,4546662,2599138,3050241,3189819,3030877,2166197,1454569,1656229,1680588,2466197,1719439,1911875,1967406,

Balance sheet (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"18 Sep 2020","6 Apr 2020","20 Sep 2019","25 Mar 2019","28 Sep 2018","17 Apr 2018","26 Sep 2017","29 Mar 2017","21 Sep 2016","30 Mar 2016","14 Sep 2015","23 Mar 2015","22 Sep 2014","27 Mar 2014","27 Sep 2013","8 Apr 2013","28 Sep 2012","30 Mar 2012","21 Sep 2011","28 Mar 2011","22 Sep 2010",
