Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"27 Aug 2020","4 Mar 2020","23 Aug 2019","6 Mar 2019","31 Aug 2018","23 Mar 2018","23 Aug 2017","2 Mar 2017","25 Aug 2016","25 Feb 2016","21 Aug 2015","25 Feb 2015","21 Aug 2014","27 Feb 2014","2 Sep 2013","27 Feb 2013","22 Aug 2012","29 Feb 2012","18 Aug 2011","24 Feb 2011","19 Aug 2010",
"Turnover",1766.997,3790.327,1855.004,3466.579,1622.351,3059.422,1481.643,3287.82,4649.789,10192.369,5066.427,13912.482,8245.901,15662,3636.534,27262.223,18785.95,35885.258,17264.123,29390.576,14883.863,
"EBITDA (ProfileData Calc)",563.294,1047.254,578.734,772.905,-15.792,1112.959,540.614,704.788,-588.664,-340.005,851.125,1958.578,1179.832,1910.07,862.186,1617.401,1049.411,1287.894,628.332,1368.793,777.464,
"Depreciation",276.957,500.254,237.089,462.158,212.285,195.844,95.412,231.135,332.193,675.482,321.472,547.143,253.787,455.853,214.628,412.43,196.714,362.979,162.249,295.314,157.946,
"Operating Income",55.466,426.25,177.036,409.331,23.499,426.137,179.353,456.714,-135.032,423.418,284.46,618.868,350.915,424,266.607,518,349.991,642.558,341.864,888,527.636,
"Profit Before Exceptional Items",55.466,426.25,177.036,409.331,23.499,426.137,179.353,456.714,-135.032,423.418,284.46,618.868,350.915,470.056,266.607,518,349.991,642.558,341.864,888,527.636,
"Exceptional Item 1",15.868,-98.449,-0.637,-482.56,-342.091,129.272,120.473,-59.672,-760.112,-1587.631,-23.528,235.256,369.556,679.193,83.958,199.689,239.318,60.152,23.505,13.448,0.738,
"Profit Before Interest And Tax",71.334,327.801,176.399,-73.229,-318.592,555.409,299.826,397.042,-895.144,-1164.213,260.932,854.124,720.471,1149.249,350.565,717.163,589.309,702.71,365.369,900.783,528.374,
"Interest Received",82.725,150.287,84.507,246.42,123.91,264.575,103.574,283.035,163.27,254.063,127.256,234.687,78.615,78.663,34.563,206.941,100.816,169.709,70.484,128.042,93.032,
"Interest Paid",130.494,188.969,105.637,150.596,80.265,97.85,46.079,133.58,123.161,220.731,118.547,216.621,123.482,110.567,60.119,227.398,119.425,218.647,109.219,179.038,86.944,
"Net Interest Paid/(Received)",47.769,38.682,21.13,-95.824,-43.645,-166.725,-57.495,-149.455,-40.109,-33.332,-8.709,-18.066,44.867,93,25.556,21,18.609,48.938,38.735,50.996,-6.088,
"Income From Associates Before Tax",93.819,68.351,83.475,211.621,3.816,,79.608,,-142.479,,169.421,,169.736,574.873,305.245,349.414,195.106,118.315,66.365,109.477,36.699,
"Income Before Tax",117.384,357.47,238.744,234.216,-271.131,722.134,436.929,546.497,-997.514,-1130.881,439.062,872.19,845.34,1692.218,630.254,1046.12,765.806,772.087,392.999,959.264,571.161,
"Taxation",70.145,7.907,57.608,180.41,109.85,172.937,56.926,195.345,76.026,190.255,107.89,193.623,108.907,-117,64.185,140.828,124.833,175.363,79.511,114.189,97.081,
"Profit For The Period",47.239,349.563,181.136,53.806,-380.981,549.197,380.003,351.152,-1073.54,-1321.136,331.172,678.567,736.433,1545.528,566.069,905.292,640.973,596.724,313.488,845.075,474.08,
"Income From Associates After Tax",,,,,,171.956,,-138.454,,-47.437,,397.41,,,,,,,,,,
"Income Attributable To Minority Interests",-38.459,-0.561,2.736,8.383,4.531,7.18,3.899,,13.003,-3.241,-1.914,15.692,13.973,29.524,15.365,11.25,3.311,12.548,9.722,6.229,8.57,
"Preference Dividends",,,,65.682,32.68,67.645,33.907,67.97,33.501,61.141,29.87,59.094,28.804,55.354,27.45,57.297,29.223,53.271,26.413,58.594,30.017,
"Attributable Income Before Extraordinary Items",85.698,350.124,178.4,-20.259,-418.192,646.328,342.197,144.728,-1120.044,-1426.473,303.216,1001.191,693.656,1460.65,523.254,836.745,608.439,530.905,277.353,780.252,435.493,
"Extraordinary Profit",-357.991,-691.739,-657.891,2893.165,2836.703,-1229.023,-428.82,-2052.203,,,,,,-283.478,9.943,,,,,,,
