Income statement (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Aug 2020","26 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018",
"Turnover",167145,331046,167220,319018,150841,
"Cost of Sales",158232,310520,161288,307925,148432,
"Gross Profit",8913,20526,5932,11093,2409,
"Operating Expenses",12220,,18115,37036,17292,
"EBITDA (ProfileData Calc)",24313,-5233,10104,1360,,
"Depreciation",25720,17529,22610,14094,,
"Operating Income",-3307,,-12183,,-14883,
"Other Income",2173,-26161,,11459,5965,
"Profit Before Exceptional Items",-1134,-26161,-12183,-14484,-8918,
"Exceptional Item 1",,,,-1583,,
"Profit Before Interest And Tax",-1134,-26161,-12183,-16067,-8918,
"Interest Received",449,1979,1215,3787,1945,
"Interest Paid",8634,11916,5815,6517,2961,
"Net Interest Paid/(Received)",8185,9937,4600,2730,1016,
"Income From Associates Before Tax",-2538,1420,-1538,-454,-1372,
"Income Before Tax",-11857,-34678,-18321,-19251,-11306,
"Taxation",454,685,633,1389,2147,
"Profit For The Period",-12311,-35363,-18954,-20640,-13453,
"Income Attributable To Minority Interests",-1816,,,,,
"Attributable Income Before Extraordinary Items",-10495,-35363,-18954,-20640,-13453,
"Income Attributable To Equity Holders",-10495,-35363,-18954,-20640,-13453,
"Total Comprehensive Income/Loss for the period",-19277,,-17390,,-17906,
"Headline Earnings (Cont Ops)",-6257,-21062,-14457,-19512,-13863,
"Enterprise Value (EV)",1201290,1974890,1381410,1515470,2818325,

Balance sheet (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Aug 2020","26 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018",
"Fixed Assets",495773,305197,287505,249602,262439,
"Right-of-use Asset",42801,55238,,,,
"Investments in Associates",716,52475,52135,54560,62674,
"Investments and Loans",2627,12238,12674,11627,2627,
"Goodwill",899,944,7448,7351,7666,
"Intangible Assets",341,177,132,41,46,
"Deferred Tax Asset",1004,1299,1496,1497,985,
"Other Assets",10646,,67859,,,
"Long-Term Receivables",600,,,,2,
"Total Fixed Assets",555407,427568,429249,324678,336439,
"Stock",7792,12236,8605,10841,10901,
"Debtors",14458,13173,9986,12034,9248,
"Cash",44725,35553,37855,35636,54124,
"Tax",,,,,5743,
"Other Current Assets",28605,30537,36235,64438,58884,
"Total Current Assets",95580,91499,92681,122949,138900,
"Total Assets",650987,519067,521930,447627,475339,
"Ordinary Share Capital & Premium",320683,320683,320683,320683,320683,
"Distributable Reserves",-60257,-50569,-25994,-7040,,
"Non-Distributable Reserves",-26810,-18176,-17946,-21140,-19588,
"Translation Reserves",,,,,162,
"Other Capital",,,,,1143,
"Ordinary Shareholders' Interest",233616,251938,276743,292503,302400,
"Minority Interest",42271,,,,,
"Total Shareholders' Interest",275887,251938,276743,292503,302400,
"Interest Bearing Loans",213949,144548,113505,96133,108092,
"Retirement Obligation",1507,1922,1880,1922,,
"Other Long-Term Liabilities",24568,33867,41141,403,2478,
"Total Long-Term Liabilities",240024,180337,156526,98458,110570,
"Creditors and Provisions",24757,29286,28117,23942,20501,
"Tax",3512,3096,3499,3073,4633,
"Bank Overdrafts/Short-Term Loans",80781,20696,18951,18323,19165,
"Other Current Liabilities",26026,33714,38094,11328,18070,
"Total Current Liabilities",135076,86792,88661,56666,62369,
"Total Liabilities",375100,267129,245187,155124,172939,
"Total Equity and Liabilities",650987,519067,521930,447627,475339,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Aug 2020","26 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018",
"Exchange Rate (period end)",17.33,14.06,14.09,14.41,13.75,
"Exchange Rate (weighted average)",16.66,14.45,14.2,13.25,12.3,
"Number of Shares in Issue (Actual)",18925969,19022665,19063833,19063833,19063833,
"Weighted Average Shares in Issue (Actual)",18925969,19022665,19063833,19063833,19063833,
"Fully Diluted Weighted Average Shares in Issue",18925969,19022665,19063833,19063833,,
"Market Capitalisation (R'000)",909014,1845199,1286809,1436650,2745192,
"Number of Months",6,12,6,12,6,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Aug 2020","26 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018",
"Earnings Per Share (ZARc)",-916.3,-2687.7,-1405.8,-1431,-873.3,
"Diluted Earnings Per Share (ZARc)",-916.3,-2687.7,-1405.8,-1431,-873.3,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-549.78,-1603.95,-1079.2,-1315.5,-897.9,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-549.78,-1603.95,-1079.2,-1315.5,-897.9,
"Net Asset Value Per Share (ZARc)",21391.63,19221.71,20454.03,22109.7,21810.94,
"Cash Generated Per Share",257.77,-292.21,-170.18,-195.97,-242.59,
"Earnings Per Share (Base Currency)",-55,-186,-99,-108,-71,
"Diluted Earnings Per Share (Base Currency)",-55,-186,-99,-108,-71,
"Headline Earnings Per Share (Cont) (Base Currency)",-33,-111,-76,-102,-73,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",-33,-111,-76,-102,-73,
"Net Asset Value Per Share (Base Currency)",1234.37,1367.12,1451.67,1534.33,1586.25,
"Price at Period End (Base Currency)",277,693,479,523,1048,
"JSE Market Price High (ZARc)",9989,11462,9850,21900,21900,
"JSE Market Price Low (ZARc)",3201,6202,6282,6780,11510,
"JSE Market Price at Period End (ZARc)",4803,9700,6750,7536,14400,
"JSE Volume Traded (Actual)",1664743,3789263,1899230,4969293,606448,
"JSE Rand Value Traded (Actual)",89591100,306189398,140402548,558640094,81128188,
"12 Month HEPS",-1074.53,-1603.95,-1496.8,-1315.5,-1795.8,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Aug 2020","26 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018",
"Cash generated by operations",24556,,16463,,-8987,
"Working capital changes",5159,,6408,,-15194,
"Cash generated from operations after WC",19397,,22871,,-24181,
"Net Cash flow from operating activities",48786,-55587,-32443,-37360,-46246,
"Net cash flow from investing activities",-25642,35166,31171,40024,33215,
"Net cash flow from financing activities",-15227,19373,2770,-11887,19450,
"Net increase(decrease) in cash & cash equivalents",7917,-1048,1498,-9223,6419,
"Cash & Cash Equivalent beginning of period",32386,33498,33498,45245,45245,
"Translation effects on cash & cash equivalents",-1144,77,125,-2524,-1269,
"Cash & Cash Equivalent end of period",39159,32527,35121,33498,50395,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Aug 2020","26 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018",
"Return on Capital Employed",-4.77,-8.18,-8.75,-5.28,-6.52,
"Return on Shareholder Funds",-8.92,-14.04,-13.7,-7.06,-8.9,
"Return on Total Assets",-3.65,-6.7,-7.12,-4.01,-4.84,
"Gross Profit Margin",5.33,6.2,3.55,3.48,1.6,
"Operating Profit Margin",-1.98,,-7.29,,-9.87,
"Net Profit Margin",-6.28,-10.68,-11.33,-6.47,-8.92,
"Debt:Equity (excl non-int debt)",1.16,0.8,0.63,0.4,0.43,
"Interest Bearing Debt as % of Long-Term Finance",43.68,36.46,29.09,24.74,26.33,
"Interest Cover",-0.14,-2.63,-2.65,-5.89,-8.78,
"Quick Ratio",0.65,0.91,0.95,1.98,2.05,
"Current Ratio",0.71,1.05,1.05,2.17,2.23,
"Debtors Collection Period",15.79,14.52,10.9,13.77,11.19,
"Stock Turn",40.61,25.38,37.49,28.4,27.23,
"Price : Earnings",-4.47,-6.05,-4.51,-5.73,-8.02,
"Sales Per Share (Base Currency)",1766.3,1740.27,1754.32,1673.42,1582.48,
"Price/Sales Per Share",0.16,0.4,0.27,0.31,0.66,
"Price/Net Asset Value",0.22,0.51,0.33,0.34,0.66,
"Price/Cash Flow",2.15,-2.37,-5.63,-2.67,-8.64,
"NAV%Price",445.38,198.16,303.02,293.39,151.46,
"Liquidity%",26.01,-20.81,-26.46,-24.08,-53.48,
"Cash Flow:Attributable Profit",-9.3,1.57,3.42,1.96,6.88,
"Cash/Equity (%)",16.21,14.11,13.68,12.18,17.9,
"EV/Ebitda (Pd)",49.41,-377.39,136.72,,,
"PEG Ratio",0.03,0.04,0.02,0.02,,

