Income statement (EUR '000),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)",
,"24 Nov 2020","19 Aug 2020","29 Jul 2020","19 Mar 2020","14 Nov 2019","22 Aug 2019","15 May 2019","22 Mar 2019","14 Nov 2018","23 Aug 2018","21 May 2018","22 Mar 2018","13 Nov 2017","21 Aug 2017","15 May 2017","20 Mar 2017","28 Nov 2016","24 Aug 2016",
"Turnover",42884,78690,41025,127886,43347,81282,39460,111583,38161,77140,39470,92141,29648,58423,29788,87346,31639,58826,
"Cost of Sales",10536,20055,11158,2017,10690,20171,9909,2148,9416,22389,11986,2111,7540,15431,,3236,8690,16226,
"Gross Profit",32348,58635,29867,125869,32657,61111,29551,109435,28745,54751,27484,90030,22108,42992,,,22949,42600,
"Operating Expenses",3476,,1744,16342,3057,,4891,15121,2025,,1873,18048,4410,,,12234,5460,6394,
"EBITDA (ProfileData Calc)",,-17482,,,,67682,31239,136122,,,36996,222677,,,,,,,
"Depreciation",,328,,,,302,131,558,,,140,529,,,,,,,
"Operating Income",30503,-14952,22068,110687,35549,67793,31271,95881,33149,70475,36928,73466,72207,84981,43128,154785,33164,59454,
"Other Income",,,,,,,,,,,,148562,,,,,,,
"Profit Before Exceptional Items",30503,-14952,22068,110687,35549,67793,31271,95881,33149,70475,36928,222028,72207,84981,43128,154785,33164,59454,
"Exceptional Item 1",-873,-3236,-5331,16190,154,-429,-79,40125,-201,294,106,,1339,-4158,-3752,2435,-547,3136,
"Profit Before Interest And Tax",29630,-18188,16737,126877,35703,67364,31192,136006,32948,70769,37034,222028,73546,80823,39376,157220,32617,62590,
"Interest Received",79,173,90,380,101,181,82,376,80,158,73,234,29,92,52,1324,81,1161,
"Interest Paid",8280,17051,8733,35071,9073,16236,7986,30424,7815,14311,7161,33754,7694,13013,6542,29500,7803,13887,
"Net Interest Paid/(Received)",8201,16878,8643,34691,8972,16055,7904,30048,7735,14153,7088,33520,7665,12921,6490,28176,7722,12726,
"Income From Associates Before Tax",,,,,,,,,,,,184,,184,184,-4474,-375,-3803,
"Income Before Tax",21429,-35066,8094,92186,26731,51309,23288,105958,25213,56616,29946,188692,65881,68086,33070,124570,24520,46061,
"Taxation",4110,-1242,5308,16765,6670,8462,3539,13938,2251,10544,5637,32094,13785,8487,975,-35005,-46885,10854,
"Profit For The Period",17319,-33824,2786,75421,20061,42847,19749,92020,22962,46072,24309,156598,52096,59599,32095,159575,71405,35207,
"Income Attributable To Minority Interests",86,-205,209,596,168,165,166,818,178,481,251,298,220,-35,-85,1027,-1,-57,
"Attributable Income Before Extraordinary Items",17233,-33619,2577,74825,19893,42682,19583,91202,22784,45591,24058,156300,51876,59634,32180,158548,71406,35264,
"Income Attributable To Equity Holders",17233,-33619,2577,74825,19893,42682,19583,91202,22784,45591,24058,156300,51876,59634,32180,158548,71406,35264,
"Total Comprehensive Income/Loss for the period",15903,-38761,-726,73636,17197,40009,18886,89200,23588,43360,22927,,51776,,,,,,
"Enterprise Value (EV)",17322822,10764188,18526816,18491013,18476810,18465682,16004978,15847177,17020977,17349122,15813043,17183540,18000330,15958576,13945128,13803053,623302,609638,

Balance sheet (EUR '000),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)",
,"24 Nov 2020","19 Aug 2020","29 Jul 2020","19 Mar 2020","14 Nov 2019","22 Aug 2019","15 May 2019","22 Mar 2019","14 Nov 2018","23 Aug 2018","21 May 2018","22 Mar 2018","13 Nov 2017","21 Aug 2017","15 May 2017","20 Mar 2017","28 Nov 2016","24 Aug 2016",
"Fixed Assets",7845,7907,8052,8159,7884,7991,7745,6712,6736,6657,6809,6847,6871,6975,6878,6002,5794,3768,
"Investments in Associates",,,,,,,,,,407,905,1303,1698,2091,2481,3803,4845,17772,
"Investments and Loans",2171235,2144414,2255440,2247030,2255392,2225618,2181042,2113068,2148014,2110734,1961188,1936841,1850619,1689883,1599179,1604675,1513413,1415475,
"Deferred Tax Asset",,,,,244,380,77,52,,,,,59,59,59,1075,1254,1072,
"Other Assets",23978,35314,24921,24899,114,121272,112987,32177,12821,13178,12787,17120,13422,13431,76108,14114,26441,36169,
"Long-Term Receivables",,,,,,,,,9573,,9449,,,,,,,,
"Total Fixed Assets",2203058,2187635,2288413,2280088,2263634,2355261,2301851,2152009,2177144,2130976,1991138,1962111,1872669,1712439,1684705,1629669,1551747,1474256,
"Stock",,,,,,,,,,,870,3755,7714,7156,5772,5355,4107,3235,
"Debtors",7823,12004,8186,10269,6662,6590,5802,9366,7440,6743,6139,4367,4730,3928,5491,5363,4647,5577,
"Cash",139078,141781,196546,179636,199282,117620,161123,80456,104504,181428,183135,148746,102453,162306,157260,149812,107303,73892,
"Tax",2736,3010,3729,4375,4985,6592,6164,6389,5657,6035,6752,7237,16144,22088,22387,18041,20631,7835,
"Other Current Assets",96967,34630,47128,48374,57067,6314,3977,108704,48885,4500,54707,56393,31791,38756,33643,31250,36895,98243,
"Other Current Assets: Accruals",,,,,,,,,,,,,,494,,,,,
"Other Current Assets: Accrued income",,,,,,,,,,,,,,,,,,278,
"Other Current Assets: Derivatives",,,,,,,,,,,,,,477,,,,,
"Other Current Assets: Escrow aacounts for purchase of assets",,,,,,,,,,,,,,7444,,,,70107,
"Other Current Assets: Pre payments",,,,,,,,,,,,,,3210,,,,,
"Other Current Assets: Prepayments and deferred expenses",,,,,,,,,,,,,,,,,,2860,
"Other Current Assets: Short-term deposits",,,,,,,,,,,,,,27131,,,,24998,
"Total Current Assets",246604,191425,255589,242654,267996,137116,177066,204915,166486,198706,251603,220498,162832,234234,224553,209821,173583,188782,
"Total Assets",2449662,2379060,2544002,2522742,2531630,2492377,2478917,2356924,2343630,2329682,2242741,2182609,2035501,1946673,1909258,1839490,1725330,1663038,
"Ordinary Share Capital & Premium",561529,561529,561529,561529,561529,561529,557671,557671,557671,557671,531155,531155,531155,531155,,509698,509698,509698,
"Distributable Reserves",513856,496623,532819,530242,517992,498099,516579,496996,474169,451385,466035,441977,397187,345311,,315195,263317,191911,
"Non-Distributable Reserves",-56779,-50022,-48415,-48092,-51894,-43194,-41570,-40596,-39294,-39546,-39595,-38419,-38850,-38876,,-39333,-40367,-25936,
"Translation Reserves",-3114,-2064,-2246,943,232,1440,1791,1680,1112,738,2117,2323,2048,2394,,1872,1647,1138,
"Ordinary Shareholders' Interest",1015492,1006066,1043687,1044622,1027859,1017874,1034471,1015751,993658,970248,959712,937036,891540,839984,819511,787432,734295,676811,
"Minority Interest",17511,13835,14249,14040,13778,4780,4782,5044,4885,4707,4477,4226,4113,3893,2806,2891,1809,-15204,
"Total Shareholders' Interest",1033003,1019901,1057936,1058662,1041637,1022654,1039253,1020795,998543,974955,964189,941262,895653,843877,822317,790323,736104,661607,
"Non-Interest Bearing Loans",1025796,871083,1070681,980872,953817,925477,957885,993453,1039052,1021623,939388,907704,813961,775632,753304,739031,,698734,
"Interest Bearing Loans",2578,2630,2648,2648,2597,2523,3034,3045,3039,2654,2601,2621,2625,,,2730,728796,,
"Deferred Tax Liability",145189,142865,150785,147232,148160,144552,141183,139120,139686,138788,129271,125827,119215,104920,98044,98237,97809,143079,
"Share Incentive Scheme",387,385,328,1446,1144,7152,5923,4533,3508,4371,4384,5744,4039,,,2046,,,
"Other Long-Term Liabilities",65464,62301,61491,59970,65028,85022,61444,12804,11892,11629,11497,10320,11091,17518,16277,10821,16413,14356,
"Other Long-Term Liabilities: Deposits from tenants",,,,,,,,,,,,,,8874,,,8124,6950,
"Other Long-Term Liabilities: Derivatives",,,,,,,,,,,,,,1344,,,3629,3741,
"Other Long-Term Liabilities: Long-term payable",,,,,,,,,,,,,,2687,,,2669,2631,
"Other Long-Term Liabilities: Provision for share based payment",,,,,,,,,,,,,,4613,,,1991,1034,
"Total Long-Term Liabilities",1239414,1079264,1285933,1192168,1170746,1164726,1169469,1152955,1197177,1179065,1087141,1052216,950931,898070,867625,852865,843018,856169,
"Creditors and Provisions",19901,20822,33911,37290,46682,63953,52782,50499,49152,48031,40829,50505,61623,42462,37188,36739,29391,22066,
"Tax",3337,3123,3745,3359,21650,2754,2298,2750,3036,2442,5317,3359,1635,1348,2290,530,2272,1397,
"Bank Overdrafts/Short-Term Loans",149918,312174,155800,225350,225916,235564,210753,121894,88186,,,126381,116006,154213,,,,,
"Other Current Liabilities",4089,7057,6677,5913,24999,2726,4362,8031,7536,125189,145265,8886,9653,6703,179838,159033,114545,121799,
"Total Current Liabilities",177245,343176,200133,271912,319247,304997,270195,183174,147910,175662,191411,189131,188917,204726,219316,196302,146208,145262,
"Total Liabilities",1416659,1422440,1486066,1464080,1489993,1469723,1439664,1336129,1345087,1354727,1278552,1241347,1139848,1102796,1086941,1049167,989226,1001431,
"Total Equity and Liabilities",2449662,2442341,2544002,2522742,2531630,2492377,2478917,2356924,2343630,2329682,2242741,2182609,2035501,1946673,1909258,1839490,1725330,1663038,

