Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Dec 2015","Sep 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"15 Sep 2020","11 Feb 2020","20 Aug 2019","12 Feb 2019","21 Aug 2018","13 Feb 2018","17 Aug 2017","2 Feb 2017","17 Aug 2016","4 Feb 2016","4 Feb 2016","5 Nov 2015","18 Aug 2015","18 Aug 2015","8 May 2015","9 Feb 2015","9 Feb 2015","5 Nov 2014","14 Aug 2014","14 Aug 2014","6 May 2014","3 Feb 2014","3 Feb 2014","9 Feb 2015","9 Feb 2015","8 Nov 2013","14 Aug 2013","14 Aug 2013","3 May 2013","4 Feb 2013","4 Feb 2013","7 Nov 2012","16 Aug 2012","16 Aug 2012","9 May 2012","6 Feb 2012","6 Feb 2012","31 Oct 2011","15 Aug 2011","15 Aug 2011","5 May 2011","8 Feb 2011","8 Feb 2011","1 Nov 2010","16 Aug 2010","16 Aug 2010","10 May 2010",
"Working Revenue",29245,15477,26912,13789,20452,9875,19264,9868,18334,8707,4567,4140,3860,15435,3428,3715,8146,4431,15682,3763,3830,8089,4071,4071,8089,4018,3483,15902,3528,4613,8891,4278,15169,3934,3222,8013,4439,3929,3422,11596,2761,6073,2990,3083,3045,11284,2521,
"Working Cost",25908,13498,28869,12929,23596,8838,19639,9066,15786,8006,3918,4088,7316,19053,3444,3970,8289,4319,16088,4941,3595,7552,3817,3817,7552,3735,6171,16448,3260,3508,7018,3511,12137,3325,2721,6091,3116,3192,3491,10699,2414,5501,2506,2995,2649,10484,2581,
"Depreciation",3508,,4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Working Profit",-358,1634,-2538,156,-4660,1198,-994,1166,1592,-418,115,-532,-3674,-5193,-293,-929,-1224,-295,-1560,-1442,6,-125,-121,-121,-125,-4,-3260,-2022,-158,831,1395,563,2121,295,235,1591,1138,585,-222,175,159,137,296,88,396,164,-237,
"",3337,1979,-1957,860,-3144,1037,-375,802,2548,701,649,52,-3456,-3618,-16,-255,-143,112,-406,-1178,235,537,254,254,537,283,-2688,-546,268,1105,1873,767,3032,609,501,1922,1323,737,-69,897,347,572,,,,800,,
"Insurance Recovery",-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,
"EBITDA (ProfileData Calc)",3546,,1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",-403,1634,-2538,156,-4660,1198,-994,1166,1592,-418,115,-532,-3674,-5193,-293,-929,-1224,-295,-1560,-1442,6,-125,-121,-121,-125,-4,-3260,-2022,-158,831,1395,563,2121,295,235,1591,1138,585,-222,435,159,526,296,88,393,178,-237,
"Exceptional Income",,,,,-98,-44,834,848,,-13,-5,-8,-11,13,7,8,317,7,177,46,25,106,39,39,106,67,-8,85,-24,92,118,26,-2,-132,42,88,63,,40,,-157,,78,64,-71,,-39,
"Exceptional Income: Corporate, marketing, new business expenditure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-94,-124,,,
"Exceptional Income: Cosporate costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28,,,
"Exceptional Income: Exploration Expenditure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-60,,,
"Exceptional Income: Investments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16,,,,
"Exceptional Income: Other Costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,
"Exceptional Income: Other expenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,,,,
"Exceptional Income: Profit on disposal of assets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,
"Exceptional Income: Profit/(Loss) on sale of investments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,
"Profit Before Interest And Tax",-403,1634,-2538,156,-4758,1154,-160,2014,1592,-431,110,-540,-3685,-5180,-286,-921,-907,-288,-1383,-1396,31,-19,-82,-82,-19,63,-3268,-1937,-182,923,1513,589,2119,163,277,1679,1201,607,-182,435,2,526,374,152,322,178,-276,
"Interest Received",375,144,308,141,343,226,268,140,256,114,57,57,57,229,61,59,110,51,220,61,64,95,50,50,95,45,67,185,47,38,71,33,97,33,25,38,22,16,24,133,62,52,38,14,32,187,61,
"Interest Paid",661,340,575,292,330,157,234,128,274,141,70,71,61,264,71,67,132,65,277,101,59,117,57,57,117,60,57,256,65,75,133,58,286,69,65,150,80,73,89,271,63,128,69,59,94,246,60,
"Net Interest Paid/(Received)",286,196,267,151,-13,-69,-34,-12,18,27,13,14,4,35,10,8,22,14,57,40,-5,22,7,7,22,15,-10,71,18,37,62,25,189,36,40,112,58,57,65,138,1,76,31,45,62,59,-1,
"Income From Associates Before Tax",94,51,59,24,38,33,-22,-13,7,35,35,,-25,-25,,,,,-109,-125,10,7,4,4,7,3,,,,,,,,,,,,,,-51,-24,-27,-19,-8,,56,5,
"Pre-Tax Profit",-595,1489,-2746,29,-4707,1256,-148,2013,1581,-423,132,-554,-3714,-5240,-296,-929,-929,-302,-1549,-1561,46,-34,-85,-85,-34,51,-3258,-2008,-200,886,1451,564,1930,127,237,1567,1143,550,-247,246,-23,423,324,99,260,175,-270,
"Taxation",255,157,-139,48,-234,359,-510,474,632,22,56,-33,-562,-704,-33,-73,-109,-36,-279,-338,15,44,6,6,44,38,239,655,44,221,373,152,-123,200,-636,313,256,72,-205,-387,-299,22,28,-6,230,335,25,
"Profit For The Period",-850,1332,-2607,-19,-4473,897,362,1539,949,-445,76,-521,-3152,-4536,-263,-856,-1122,-266,-1270,-1223,31,-78,-91,-91,-78,13,-3497,-2663,-244,665,1078,412,2053,-73,873,1254,887,478,-42,633,276,401,296,105,30,-160,-295,
"Income Attributable To Minority Interests",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
