Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"31 Aug 2020","12 Mar 2020","28 Aug 2019","18 Mar 2019","27 Aug 2018","8 Mar 2018","28 Aug 2017","14 Mar 2017","30 Aug 2016","15 Mar 2016","24 Aug 2015","20 Mar 2015",
"Turnover",1574,3484,1655,3247,1524,2993,1313,2664.23,1152.247,2322.967,995.179,1958.575,
"Cost of Sales",404,1027,485,938,412,853,359,,,,,,
"Operating Income",184,679,345,763,374,744,327,648.16,280.406,580.394,255.377,521.532,
"Profit Before Exceptional Items",184,679,345,763,374,744,327,648.16,280.406,580.394,255.377,521.532,
"Profit Before Interest And Tax",184,679,345,763,374,744,327,648.16,280.406,580.394,255.377,521.532,
"Interest Received",1,4,1,3,2,7,3,3.393,1.658,3.375,1.033,1.948,
"Interest Paid",52,101,45,89,43,83,40,64.854,27.59,32.809,14.825,21.883,
"Net Interest Paid/(Received)",51,97,44,86,41,76,37,61.461,25.932,29.434,13.792,19.935,
"Income From Associates Before Tax",,,,-1,,-9,-1,-1.564,1.834,-1.137,-0.493,-2.556,
"Income Before Tax",133,582,301,676,333,659,289,585.135,256.308,549.823,241.092,499.041,
"Taxation",24,127,61,148,73,145,65,160.281,64.474,155.264,69.239,143.721,
"Profit For The Period",109,455,240,528,260,514,224,424.854,191.834,394.559,171.853,355.32,
"Attributable Income Before Extraordinary Items",109,455,240,528,260,514,224,424.854,191.834,394.559,171.853,355.32,
"Income Attributable To Equity Holders",109,455,240,528,260,514,224,424.854,191.834,394.559,171.853,355.32,
"Total Comprehensive Income/Loss for the period",109,455,240,528,260,514,224,424.854,191.834,394.559,171.853,,
"Headline Earnings (Cont Ops)",109,455,240,529,260,522,224,424.672,191.834,394.85,171.853,355.563,
"Enterprise Value (EV)",3209.025,4794.917,4798.8,4986.15,5136.5,4918.6,4079.916,4206.292,3708.99,3821.142,4249.834,3340.583,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"31 Aug 2020","12 Mar 2020","28 Aug 2019","18 Mar 2019","27 Aug 2018","8 Mar 2018","28 Aug 2017","14 Mar 2017","30 Aug 2016","15 Mar 2016","24 Aug 2015","20 Mar 2015",
"Fixed Assets",472,471,521,464,456,429,421,425.926,428.602,422.243,344.366,299.387,
"Right-of-use Asset",61,,,,,,,,,,,,
"Investments in Associates",,,,,1,14,14,24.259,18.989,13.248,11.231,7.676,
"Investments and Loans",,,,,,,,,,0.207,0.367,1.302,
