Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Sep 2020","26 Jun 2020","23 Aug 2019","19 Mar 2019","30 Jul 2018","26 Feb 2018","31 Jul 2017","27 Feb 2017","25 Jul 2016","22 Feb 2016","27 Jul 2015","23 Feb 2015","28 Jul 2014","24 Feb 2014","29 Jul 2013","25 Feb 2013","30 Jul 2012","20 Feb 2012","25 Jul 2011","28 Feb 2011","26 Jul 2010",
"Turnover",3673.509,10708.581,5247.087,11533.818,5290.381,10303.531,5096.65,10099.349,4927.689,8394.986,3930.015,8038.918,4061.434,7560.007,3554.146,6541.997,3142.955,6905.444,3354.006,5808.667,2704.645,
"Cost of Sales",3395.282,10005.262,4949.876,10583.507,4837.101,9115.128,4532.57,8957.621,4393.268,7855.025,3641.777,7119.966,3608.287,6914.691,3200.876,6111.363,2761.63,6398.11,3114.182,5260.954,2518.14,
"Gross Profit",278.227,703.319,297.211,867.889,420.738,1131.971,534.118,1141.728,534.421,539.961,288.238,918.952,453.147,645.316,353.27,503.483,381.325,507.334,239.824,547.713,186.505,
"Operating Expenses",293.58,810.69,389.387,,,,295.296,,,,,,,,,,,,,,,
"Operating Income",-119.446,-1421.404,-167.176,-949.907,158.503,498.426,286.433,621.514,257.171,295.48,138.498,585.133,210.352,-1805.371,122.75,101.087,183.928,169.945,131.716,218.233,101.797,
"Profit Before Exceptional Items",-119.446,-1421.404,-167.176,-949.907,158.503,498.426,286.433,621.514,257.171,295.48,138.498,585.133,210.352,-1805.371,122.75,101.087,183.928,169.945,131.716,218.233,101.797,
"Profit Before Interest And Tax",-119.446,-1421.404,-167.176,-949.907,158.503,498.426,286.433,621.514,257.171,295.48,138.498,585.133,210.352,-1805.371,122.75,101.087,183.928,169.945,131.716,218.233,101.797,
"Interest Received",7.292,8.021,0.665,3.887,0.941,3.079,0.84,1.309,0.462,2.085,1.023,2.453,1.1,,,,,,,,,
"Interest Paid",27.999,56.513,26.64,77.588,37.642,80.704,39.381,88.005,47.444,68.577,31.326,48.16,28.716,,30.884,,32.022,61.91,29.318,116.923,69.188,
"Net Interest Paid/(Received)",20.707,48.492,25.975,73.701,36.701,77.625,38.541,86.696,46.982,66.492,30.303,45.707,27.616,63.357,30.884,62.909,32.022,61.91,29.318,116.923,69.188,
"Income From Associates Before Tax",0.882,,,,,,,,,,,,,,,0.181,0.183,1.187,0.191,2.654,-0.191,
"Income Before Tax",-139.271,-1469.896,-193.151,-1023.608,121.802,420.801,247.892,534.818,210.189,228.988,108.195,539.426,182.736,-1868.728,91.866,38.359,152.089,109.222,102.589,103.964,32.418,
"Taxation",91.34,-265.355,-37.118,-250.197,37.049,117.038,70.01,149.885,58.002,65.274,32.458,154.498,52.828,-523.769,25.473,9.106,38.282,29.546,29.978,30.716,6.255,
"Profit For The Period",-230.611,-1204.541,-156.033,-773.411,84.753,303.763,177.882,384.933,152.187,163.714,75.737,384.928,129.908,-1344.959,66.393,29.253,113.807,79.676,72.611,73.248,26.163,
"Attributable Income Before Extraordinary Items",-230.611,-1204.541,-156.033,-773.411,84.753,303.763,177.882,384.933,152.187,163.714,75.737,384.928,129.908,-1344.959,66.393,29.253,113.807,79.676,72.611,73.248,26.163,
"Income Attributable To Equity Holders",-230.611,-1204.541,-156.033,-773.411,84.753,303.763,177.882,384.933,152.187,163.714,75.737,384.928,129.908,-1344.959,66.393,29.253,113.807,79.676,72.611,73.248,26.163,
"Total Comprehensive Income/Loss for the period",-304.019,-1157.734,-102.12,-796.236,-7.035,335.867,167.919,478.784,241.815,85.651,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-214.11,-240.004,-145.625,292.2,84.753,304.57,177.882,379.737,152.187,119.261,78.814,358.355,129.823,183.005,66.404,78.921,98.231,80.121,70.879,74.813,26.517,
"Enterprise Value (EV)",912.539,955.638,1462.383,1642.832,1782.434,2174.748,2349.108,2124.66,2568.78,2478.674,2907.3,3025.115,2862.619,2254.569,2138.087,1761.692,2699.738,3499.477,3307.343,3427.389,3510.748,

