Income statement (GBP million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Aug 2020","25 Feb 2020","29 Jul 2019","25 Feb 2019","24 Jul 2018","26 Feb 2018","26 Jul 2017","20 Feb 2017",
"Turnover",93,190.3,124.8,224.8,152.5,320.6,160.1,251.3,
"Net Rental / Investment Income",18.2,190.3,59.1,224.8,83.7,174.2,87.9,176.6,
"EBITDA (company calc)",245.9,320.5,338.5,357.4,178.9,,,,
"Interest Receivable",6.3,21.5,11.3,14.5,5.9,16.1,7.7,12.4,
"Depreciation",5,5.1,3.3,1.5,0.7,,,,
"Total Income",24.5,211.8,70.4,239.3,89.6,190.3,95.6,189,
"EBITDA (ProfileData Calc)",-1015,-460,-256.4,-53.8,111.6,,,,
"Interest Payable",49.1,102.3,51.3,109,55.1,125.3,63.8,121.2,
"Income Before Exceptional Items",-24.6,109.5,19.1,130.3,34.5,65,31.8,67.8,
"Amortisation",18.7,6.4,8.2,8.6,,,,,
"Exceptional Item 1",-425.7,-892.7,-271,-361.3,-48.4,-55.1,9.5,-51.3,
"Income From Associates Before Tax",-637.5,209.4,-67.3,57.7,69.7,403.5,248.4,306.3,
"Income Before Tax",-1087.8,-573.8,-319.2,-173.3,55.8,413.4,289.7,322.8,
"Tax",0.6,1.9,0.6,1.8,0.1,1.8,0.4,1.9,
"Profit For The Period",-1088.4,-575.7,-319.8,-175.1,55.7,411.6,289.3,320.9,
"Income Attributable To Minority Interests",,,,-0.4,,23.2,2.2,3.6,
"Net Income Before Extraords",-1088.4,-575.7,-319.8,-174.7,55.7,388.4,287.1,317.3,
"Extraordinary Items",,-205.5,,-93.4,,,,,
"Extraordinary Items: Discontinued operations",,-205.5,,-93.4,,,,,
"Income Attributable To Equity Holders",-1088.4,-781.2,-319.8,-268.1,55.7,388.4,287.1,317.3,
"Total Comprehensive Income/Loss for the period",-1011,-859.5,-328.1,-256.4,51.2,444.5,339,403,
"Headline Earnings (Cont Ops)",0.7,223,101.2,200.7,102.5,183.2,114.5,229.5,
"Enterprise Value (EV)",332590.999,45832.37794,40929.516,49706.248,78224.918,75279.156,81099.325,79302.63,

Balance sheet (GBP million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Aug 2020","25 Feb 2020","29 Jul 2019","25 Feb 2019","24 Jul 2018","26 Feb 2018","26 Jul 2017","20 Feb 2017",
"Ordinary Capital & Premium",1457.6,1457.6,1457.6,1457.6,1464.6,1464.5,1464.1,1464,
"Distributable Reserves",1332,2433.2,2976.6,3415.3,3960.7,4016.4,3998.1,3817.3,
"Non-Distributable Reserves",-153.5,-32.5,-220.9,-231.6,-217.5,-220.2,-223.3,-165.1,
"Other Capital",-0.3,-2.2,-0.9,-3,-1.8,-0.3,-0.4,-0.2,
"Translation Reserves",731.7,520.9,781.2,794.3,749.3,763.1,763.1,659.6,
"Ordinary Unitholders Interest",3367.5,4377,4993.6,5432.6,5955.3,6023.5,6001.6,5775.6,
"Minority Interest",0.2,0.2,0.3,0.3,0.7,14,84.2,81.4,
"Total Stockholders' Interest",3367.7,4377.2,4993.9,5432.9,5956,6037.5,6085.8,5857,
"Interest Bearing Loans",2965.1,2541.8,3200.8,3114.9,3368.4,3451.3,3789.9,3285.2,
"Other Long-Term Liabilities",160.7,177.2,135.2,129.3,117.2,123.1,127.2,133.5,
"Long-Term Liabilities",3125.8,2719,3336,3244.2,3485.6,3574.4,3917.1,3418.7,
"Deferred Tax Liability",0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,
"Total Capital Employed",6493.9,7096.6,8330.4,8677.6,9442.1,9612.4,10003.5,9276.2,
