Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"13 Nov 2020","29 May 2020","21 Nov 2019","23 May 2019","21 Nov 2018","23 May 2018","22 Nov 2017","24 May 2017","10 Feb 2017","24 Aug 2016","23 Feb 2016","21 Aug 2015","25 Feb 2015","20 Aug 2014","26 Feb 2014","21 Aug 2013","20 Feb 2013","22 Aug 2012","6 Mar 2012","17 Aug 2011","17 Feb 2011","18 Aug 2010",
"Turnover",85.538,767.644,335.331,827.786,344.64,866.917,313.901,498.803,302.678,474.328,235.587,433.287,217.027,423.174,211.156,356.042,173.957,315.956,150.577,277.358,137.259,265.55,
"Other Expenses",56.553,51.112,30.131,76.096,28.229,46.555,26.855,38.858,26.447,44.852,20.953,40.674,18.264,40.524,19.79,29.878,14.591,40.289,17.345,21.051,9.704,29.577,
"Net Rental / Investment Income",28.985,716.532,305.2,751.69,316.411,820.362,287.046,459.945,276.231,429.476,214.634,392.613,198.763,382.65,191.366,326.164,159.366,275.667,133.232,256.307,127.555,235.973,
"Interest Receivable",3.571,11.069,5.987,17.206,10.819,27.706,16.062,20.556,11.232,12.737,4.499,9.696,4.511,4.371,1.349,1.819,0.228,1.214,0.208,13.366,4.339,2.023,
"Other Income",0.31,1.665,1.689,1.767,0.282,,,,,,,,,,,0.948,,,,,17.534,,
"Depreciation",,0.085,,0.116,,0.09,,,,,,,,,,,,,,,,,
"Total Income",32.866,729.266,312.876,770.663,327.512,848.068,303.108,480.501,287.463,442.213,219.133,402.309,203.274,387.021,192.715,327.983,159.594,276.881,133.44,269.673,149.428,237.996,
"Debenture Interest",,,,,,,,,,,134.817,232.815,118.963,240.014,122.261,200.184,94.441,125.293,63.242,160.669,87.678,128.926,
"Interest Payable",102.017,206.509,97.776,184.194,90.386,191.769,98.634,136.06,90.021,170.822,84.316,170.584,84.777,150.412,71.914,134.139,66.127,177.919,80.179,126.223,61.53,110.616,
"Expenses",,,,,,,,,,,,,,,,,,,,16.958,,2.268,
"Income Before Exceptional Items",-69.151,522.757,215.1,586.469,237.126,656.299,204.474,344.441,197.442,271.391,134.817,-1.09,-0.466,-3.405,-1.46,-5.389,-0.974,-26.331,-9.981,-34.177,0.22,-3.814,
"Amortisation",,,,,,,,,,2.313,2.313,8.633,4.082,7.48,3.757,5.635,1.793,0.174,,,,,
"Exceptional Item 1",-64.273,-2511.136,-14.577,-781.475,-407.96,-542.822,-3.459,199.307,34.084,231.856,15.498,143.921,0.922,116.806,7.592,211.126,2.309,-203.307,-9.123,-234.678,-27.532,-308.074,
"Income From Associates Before Tax",,,,,,,,0.409,0.01,0.264,0.144,0.203,0.093,0.238,0.083,0.126,0.055,0.222,0.131,-0.06,,,
"Income Before Tax",-133.424,-1988.379,200.523,-195.006,-170.834,113.477,201.015,544.157,231.536,501.198,148.146,134.401,-3.533,106.159,2.458,200.225,-0.403,-229.638,-18.973,-268.915,-27.312,-311.888,
"Tax",,,,-0.191,,,,,,0.009,,-0.116,,0.181,0.046,-35.572,,-14.053,,-58.195,,-35.424,
"Profit For The Period",-133.424,-1988.379,200.523,-194.815,-170.834,113.477,201.015,544.157,231.536,501.189,148.146,134.285,-3.533,105.978,2.412,235.797,-0.403,-215.537,-18.973,-210.72,-27.312,-276.464,
"Income From Associates After Tax",,0.208,,0.72,0.084,0.274,,,,,,,,,,,,,,,,,
"Net Income Before Extraords",-133.424,-1988.171,200.523,-194.095,-170.75,113.751,201.015,544.157,231.536,501.189,148.146,134.285,-3.533,105.978,2.412,235.797,-0.403,-215.537,-18.973,-210.72,-27.312,-276.464,
"Income Attributable To Equity Holders",-133.424,-1988.171,200.523,-194.095,-170.75,113.751,201.015,544.157,231.536,501.189,148.146,134.285,-3.533,105.978,2.412,235.797,-0.403,-215.537,-18.973,-210.72,-27.312,-276.464,
"Total Comprehensive Income/Loss for the period",-165.875,-1988.171,200.523,-194.095,-170.75,2502.599,2589.863,544.566,231.536,501.189,148.146,134.285,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-166.004,427.976,200.335,593.319,259.973,650.786,200.978,339.868,193.723,275.768,150.787,229.351,115.065,242.518,123.25,214.299,93.878,92.848,34.157,166.343,43.052,68.523,
"Enterprise Value (EV)",3888.766,4017.685,6873.184,7513.769,7458.162,8338.792,9805.435,6102.527,5757.037,1989.608,2001.386,2230.012,2830.188,2228.244,2857.388,2622.646,2396.655,2288.659,1188.984,1151.013,1598.005,1762.864,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"13 Nov 2020","29 May 2020","21 Nov 2019","23 May 2019","21 Nov 2018","23 May 2018","22 Nov 2017","24 May 2017","10 Feb 2017","24 Aug 2016","23 Feb 2016","21 Aug 2015","25 Feb 2015","20 Aug 2014","26 Feb 2014","21 Aug 2013","20 Feb 2013","22 Aug 2012","6 Mar 2012","17 Aug 2011","17 Feb 2011","18 Aug 2010",
"Ordinary Capital & Premium",9051.194,9051.194,9051.194,9027.065,9027.065,9027.065,9037.06,5565.258,5565.258,2909.957,2934.087,515.931,515.619,481.316,476.199,476.199,392.127,392.127,342.862,342.862,342.975,259.195,
"Distributable Reserves",180.53,281.979,178.557,343.035,230.122,444.108,147.454,138.719,192.343,107.961,127.675,-2.332,9.199,13.289,70.127,73.884,112.671,115.278,123.849,123.718,-0.701,-0.701,
"Non-Distributable Reserves",-617.818,-553.392,1943.182,1957.968,2331.349,2739.443,3268.883,893.526,710.606,714.335,475.287,457.148,307.799,307.242,146.838,140.669,-134.318,-136.522,51.471,70.575,294.47,405.714,
"Other Capital",-1106.013,-1106.013,-1106.013,-1106.013,-1106.013,-1106.013,-1106.013,,,,,,,,,,,,,,,,
"Ordinary Unitholders Interest",7507.893,7673.768,10066.92,10222.055,10482.523,11104.603,11347.384,6597.503,6468.207,3732.253,3537.049,970.747,832.617,801.847,693.164,690.752,370.48,370.883,518.182,537.155,636.744,664.208,
"Debentures",,,,,,,,,,,,2415.842,2411.657,2325.186,2318.197,2314.441,2126.946,2124.285,1668.714,1668.714,1668.714,1186.507,
"Total Stockholders' Interest",7507.893,7673.768,10066.92,10222.055,10482.523,11104.603,11347.384,6597.503,6468.207,3732.253,3537.049,3386.589,3244.274,3127.033,3011.361,3005.193,2497.426,2495.168,2186.896,2205.869,2305.458,1850.715,
"Interest Bearing Loans",2574.098,2546.606,1397.636,1647.358,1706.655,1936.071,1337.684,1638.493,1045.492,1125.063,1547.863,1627.874,1749.163,1732.627,1363.139,1372.627,1320.629,1359.527,522.377,411.38,1416.47,1308.371,
"Other Long-Term Liabilities",116.158,51.566,15.1,2.417,0.593,5.525,4.647,2.514,2.14,1.477,,6.248,7.708,8.265,10.736,21.066,36.898,43.086,40.646,21.542,71.169,43.856,
"Long-Term Liabilities",2690.256,2598.172,1412.736,1649.775,1707.248,1941.596,1342.331,1641.007,1047.632,1126.54,1547.863,1634.122,1756.871,1740.892,1373.875,1393.693,1357.527,1402.613,563.023,432.922,1487.639,1352.227,
"Deferred Tax Liability",,,,,,,,,,,,,,,,,36.73,36.73,50.867,50.867,171.045,87.113,
"Total Capital Employed",10198.149,10271.94,11479.656,11871.83,12189.771,13046.199,12689.715,8238.51,7515.839,4858.793,5084.912,5020.711,5001.145,4867.925,4385.236,4398.886,3891.683,3934.511,2800.786,2689.658,3964.142,3290.055,
"Investments In Associates",0.979,0.979,0.771,0.771,0.834,0.751,0.477,0.477,0.328,0.318,0.197,0.254,0.144,0.251,0.096,0.163,,0.162,,,,,
"Fixed Assets / Property",9990.61,9978.991,12341.447,12024.251,12202.628,12534.133,12956.947,8061.038,7817.008,5169,4873.011,4807,4724.816,4516,4281.155,4251,3772.862,3643.955,4167.187,3955.73,3535.327,3317.87,
"Goodwill",,,,,,,,,16.003,,12,12,19.2,19.2,72.6,72.6,,114,,152.822,,152.822,
"Other Assets",,,,1.783,17.711,,0.219,2.068,2.872,5.141,16.604,4.728,0.855,0.942,1.031,0.899,0.463,0.482,,0.748,,0.587,
"Debtors",183.171,72.479,146.484,144.51,89.674,133.915,117.651,115.536,61.845,57.035,50.839,71.035,38.397,58.087,56.272,42.26,21.938,23.356,38.886,37.413,25.28,26.574,
"Cash and Short Term Funds",71.551,290.575,26.67,95.282,115.592,390.591,387.827,210.054,357.891,194.26,194.884,204.15,104.956,187.203,31.992,67.395,7.981,15.442,1.015,3.55,503.161,10.71,
"Other Current Assets",0.932,,,,64.969,65.6,63.082,65.89,88.965,152.833,239.03,350.848,332.636,332.435,346.653,338.608,237.273,236.88,17.948,16.94,,,
"Current Assets",255.654,363.054,173.154,239.792,270.235,590.106,568.56,391.48,508.701,404.128,484.753,626.033,475.989,577.725,434.917,448.263,267.192,275.678,57.849,57.903,528.441,37.284,
