Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Nov 2020","29 May 2020","21 Nov 2019","3 Jun 2019","30 Nov 2018","31 May 2018","30 Nov 2017","23 May 2017","30 Nov 2016","26 May 2016","27 Nov 2015","28 May 2015","26 Nov 2014","30 May 2014","21 Nov 2013","31 May 2013","30 Nov 2012","31 May 2012","1 Dec 2011","28 Jun 2011","25 Nov 2010","1 Jun 2010",
"Turnover",231298,492145,244676,432662,214559,401382,197901,245993,116010,216517,106999,204589,98961,203578,106698,266321,155925,384030,212337,523772,275371,573516,
"Cost of Sales",89209,153250,64394,,,,,,,,,,,,,,,,,,,,
"Gross Profit",142089,338895,180282,257320,125872,224538,106778,118612,52270,88189,44544,80939,41020,94240,46234,79050,37936,74671,46376,89668,52590,119496,
"Operating Expenses",71434,-154617,84361,-123943,61970,-101113,70173,67319,37499,66529,31027,66074,33028,77818,39368,81489,34595,81899,38190,114764,57441,117045,
"EBITDA (ProfileData Calc)",47015,182128,95017,157239,80990,103243,,52567,,,,,,,,,,,,,,,
"EBITDA (company calc)",45618,177575,94650,148627,80298,,,,,,,,,,,,,,,,,,
"Depreciation",17935,42793,22995,26592,12697,-15495,,10301,,,,,,,,,,,,,,,
"Operating Income",27683,134782,71655,122035,67601,112975,38193,42239,15340,22956,14070,15933,8882,17964,8288,-1222,4081,-2974,8567,-23895,-4236,3282,
"Profit Before Exceptional Items",27683,134782,71655,122035,67601,112975,38193,42239,15340,22956,14070,15933,8882,17964,8288,-1222,4081,-2974,8567,-23895,-4236,3282,
"Exceptional Item 1",780,1117,,2039,,1726,-2763,,,,,3319,1562,-804,-1341,-6077,3771,-2663,-4455,5126,13706,8527,
"Profit Before Interest And Tax",28463,135899,71655,124074,67601,114701,35430,42239,15340,22956,14070,19252,10444,17160,6947,-7299,7852,-5637,4112,-18769,9470,11809,
"Interest Received",702,3717,2573,3505,958,4332,1831,233,88,492,24,621,359,1021,328,1311,433,1453,1586,3734,3203,4485,
"Interest Paid",8756,21573,10853,15339,6556,11036,4956,5336,2696,4697,2303,2700,1359,2293,1210,3705,2213,2502,775,3000,1419,8039,
"Net Interest Paid/(Received)",8054,17856,8280,11834,5598,6704,3125,5103,2608,4205,2279,2079,1000,1272,882,2394,1780,1049,-811,-734,-1784,3554,
"Income From Associates Before Tax",-25,20,-8,-19,,-72,9,-22,7,-5,-13,12,26,73,-10,67,93,62,1299,-952,-484,,
"Income Before Tax",20384,118063,63367,112221,62003,107925,32314,37114,12739,18746,11777,17185,9470,15961,6054,-9626,6165,-6624,6222,-18987,10770,8255,
"Taxation",8896,22739,12673,21716,14852,30861,8859,10307,2505,-910,-805,5933,2074,4628,2843,2263,-2359,-2213,3571,-2112,1677,187,
"Profit For The Period",11488,95324,50694,90505,47151,77064,23455,26807,10234,19656,12582,11252,7396,11333,3211,-11889,8524,-4411,2651,-16875,9093,8068,
"Income Attributable To Minority Interests",60,301,2198,-3087,266,223,-24,184,57,876,25,-274,13,-520,-454,-2018,-447,151,-29,-1898,-464,-961,
"Attributable Income Before Extraordinary Items",11428,95023,48496,93592,46885,76841,23479,26623,10177,18780,12557,11526,7383,11853,3665,-9871,8971,-4562,2680,-14977,9557,9029,
"Income Attributable To Equity Holders",11428,95023,48496,93592,46885,76841,23479,26623,10177,18780,12557,11526,7383,11853,3665,-9871,8971,-4562,2680,-14977,9557,9029,
"Total Comprehensive Income/Loss for the period",,,,,,,23455,26807,10234,19656,,11251,,,,,,,,,,,
"Headline Earnings (Cont Ops)",10856,94119,48124,91897,46955,75115,,26623,,18738,,11504,,,,-3652,,-5662,1049,-14954,9491,9251,
"Enterprise Value (EV)",836745,925395,1116812,1542438,1755312,1578287,1446822,1002648,625110,513471,397254,203794,100177,66986,50845,56082,120324,97877,97630,136297,181835,76087,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Nov 2020","29 May 2020","21 Nov 2019","3 Jun 2019","30 Nov 2018","31 May 2018","30 Nov 2017","23 May 2017","30 Nov 2016","26 May 2016","27 Nov 2015","28 May 2015","26 Nov 2014","30 May 2014","21 Nov 2013","31 May 2013","30 Nov 2012","31 May 2012","1 Dec 2011","28 Jun 2011","25 Nov 2010","1 Jun 2010",
"Fixed Assets",278831,272983,264651,226682,205829,178669,115794,73222,65672,61093,50584,46085,42133,34451,33605,32490,33117,33026,37326,38901,36856,43574,
"Right-of-use Asset",13936,16830,23234,,,,,,,,,,,,,,,,,,,,
"Investments in Associates",,25,599,607,616,616,679,688,716,709,701,714,729,702,863,929,1043,825,858,2504,3071,3322,
"Investments and Loans",72579,71444,76359,115861,,7496,,,,,,,,,,,,,,,,,
"Goodwill",607694,607694,607998,609821,593443,593443,540700,215153,215153,215153,215153,215153,215153,215153,215153,215153,228021,230545,231793,232869,237350,,
"Intangible Assets",23566,22520,20553,13431,10499,8680,2848,3927,1464,1558,4922,2298,2130,2809,5693,3244,,,,,,237260,
"Deferred Tax Asset",24550,29552,31142,20432,13070,12805,12533,7551,4385,6415,6984,3333,11303,11303,12287,15756,16865,12259,6990,10511,3997,9498,
"Other Assets",4966,4901,4460,16689,7496,,22760,16950,16632,6224,4972,4444,,1779,,,,,,,,,
"Total Fixed Assets",1026122,1025949,1028996,1003523,830953,801709,695314,317491,304022,291152,283316,272027,271448,266197,267601,267570,279046,276655,276967,284785,281274,293654,
"Stock",75175,60039,31645,18800,2049,1219,24664,647,1211,1294,1661,1025,876,,4747,5742,3894,9151,49742,43750,28200,14825,
"Debtors",63187,69257,72773,65093,132481,103284,58487,42606,30753,27567,35512,34860,76991,69220,67935,70823,56647,81336,67590,78042,135771,108070,
"Cash",38384,40153,21526,23958,29962,30265,19585,70976,397,4555,1186,4741,9742,7573,11786,18084,24443,24849,5387,11934,13541,11430,
"Tax",1110,4224,3855,1891,,15,,,,,,,,164,,164,,164,1430,1430,1798,2488,
"Other Current Assets",2498,2372,1994,4839,,,8501,7694,3826,9494,8205,6825,7417,1988,1173,,402,,6750,1779,1711,1637,
"Total Current Assets",180354,176045,131793,114581,164492,134783,111237,121923,36187,42910,46564,47451,95026,78945,85641,94814,85386,115500,130899,136935,181021,138450,
"Total Assets",1206476,1201994,1160789,1118104,995445,936492,806551,439414,340209,334062,329880,319478,366474,345142,353242,362384,364432,392155,407866,421720,462295,432104,
"Ordinary Share Capital & Premium",607135,611884,608429,605893,607724,618772,619348,319421,229323,229323,229323,229323,208411,208410,213361,213361,213361,214405,221118,221118,221083,226440,
