Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Nov 2020","29 May 2020","26 Nov 2019","31 May 2019","31 Oct 2018","1 Jun 2018","29 Nov 2017","31 May 2017","30 Nov 2016","31 May 2016",
"Turnover",31248,69438,25388,50371,23593,37378,12863,,,,
"Operating Expenses",37614,73609,45453,73303,34369,57699,27670,31734,9977,,
"Operating Income",7884,-21065,-10450,-16918,-8105,-104698,-13558,-31734,-9977,,
"Profit Before Exceptional Items",7884,-21065,-10450,-16918,-8105,-104698,-13558,-31734,-9977,,
"Profit Before Interest And Tax",7884,-21065,-10450,-16918,-8105,-104698,-13558,-31734,-9977,,
"Interest Received",698,3807,6680,7485,2430,10107,11618,25726,11487,,
"Interest Paid",6990,13760,7441,14863,7552,12298,3983,2,,,
"Net Interest Paid/(Received)",6292,9953,761,7378,5122,2191,-7635,-25724,-11487,,
"Income From Associates Before Tax",3273,7608,3552,5318,2248,-6492,857,,,,
"Income Before Tax",4865,-23410,-7659,-18978,-10979,-113381,-5066,-6010,1510,,
"Taxation",1934,3523,-748,3797,-753,2463,,,423,,
"Profit For The Period",2931,-26933,-6911,-22775,-10226,-115844,-5066,-6010,1087,,
"Income Attributable To Minority Interests",1085,2481,1823,2067,1508,1020,637,,,,
"Attributable Income Before Extraordinary Items",1846,-29414,-8734,-24842,-11734,-116864,-5703,-6010,1087,,
"Income Attributable To Equity Holders",1846,-29414,-8734,-24842,-11734,-116864,-5703,-6010,1087,,
"Total Comprehensive Income/Loss for the period",2931,-26933,-6911,-22776,-10228,-115071,-5067,-6010,1087,,
"Headline Earnings (Cont Ops)",1846,-29414,-8734,-24828,-11046,-56565,-5704,-599,1087,,
"Enterprise Value (EV)",321332,471593,468291,529085,633998,581363,598701,76449,99842,-200,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Nov 2020","29 May 2020","26 Nov 2019","31 May 2019","31 Oct 2018","1 Jun 2018","29 Nov 2017","31 May 2017","30 Nov 2016","31 May 2016",
"Fixed Assets",116434,121462,124877,125771,129519,133914,137027,2756,462,,
"Investments in Associates",95392,103337,107112,103560,114639,148810,219190,,,,
"Investments and Loans",90586,89131,100778,106189,100110,,,,,,
"Intangible Assets",135667,139099,142532,145965,149397,152830,134336,,,,
"Other Assets",75567,70347,69509,67327,63002,84104,105511,350,,,
"Total Fixed Assets",513646,523376,544808,548812,556667,519658,596065,3106,462,,
"Debtors",12658,12232,14399,22475,22139,29140,29055,,1250,,
"Cash",29230,26923,21218,31697,26240,35517,51724,498551,500158,200,
"Total Current Assets",41888,39155,35617,54172,48379,64657,80779,498551,501408,200,
"Total Assets",555534,562531,580425,602984,605046,584315,676844,501657,501870,200,
"Ordinary Share Capital & Premium",500000,500000,500000,500000,500000,500000,500000,500000,500000,200,
"Distributable Reserves",-149673,-151519,-130477,-122105,-107253,-122874,-11714,-6010,1086,,
"Non-Distributable Reserves",7819,6562,6562,6562,7335,773,,,,,
"Ordinary Shareholders' Interest",358146,355043,376085,384457,400082,377899,488286,493990,501086,200,
"Minority Interest",26188,25103,27605,29078,31767,34625,15473,,,,
"Total Shareholders' Interest",384334,380146,403690,413535,431849,412524,503759,493990,501086,200,
"Interest Bearing Loans",108862,108862,118028,114695,125492,121692,127749,,,,
"Deferred Tax Liability",45073,43139,38868,39616,35066,35814,31528,,,,
"Other Long-Term Liabilities",1960,2947,2177,,,,,,,,
"Total Long-Term Liabilities",155895,154948,159073,154311,160558,157506,159277,,,,
"Creditors and Provisions",8012,9853,12091,15382,9160,3722,6605,7667,784,,
"Dividends",,,,3247,,,,,,,
"Bank Overdrafts/Short-Term Loans",5512,16051,3876,16509,3479,10563,7203,,,,
"Other Current Liabilities",1781,1533,1695,,,,,,,,
"Total Current Liabilities",15305,27437,17662,35138,12639,14285,13808,7667,784,,
"Total Liabilities",171200,182385,176735,189449,173197,171791,173085,7667,784,,
"Total Equity and Liabilities",555534,562531,580425,602984,605046,584315,676844,501657,501870,200,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Nov 2020","29 May 2020","26 Nov 2019","31 May 2019","31 Oct 2018","1 Jun 2018","29 Nov 2017","31 May 2017","30 Nov 2016","31 May 2016",
"Number of Shares in Issue (Actual)",50000000,50000000,50000000,50000000,50000000,50000000,50000000,50000000,50000000,20,
"Weighted Average Shares in Issue (Actual)",50000000,50000000,50000000,50000000,50000000,50000000,50000000,44794523,20833000,,
"Fully Diluted Weighted Average Shares in Issue",50000000,50000000,50000000,50000000,50000000,50000000,50000000,44794523,20833000,,
"Market Capitalisation (R'000)",210000,348500,340000,400500,499500,450000,500000,575000,600000,,
"Number of Months",6,12,6,12,6,12,6,12,6,12,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Nov 2020","29 May 2020","26 Nov 2019","31 May 2019","31 Oct 2018","1 Jun 2018","29 Nov 2017","31 May 2017","30 Nov 2016","31 May 2016",
"Earnings Per Share (ZARc)",4,-59,-17,-50,-23,-234,-11,-13,5,,
"Diluted Earnings Per Share (ZARc)",4,-59,-17,-50,-23,-234,-11,-13,5,,
"Headline Earnings Per Share (Cont Ops) (ZARc)",4,-59,-17,-50,-22,-113,-11,-1,5,,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",4,-59,-17,-50,-22,-113,-11,-1,5,,
"Net Asset Value Per Share (ZARc)",716.29,710.09,752.17,768.91,800.16,755.8,976.57,988,1002.17,1000,
"3 Year Beta",0.48,-0.54,-0.07,,,,,,,,
"Cash Generated Per Share",-14.43,-11.47,4.07,22.09,2.59,-61.07,-63.77,4.33,1.31,,
"Net Asset Value Per Share (Base Currency)",716.29,710.09,752.17,768.91,800.16,755.8,976.57,988,1002.17,1000,
"Price at Period End (Base Currency)",420,697,680,801,999,900,1000,1150,1200,,
"JSE Market Price High (ZARc)",1550,749,749,1279,1279,1300,1300,1799,1799,,
"JSE Market Price Low (ZARc)",275,263,263,550,890,800,835,1101,1101,,
"JSE Market Price at Period End (ZARc)",420,697,680,801,999,900,1000,1150,1200,,
"JSE Volume Traded (Actual)",121478,2158325,1787785,7165483,5770127,13548186,7625644,19787017,18091184,,
"JSE Rand Value Traded (Actual)",592775,14075011,12027075,71406279,58595914,136066167,78551458,293790673,270633896,,
"12 Month HEPS",-38,-59,-45,-50,-124,-113,-17,-1,10,,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Nov 2020","29 May 2020","26 Nov 2019","31 May 2019","31 Oct 2018","1 Jun 2018","29 Nov 2017","31 May 2017","30 Nov 2016","31 May 2016",
"Cash generated by operations",-7215,-5737,2036,11044,1293,-30533,-31887,-23577,-10831,,
"Net Cash flow from operating activities",-7215,-5737,2036,11044,1293,-30533,-31887,2167,656,,
"Net cash flow from investing activities",24467,32874,11654,8483,4430,-416881,-412650,-3616,-498,,
"Net cash flow from financing activities",-11793,-31180,-19130,-28386,-15000,-15620,-2290,500000,500000,200,
"Dividends paid",,-9703,-6543,-3347,-3346,-5027,-2289,,,,
"Net increase(decrease) in cash & cash equivalents",5459,-4043,-5440,-8859,-9277,-463034,-446827,498550,500158,200,
"Cash & Cash Equivalent beginning of period",22615,26658,26658,35517,35517,498551,498551,,,,
"Cash & Cash Equivalent end of period",28074,22615,21218,26658,26240,35517,51724,498551,500158,200,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Nov 2020","29 May 2020","26 Nov 2019","31 May 2019","31 Oct 2018","1 Jun 2018","29 Nov 2017","31 May 2017","30 Nov 2016","31 May 2016",
"Return on Capital Employed",1.09,-5.03,-2.46,-4.01,-3.45,-20.32,-1.53,-1.22,0.43,,
"Return on Shareholder Funds",1.53,-7.08,-3.42,-5.51,-4.74,-28.08,-2.01,-1.22,0.43,,
"Return on Total Assets",2.32,-5.53,-3.5,-4.15,-4.82,-26.28,-1.87,-1.2,0.6,,
"Operating Profit Margin",25.23,-30.34,-41.16,-33.59,-34.35,-280.11,-105.4,,,,
"Net Profit Margin",5.91,-42.36,-34.4,-49.32,-49.74,-312.65,-44.34,,,,
"Debt:Equity (excl non-int debt)",0.42,0.45,0.4,0.41,0.38,0.41,0.33,,,,
"Interest Bearing Debt as % of Long-Term Finance",22.07,22.26,22.62,21.71,22.52,22.78,20.23,,,,
"Interest Cover",1.25,-2.12,-13.73,-2.29,-1.58,-47.79,1.78,1.23,0.87,,
"Quick Ratio",2.74,1.43,2.02,1.54,3.83,4.53,5.85,65.03,639.55,,
"Current Ratio",2.74,1.43,2.02,1.54,3.83,4.53,5.85,65.03,639.55,,
"Debtors Collection Period",73.93,64.3,103.51,162.86,171.25,284.56,412.23,,,,
"Price : Earnings",-11.05,-11.81,-15.11,-16.02,-8.06,-7.96,-58.82,-1150,120,,
"Sales Per Share (Base Currency)",124.99,138.88,101.55,100.74,94.37,74.76,51.45,,,,
"Price/Sales Per Share",3.36,5.02,6.7,7.95,10.59,12.04,19.44,,,,
"Price/Net Asset Value",0.59,0.98,0.9,1.04,1.25,1.19,1.02,1.16,1.2,,
"Price/Cash Flow",-58.21,-60.75,333.99,36.26,771.43,-14.74,-31.36,265.59,1832.06,,
"NAV%Price",170.55,101.88,110.61,95.99,80.1,83.98,97.66,85.91,83.51,,
"Liquidity%",-8.43,-3.15,2.3,5.83,1.49,-17.77,-36.85,28.26,167.35,,
"Cash Flow:Attributable Profit",-7.82,0.2,-0.47,-0.44,-0.22,0.26,11.18,-0.36,1.21,,
"Cash/Equity (%)",7.61,7.08,5.26,7.66,6.08,8.61,10.27,,,,
"EV/Ebitda (Pd)",,-38.88,-229.44,-85.58,-128.47,,,,,,

