Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Dec 2020","7 Aug 2020","29 Nov 2019","31 May 2019","30 Nov 2018","29 Jun 2018","30 Nov 2017","1 Jun 2017","30 Nov 2016","31 May 2016","27 Nov 2015","29 May 2015","4 Nov 2014","28 May 2014","4 Nov 2013","31 May 2013","12 Nov 2012","30 May 2012","24 Oct 2011","30 May 2011","30 Nov 2010","31 May 2010",
"Turnover",7646,33578,18375,41809,22410,61291,32328,96584,48889,101111,48012,91886,49211,87381,43033,71487,34916,61888,30599,56572,26649,69894,
"Cost of Sales",2034,10183,5131,16098,7512,26272,13992,40607,21868,41906,21593,38347,20709,34238,17783,27653,12629,19469,10445,16830,7427,34351,
"Gross Profit",5612,23395,13244,25711,14898,35019,18246,55977,27021,59205,26419,53539,28502,53143,25250,43834,22287,42419,20154,39742,19222,35543,
"Operating Expenses",8178,24043,12216,29921,16132,46531,24218,66350,35070,62039,26746,56686,29692,49786,22878,40237,19519,38362,18086,40774,20532,68862,
"EBITDA (ProfileData Calc)",-2320,1941,1086,-1271,-1215,-29439,-13720,-17666,-6801,,,,,,,,,,2793,,495,,
"EBITDA (company calc)",2320,,,,,,,,,,,,,,,,,,,,,,
"Depreciation",544,1502,407,1283,364,1892,725,1590,725,,,,,,,,,,447,,386,,
"Operating Income",-2864,377,623,-2671,-1579,-31332,-14574,-19289,-7545,-1179,256,-2244,-677,3624,2935,4027,3003,3906,2049,345,-370,-32065,
"Profit Before Exceptional Items",-2864,377,623,-2671,-1579,-31332,-14574,-19289,-7545,-1179,256,-2244,-677,3624,2935,4027,3003,3906,2049,345,-370,-32065,
"Profit Before Interest And Tax",-2864,377,623,-2671,-1579,-31332,-14574,-19289,-7545,-1179,256,-2244,-677,3624,2935,4027,3003,3906,2049,345,-370,-32065,
"Interest Received",,62,56,117,,1,129,33,19,1,,1,,39,15,70,57,403,297,974,479,1521,
"Interest Paid",826,1935,1063,2397,971,2253,953,1505,937,343,388,984,590,912,698,1080,778,1214,626,2210,1210,3702,
"Net Interest Paid/(Received)",826,1873,1007,2280,971,2252,824,1472,918,342,388,983,590,873,683,1010,721,811,329,1236,731,2181,
"Income Before Tax",-3690,-1496,-384,-4951,-2550,-33584,-15398,-20761,-8463,-1521,-132,-3227,-1267,2751,2252,3017,2282,3095,1720,-891,-1101,-34246,
"Taxation",-962,674,-101,-1655,-720,-6605,-3546,-5000,-2369,-395,-37,-826,-314,558,464,1032,687,559,546,-379,-836,-8441,
"Profit For The Period",-2728,-2170,-283,-3296,-1830,-26979,-11852,-15761,-6094,-1126,-95,-2401,-953,2193,1788,1985,1595,2536,1174,-512,-265,-25805,
"Attributable Income Before Extraordinary Items",-2728,-2170,-283,-3296,-1830,-26979,-11852,-15761,-6094,-1126,-95,-2401,-953,2193,1788,1985,1595,2536,1174,-512,-265,-25805,
"Extraordinary Profit",,-438,,223,,725,,86,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",-2728,-2608,-283,-3073,-1830,-26254,-11852,-15675,-6094,-1126,-95,-2401,-953,2193,1788,1985,1595,2536,1174,-512,-265,-25805,
"Total Comprehensive Income/Loss for the period",-2728,-2608,-283,-3073,-1830,-26254,-11851,-15675,-6094,-1204,-95,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-2728,-3728,-283,-3295,-1830,-18960,-11852,-15786,-6094,-1118,-95,-2357,-953,2337,1807,1992,1595,2517,1174,-362,-218,-21349,
"Enterprise Value (EV)",32146,45638,39263,39294,40074,32799,43270,86155,82196,65355,58580,67653,73739,85681,80089,67274,99036,53187,33882,43928,21409,29204,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Dec 2020","7 Aug 2020","29 Nov 2019","31 May 2019","30 Nov 2018","29 Jun 2018","30 Nov 2017","1 Jun 2017","30 Nov 2016","31 May 2016","27 Nov 2015","29 May 2015","4 Nov 2014","28 May 2014","4 Nov 2013","31 May 2013","12 Nov 2012","30 May 2012","24 Oct 2011","30 May 2011","30 Nov 2010","31 May 2010",
"Fixed Assets",1227,1420,15831,16143,16392,16720,16183,16192,3170,2544,3834,3961,3993,3793,4101,4380,4622,4857,5418,5515,6016,5109,
"Right-of-use Asset",684,290,,,,,,,,,,,,,,,,,,,,,
"Goodwill",3560,3560,3560,3560,3560,3560,6809,6809,6809,6809,6809,6809,6809,6809,22397,22419,22267,7343,,7282,,6888,
"Intangible Assets",15546,15669,13868,13905,14312,14312,21478,21945,22367,20555,17958,17003,15954,15757,,,,,7274,,7264,,
"Deferred Tax Asset",23937,22975,24086,23985,22675,22293,19174,16459,12986,11786,10319,10559,10064,9749,9671,10136,10453,11151,11311,11857,12313,11106,
"Other Assets",,,476,476,,342,2568,1580,509,,,,,,176,770,1536,780,1215,1436,3241,3223,
"Long-Term Receivables",,,,,,,,,,,,69,,,,,,,,,,,
"Total Fixed Assets",44954,43914,57821,58069,56939,57228,66212,62985,45841,41694,38920,38401,36820,36108,36345,37705,38878,24131,25218,26090,28834,26326,
"Stock",4716,5510,5318,5901,6656,8014,10935,22556,33543,36375,27353,19247,17804,19789,16879,15562,13592,12659,12815,11680,13605,10051,
"Debtors",3006,4233,9573,7389,12686,11936,13366,11650,17665,14551,13753,11714,12859,10575,14031,9960,8339,8612,5148,6144,7169,11268,
"Cash",27,47,154,131,30,1423,716,354,279,4351,356,227,147,297,302,335,188,153,166,94,361,121,
"Tax",,,,,,,,,,,,,,86,86,86,86,86,86,86,165,164,
"Other Current Assets",13574,13615,341,714,998,843,969,1056,631,2784,386,4367,6474,1390,2507,2118,2774,2200,4890,4207,5077,9194,
"Total Current Assets",21323,23405,15386,14135,20370,22216,25986,35616,52118,58061,41848,35555,37284,32137,33805,28061,24979,23710,23105,22211,26377,30798,
"Total Assets",66277,67319,73207,72204,77309,79444,92198,98601,97959,99755,80768,73956,74104,68245,70150,65766,63857,47841,48323,48301,55211,57124,
"Ordinary Share Capital & Premium",113732,113732,113732,113732,113750,110416,98750,98250,98058,98250,67330,67330,67330,67330,67330,67330,67330,49830,49830,49830,49830,49830,
"Distributable Reserves",-77769,-75041,-73154,-72871,-71405,-69575,-54357,-42596,-33111,-27165,-26133,-26038,-24590,-23637,-24042,-25830,-26220,-27815,-29177,-30351,-30103,-29839,
"Non-Distributable Reserves",596,596,1034,1034,811,812,,86,,329,407,407,163,163,163,163,,,,,,,
"Ordinary Shareholders' Interest",36559,39287,41612,41895,43156,41653,44393,55740,64947,71414,41604,41699,42903,43856,43451,41663,41110,22015,20653,19479,19727,19991,
