Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"3 Sep 2020","27 Feb 2020","5 Sep 2019","28 Feb 2019","13 Sep 2018","1 Mar 2018","14 Sep 2017","23 Feb 2017","1 Sep 2016","25 Feb 2016","3 Sep 2015","26 Feb 2015","28 Aug 2014","27 Feb 2014","29 Aug 2013","14 Feb 2013","23 Aug 2012","16 Feb 2012","25 Aug 2011","17 Feb 2011","26 Aug 2010",
"Working Revenue",69851,28019,48629,23521,35854,17280,36841,18484,35932,16807,32477,15903,29028,16502,29844,15074,27593,15412,33132,15315,25446,
"Working Cost",46580,21853,41791,20289,34717,16724,37370,,,,,,,,,,20641,10606,21490,10294,17294,
"Depreciation",4552,,3488,,,,,,,,,,,,,,,,,,,
"Working Profit",23271,6166,6838,3232,1137,556,-529,-139,4,-40,1628,1519,3242,1760,4712,2462,6256,4806,11642,5021,8152,
"Net Sundry Revenue",,,,,,,,,,,,,,,,,-684,65,-880,-949,-540,
"EBITDA (company calc)",29386,,10524,,,,,,,,,,,,,,,,,,,
"Provision for Rehab",,,,,,,-561,-260,-516,-268,575,319,693,407,674,302,664,464,804,417,536,
"Development / Exploration Costs",,,,,,,,,,,,738,2570,16,1824,592,,,,,,
"EBITDA (ProfileData Calc)",28308,,8215,,,,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",23271,6166,6838,3232,1137,556,550.547,121,146,228,1053,462,-21,1337,2214,1568,4908,4407,9958,3655,7076,
"Exceptional Income",-706,-1288,-3169,335,-13861,-217,-11334.547,-405,-672,-765,-5502,-157,-151,-24,237,199,520,608,-448,-551,52,
"Exceptional Income: Foreign Exchange Gain/(Loss)",,,,,,,,,,,,,,,,,520,608,-448,-551,52,
"Profit Before Interest And Tax",22565,4878,3669,3567,-12724,339,-10784,-284,-526,-537,-4449,305,-172,1313,2451,1767,6124,5015,9510,3104,7128,
"Interest Received",538,279,368,116,350,201,411,196,369,169,135,81,318,163,222,111,314,182,343,189,321,
"Interest Paid",1155,625,1136,533,1051,535,811,385,705,342,419,174,496,247,446,293,305,131,530,154,319,
"Net Interest Paid/(Received)",617,346,768,417,701,334,400,189,336,173,284,93,178,84,224,182,-9,-51,187,-35,-2,
