Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"18 Nov 2020","20 May 2020","13 Nov 2019","14 May 2019","13 Nov 2018","15 May 2018","14 Nov 2017","17 May 2017","16 Nov 2016","19 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013","23 May 2013","15 Nov 2012","17 May 2012","17 Nov 2011",
"Turnover",738.499,1773.421,874.802,1844.324,916.543,1863.24,905.01,1780.261,893.644,1017.008,507.768,725.87,381.821,475.408,262.602,315.519,142.896,203.567,106.91,
"Other Expenses",229.634,346.497,185.186,340.461,172.256,303.356,147.152,251.808,27.669,49.328,28.536,42.703,21.541,32.105,68.127,20.875,34.098,11.858,22.01,
"Net Rental / Investment Income",508.865,1426.924,689.616,1503.863,744.287,1559.884,757.858,1528.453,865.975,967.68,479.232,683.167,360.28,443.303,194.475,294.644,108.798,191.709,84.9,
"Interest Receivable",50.57,50.022,20.986,48.637,9.552,19.771,7.331,11.641,4.742,7.851,2.632,9.602,3.173,10.745,,25.143,,3.016,,
"Other Income",215.982,334.907,173.02,246.208,,,,,,,,,,,5.106,,6.081,,1.335,
"Total Income",775.417,1811.853,883.622,1798.708,753.839,1579.655,765.189,1540.094,870.717,975.531,481.864,692.769,363.453,454.048,199.581,319.787,114.879,194.725,86.235,
"Debenture Interest",,,,,,,,,,,,,,119.935,119.935,236.576,79.561,158.026,74.298,
"Interest Payable",367.45,588.311,284.927,618.71,309.884,590.36,299.503,520.858,257.824,278.492,89.837,136.648,60.521,57.369,18.5,39.184,20.047,6.034,,
"Expenses",53.359,108.559,50.239,95.619,46.05,72.604,37.454,,,,,,,,,,,,,
"Income Before Exceptional Items",354.608,1114.983,548.456,1084.379,397.905,916.691,428.232,1019.236,612.893,697.039,392.027,556.121,302.932,276.744,61.146,44.027,15.271,30.665,11.937,
"Exceptional Item 1",-630.255,607.662,246.201,356.761,485.722,340.869,50.837,445.611,-120.764,418.486,-20.03,328.543,-66.127,229.952,-24.52,-43.79,-15.192,-30.507,-11.863,
"Income From Associates Before Tax",-102.08,-8.462,-2.314,,14.587,,,,,,,,,,,,,,,
"Income Before Tax",-377.727,1714.183,792.343,1441.14,898.214,1257.56,479.069,1464.847,492.129,1115.525,371.997,884.664,236.805,506.696,36.626,0.237,0.079,0.158,0.074,
"Tax",20.185,8.213,51.631,15.176,7.169,9.87,5.501,6.139,0.024,2.042,0.789,,0.193,-0.039,-0.039,0.066,0.022,0.049,0.025,
"Profit For The Period",-397.912,1705.97,740.712,1425.964,891.045,1247.69,473.568,1458.708,492.105,1113.483,371.208,884.664,236.612,506.735,36.665,0.171,0.057,0.109,0.049,
"Net Income Before Extraords",-397.912,1705.97,740.712,1425.964,891.045,1247.69,473.568,1458.708,492.105,1113.483,371.208,884.664,236.612,506.735,36.665,0.171,0.057,0.109,0.049,
"Income Attributable To Equity Holders",-397.912,1705.97,740.712,1425.964,891.045,1247.69,473.568,1458.708,492.105,1113.483,371.208,884.664,236.612,506.735,36.665,0.171,0.057,0.109,0.049,
"Total Comprehensive Income/Loss for the period",-429.388,1708.996,740.712,1425.964,891.045,1247.69,473.568,1458.708,492.105,1113.483,371.208,884.388,,,,,,,,
"Headline Earnings (Cont Ops)",109.02,2122.138,739.233,1469.346,947.739,769.167,378.304,868.362,481.481,858.478,368.578,556.816,,,,,,-88.537,,
"Enterprise Value (EV)",20173.125,19764.582,18718.812,18569.778,18634.554,19100.111,17652.093,16775.192,10569.222,15053.279,6931.309,7367.104,5761.687,4938.89,4768.512,8683.41,4776.298,3820.812,3379.616,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"18 Nov 2020","20 May 2020","13 Nov 2019","14 May 2019","13 Nov 2018","15 May 2018","14 Nov 2017","17 May 2017","16 Nov 2016","19 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013","23 May 2013","15 Nov 2012","17 May 2012","17 Nov 2011",
"Ordinary Capital & Premium",11133.011,11133.28,10264.843,10264.843,10267.71,10186.582,9988.322,9999.838,9714.108,9714.108,5813.9,5677.36,4874.558,4645.756,4092.282,3.172,1.7,1.7,1.7,
"Distributable Reserves",2796.452,3508.717,3065.703,2866.23,2835.06,2457.187,2174.083,2168.089,1628.003,1382.995,1043.326,938.408,495.792,466.597,,,,,,
"Non-Distributable Reserves",,,,,,,,,,,,,,,36.665,,,,,
"Translation Reserves",-28.45,3.026,,,,,,,,,,,,0.276,,,,,,
"Ordinary Unitholders Interest",13901.013,14645.023,13330.546,13131.073,13102.77,12643.769,12162.405,12167.927,11342.111,11097.103,6857.226,6615.768,5370.35,5112.629,4128.947,3.172,1.7,1.7,1.7,
"Preference Shareholders",,,,,,,,,,,,,,,,3940.004,1845.779,1836.379,1710.163,
"Total Stockholders' Interest",13901.013,14645.023,13330.546,13131.073,13102.77,12643.769,12162.405,12167.927,11342.111,11097.103,6857.226,6615.768,5370.35,5112.629,4128.947,3943.176,1847.479,1838.079,1711.863,
"Interest Bearing Loans",8013.315,9013.707,7181.899,6841.296,5725.98,5917.743,5991.282,5630.885,,5093.477,,,,,,,,,,
"Other Long-Term Liabilities",998.708,695.903,175.853,225.724,158.169,106.373,174.744,77.747,4950.21,45.945,1815.968,1736.164,1231.542,944.864,461.11,455.294,456.86,1.169,,
"Other Long-Term Liabilities: Derivative Financial Instruments",,,,,,,,,,,,,1.785,,,,,,,
"Other Long-Term Liabilities: Long-term loans",,,,,,,,,,,,,1229.757,,,,,,,
"Long-Term Liabilities",9012.023,9709.61,7357.752,7067.02,5884.149,6024.116,6166.026,5708.632,4950.21,5139.422,1815.968,1736.164,1231.542,944.864,461.11,455.294,456.86,1.169,,
"Deferred Tax Liability",,8.657,59.777,16.531,12.665,8.151,7.676,5.386,,,,,,,,,,,,
"Total Capital Employed",22913.036,24363.29,20748.075,20214.624,18999.584,18676.036,18336.107,17881.945,16292.321,16236.525,8673.194,8351.932,6601.892,6057.493,4590.057,4398.47,2304.339,1839.248,1711.863,
"Investments",,661.213,866.911,1627.463,1590.178,1357.987,1600.993,1391.573,587.626,531.772,,502.096,,,,,,,,
"Investments In Associates",1043.932,1173.6,30.614,33.242,1657.725,207.235,,,,,,,,,,,,,,
"Fixed Assets / Property",14802.067,16570.461,16243.375,16212.471,16527.208,17004.26,16524.114,16176.214,16019.422,16129.988,8017.017,7964.158,6468.862,5708.131,4348.177,4115.125,2264.282,2034.893,1696.5,
"Deferred Tax Asset",,,,,,,,,,,,,,,,,0.003,0.003,,
"Other Assets",7279.773,7166.59,3938.041,2501.633,608.281,516.096,446.883,429.685,417.951,371.573,530.474,240.282,280,288.696,,,,,11.863,
"Debtors",426.578,402.03,402.371,286.414,285.138,218.866,170.568,153.967,156.046,158.959,101.615,66.965,70.467,77.766,44.162,53.613,16.492,12.064,11.363,
"Cash and Short Term Funds",375.888,643.072,164.24,382.94,180.295,507.338,143.578,159.377,144.269,53.461,143.846,60.995,82.674,358.316,195.981,398.73,95.481,4.567,81.547,
"Other Current Assets",5120.016,4533.055,697.862,625.804,606.227,141.092,612.193,773.907,,,321.043,,162.292,120.416,92.769,71.875,45.699,30.507,,
"Other Current Assets: Straight-line rental adjustment",,,,,,,,,,,,,162.292,,,,,,,
"Current Assets",5922.482,5578.157,1264.473,1295.158,1071.66,867.296,926.339,1087.251,300.315,212.42,566.504,127.96,315.433,556.498,332.912,524.218,157.672,47.138,92.91,
"Total Assets",29048.254,31150.021,22343.414,21669.967,21455.052,19952.874,19498.329,19084.723,17325.314,17245.753,9113.995,8834.496,7064.295,6553.325,4681.089,4639.343,2421.957,2082.034,1801.273,
"Creditors",693.155,562.47,408.674,346.053,391.169,401.397,385.155,422.252,371.845,310.104,200.822,148.564,128.403,415.771,90.988,76.625,38,28.097,15.038,
"Dividends",,,,,,,,,,,,,,,,164.207,79.618,83.789,74.347,
"Receiver of Revenue",28.212,,,,,,,,,,,,,0.044,0.044,0.041,,,0.025,
"Bank O/D & S/T Loans",5170.694,5856.108,1098.563,1103.872,2044.504,839,744.876,,,,,,,,,,,,,
"Other Current Liabilities",243.157,368.153,88.102,5.418,19.795,36.441,32.191,780.526,661.148,699.124,239.979,334,334,80.017,,,,130.9,,
"Current Liabilities",6135.218,6786.731,1595.339,1455.343,2455.468,1276.838,1162.222,1202.778,1032.993,1009.228,440.801,482.564,462.403,495.832,91.032,240.873,117.618,242.786,89.41,
"Net Current Assets",-212.736,-1208.574,-330.866,-160.185,-1383.808,-409.542,-235.883,-115.527,-732.678,-796.808,125.703,-354.604,-146.97,60.666,241.88,283.345,40.054,-195.648,3.5,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"18 Nov 2020","20 May 2020","13 Nov 2019","14 May 2019","13 Nov 2018","15 May 2018","14 Nov 2017","17 May 2017","16 Nov 2016","19 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013","23 May 2013","15 Nov 2012","17 May 2012","17 Nov 2011",
"Number of Linked Units Issued (Actual)",804918444,804918444,736290993,736290993,736290993,731400437,718150167,718150167,700228202,700228202,444978329,436690118,382234219,365576663,317220000,317220000,170000000,170000000,170000000,
"Weighted Ave Stock Units (Actual)",804918444,744916301,736290993,735275468,734270981,722796837,718150167,700773985,700228202,519535592,441562857,391664683,368570813,330736792,317220000,236430502,170000000,170000000,170000000,
"Market Capitalisation (R000)",7365004,5537839,10602590,11007550,11044365,12850706,11059513,11303684,10713491,10013263,7075155,7428099,5844361,5297206,4964493,5142136,3026000,1989000,1751000,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"18 Nov 2020","20 May 2020","13 Nov 2019","14 May 2019","13 Nov 2018","15 May 2018","14 Nov 2017","17 May 2017","16 Nov 2016","19 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013","23 May 2013","15 Nov 2012","17 May 2012","17 Nov 2011",
