Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Aug 2020","25 Feb 2020","27 Aug 2019","28 Feb 2019","21 Aug 2018","20 Feb 2018","22 Aug 2017","21 Feb 2017","23 Aug 2016","23 Feb 2016","25 Aug 2015","24 Feb 2015","27 Aug 2014","26 Feb 2014","20 Aug 2013","27 Feb 2013","22 Aug 2012","22 Feb 2012","24 Aug 2011","23 Feb 2011","25 Aug 2010",
"Turnover",46380,25397,44039,25221,48565,26320,115889,59727,118849,58201,110487,56234,103567,51357,92382,45262,80830,38385,64667,31360,53438,
"Operating Expenses",42282,22442,39423,22453,44682,24386,107311,55504,,,,,,,,,,,,,,
"Depreciation",2639,1319,2203,1268,1015,558,2529,1268,,,,,,,,,,,,,,
"Operating Income",1459,1636,2413,1500,2868,1376,6049,2955,6382,2792,6235,2872,6185,3166,6090,2940,5638,2621,4526,2126,3288,
"Profit Before Exceptional Items",1459,1636,2413,1500,2868,1376,6049,2955,6382,2792,6235,2872,6185,3166,6090,2940,5638,2621,4526,2126,3288,
"Amortisation",393,174,400,196,415,220,521,521,,,,,,,,,,,,,,
"Exceptional Item 1",-49,11,-1164,-27,-141,-151,-764,64,-678,31,-474,-130,-378,-144,-339,-90,-233,-101,174,246,308,
"Exceptional Item 1: Amortisation",,,,,,,,,,,,,,-147,,-110,,-13,,,,
"Exceptional Item 1: Business Acquisition costs",,,,,,,,,,,,,,-8,,-5,,-53,,,,
"Exceptional Item 1: Exceptional Items",,,,,,,,,,,,,,87,,-9,,3,,,,
"Exceptional Item 1: Fair value adjustment of financial intruments",,,,,,,,,,,,,,-44,,-42,,-9,,,,
"Exceptional Item 1: Foreign Exchange (loss)/gain",,,,,,,,,,,,,,28,,47,,9,,,,
"Exceptional Item 1: Other",,,,,,,,,,,,,,-99,,,,,,,,
"Exceptional Item 1: Profit/(Loss) on sale of investments",,,,,,,,,,,,,,,,10,,,,,,
"Exceptional Item 1: Recoupments for sale of properties",,,,,,,,,,,,,,39,,19,,-38,,,,
"Profit Before Interest And Tax",1017,1473,849,1277,2312,1005,4764,2498,5704,2823,5761,2742,5807,3022,5751,2850,5405,2520,4700,2372,3596,
