Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"15 Oct 2020","21 Aug 2020","8 Oct 2019","29 May 2019","17 Oct 2018","29 May 2018","26 Sep 2017","29 May 2017","10 Nov 2016","19 May 2016","29 Sep 2015","27 May 2015","20 Nov 2014","28 May 2014","8 Nov 2013","31 May 2013","5 Oct 2012","31 May 2012","6 Oct 2011","30 May 2011","8 Oct 2010","28 May 2010",
"Turnover",2121263,4812068,2417034,4545214,2138007,3491803,1666368,1342526,480312,955106,493214,958016,458981,938980,477556,828315,483919,835237,453592,732158,412043,611631,
"Cost of Sales",1927425,4397947,2203758,4164615,1956345,3146379,1486617,1156693,411746,830137,433447,846114,409214,837891,425463,744741,433897,745173,405610,642665,360954,534854,
"Gross Profit",193838,414121,213275,380599,181662,345424,179751,185833,68566,124969,59767,111902,49767,101089,52093,83574,50022,900064,47982,89493,51089,76777,
"Operating Expenses",163397,341044,156282,275452,124631,216799,105860,132749,49644,83219,38306,72926,33553,68503,33945,67143,30057,61589,30492,71131,35094,51185,
"EBITDA (ProfileData Calc)",57164,122874,86645,,75419,151946,91304,,,,,,,,,,,,,,,,
"EBITDA (company calc)",56258,118874,84496,,,,,,,,,,,,,,,,,,,,
"Depreciation",21332,21984,15501,,10832,20874,12733,,,,,,,,,,,,,,,,
"Operating Income",33845,93733,67265,101071,62109,127831,77261,54433,19861,44388,21704,40222,16412,35344,19024,19394,19100,28700,17490,24581,21786,26797,
"Profit Before Exceptional Items",33845,93733,67265,101071,62109,127831,77261,54433,19861,44388,21704,40222,16412,35344,19024,19394,19100,28700,17490,24581,21786,26797,
"Profit Before Interest And Tax",33845,93733,67265,101071,62109,127831,77261,54433,19861,44388,21704,40222,16412,35344,19024,19394,19100,28700,17490,24581,21786,26797,
"Interest Received",905,577,127,733,583,402,162,809,17,78,29,251,219,314,150,235,112,489,257,1185,479,1087,
"Interest Paid",27017,49692,21675,32838,14477,30836,16408,16355,6566,8372,3499,7026,4739,6684,3397,6655,3514,7314,3467,8771,5818,10142,
"Net Interest Paid/(Received)",26112,49115,21548,32105,13894,30434,16246,15546,6549,8294,3470,6775,4520,6370,3247,6420,3402,6825,3210,7586,5339,9055,
"Income From Associates Before Tax",1082,3157,1730,2047,1333,2532,1282,,,,,,,,,,,,,,,,
"Income Before Tax",8815,47775,47447,71013,49548,99929,62297,38887,13312,36094,18234,33447,11892,28974,15777,12974,15698,21875,14280,16995,16447,17742,
"Taxation",4617,18409,11579,25179,14809,28769,15837,9440,2075,7264,4207,7666,3766,8680,4056,4065,4215,6663,3554,5000,4539,7100,
"Profit For The Period",4198,29366,35868,45834,34739,71160,46460,29447,11237,28830,14027,25781,8126,20294,11721,8909,11484,15212,10726,11995,11908,10642,
"Income Attributable To Minority Interests",,-3423,-2022,-813,-562,-307,134,-124,-480,-561,103,-313,6,20,-131,-228,,,,,,,
"Attributable Income Before Extraordinary Items",4198,32789,37890,46647,35301,71467,46326,29571,11717,29391,13924,26094,8120,20274,11852,9137,11484,15212,10726,11995,11908,10642,
"Extraordinary Profit",,,,,,,,,,,,,,,-634,-1208,557,422,9,20,72,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,,,,,-634,,,,,,,,
"Extraordinary Profit: Profit for discontinued operations",,,,,,,,,,,,,,,,,557,,,,,,
"Income Attributable To Equity Holders",4198,32789,37890,46647,35301,71467,46326,29571,11717,29391,13924,26094,8120,20274,11218,7929,12041,15634,10735,12015,11980,10642,
"Total Comprehensive Income/Loss for the period",,29366,35868,45834,34739,94476,46460,29447,11237,28830,14027,25627,,,,,,,,,,,
"Headline Earnings (Cont Ops)",4237,41118,37677,52871,32751,71368,46216,29206,11340,29361,13972,26722,8104,20717,11158,7969,11994,15435,10687,10131,8898,10720,
"Enterprise Value (EV)",127626,282298,407800,518197,539682,569812,542526,316771,223323,276896,206654,116346,136337,82144,70453,118944,139354,129894,93288,92240,85660,92423,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"15 Oct 2020","21 Aug 2020","8 Oct 2019","29 May 2019","17 Oct 2018","29 May 2018","26 Sep 2017","29 May 2017","10 Nov 2016","19 May 2016","29 Sep 2015","27 May 2015","20 Nov 2014","28 May 2014","8 Nov 2013","31 May 2013","5 Oct 2012","31 May 2012","6 Oct 2011","30 May 2011","8 Oct 2010","28 May 2010",
"Fixed Assets",448561,458628,375115,362842,298524,270514,236526,239095,118087,116658,111286,78146,77147,78008,79179,79003,35921,34672,34713,33699,38604,23277,
"Investments in Associates",892,1169,1181,,844,,1190,,,,,,,,,,,,,,,,
"Investments and Loans",,,,863,,577,,670,,,,,,,,,,,,,,,
"Goodwill",170484,170484,165048,165048,107591,107591,107591,101591,44560,44560,44560,35638,35638,35638,40786,35638,41175,39606,38438,38438,38438,39938,
"Intangible Assets",9859,10582,13252,13220,11211,11525,11756,11836,10613,10613,9523,8414,7585,6516,,5103,,,,,,,
"Deferred Tax Asset",11552,7299,3356,4240,3576,3388,6892,7609,9287,8749,12228,12228,12047,12047,6541,6460,4523,3914,3997,3828,3195,4180,
"Long-Term Receivables",3408,3490,3546,3603,,,,,,,,,,,,,,,,,,,
"Total Fixed Assets",644756,651652,561498,549816,421746,393595,363955,360801,182548,180580,177597,134426,132417,132209,126506,126204,81619,78192,77148,75965,80237,67395,
"Stock",182845,197068,231752,168006,142382,147944,149187,152546,97671,87927,83439,86454,88055,82713,81573,66423,79514,72753,77349,62982,67598,54883,
"Debtors",383538,489508,304576,410014,305706,293643,292594,275792,118380,148071,112913,132356,125122,118982,136395,93156,123342,120864,106792,112497,109580,101570,
"Cash",125960,92994,61986,33579,25350,32408,25629,29848,18412,10270,11176,27899,18468,49090,45352,33580,37446,36506,21112,37760,36540,27177,
"Tax",1548,4381,,5326,,5312,,3166,,,,303,,2059,,2145,495,2291,,389,,283,
"Other Current Assets",113,2022,1274,113,2295,,1138,,1765,484,2347,1137,599,556,,,644,,,495,,453,
"Total Current Assets",694004,785973,599587,617038,475733,479307,468548,461352,236229,246752,209875,248149,232244,253400,263320,195304,241441,232414,205253,214123,213718,184366,
"Total Assets",1338760,1437625,1161085,1166854,897479,872903,832503,822153,418777,427332,387472,382575,364661,385609,389826,321508,323060,310606,282401,290088,293955,251761,
"Ordinary Share Capital & Premium",208695,208850,196781,197871,176777,177305,196704,190704,47230,44442,44442,44442,44442,44442,44442,44442,,44442,,44442,,44442,
"Treasury Shares",,,,,,,18580,18215,16947,14159,15035,14766,14295,13439,11627,8951,,2564,,239,,238,
