Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","27 Jul 2020","25 Nov 2019","24 Jun 2019","19 Nov 2018","18 Jun 2018","27 Nov 2017","26 Jun 2017","14 Nov 2016","14 Jun 2016","12 Nov 2015","22 Jun 2015","10 Nov 2014","17 Jun 2014","11 Nov 2013","11 Jun 2013","12 Nov 2012","5 Jun 2012","7 Nov 2011","1 Jun 2011","5 Nov 2010","25 May 2010",
"Turnover",3572.419,8267.68,4372.029,10449.704,5284.191,9994.103,5040.65,9631.811,4727.017,8799.244,5324.697,10459.567,5269.649,10464.511,5128.724,7557.899,3514.126,5599.464,2563,4533.801,2172.773,3968.872,
"Cost of Sales",,,,,,,,,,,,7370.941,,,,,,,,,,,
"Gross Profit",1077.104,2311.234,1365.252,2987.824,1554.97,3041.222,1464.017,3073.847,1472.977,2590.744,1473.453,3088.626,,,,,,,,,,,
"Operating Expenses",,,,,,,,,,,,2074.447,,,,,,,,,,,
"Operating Income",267.494,-468.225,318.858,689.89,408.712,838.632,457.752,1010.43,428.543,680.975,456.929,1014.179,426.603,1042.95,492.663,883.759,314.709,601.081,260.915,505.493,214.155,453.293,
"Profit Before Exceptional Items",267.494,-468.225,318.858,689.89,408.712,838.632,457.752,1010.43,428.543,680.975,456.929,1014.179,426.603,1042.95,492.663,883.759,314.709,601.081,260.915,505.493,214.155,453.293,
"Exceptional Item 1",,,,,,,,,,,,,,,,52.066,,,,,,,
"Profit Before Interest And Tax",267.494,-468.225,318.858,689.89,408.712,838.632,457.752,1010.43,428.543,680.975,456.929,1014.179,426.603,1042.95,492.663,935.825,314.709,601.081,260.915,505.493,214.155,453.293,
"Interest Received",29.119,87.963,56.96,128.572,67.835,813.253,409.287,771.942,348.27,674.401,386.096,666.151,320.176,633.556,286.062,531.673,261.98,546.947,319.698,490.132,296.195,408.498,
"Interest Paid",112.452,282.38,150.697,242.811,107.131,941.267,468.997,889.429,409.447,797.073,460.773,843.863,397.814,827.966,355.774,651.76,318.908,598.354,351.324,545.242,333.136,432.886,
"Net Interest Paid/(Received)",83.333,194.417,93.737,114.239,39.296,128.014,59.71,117.487,61.177,122.672,74.677,177.712,77.638,194.41,69.712,120.087,56.928,51.407,31.626,55.11,36.941,24.388,
"Income From Associates Before Tax",43.94,54.856,29.119,38.801,4.19,13.593,2.189,4.106,-0.196,5.607,3.201,5.206,2.5,2.15,0.731,3.018,0.671,1.022,0.587,0.871,0.527,0.639,
"Income Before Tax",228.101,-607.786,254.24,614.452,373.606,724.211,400.231,897.049,367.17,563.91,385.453,841.673,351.465,850.69,423.682,818.756,258.452,550.696,229.876,451.254,177.741,429.544,
"Taxation",72.777,145.952,89.295,385.838,310.322,535.623,84.688,321.747,72.334,92.264,82.484,150.548,62.84,140.779,90.513,75.224,21.53,71.921,26.204,25.032,9.152,64.155,
"Profit For The Period",155.324,-753.738,164.945,228.614,63.284,188.588,315.543,575.302,294.836,471.646,302.969,691.125,288.625,709.911,333.169,743.532,236.922,478.775,203.672,426.222,168.589,365.389,
"Income Attributable To Minority Interests",9.785,6.7,6.638,11.195,7.956,20.993,12.487,-3.932,-3.882,-1.94,14.32,42.287,36.76,64.016,37.49,28.468,11.042,23.032,14.386,72.067,27.727,44.493,
"Preference Dividends",30.102,81.465,41.5,82.864,41.426,84.057,42.405,82.435,40.29,73.707,35.855,70.196,34.926,65.788,32.602,21.912,,,,,,,
"Attributable Income Before Extraordinary Items",115.437,-841.903,116.807,134.555,13.902,83.538,260.651,496.799,258.428,399.879,252.794,578.642,216.939,580.107,263.077,693.152,225.88,455.743,189.286,354.155,140.862,320.896,
"Extraordinary Profit",68.538,80.441,42.927,,,,,36.505,13.817,24.34,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",68.538,80.441,42.927,,,,,36.505,13.817,24.34,,,,,,,,,,,,,
"Income Attributable To Equity Holders",183.975,-761.462,159.734,134.555,13.902,83.538,260.651,533.304,272.245,424.219,252.794,578.642,216.939,580.107,263.077,693.152,225.88,455.743,189.286,354.155,140.862,320.896,
"Total Comprehensive Income/Loss for the period",188.989,-390.437,245.487,476.975,243.891,120.543,384.524,518.537,195.821,660.115,382.847,724.959,,,,,,,,,,,
"Headline Earnings (Cont Ops)",115.402,-18.408,116.564,119.258,7.254,61.736,242.725,534.56,273.664,389.163,206.445,567.144,216.492,562.748,259.246,642.08,226.44,448.14,178.5,348.382,140.176,312.002,
"Enterprise Value (EV)",2210.129,2595.307,4542.604,5467.13,5740.545,7088.561,13143.322,13398.368,13057.038,12403.995,13337.041,14338.109,8452.413,8151.864,7700.943,13059.707,10659.732,8455.121,7187.573,6657.112,5882.272,5218.502,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","27 Jul 2020","25 Nov 2019","24 Jun 2019","19 Nov 2018","18 Jun 2018","27 Nov 2017","26 Jun 2017","14 Nov 2016","14 Jun 2016","12 Nov 2015","22 Jun 2015","10 Nov 2014","17 Jun 2014","11 Nov 2013","11 Jun 2013","12 Nov 2012","5 Jun 2012","7 Nov 2011","1 Jun 2011","5 Nov 2010","25 May 2010",
"Fixed Assets",1647.822,1738.241,1994.876,1942.332,1879.999,1720.797,1728.49,1640.53,1600.804,1495.251,1355.48,1274.365,1237.889,1170.577,1100.676,1010.636,467.616,391.018,367.427,353.953,347.684,312.86,
"Right-of-use Asset",362.079,423.271,448.7,,,,,,,,,,,,,,,,,,,,
"Investments in Associates",320.579,293.136,242.304,216.167,119.827,119.18,2193.603,2085.253,1891.606,1808.135,1725.84,1638.83,2109.977,2032.223,2143.118,2018.353,,3042.793,,,,,
"Investments and Loans",1.111,94.05,1.002,,0.938,,,,,,,,,,,,3167.283,,3064.579,2965.674,2973.587,2882.206,
"Goodwill",27.989,24.847,662.927,662.927,663.528,660.844,765.999,776.075,828.98,832.137,821.394,839.09,787.495,791.632,781.35,773.815,,,,,,,
"Intangible Assets",64.584,77.183,53.142,62.241,55.577,,,,,,,,,,,,673.859,416.606,355.628,362.453,317.743,255.326,
"Deferred Tax Asset",236.162,240.805,231.903,209.028,217.164,199.869,175.492,181.261,196.856,187.079,263.366,165.315,182.655,245.098,151.682,161.139,87.375,106.18,73.641,69.94,63.757,69.852,
"Other Assets",93.546,5.241,99.708,100.464,,107.065,,,,,,,,,,,,,,,,,
"Long-Term Receivables",,,,,54.272,,3718.675,3484.113,3283.199,3075.413,2883.802,2669.357,2499.325,2324.107,2137.824,2117.013,806.015,701.776,693.52,510.655,405.17,186.27,
"Total Fixed Assets",2753.872,2896.774,3734.562,3193.159,2991.305,2807.755,8582.259,8167.232,7801.445,7398.015,7049.882,6586.957,6817.341,6563.637,6314.65,6080.956,5202.148,4658.373,4554.795,4262.675,4107.941,3706.514,
"Stock",3229.736,4221.757,4739.758,4543.864,4464.861,3917.689,3960.585,3662.856,4020.813,4092.849,3713.8,3803.416,3600,3478.732,3794.381,2913.052,2247.242,2084.662,1304.191,1381.615,1185.391,1298.795,
