Income statement (GBP '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"10 Nov 2020","26 Mar 2020","14 Nov 2019","28 Mar 2019","14 Nov 2018","7 Mar 2018","10 Nov 2017","30 Mar 2017","14 Nov 2016","31 Mar 2016","11 Nov 2015","25 Mar 2015","3 Dec 2014","26 Mar 2014","27 Sep 2013","28 Mar 2013","27 Sep 2012","29 Mar 2012","30 Sep 2011","29 Mar 2011","4 Oct 2010",
"Turnover",54775,25403,23586,8327,14140,5992,9806,4851,1473,62,49,2,35,2264,4752,2126,3725,1316,5503,,950,
"Cost of Sales",29687,15554,10709,4286,8672,3623,8039,3945,608,1,26,17,,1292,2896,1376,3532,1102,5241,,458,
"Gross Profit",25088,9849,12876,4041,5467,2636,1767,906,865,61,23,15,35,972,1856,750,192,214,262,,492,
"Operating Expenses",10670,4260,8338,2662,5417,834,2308,1137,4691,1192,2844,750,3525,2557,9056,4658,8911,4016,6772,2697,7391,
"EBITDA (ProfileData Calc)",22747,,12779,,,,,,,,,,,,,,,,,,,
"Depreciation",6502,,3702,,,,,,,,,,,,,,,,,,,
"Operating Income",15888,5589,4873,1379,50,-267,-1672,-581,-3815,-1131,-2812,-768,-3351,-1452,-7083,-3830,-8218,-3802,-6510,-1298,-2396,
"Other Income",,60,,,9,25,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",15888,5649,4873,1379,59,-242,-1672,-581,-3815,-1131,-2812,-768,-3351,-1452,-7083,-3830,-8218,-3802,-6510,-1298,-2396,
"Exceptional Item 1",1586,2309,5021,,-804,,-18571,92,85,-608,,,,,,,,,,-1,,
"Profit Before Interest And Tax",17474,7958,9894,1379,-745,-242,-20243,-489,-3730,-1739,-2812,-768,-3351,-1452,-7083,-3830,-8218,-3802,-6510,-1299,-2396,
"Interest Received",125,50,30,14,26,8,19,4,144,58,65,1,6,5,26,3,249,15,149,46,168,
"Interest Paid",2421,1324,1113,463,1376,204,199,42,13,,195,70,259,91,269,145,583,187,648,,,
"Net Interest Paid/(Received)",2296,1274,1083,449,1350,196,180,38,-131,-58,130,69,253,86,243,142,334,172,499,-46,-168,
"Income From Associates Before Tax",-1445,-121,-865,-168,-308,,,,,,,,,,,,,,,,,
"Income Before Tax",13733,6563,7946,762,-2403,-438,-20423,-527,-3599,-1681,-2941,-833,-3604,-1538,-7326,-3972,-8552,-3974,-7009,-1253,-2228,
"Taxation",-4496,,970,,,,-9850,,-202,,,,,-7,146,,-672,,580,,,
"Profit For The Period",18229,6563,6976,762,-2403,-438,-10573,-527,-3397,-1681,-2941,-833,-3605,-1531,-7472,-3972,-7880,-3974,-7589,-1253,-2228,
"Income Attributable To Minority Interests",-92,-97,-17,6,-289,-155,-3,-12,22,68,90,193,-189,148,289,155,-1097,-626,-768,,,
"Attributable Income Before Extraordinary Items",18320,6660,6994,756,-2115,-283,-10570,-515,-3419,-1749,-3031,-833,-3416,-1679,-7761,-4127,-6783,-3348,-6821,-1253,-2228,
"Extraordinary Profit",,,,,,,,,-277,-277,-504,-374,-1950,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,-277,-277,-504,-374,-1950,,,,,,,,,
"Income Attributable To Equity Holders",18320,6660,6994,756,-2115,-283,-10570,-515,-3696,-2026,-3535,-1207,-5366,-1679,-7761,-4127,-6783,-3348,-6821,-1253,-2228,
"Total Comprehensive Income/Loss for the period",5840,3451,7656,302,-5358,-71,-4468,5237,-1020,-5521,-7942,,,,,,,,,,,
"Headline Earnings (Cont Ops)",17155,4350,4108,756,-1600,-264,-1976,-528,-2474,-1682,-2897,,-2628,-1680,-7761,-4127,-6783,-3348,-6821,-1253,-2228,
"Enterprise Value (EV)",1745914,1505096,1166533,1005332,572824,1150614,876596,937013,688926,824643,436082,314689,277429,510764,832347,599377,473975,490448,761363,844278,820745,

Balance sheet (GBP '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"10 Nov 2020","26 Mar 2020","14 Nov 2019","28 Mar 2019","14 Nov 2018","7 Mar 2018","10 Nov 2017","30 Mar 2017","14 Nov 2016","31 Mar 2016","11 Nov 2015","25 Mar 2015","3 Dec 2014","26 Mar 2014","27 Sep 2013","28 Mar 2013","27 Sep 2012","29 Mar 2012","30 Sep 2011","29 Mar 2011","4 Oct 2010",
"Fixed Assets",20076,26946,17902,11578,10364,12322,13161,10838,4978,68,88,5662,5990,7038,8539,10338,11878,13445,15360,10406,112,
"Investments in Associates",451,1774,1895,2593,2761,,,,,,,,,,,,,,,,,
"Intangible Assets",72901,60431,46938,44304,44386,47890,48167,66793,61839,55697,59069,64518,65405,66433,73242,78872,81917,84277,88222,86125,80706,
"Deferred Tax Asset",,,,,,,,254,218,,,163,,170,,270,,519,,,,
"Other Assets",3407,5849,5709,834,509,,,,,,,,,,,,,,,,,
"Total Fixed Assets",96835,95000,72444,59309,58020,60212,61328,77885,67035,55765,59157,70343,71395,73641,81781,89480,93795,98241,103582,96531,80818,
"Stock",2140,1605,1661,1432,1306,193,44,,,19,19,,,,,,256,884,830,956,682,
"Debtors",18492,11948,9072,4069,3294,4067,3222,3650,1075,314,303,2151,1225,1448,1231,1024,1413,1762,3121,3025,8359,
"Cash",9948,10247,18865,5768,6376,2456,4636,3637,4415,6673,361,424,733,1881,726,1046,1063,2315,2007,9987,12997,
"Tax",3223,,,16,16,16,16,16,16,16,16,20,20,20,21,22,22,,,,,
"Other Current Assets",,,,172,425,,,588,555,,7696,,,,,,,,,,,
"Total Current Assets",33803,23800,29598,11457,11417,6732,7918,7891,6060,7021,8395,2595,1978,3349,1978,2092,2754,4961,5958,13968,22038,
"Total Assets",130638,118800,102042,70766,69437,66944,69246,85776,73095,62786,67552,72938,73373,76990,83759,91572,96549,103202,109540,110499,102856,
"Ordinary Share Capital & Premium",114585,111723,105820,93844,94065,87675,87675,83448,82515,80091,75897,75031,73434,71102,69687,67151,64424,64582,60160,60160,59522,
"Distributable Reserves",-33201,-45183,-51843,-58302,-59058,-57583,-57262,-44644,-44300,-47338,-43496,-41635,-40429,-36743,-35063,-31687,-27840,-24405,-21057,-14201,-12948,
"Non-Distributable Reserves",10318,19293,22319,21218,21432,23794,23078,23586,17998,15024,16742,19641,20933,20982,27759,33083,35739,37607,5171,3548,3005,
"Translation Reserves",,,,,,,,,,,,,,,,,,,14503,15607,10387,
"Other Capital",,,,,,,,,,,,,,,,,,,23184,23184,23184,
"Ordinary Shareholders' Interest",91702,85833,76296,56760,56439,53886,53491,62390,56213,47777,49143,53037,53938,55341,62383,68547,72323,77784,81962,88298,83150,
"Minority Interest",2479,2211,2393,2345,2363,2784,2867,-50,-43,-49,365,493,177,574,425,377,795,1266,1892,,,
"Total Shareholders' Interest",94181,88044,78689,59105,58802,56670,56358,62340,56170,47728,49508,53530,54115,55915,62808,68924,73118,79050,83854,88298,83150,
"Interest Bearing Loans",,,,,,,,,,,,,,,,803,1164,1690,2504,,,
