Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"17 Sep 2020","31 Mar 2020","16 Sep 2019","25 Mar 2019","5 Sep 2018","22 Mar 2018","22 Aug 2017","23 Mar 2017","8 Sep 2016","29 Mar 2016","24 Aug 2015","23 Mar 2015","26 Aug 2014","26 Mar 2014","22 Aug 2013","27 Mar 2013","22 Aug 2012","27 Mar 2012","30 Aug 2011","28 Mar 2011","23 Sep 2010",
"Turnover",417269,1025317,478461,999202,464650,945022,434758,967752,458877,864568,392328,761740,341866,666218,298819,550920,253183,483644,221402,460838,230172,
"Cost of Sales",307296,743915,348153,726557,340554,686927,313799,703367,329964,621857,281954,544060,242607,468871,209662,381975,173194,333033,152807,328430,158644,
"Gross Profit",109972,281401,130308,272646,124096,258095,120959,264385,128913,242711,110374,217680,99259,197348,89157,168945,79989,150611,68595,132408,71528,
"Operating Expenses",96417,238329,118138,231119,111774,237690,119500,220435,107820,192741,91728,174401,83677,161314,74522,139477,67400,125088,59530,116710,65109,
"Operating Income",5512,41933,12892,42645,13179,21841,2090,44903,21585,50829,19132,43426,15691,36541,14773,30833,12880,26397,9274,16925,6874,
"Profit Before Exceptional Items",5512,41933,12892,42645,13179,21841,2090,44903,21585,50829,19132,43426,15691,36541,14773,30833,12880,26397,9274,16925,6874,
"Profit Before Interest And Tax",5512,41933,12892,42645,13179,21841,2090,44903,21585,50829,19132,43426,15691,36541,14773,30833,12880,26397,9274,16925,6874,
"Interest Received",224,459,350,213,17,22,18,8,6,131,103,103,77,167,151,179,37,145,110,465,212,
"Interest Paid",4473,11503,5698,5830,2872,7170,3517,6425,3065,5872,2863,4594,1773,3558,1789,2541,1125,2580,1332,2738,1547,
"Net Interest Paid/(Received)",4249,11044,5348,5617,2855,7148,3499,6417,3059,5741,2760,4491,1696,3391,1638,2362,1088,2435,1222,2273,1335,
"Income Before Tax",1263,30889,7543,37029,10324,14693,-1409,38486,18526,45088,16372,38935,13995,33150,13135,28471,11792,23962,8052,14652,5539,
"Taxation",371,9044,2155,10570,3033,4320,-352,11151,5315,12917,4631,11119,3938,9439,3717,8121,3316,5783,2247,19,2101,
"Profit For The Period",892,21845,5388,26459,7291,10373,-1057,27335,13211,32171,11741,27816,10057,23711,9418,20351,8476,18179,5804,14633,3438,
"Attributable Income Before Extraordinary Items",892,21845,5388,26459,7291,10373,-1057,27335,13211,32171,11741,27816,10057,23711,9418,20351,8476,18179,5804,14633,3438,
"Extraordinary Profit",,,,,,,,,,,,,,,,,,,,-8047,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,,,,,,,,,,-8047,,
"Income Attributable To Equity Holders",892,21845,5388,26459,7291,10373,-1057,27335,13211,32171,11741,27816,10057,23711,9418,20351,8476,18179,5804,6586,3438,
"Total Comprehensive Income/Loss for the period",892,21845,5388,26459,7291,10373,-1057,27334,13211,32172,11741,,,,,,,,,,,
"Headline Earnings (Cont Ops)",877,21895,5380,26169,7026,10299,-1138,27391,13228,32283,11710,28186,10114,23730,9436,19974,8440,18896,5790,7708,3437,
"Enterprise Value (EV)",74489,100341,178929,53937,162294,192292,184654,239798,251837,286841,356910,196102,340000,223690,234406,192515,129619,91360,76046,65854,98933,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"17 Sep 2020","31 Mar 2020","16 Sep 2019","25 Mar 2019","5 Sep 2018","22 Mar 2018","22 Aug 2017","23 Mar 2017","8 Sep 2016","29 Mar 2016","24 Aug 2015","23 Mar 2015","26 Aug 2014","26 Mar 2014","22 Aug 2013","27 Mar 2013","22 Aug 2012","27 Mar 2012","30 Aug 2011","28 Mar 2011","23 Sep 2010",
"Fixed Assets",73591,75959,77060,80381,81558,78015,76517,75460,70178,66116,66662,64492,63841,57006,53872,52619,32809,30764,30964,31349,34793,
"Right-of-use Asset",43314,47229,53172,,,,,,,,,,,,,,,,,,,
"Goodwill",26361,26361,26361,26361,26361,26361,26361,26361,26361,26361,26361,26361,14303,14303,14303,14303,14303,14303,14303,14303,14303,
"Deferred Tax Asset",1703,,383,195,157,458,247,127,,299,443,406,929,1937,1271,1774,3793,6496,6370,5873,2548,
"Total Fixed Assets",144969,149549,156976,106938,108076,104834,103125,101948,96539,92776,93466,91259,79073,73246,69446,68696,50905,51563,51637,51525,51644,
"Stock",153632,174657,167775,149862,153219,177864,174172,168668,163234,151516,134806,113182,121630,87957,106132,71734,77396,72258,65149,61238,68490,
"Debtors",115733,111195,127114,105321,131626,107502,125792,114675,132193,105858,112214,89893,100358,76306,82963,71366,82088,68390,75068,66122,82367,
"Cash",85834,101978,49321,105248,28870,57295,27491,40782,26423,36984,27553,42922,15829,20710,16696,20841,11617,6168,16060,22747,9532,
"Tax",287,49,1329,101,4853,2370,4056,2,689,1298,1286,729,1428,17,832,1071,2993,1534,1997,1773,1684,
"Total Current Assets",355486,387879,345538,360533,318568,345031,331511,324127,322539,295656,275859,246726,239245,184990,206623,165012,174094,148350,158274,151880,162073,
"Total Assets",500455,537428,502514,467471,426644,449865,434636,426075,419078,388432,369325,337985,318318,258236,276069,233708,224999,199913,209911,203405,213717,
"Ordinary Share Capital & Premium",115386,115386,115386,126616,126616,126616,126616,126616,126616,136117,136117,144755,144755,157711,157711,169803,180168,180168,184556,194851,195185,
"Distributable Reserves",126506,125615,109158,109114,90692,80735,69305,70362,56238,43028,22597,10856,-6902,-16560,-31252,-40670,-52545,-61021,-73395,-79200,-82347,
"Ordinary Shareholders' Interest",241892,241001,224544,235729,217308,207351,195921,196978,182854,179145,158714,155611,137853,141151,126459,129133,127623,119147,111161,115651,112838,
"Total Shareholders' Interest",241892,241001,224544,235729,217308,207351,195921,196978,182854,179145,158714,155611,137853,141151,126459,129133,127623,119147,111161,115651,112838,
"Interest Bearing Loans",5904,6870,7714,8506,10901,13178,15338,17374,14572,17462,20219,22896,11238,13830,16958,19955,15083,8254,9783,11242,12828,
"Deferred Tax Liability",,550,,2741,2461,1288,441,627,524,121,345,669,224,,305,312,,,,114,61,
"Other Long-Term Liabilities",53930,62283,70590,17659,21702,18230,17566,16401,17028,14558,16613,15328,17575,12288,10643,9927,5053,4115,3475,4249,5122,
"Total Long-Term Liabilities",59834,69703,78304,28906,35064,32696,33345,34402,32124,32141,37177,38893,29037,26118,27906,30194,20136,12369,13258,15605,18011,
"Creditors and Provisions",115528,151223,116593,128465,96691,137640,133898,128751,124690,122442,100265,96327,91498,44299,78655,51649,44732,52123,62577,58191,58566,
"Tax",243,66,,1416,,236,,2064,524,2019,176,972,645,,,,57,23,,,,
"Bank Overdrafts/Short-Term Loans",61133,67613,65060,64303,67974,63657,63788,55904,70206,47236,63656,39921,50913,40543,37207,17194,27685,13263,20073,11250,21802,
"Other Current Liabilities",21825,7822,18013,8652,9607,8285,7684,7976,8680,5449,9337,6261,8372,6125,5842,5538,4766,2988,2842,2708,2500,
