Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Jul 2020","18 Feb 2020","23 Jul 2019","19 Feb 2019","24 Jul 2018","13 Feb 2018","25 Jul 2017","14 Feb 2017","26 Jul 2016","9 Feb 2016","21 Jul 2015","10 Feb 2015","22 Jul 2014","11 Feb 2014","23 Jul 2013","12 Feb 2013","20 Jul 2012","9 Feb 2012","21 Jul 2011","10 Feb 2011","22 Jul 2010",
"Turnover",31579,64285,34498,45725,19474,46379,21500,40155,17566,35260,19951,47597,26429,54461,26299,45446,25236,48553,24066,38704,17826,
"Operating Expenses",16412,35319,16444,29365,14342,24989,13761,24881,12411,32564,14319,28405,14124,26076,11960,21800,10317,16587,7149,13573,6619,
"Operating Income",15039,28811,17968,16360,5132,21390,7739,15274,5155,2696,5632,19192,12305,28385,14339,23646,14919,31966,16917,25131,11207,
"Profit Before Exceptional Items",15039,28811,17968,16360,5132,21390,7739,15274,5155,2696,5632,19192,12305,28385,14339,23646,14919,31966,16917,25131,11207,
"Exceptional Item 1",,,,,,,,,,,,,,-46,,,,,,,,
"Profit Before Interest And Tax",15039,28811,17968,16360,5132,21390,7739,15274,5155,2696,5632,19192,12305,28339,14339,23646,14919,31966,16917,25131,11207,
"Interest Received",265,792,376,499,269,637,321,295,75,148,46,84,35,117,30,102,82,241,114,149,58,
"Interest Paid",130,351,177,179,80,339,206,496,305,853,451,519,181,396,168,405,210,149,60,178,124,
"Net Interest Paid/(Received)",-135,-441,-199,-320,-189,-298,-115,201,230,705,405,435,146,279,138,303,128,-92,-54,29,66,
"Income From Associates Before Tax",,,,,,,,2,,6,-1,-5,-2,,-34,,,,,,,
"Income Before Tax",15174,29252,18167,16680,5321,21688,7854,15075,4925,1997,5226,18752,12157,28060,14167,23343,14791,32058,16971,25102,11141,
"Taxation",4150,7936,4984,4026,1420,5481,1784,3934,1146,1280,2069,4604,3584,7760,4002,6888,4720,9760,5135,6813,3003,
"Profit For The Period",11024,21316,13183,12654,3901,16207,6070,11141,3779,717,3157,14148,8573,20300,10165,16455,10071,22298,11836,18289,8138,
"Income Attributable To Minority Interests",2616,5057,3125,2980,910,3798,1412,2523,846,158,765,3424,2062,4854,2406,3969,2410,5256,2784,3966,1649,
"Attributable Income Before Extraordinary Items",8408,16259,10058,9674,2991,12409,4658,8618,2933,559,2392,10724,6511,15446,7759,12486,7661,17042,9052,14323,6489,
"Extraordinary Profit",,,,-59,-48,-74,-72,3,41,-90,116,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,-59,-48,-74,-72,3,41,-90,116,,,,,,,,,,,
"Income Attributable To Equity Holders",8408,16259,10058,9615,2943,12335,4586,8621,2974,469,2508,10724,6511,15446,7759,12486,7661,17042,9052,14323,6489,
"Total Comprehensive Income/Loss for the period",11448,21225,13157,13118,4282,15679,5928,10911,3763,882,3447,,,,,,,,,,,
"Headline Earnings (Cont Ops)",8401,16309,10095,9677,2977,9728,4603,8724,3009,3792,2519,11006,6505,15443,7748,12472,7669,17048,9061,14328,6492,
"Enterprise Value (EV)",145273.027,132754.966,154464.307,90423.442,93561.069,119015.465,51739.344,53732.674,41957.546,23720.943,61008.103,91434.431,116295.145,150978.025,151903.809,191980.71,182288.126,164237.312,158655.033,139019.644,106178.838,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
