Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"8 Oct 2020","14 Apr 2020","10 Oct 2019","17 Apr 2019","11 Oct 2018","19 Apr 2018","5 Oct 2017","13 Apr 2017","6 Oct 2016","14 Apr 2016","7 Oct 2015","9 Apr 2015","8 Oct 2014",
"Total Premiums",772.698,1520.299,730.922,1256.763,604.427,1181.333,596.679,1010.058,481.556,940.903,462.59,795.237,362.974,
"Reinsurance Cost",242.819,462.179,220.881,355.297,163.945,296.74,146.555,247.116,116.379,242.72,128.875,225.293,98.417,
"Net Earned Premiums",529.879,1058.12,510.041,901.466,440.482,884.593,450.124,762.942,365.177,698.183,333.715,569.944,264.557,
"Total Income",2550.662,5057.01,2516.161,4571.333,2306.239,4203.64,2106.756,3843.072,1973.729,3501.676,1740.42,3014.6,1530.001,
"Commission Paid",790.822,1509.684,774.914,1367.697,716.188,1199.447,631.698,1111.506,609.989,1061.309,562.655,910.226,474.464,
"Marketing & Administration Costs",328.53,679.188,358.552,643.783,332.499,571.842,307.537,536.936,309.769,485.365,206.399,427.457,185.251,
"Interest Paid",19.924,45.303,21.792,34.297,21.498,38.941,24.151,72.274,23.975,91.881,48.8,119.905,62.459,
"Total Outgoing",2033.808,4006.673,2026.578,3625.744,1851.619,3295.743,963.386,3037.777,943.733,2780.9,1402.777,2370.617,1235.182,
"Excess Income Over Outgoing",516.854,1050.337,489.583,945.589,454.62,907.897,1143.37,805.295,1029.996,720.776,337.643,643.983,294.819,
"Income Before Exceptional Items",516.854,1050.337,489.583,945.589,454.62,907.897,1143.37,805.295,1029.996,720.776,337.643,643.983,294.819,
"Exceptional Item 1",-19.924,-45.303,-21.792,-34.297,-21.498,-38.941,-763.926,-72.274,-692.255,-91.881,-49,-119.905,-62.459,
"Income From Associates Before Tax",-0.075,-0.42,-0.295,0.431,0.144,-0.084,-0.045,2.265,0.573,2.767,1.474,0.954,0.075,
"Income Before Tax",496.855,1004.614,467.496,911.723,433.266,868.872,379.399,735.286,338.314,631.662,290.117,525.032,232.435,
"Tax",143.453,297.053,132.021,269.179,127.009,256.221,119.273,203.416,104.569,309.838,86.422,163.234,75.448,
"Profit For The Period",353.402,707.561,335.475,642.544,306.257,612.651,260.126,531.87,233.745,321.824,203.695,361.798,156.987,
"Income Attributable To Minority Interests",28.323,60.604,24.898,40.37,24.408,46.175,20.76,45.008,19.367,28.9,13.943,21.397,11.493,
"Income Before Extraordinary Items",325.079,646.957,310.577,602.174,281.849,566.476,239.366,486.862,214.378,292.924,189.752,340.401,145.494,
"Income Attributable To Equity Holders",325.079,646.957,310.577,602.174,281.849,566.476,239.366,486.862,214.378,292.924,189.752,340.401,145.494,
"Total Comprehensive Income/Loss for the period",370.571,718.559,336.07,654.068,312.112,610.8,258.632,516.97,232.384,331.471,199.592,,,
"Headline Earnings (Cont Ops)",324.455,644.408,310.634,603.888,283.146,566.396,239.275,486.439,214.43,292.302,186.8,339.261,145.397,

Balance sheet (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"8 Oct 2020","14 Apr 2020","10 Oct 2019","17 Apr 2019","11 Oct 2018","19 Apr 2018","5 Oct 2017","13 Apr 2017","6 Oct 2016","14 Apr 2016","7 Oct 2015","9 Apr 2015","8 Oct 2014",
