Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Jul 2020","24 Feb 2020","29 Jul 2019","25 Feb 2019","23 Jul 2018","19 Feb 2018","31 Jul 2017","16 Feb 2017",
"Turnover",429.697,999.189,483.215,913.81,417.213,665.854,259.578,43.924,
"Admin & Collection Fees",161.823,325.585,137.623,327.157,144.425,236.709,80.052,14.391,
"Other Expenses",29.434,24.702,7.589,1.259,4.843,26.981,4.608,2.741,
"Net Rental / Investment Income",201.797,693.552,338.772,589.122,272.788,429.145,179.526,29.533,
"Interest Receivable",1.692,3.482,1.417,12.462,8.681,138.144,109.144,14.878,
"Other Income",,68.418,,67.964,,,,,
"Total Income",203.489,765.452,340.189,669.548,281.469,567.289,288.67,44.411,
"Interest Payable",80.122,148.53,72.015,25.282,,19.938,,,
"Expenses",,93.156,,76.126,,,,,
"Income Before Exceptional Items",123.367,523.766,268.174,568.14,281.469,547.351,288.67,44.411,
"Exceptional Item 1",-1529.178,10.91,-23.963,78.677,-77.605,5.28,24.93,52.155,
"Income Before Tax",-1405.811,534.676,244.211,646.817,203.864,552.631,313.6,96.566,
"Tax",,0.185,0.057,6.082,3.13,14.654,,,
"Profit For The Period",-1405.811,534.491,244.154,640.735,200.734,537.977,313.6,96.566,
"Net Income Before Extraords",-1405.811,534.491,244.154,640.735,200.734,537.977,313.6,96.566,
"Income Attributable To Equity Holders",-1405.811,534.491,244.154,640.735,200.734,537.977,313.6,96.566,
"Total Comprehensive Income/Loss for the period",-1405.811,534.491,244.154,640.735,200.734,537.977,313.6,,
"Headline Earnings (Cont Ops)",103.69,523.581,258.681,543.806,261.385,510.959,267.932,41.322,
"Enterprise Value (EV)",4850.259,6021.369,6417.7,6265.971,6762.894,7562.866,8639.182,9514.324,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Jul 2020","24 Feb 2020","29 Jul 2019","25 Feb 2019","23 Jul 2018","19 Feb 2018","31 Jul 2017","16 Feb 2017",
