Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Sep 2017","Mar 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (11m)","Interim (6m)","Final (9m)",
,"21 Oct 2020","14 May 2020","14 Oct 2019","15 May 2019","24 Oct 2018","9 May 2018","27 Oct 2017","26 May 2017",
"Turnover",1420975,4091446,1837656,3642342,1532920,884750,,,
"Cost of Sales",907081,2484898,1118733,2196554,905409,466220,,,
"Gross Profit",513894,1606548,718923,1445788,627511,418530,,,
"Operating Expenses",345390,857788,407678,929467,420491,263046,10430,130,
"EBITDA (ProfileData Calc)",167536,812844,337416,,,,,,
"Depreciation",130161,255554,122176,,,,,,
"Operating Income",17290,512700,182988,428685,162900,117042,-15662,-130,
"Profit Before Exceptional Items",17290,512700,182988,428685,162900,117042,-15662,-130,
"Profit Before Interest And Tax",17290,512700,182988,428685,162900,117042,-15662,-130,
"Interest Received",21868,52643,35917,71579,49764,128481,72594,,
"Interest Paid",28691,57369,35227,,9481,6183,,,
"Net Interest Paid/(Received)",6823,4726,-690,-71579,-40283,-122298,-72594,,
"Income From Associates Before Tax",-296,609,299,-1572,-595,,,,
"Income Before Tax",10171,508583,183977,498692,202588,239340,56932,-130,
"Taxation",2612,139256,52675,142676,55467,69680,15589,,
"Profit For The Period",7559,369327,131302,356016,147121,169660,41343,-130,
"Income Attributable To Minority Interests",1487,8662,3964,4504,964,712,,,
"Attributable Income Before Extraordinary Items",6072,360665,127338,351512,146157,168948,41343,-130,
"Income Attributable To Equity Holders",6072,360665,127338,351512,146157,168948,41343,-130,
"Total Comprehensive Income/Loss for the period",7559,369347,131304,355991,147134,169267,41343,-130,
"Headline Earnings (Cont Ops)",6473,364061,126910,348814,145663,170388,41343,,
"Enterprise Value (EV)",1333506,1790596,2608492,3127385,3726548,3426968,448157,,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Sep 2017","Mar 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (11m)","Interim (6m)","Final (9m)",
,"21 Oct 2020","14 May 2020","14 Oct 2019","15 May 2019","24 Oct 2018","9 May 2018","27 Oct 2017","26 May 2017",
"Fixed Assets",580226,601540,593352,526502,459147,198955,6877,,
"Right-of-use Asset",461822,523069,472902,,,,,,
"Investments in Associates",3741,4037,5372,3428,4405,,,,
"Investments and Loans",1377,1419,21046,6045,17803,22982,50941,,
"Goodwill",2272588,2272588,2271896,2252854,2197625,1927606,,,
"Intangible Assets",788045,787872,787756,785887,780553,644127,32,,
"Deferred Tax Asset",25566,20740,29351,22762,14944,6692,1491,,
"Total Fixed Assets",4133365,4211265,4181675,3597478,3474477,2800362,59341,,
"Stock",721469,816606,904453,812525,793303,580363,,,
"Debtors",230246,321507,274764,291768,259527,66642,6651,,
"Cash",821152,829635,871461,1088145,1053981,1691662,1988898,,
"Tax",31774,9347,25727,6747,11889,5348,,,
"Other Current Assets",37091,74893,,,,,,,
"Total Current Assets",1841732,2051988,2076405,2199185,2118700,2344015,1995549,,
"Total Assets",5975097,6263253,6258080,5796663,5593177,5144377,2054890,,
