Income statement (ZAR '000),"Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"28 Apr 2020","31 Dec 2019","13 Jun 2019","14 Dec 2018","7 May 2018","12 Dec 2017","1 Jun 2017","30 Nov 2016","2 Jun 2016","14 Dec 2015","15 Jun 2015","12 Dec 2014","6 Jun 2014","2 Jan 2014","3 Jun 2013","30 Nov 2012","31 May 2012","30 Nov 2011","1 Jun 2011","15 Dec 2010","14 Jun 2010",
"Turnover",219490,616431,312151,73347,55611,52011,20644,14312,7201,7460,12127,8173,9996,5217,13117,8272,15544,8133,27547,13268,28108,
"Cost of Sales",200515,570525,284743,58963,42158,40617,,6728,,,,,,,,,,,,,,
"Gross Profit",18975,45906,27408,14384,13453,11394,,7584,,,,,,,,,,,,,,
"Operating Expenses",25893,69444,26741,20808,8375,14310,,12414,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",,,,,,,,,,,,,,,,-1317,26473,,,-2212,-23811,
"Depreciation",,,,,,,,,,,,,,,,439,964,100,,436,6363,
"Operating Income",7734,-65296,505,23,5078,-1890,1067,255,-1052,-2702,1405,1575,-5560,-1521,2068,-1761,25492,-1409,7041,3174,-13504,
"Profit Before Exceptional Items",7734,-65296,505,23,5078,-1890,1067,255,-1052,-2702,1405,1575,-5560,-1521,2068,-1761,25492,-1409,7041,3174,-13504,
"Exceptional Item 1",,,,,,,,,,,,,,,-150,,,2519,,-5825,-17020,
"Profit Before Interest And Tax",7734,-65296,505,23,5078,-1890,1067,255,-1052,-2702,1405,1575,-5560,-1521,1918,-1761,25492,1110,7041,-2651,-30524,
"Interest Received",426,159,561,13693,25,6474,,171,22,5,13,67,12,2,17,5,17,,100,3,350,
"Interest Paid",4971,11968,5970,1106,376,435,69,59,32,3,398,,474,,1609,195,216,,794,1331,4603,
"Net Interest Paid/(Received)",4545,11809,5409,-12587,351,-6039,69,-112,10,-2,385,-67,462,-2,1592,190,199,,694,1328,4253,
"Income Before Tax",2806,-77105,-4904,12610,4727,4149,998,367,-1062,-2700,1020,1642,-6022,-1519,326,-1951,25293,1110,6347,-3979,-34777,
"Taxation",,-4161,-1373,25,289,-493,-8,-8030,-8400,,,-2612,,,,-136,-460,,-140,,,
"Profit For The Period",2806,-72944,-3531,12585,4438,4642,1006,8397,7338,-2700,1020,4254,-6022,-1519,326,-1815,25753,1110,6487,-3979,-34777,
"Attributable Income Before Extraordinary Items",2806,-72944,-3531,12585,4438,4642,1006,8397,7338,-2700,1020,4254,-6022,-1519,326,-1815,25753,1110,6487,-3979,-34777,
"Extraordinary Profit",,,,,,,,,,138,404,789,-842,,-1225,,-364,5041,5553,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,138,404,789,2414,,-1225,,-364,,5553,,,
"Income Attributable To Equity Holders",2806,-72944,-3531,12585,4438,4642,1006,8397,7338,-2562,1424,5043,-6864,-1519,-899,-1815,25389,6151,12040,-3979,-34777,
"Total Comprehensive Income/Loss for the period",2806,-72944,-3531,12585,4438,4642,1006,8740,7338,-2652,1424,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-11845,-21898,-3369,12585,4438,4639,1006,8397,7338,-2700,982,2858,-6022,-1519,63,-1815,26616,6102,5437,-3011,-26563,
"Enterprise Value (EV)",196797,109075,107958,119623,94757,107986,121105,62398,344723,287882,6875,16873,43468,43628,24800,14944,36599,76636,83920,150382,99750,

Balance sheet (ZAR '000),"Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"28 Apr 2020","31 Dec 2019","13 Jun 2019","14 Dec 2018","7 May 2018","12 Dec 2017","1 Jun 2017","30 Nov 2016","2 Jun 2016","14 Dec 2015","15 Jun 2015","12 Dec 2014","6 Jun 2014","2 Jan 2014","3 Jun 2013","30 Nov 2012","31 May 2012","30 Nov 2011","1 Jun 2011","15 Dec 2010","14 Jun 2010",
"Fixed Assets",34663,27090,26180,13579,1891,1867,1109,1176,223,92,35,143,51,26583,26655,30793,31154,402,31789,387,35431,
"Goodwill",62070,30430,79636,,,,,,,,,,,,,,,,,,,
"Intangible Assets",109830,34031,40169,3029,2342,1422,,,,,,,,,,87,,91,1375,,,
"Deferred Tax Asset",8364,14275,8020,8364,8238,8389,7904,7896,8400,,,1331,,,,,,,,,,
"Other Assets",,,,,,,,,,,,,,,,,,,,179,,
"Total Fixed Assets",214927,105826,154005,24972,12471,11678,9013,9072,8623,92,35,1474,51,26583,26655,30880,31154,493,33164,566,35431,
"Stock",7010,5350,9543,3689,2725,2587,3625,3142,3780,3448,2589,3033,4107,4331,5297,4772,3233,3985,3091,1195,1276,
"Debtors",48011,56080,48341,10445,16090,18577,12085,1881,1126,1587,881,2548,688,1075,1837,1623,2228,3341,4287,6430,12266,
"Cash",6356,11660,6261,6435,4814,9226,3312,9280,12976,14189,16458,16303,1048,1718,830,2800,2832,2226,4800,3399,1265,
"Tax",17905,17616,32331,17363,2547,3070,-3801,,,,,,,,,,,,,,,
"Other Current Assets",,,473,,2215,715,10,155,2465,2323,2021,10,20682,10,10,2684,2178,36541,2927,37703,7122,
