Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"5 Aug 2020","27 Feb 2020","1 Aug 2019","28 Feb 2019","2 Aug 2018","2 Mar 2018","4 Aug 2017","24 Feb 2017","29 Jul 2016","26 Feb 2016","7 Aug 2015","26 Feb 2015","8 Aug 2014","27 Feb 2014","1 Aug 2013","28 Feb 2013","2 Aug 2012","1 Mar 2012","4 Aug 2011","24 Feb 2011","5 Aug 2010",
"Total Premiums",19501,42182,20068,40611,18386,39970,19438,41288,19535,39245,18741,42139,18541,35782,16090,30720,14400,27302,11942,22113,10657,
"Reinsurance Cost",1365,2381,1211,2090,1019,,,,,,,,,,,,,,,,,
"Net Earned Premiums",18136,39801,18857,38521,17367,,,,,,,,,,,,,,,,,
"Income From Investments",2553,3199,1576,,,,,,,,,,,,,,,,,,,
"Total Income",19255,84447,47597,50504,27425,82722,35786,62744,37744,73995,35800,79705,42140,85273,30753,77746,32102,48718,19836,51366,15337,
"Commission Paid",2023,4241,2077,4413,2239,4935,2532,4723,2248,4760,2228,4579,2135,4233,2013,3818,1778,3268,1497,2906,1374,
"Marketing & Administration Costs",5790,11075,5485,11184,5420,11345,5417,10733,5208,10149,4775,9376,4578,9079,3820,7573,3624,6498,3048,5931,2689,
"Interest Paid",146,243,118,110,44,,,,,,,,,,,,,,,,,
"Policy Payouts",18851,41730,20232,39504,18667,38819,19648,39664,19111,34362,16242,32629,15821,25904,10446,25004,11992,22270,10662,21538,12464,
"Total Outgoing",26810,57289,27912,55211,26370,55099,27597,55120,26567,49271,23245,46584,22534,39216,16279,36395,17394,32036,15207,47055,16527,
"Excess Income Over Outgoing",-7555,27158,19685,-4707,1055,27623,8189,7624,11177,24724,12555,33121,19606,46057,14474,41351,14708,16682,4629,4311,-1190,
"Income Before Exceptional Items",-7555,27158,19685,-4707,1055,27623,8189,7624,11177,24724,12555,33121,19606,46057,14474,41351,14708,16682,4629,4311,-1190,
"Exceptional Item 1",3486,-20859,-15950,9004,1425,-21055,-5216,-3673,-7918,-18134,-9193,-26912,-16483,-38619,-11658,-34551,-11906,-12354,-2568,,2731,
"Income From Associates Before Tax",,-2,-1,,,,,,,,,,,,14,3,16,9,17,45,14,
"Income Before Tax",-4069,6297,3734,4297,2480,6568,2973,3951,3259,6590,3362,6209,3123,7438,2830,6803,2818,4337,2078,4356,1555,
"Tax",-667,2662,1563,1255,780,2864,1171,1325,1267,2303,1225,1926,1121,2968,1041,2685,1109,1383,832,1717,478,
"Profit For The Period",-3402,3635,2171,3042,1700,3704,1802,2626,1992,4287,2137,4283,2002,4470,1789,4118,1709,2954,1246,2639,1077,
"Income Attributable To Minority Interests",-1015,557,299,644,178,586,261,417,178,276,160,366,148,562,121,419,121,281,92,246,108,
"Income Before Extraordinary Items",-2387,3078,1872,2398,1522,3118,1541,2209,1814,4011,1977,3917,1854,3908,1668,3699,1588,2673,1154,2393,969,
"Income Attributable To Equity Holders",-2387,3078,1872,2398,1522,3118,1541,2209,1814,4011,1977,3917,1854,3908,1668,3699,1588,2673,1154,2393,969,
"Total Comprehensive Income/Loss for the period",-3109,3644,2144,3411,1951,3471,1795,2478,1953,4349,2064,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-2263,3254,1996,2645,1521,3252,1540,2207,1813,4102,1976,3915,1853,4014,1667,3626,1589,2671,1153,2522,968,
"Embedded Value",,,,,33863,34581,34227,34470,,,,,,,,,,,,,,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
