Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"2 Sep 2020","18 Mar 2020","4 Sep 2019","13 Mar 2019","4 Sep 2018",
"Turnover",4706372,9892545,4616876,9659597,4414800,
"Cost of Sales",3607214,7513655,3544339,7493721,3490711,
"Gross Profit",1099158,2378890,1072537,2165876,924089,
"Operating Expenses",948914,1729857,816224,1562419,701758,
"EBITDA (ProfileData Calc)",495610,1187847,501973,,,
"EBITDA (company calc)",456900,,482857,,,
"Depreciation",238435,433296,206791,,,
"Operating Income",231130,701758,270568,621519,228960,
"Profit Before Exceptional Items",231130,701758,270568,621519,228960,
"Profit Before Interest And Tax",231130,701758,270568,621519,228960,
"Interest Received",25999,54025,25219,47617,21027,
"Interest Paid",124829,262774,128158,269310,153052,
"Net Interest Paid/(Received)",98830,208749,102939,221693,132025,
"Income Before Tax",132300,493009,167629,399826,96935,
"Taxation",33294,136325,48985,125907,24883,
"Profit For The Period",99006,356684,118644,273919,72052,
"Income Attributable To Minority Interests",-46,1232,605,789,-1528,
"Attributable Income Before Extraordinary Items",99052,355452,118039,273130,73580,
"Extraordinary Profit",,-77057,-65807,-50906,-9760,
"Extraordinary Profit: Discontinued Operations",,-77057,-65807,-50906,-9760,
"Income Attributable To Equity Holders",99052,278395,52232,222224,63820,
"Total Comprehensive Income/Loss for the period",63479,287362,61589,222596,62045,
"Headline Earnings (Cont Ops)",101285,276320,117719,275605,74653,
"Enterprise Value (EV)",3688476,3690447,5205730,3144436,4889803,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"2 Sep 2020","18 Mar 2020","4 Sep 2019","13 Mar 2019","4 Sep 2018",
"Fixed Assets",1425731,1392678,1263716,1205921,1103649,
"Right-of-use Asset",609926,655596,464430,,,
"Goodwill",2535192,2534656,2496058,2521058,2521058,
"Intangible Assets",2014719,2092060,2144357,2269199,2376992,
"Deferred Tax Asset",5240,5067,13238,102,16910,
"Other Assets",4547,5824,6608,13436,13108,
"Total Fixed Assets",6595355,6685881,6388407,6009716,6031717,
"Stock",1331290,1199619,1192812,1121330,1188231,
"Debtors",1577825,1763463,1557825,1628038,1482091,
"Cash",1117772,1100252,926276,987412,885026,
