Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Nov 2020","25 Aug 2020","20 Nov 2019","22 May 2019","21 Nov 2018","23 May 2018","13 Nov 2017","24 May 2017","9 Nov 2016","25 May 2016","9 Nov 2015","26 May 2016","10 Nov 2014","28 May 2014","11 Nov 2013","22 May 2013","12 Nov 2012","23 May 2012","14 Nov 2011","23 May 2011","8 Nov 2010","19 May 2010",
"Turnover",3034,6453.3,3083.2,6137.2,2904.9,5556.8,2658.6,5592.1,2745.8,5785,2797.8,5660.8,2582.9,5281.7,2538.9,5187.6,2428.6,4857.3,2278.7,4577.7,2136,4110.6,
"Cost of Sales",982.1,2173.5,1035.2,2069.3,980,1677.8,755.5,1501,733.9,1652.8,780.6,1644.3,711.9,1524.4,728.6,1523.1,723.3,1446.3,670.9,1458.6,686.9,1330.6,
"Gross Profit",,,,,,,,,,,,,,3757.3,,,,3411,1607.8,3119.1,1449.1,2780,
"Operating Expenses",1775.1,4026.1,1804.5,3624.9,1731.1,3499.7,1712,3527,1736.9,3317.2,1607,2918.8,1396.1,2603.3,1286.9,2410.9,1185,2271.9,1109.3,2066.6,980.2,1872.8,
"EBITDA (ProfileData Calc)",485.1,682.8,473.7,571.9,296,527.6,289.5,759.1,381.5,1501.2,522.6,1309.5,571,1338.3,611.7,1420.5,597.4,1279.5,560.3,1181,526.8,1031,
"Depreciation",173.9,375.5,168.3,78.6,38.4,85.9,43.6,90.1,48.5,85.6,45.1,63.8,33.6,58.5,31.9,55.1,29.9,48.5,27.2,46.5,27.4,46.3,
"Operating Income",276.8,253.7,243.5,443,193.8,379.3,191.1,564.1,275,815,410.2,1097.7,474.9,1154,523.4,1253.6,520.3,1139.1,498.5,1052.5,468.9,907.2,
"Profit Before Exceptional Items",276.8,253.7,243.5,443,193.8,379.3,191.1,564.1,275,815,410.2,1097.7,474.9,1154,523.4,1253.6,520.3,1139.1,498.5,1052.5,468.9,907.2,
"Exceptional Item 1",23.6,,27.3,,23.8,,32.8,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",300.4,253.7,270.8,443,217.6,379.3,223.9,564.1,275,815,410.2,1097.7,474.9,1154,523.4,1253.6,520.3,1139.1,498.5,1052.5,468.9,907.2,
"Interest Received",10.8,53.6,34.6,50.3,40,62.4,22,104.9,58,600.6,67.3,148,62.5,125.8,56.4,111.8,47.2,91.9,34.6,82,30.5,77.5,
"Interest Paid",49.8,34.5,50.6,29.5,34.4,49.2,37.7,148.4,80.5,136.1,60.2,123.3,57.9,102.7,46.1,96.3,41.8,63.2,30.6,91.9,57.5,121.2,
"Net Interest Paid/(Received)",39,-19.1,11,-20.8,-5.6,-13.2,15.7,43.5,22.5,-464.5,-7.1,-24.7,-4.6,-23.1,-10.3,-15.5,-5.4,-28.7,-4,9.9,27,43.7,
"Income Before Tax",261.4,272.8,254.8,463.8,223.2,392.5,208.2,520.6,252.5,1279.5,417.3,1122.4,479.5,1177.1,533.7,1269.1,525.7,1167.8,502.5,1042.6,441.9,863.5,
"Taxation",78.8,90.4,83.7,154.3,72.8,128.4,65.3,163.1,78.2,318,119.3,316.2,138.3,334.9,153.7,357.4,152,367.2,165.1,330.7,146.4,272.1,
"Profit For The Period",182.6,182.4,171.1,309.5,150.4,264.1,142.9,357.5,174.3,961.5,298,806.2,341.2,842.2,380,911.7,373.7,800.6,337.4,711.9,295.5,591.4,
"Attributable Income Before Extraordinary Items",182.6,182.4,171.1,309.5,150.4,264.1,142.9,357.5,174.3,961.5,298,806.2,341.2,842.2,380,911.7,373.7,800.6,337.4,711.9,295.5,591.4,
"Income Attributable To Equity Holders",182.6,182.4,171.1,309.5,150.4,264.1,142.9,357.5,174.3,961.5,298,806.2,341.2,842.2,380,911.7,373.7,800.6,337.4,711.9,295.5,591.4,
"Total Comprehensive Income/Loss for the period",192.9,216.3,169.9,295.3,143,316.6,148.9,356.3,176.6,502.5,268.2,915.1,,934,,1007,,,,,,,
"Headline Earnings (Cont Ops)",181.5,204.5,171.2,308.4,149.6,260.5,143.1,354.5,172.7,552.1,286.6,751,331.1,817.6,372.1,894.4,371.6,780.7,334.7,688.9,293.1,565.5,
"Enterprise Value (EV)",743.695,1140.262,2310.614,2292.507,2623.973,3937.104,2804.087,4228.105,5025.235,5996.524,7578.193,8941.386,6848.675,6965.262,7804.826,7783.486,8207.925,8468.116,7905.86,8304.021,7772.972,6439.477,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Nov 2020","25 Aug 2020","20 Nov 2019","22 May 2019","21 Nov 2018","23 May 2018","13 Nov 2017","24 May 2017","9 Nov 2016","25 May 2016","9 Nov 2015","26 May 2016","10 Nov 2014","28 May 2014","11 Nov 2013","22 May 2013","12 Nov 2012","23 May 2012","14 Nov 2011","23 May 2011","8 Nov 2010","19 May 2010",
"Fixed Assets",318.6,324.4,315.9,298.9,304.2,301.8,319.7,343.5,362.5,370.4,362.1,352.9,329.2,327.3,331.3,332.6,324.8,311.9,297.8,278.7,268.7,251.1,
"Right-of-use Asset",653.2,693.7,,,,,,,,,,,,,,,,,,,,,
"Investments and Loans",251.5,228,273.3,276.1,442.9,471,456.3,455.9,449.9,432,1707.4,1715.6,1554.1,1415,1332.2,1238.3,1147.9,1005.3,879.6,857.1,813.3,716,
"Goodwill",187.6,187.6,187.6,187.6,187.6,187.6,5.5,5.5,8.9,,,,,,,,,,,,,,
"Intangible Assets",117.6,120.6,121.3,122.3,115.9,117.8,,,,,,,,,,,,,,,,,
"Deferred Tax Asset",118.8,166.1,195.7,195.4,156.6,10.9,26.4,48.9,61.5,85.7,0.8,0.5,0.5,0.6,0.5,0.6,,16.1,22.4,20.1,8.6,13,
"Other Assets",106.8,106.8,753.1,79,91.1,91.1,119.4,121.2,131.3,124.4,136,137.5,79.7,79.7,19.8,22.8,9.4,,,,,,
"Total Fixed Assets",1754.1,1827.2,1846.9,1159.3,1298.3,1180.2,927.3,975,1014.1,1012.5,2206.3,2206.5,1963.5,1822.6,1683.8,1594.3,1482.1,1333.3,1199.8,1155.9,1090.6,980.1,
"Stock",857.9,740.7,806,665.8,750.5,579.7,523.3,447.7,449.6,444.5,518.7,420.3,425.1,324.6,390.8,305.8,389.6,281.4,307.7,256.3,265.1,210,
"Debtors",3321,3326.1,3384.8,3315.6,3347.3,4200,4341.4,4225.8,5481.2,5699.7,6150.6,5898.8,4744.3,5078.9,4933.8,4840.9,4357.5,4064.5,3982.2,3835,3611,3427.6,
"Cash",563.9,1193.4,242.8,204.7,543.4,608.4,684.2,788.6,836.3,587.2,247.4,222.3,268.2,480.1,164.7,59.5,108.9,77.9,111.2,84.3,84.2,62.2,
"Tax",56.2,54.9,5.8,102.9,171.2,136.5,166,181.1,206.4,28.3,96.5,34.8,37.5,,31.3,,,,,,,,
"Other Current Assets",246.8,245.9,319.2,340.7,151,211,542.2,850.3,818.1,1236.5,106.2,127,160.1,283.7,347.6,465.9,349.8,373.3,295.1,240.2,171.1,178.1,
