Income statement (GBP '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Sep 2020","24 Feb 2020","1 Oct 2019","25 Feb 2019","28 Sep 2018","6 Feb 2018","28 Sep 2017","20 Feb 2017","3 Oct 2016","23 Feb 2016","30 Sep 2015","27 Feb 2015","30 Sep 2014","28 Feb 2014","30 Sep 2013","28 Feb 2013","28 Sep 2012","29 Feb 2012","29 Sep 2011","1 Mar 2011","28 Sep 2010",
"Turnover",927,485,1092,537,1081,505,1016,448,,,,,,,,,,,,,,
"Net Rental / Investment Income",927,485,1092,537,1081,505,1016,448,,,,,,,,,,,,,,
"Dividend Income",,,,,807,387,720,318,550,270,487,197,393,173,313,106,265,102,251,97,174,
"Interest Receivable",,,,,,,,,,,,,,,58,,74,25,94,20,87,
"Surplus on Disposal of Assets",,,,,-117,501,989,335,1379,1448,175,91,205,205,215,131,-32,,266,255,119,
"Other Income",,,,,274,118,296,130,338,163,315,149,287,134,228,134,295,199,398,245,405,
"Depreciation",72,,59,,,,,,,,,,,,,,,,,,,
"Total Income",927,485,1092,537,1081,1006,1016,783,888,1881,977,437,885,512,814,371,602,326,1009,617,785,
"EBITDA (ProfileData Calc)",-509,,1119,,,,,,,,,,,,,,,,,,,
"Interest Payable",62,24,57,17,14,1,33,,16,16,48,17,25,2,33,9,27,6,110,53,114,
"Expenses",797,391,726,398,775,391,741,358,649,287,643,282,651,331,610,294,638,294,749,367,757,
"Income Before Exceptional Items",68,70,309,122,175,614,1231,425,1602,1578,286,138,209,179,171,68,-63,26,150,197,-86,
"Exceptional Item 1",-700,21,681,-849,,1,,,,8,2049,879,-339,206,4629,1329,991,1161,1995,1828,791,
"Income Before Tax",-632,91,990,-727,175,615,1231,425,1602,1586,2335,1017,-130,385,4800,1397,928,1187,2145,2025,705,
"Tax",164,-28,95,-182,-20,49,121,350,-106,246,357,188,-71,45,180,34,65,102,19,5,18,
"Profit For The Period",-796,119,895,-545,195,566,1110,75,1708,1340,1978,829,-59,340,4620,1363,863,1085,2126,2020,687,
"Income Attributable To Minority Interests",11,14,-13,-22,8,3,7,6,15,25,10,19,-16,-15,-17,4,-6,-23,8,15,-6,
"Net Income Before Extraords",-807,105,908,-523,187,563,1103,69,1693,1315,1968,810,-43,355,4637,1359,869,1108,2118,2005,693,
"Income Attributable To Equity Holders",-807,105,908,-523,187,563,1103,69,1693,1315,1968,810,-43,355,4637,1359,869,1108,2118,2005,693,
"Total Comprehensive Income/Loss for the period",-1305,1376,-2675,-353,256,524,1658,1247,3858,2683,1968,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-807,105,212,-523,240,,309,1815,589,1315,,,,,210,,2003,,123,,,
"Enterprise Value (EV)",188639,218866,187809,190504,256651,265087,249535,279375,238551,255352,171601,187246,124856,149944,114265,90485,75900,79288,66231,69318,70272,

Balance sheet (GBP '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Sep 2020","24 Feb 2020","1 Oct 2019","25 Feb 2019","28 Sep 2018","6 Feb 2018","28 Sep 2017","20 Feb 2017","3 Oct 2016","23 Feb 2016","30 Sep 2015","27 Feb 2015","30 Sep 2014","28 Feb 2014","30 Sep 2013","28 Feb 2013","28 Sep 2012","29 Feb 2012","29 Sep 2011","1 Mar 2011","28 Sep 2010",
"Ordinary Capital & Premium",3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,,3878,
"Distributable Reserves",5498,3444,3739,3961,8056,8514,8265,7967,8539,7439,6304,5280,4585,5037,4831,1727,336,-2675,-1750,,-3747,
"Non-Distributable Reserves",4712,4718,4565,4402,4207,4000,3794,3647,1821,767,26,-125,-294,-387,-499,-576,-572,996,1234,,1121,
"Other Capital",1708,7521,6085,7090,4253,4441,4544,4750,4928,6057,5412,5584,5779,5958,6046,6074,,8002,,,,
"Translation Reserves",,,,,,,,,,,,,,,,,6211,,5825,,6004,
"Ordinary Unitholders Interest",15798,19563,18269,19333,20396,20835,20483,20244,19168,18143,15622,14619,13950,14488,14258,11105,9855,10203,9189,9167,7256,
"Minority Interest",103,106,92,83,105,100,97,96,90,100,75,84,65,67,81,93,98,115,92,99,84,
"Total Stockholders' Interest",15901,19669,18361,19416,20501,20935,20580,20340,19258,18243,15697,14703,14015,14555,14339,11198,9953,10318,9281,9266,7340,
"Other Long-Term Liabilities",519,557,583,607,,,,,,,,,,,,,,,,,,
"Long-Term Liabilities",519,557,583,607,,,,,,,,,,,,,,,,,,
"Deferred Tax Liability",520,408,395,439,722,818,829,815,850,1025,442,296,111,255,204,,,,,,,
"Total Capital Employed",16940,20634,19339,20462,21223,21753,21409,21155,20108,19268,16139,14999,14126,14810,14543,11198,9953,10318,9281,9266,7340,
"Investments",31,34,39,46,13,15,14,18,22,26,31,35,39,2,3,3,4,,367,372,377,
"Fixed Assets / Property",6291,9024,7596,10207,10650,10586,10673,11014,12417,12577,11694,10459,9026,9723,9420,6346,5094,5437,5933,5982,4667,
"Other Assets",512,537,568,598,,,,,,,,,,,,,,,,,,
"Debtors",166,157,194,227,251,63,220,178,272,232,218,252,245,254,256,269,272,348,260,269,294,
"Cash and Short Term Funds",269,317,240,495,304,277,222,1588,588,649,115,83,39,123,116,1108,2217,2591,21,50,17,
"Other Current Assets",9948,11404,11383,9829,10676,11295,10766,8836,7125,6040,5801,5899,5927,5775,5601,4746,4533,4240,4668,4691,4225,
"Current Assets",10383,11878,11817,10551,11231,11635,11208,10602,7985,6921,6134,6234,6211,6152,5973,6123,7022,7179,4949,5010,4536,
"Total Assets",17217,21473,20020,21402,21894,22236,21895,21634,20424,19524,17859,16728,15276,15877,15396,12472,12120,12616,11249,11364,9580,
"Creditors",225,164,232,376,346,483,250,479,316,256,1720,1729,1150,1067,853,1274,2167,2298,1968,2098,2240,
"Receiver of Revenue",,,,,,,236,,,,,,,,,,,,,,,
"Bank O/D & S/T Loans",,625,400,550,325,,,,,,,,,,,,,,,,,
"Other Current Liabilities",52,50,49,14,,,,,,,,,,,,,,,,,,
"Current Liabilities",277,839,681,940,671,483,486,479,316,256,1720,1729,1150,1067,853,1274,2167,2298,1968,2098,2240,
"Net Current Assets",10106,11039,11136,9611,10560,11152,10722,10123,7669,6665,4414,4505,5061,5085,5120,4849,4855,4881,2981,2912,2296,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
