Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","10 Jun 2020","11 Nov 2019","18 Jun 2019",
"Turnover",26055,51387,25655,50095,
"Cost of Sales",12929,28454,13860,29203,
"Gross Profit",,22933,,20892,
"Operating Expenses",7358,14571,6868,13645,
"EBITDA (ProfileData Calc)",,7874,,6271,
"Depreciation",,2884,,2705,
"Operating Income",5776,8267,4926,7363,
"Profit Before Exceptional Items",5776,8267,4926,7363,
"Exceptional Item 1",551,-2305,-358,-4168,
"Profit Before Interest And Tax",6327,5962,4568,3195,
"Interest Received",152,435,291,910,
"Interest Paid",582,1039,533,1437,
"Net Interest Paid/(Received)",430,604,242,527,
"Income From Associates Before Tax",-13,-44,-62,-171,
"Income Before Tax",5884,5314,4264,2497,
"Taxation",2333,3444,1890,3773,
"Profit For The Period",3551,1870,2374,-1276,
"Income Attributable To Minority Interests",1104,1363,907,368,
"Attributable Income Before Extraordinary Items",2447,507,1467,-1644,
"Income Attributable To Equity Holders",2447,507,1467,-1644,
"Total Comprehensive Income/Loss for the period",3560,2950,2292,-6641,
"Headline Earnings (Cont Ops)",2442,555,1487,-1550,
"Enterprise Value (EV)",30054.49,24102.79,40601.01,44005.3,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","10 Jun 2020","11 Nov 2019","18 Jun 2019",
"Fixed Assets",16413,17737,17136,17279,
"Investments and Loans",232,351,249,238,
"Goodwill",4636,4337,4286,4283,
"Deferred Tax Asset",1966,2125,1486,1422,
"Other Assets",252,858,410,462,
"Total Fixed Assets",23499,25408,23567,23684,
"Stock",958,874,1001,924,
"Debtors",3724,3888,4446,4095,
"Cash",7750,9604,6917,6723,
"Other Current Assets",9130,6483,7954,5577,
"Other Current Assets: Derivative financial instruments",1019,1733,620,444,
"Other Current Assets: Programme and film rights",8111,4750,7334,5133,
"Total Current Assets",21562,20849,20318,17319,
"Total Assets",45061,46257,43885,41003,
"Ordinary Share Capital & Premium",454,454,,,
"Distributable Reserves",25684,25316,26577,24499,
"Non-Distributable Reserves",-13565,-13048,-13095,-12445,
"Ordinary Shareholders' Interest",12573,12722,13482,12054,
"Minority Interest",-3559,-2917,-3563,-2259,
"Total Shareholders' Interest",9014,9805,9919,9795,
"Deferred Tax Liability",350,1021,536,548,
"Other Long-Term Liabilities",15038,17160,15060,14638,
"Total Long-Term Liabilities",15388,18181,15596,15186,
"Creditors and Provisions",298,140,216,136,
"Tax",2158,2650,,2124,
"Other Current Liabilities",18203,15481,18154,13762,
"Total Current Liabilities",20659,18271,18370,16022,
"Total Liabilities",36047,36452,33966,31208,
"Total Equity and Liabilities",45061,46257,43885,41003,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","10 Jun 2020","11 Nov 2019","18 Jun 2019",
"Number of Shares in Issue (Actual)",427000000,427000000,433000000,439000000,
"Weighted Average Shares in Issue (Actual)",427000000,435000000,436000000,439000000,
"Fully Diluted Weighted Average Shares in Issue",434000000,439000000,439000000,439000000,
"Market Capitalisation (R'000)",41363490,36623790,51081010,52987300,
"Number of Months",6,12,6,12,
"Number of Employees",,6894,,7053,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","10 Jun 2020","11 Nov 2019","18 Jun 2019",
"Earnings Per Share (ZARc)",573,117,336,-374,
"Diluted Earnings Per Share (ZARc)",564,115,334,-374,
"Headline Earnings Per Share (Cont Ops) (ZARc)",572,128,341,-353,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",563,126,339,-353,
"Final Dividend (ZARc)",,565,,,
"Dividend Per Share (ZARc)",,565,,,
"Distributions Per Share (ZARc)",,565,,,
"Net Asset Value Per Share (ZARc)",2944.5,2979.39,3113.63,2231,
"Cash Generated Per Share",885.71,1816.63,745.5,1241.46,
"Net Asset Value Per Share (Base Currency)",2944.5,2979.39,3113.63,2231,
"Price at Period End (Base Currency)",9687,8577,11797,12070,
"JSE Market Price High (ZARc)",11100,13849,13849,12943,
"JSE Market Price Low (ZARc)",8247,7228,11363,9031,
"JSE Market Price at Period End (ZARc)",9687,8577,11797,12070,
"JSE Volume Traded (Actual)",234071449,473760600,256703493,217259253,
"JSE Rand Value Traded (Actual)",22376726646,55480832364,32824256381,23385561787,
"12 Month HEPS",359,128,164.5,-353,
"12 Month Dividend",565,565,,,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","10 Jun 2020","11 Nov 2019","18 Jun 2019",
"Working capital changes",,,,-1723,
"Cash generated from operations after WC",5994,12081,5277,9449,
"Net Cash flow from operating activities",3782,7757,3228,5450,
"Net cash flow from investing activities",-693,-1382,-309,-122,
"Net cash flow from financing activities",-4415,-4765,-2829,-3389,
"Dividends paid",-3923,-1615,,-6723,
"Net increase(decrease) in cash & cash equivalents",-1326,1610,90,1939,
"Cash & Cash Equivalent beginning of period",9145,6723,6723,4044,
"Translation effects on cash & cash equivalents",-484,812,104,740,
"Cash & Cash Equivalent end of period",7335,9145,6917,6723,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","10 Jun 2020","11 Nov 2019","18 Jun 2019",
"Return on Capital Employed",29.1,6.68,18.61,-5.11,
"Return on Shareholder Funds",78.79,19.07,47.87,-13.03,
"Return on Total Assets",26.38,18.18,23.34,18.15,
