Income statement (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Sep 2020","13 Mar 2020","30 Sep 2019","14 Mar 2019","27 Sep 2018","15 Mar 2018","29 Sep 2017","14 Mar 2017","30 Sep 2016","14 Mar 2016","10 Sep 2015","13 Mar 2015","30 Sep 2014","10 Mar 2014","30 Aug 2013","15 Mar 2013","1 Oct 2012","12 Mar 2012","19 Sep 2011","16 Mar 2011","1 Oct 2010",
"Turnover",17155,11359,26403,15201,32693,17036,,,,,,2,761,60,1012,516,1349,143835,261425,88256,98376,
"Cost of Sales",18269,11077,25389,12312,27340,14358,,,,,,,,76,1773,898,1578,,,,,
"Gross Profit",-1114,282,1014,2889,5353,2678,,,,,,2,,-16,-761,-382,-229,,,,,
"EBITDA (ProfileData Calc)",,,,,,,-16107,-12193,-21126,-14008,-1777,-194,,,,,,,-136763,,-150883,
"Depreciation",,,,,,,354,168,1199,614,1472,-790,,,,,,,79521,,26684,
"Operating Income",-9941,-5906,-28883,-741,-94608,-91841,-16803,-12510,-23078,-14949,-4077,346,-62935,-25076,-65551,-45132,-75556,-77397,-218770,-69638,-180063,
"Profit Before Exceptional Items",-9941,-5906,-28883,-741,-94608,-91841,-16803,-12510,-23078,-14949,-4077,346,-62935,-25076,-65551,-45132,-75556,-77397,-218770,-69638,-180063,
"Profit Before Interest And Tax",-9941,-5906,-28883,-741,-94608,-91841,-16803,-12510,-23078,-14949,-4077,346,-62935,-25076,-65551,-45132,-75556,-77397,-218770,-69638,-180063,
"Interest Received",250,159,1048,508,1201,376,326,149,753,327,828,250,1699,371,628,353,992,,2486,735,2496,
"Interest Paid",3159,1568,5687,2751,3636,1664,1185,595,1578,384,1286,716,2309,285,147,8,833,1127,1822,,1089,
"Net Interest Paid/(Received)",2909,1409,4639,2243,2435,1288,859,446,825,57,458,466,610,-86,-481,-345,-159,1127,-664,-735,-1407,
"Income Before Tax",-12850,-7315,-33522,-2984,-97043,-93129,-17662,-12956,-23903,-15006,-4535,-120,-63545,-24990,-65070,-44787,-75397,-78524,-218106,-68903,-178656,
"Taxation",-660,-256,204,628,6720,6869,-295,-148,-1431,-1067,,,,,,,,-3830,897,-2364,-10898,
"Profit For The Period",-12190,-7059,-33726,-3612,-103763,-99998,-17367,-12808,-22472,-13939,-4535,-120,-63545,-24990,-65070,-44787,-75397,-74694,-219003,-66539,-167758,
"Income Attributable To Minority Interests",-142,-79,-305,-100,-165,-79,-16,,,,,,,,,,,,,,,
"Attributable Income Before Extraordinary Items",-12048,-6980,-33421,-3512,-103598,-99919,-17351,-12808,-22472,-13939,-4535,-120,-63545,-24990,-65070,-44787,-75397,-74694,-219003,-66539,-167758,
