Income statement (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Aug 2020","24 Mar 2020","10 Sep 2019","26 Mar 2019","28 Aug 2018","20 Mar 2018","12 Sep 2017","22 Mar 2017","5 Sep 2016","31 Mar 2016","28 Sep 2015","30 Mar 2015","4 Sep 2014","31 Mar 2014","27 Aug 2013","26 Mar 2013",
"Turnover",57412,148328,69959,138722,67379,121424,60517,118103,53809,119868,60300,132034,65188,119689,54055,10823,
"Cost of Sales",40255,104199,45719,95155,43462,76794,37722,75160,31998,71989,36817,88270,43857,79930,34856,7252,
"Gross Profit",17157,44129,24240,43567,23917,44630,22795,42943,21811,47879,23484,43765,21330,39758,19199,3571,
"Operating Expenses",10847,24756,13379,25827,13039,23378,11864,21744,8914,19336,8676,18924,8726,18107,8201,2058,
"EBITDA (ProfileData Calc)",11231,,15529,,,,,,,,,,,,,,
"Depreciation",3601,,3625,,,,,,,,,,,,,,
"Operating Income",7342,22447,11787,23649,12856,24926,12130,25845,13413,29580,15638,26624,13311,22543,11758,1902,
"Profit Before Exceptional Items",7342,22447,11787,23649,12856,24926,12130,25845,13413,29580,15638,26624,13311,22543,11758,1902,
"Profit Before Interest And Tax",7342,22447,11787,23649,12856,24926,12130,25845,13413,29580,15638,26624,13311,22543,11758,1902,
"Interest Received",222,1140,247,736,573,510,430,809,398,807,474,1297,462,1474,866,163,
"Interest Paid",1798,4602,1816,2858,1486,2851,1017,1940,1276,1711,744,1506,694,1927,1514,318,
"Net Interest Paid/(Received)",1576,3462,1569,2122,913,2341,587,1131,878,904,270,209,232,453,648,155,
"Income From Associates Before Tax",-151,11,-72,-27,-18,-2,-22,556,176,135,,,,,,,
"Income Before Tax",5615,18996,10146,21499,11925,22584,11521,25269,12711,28811,15368,26415,13079,22090,11110,1747,
"Taxation",1058,3614,1883,4027,2235,5134,1504,2949,3024,7696,4992,7961,3732,6294,3381,451,
"Profit For The Period",4557,15382,8263,17472,9690,17450,10017,22320,9687,21115,10376,18454,9347,15796,7729,1296,
"Income Attributable To Minority Interests",-217,118,58,697,275,247,194,1124,317,1149,1066,1545,921,668,94,,
"Attributable Income Before Extraordinary Items",4774,15264,8205,16774,9415,17203,9822,21196,9370,19966,9310,16908,8426,15127,7635,1296,
"Income Attributable To Equity Holders",4774,15264,8205,16774,9415,17203,9822,21196,9370,19966,9310,16908,8426,15127,7635,1296,
"Total Comprehensive Income/Loss for the period",-15529,11434,16039,5492,2185,24853,13649,28938,14286,2737,5077,,,,,,
"Headline Earnings (Cont Ops)",4756,15528,8203,16122,8819,17385,9820,21186,9386,20427,9329,17978,8460,15259,7597,1158,
"Enterprise Value (EV)",862153,1590932,1631368,1564572,1798522,1897635,2315299,2246357,2086271,2008085,2195906,1975039,1971885,1466999,1255116,77536,

