Income statement (ZAR '000),"Feb 2020","Feb 2019","Feb 2018","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","1 Dec 2020","1 Dec 2020","1 Dec 2020","7 Dec 2016","28 Jun 2016","4 Dec 2015","29 May 2015","15 Dec 2014","4 Jun 2014","28 Nov 2013","31 May 2013","19 Nov 2012","31 May 2012","30 Nov 2011","27 May 2011","26 Nov 2010","28 May 2010",
"Turnover",,,1319,,,,,,,248,,711,,,,,,,
"Cost of Sales",,,1257,,,,,,,,,,,,,,,,
"Gross Profit",,,62,,,,,,,,,,,,,,,,
"Operating Expenses",-2473,-2000,2826,-7999,1526,8343,1440,4889,,,,,,,,,,,
"Operating Income",-2473,-2000,-2764,-7999,1526,-820,-1272,-2797,-6775,-10769,-4665,-36114,500,1200,100,-700,-1500,-700,
"Profit Before Exceptional Items",-2473,-2000,-2764,-7999,1526,-820,-1272,-2797,-6775,-10769,-4665,-36114,500,1200,,,,,
"Profit Before Interest And Tax",-2473,-2000,-2764,-7999,1526,-820,-1272,-2797,-6775,-10769,-4665,-36114,500,1200,,,,,
"Interest Received",,,,,,,,403,,66,194,617,4500,1000,4200,1000,2600,1300,
"Interest Paid",129,140,116,89,,1475,,517,98,1,,3,,,,,,,
"Net Interest Paid/(Received)",129,140,116,89,,1475,,114,98,-65,-194,-614,-4500,-1000,,,,,
"Income Before Tax",-2602,-2140,-2880,-8088,1526,-2295,-1272,-2911,-6873,-10704,-4471,-35500,5000,2200,100,-700,-1500,-700,
"Taxation",,,,,,,,,,,,60,3100,3000,300,,300,,
"Profit For The Period",-2602,-2140,-2880,-8088,1526,-2295,-1272,-2911,-6873,-10704,-4471,-35560,1900,-800,-300,-700,-300,-700,
"Income Attributable To Minority Interests",,,,,,-312,,-1,,-2,,-79,,,,,,,
"Attributable Income Before Extraordinary Items",-2602,-2140,-2880,-8088,1526,-1983,-1272,-2910,-6873,-10702,-4471,-35481,1900,-800,-300,-700,-300,-700,
"Extraordinary Profit",,,,,,2617,-2857,-12426,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,,2617,-2857,-12426,,,,,,,,,,,
"Income Attributable To Equity Holders",-2602,-2140,-2880,-8088,1526,634,-4129,-15336,-6873,-10702,-4471,-35481,1900,-800,-300,-700,-300,-700,
"Total Comprehensive Income/Loss for the period",-2602,-2140,-2880,-8088,,322,,-15337,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-2602,-2140,-2880,-6703,-1526,-9326,-1272,-2912,-6873,-10701,-4471,-35560,-2600,-1800,-2200,-700,-1800,-700,
"Enterprise Value (EV)",4786378,4786378,4786378,4786378,64924,108369,59901.19,29506.54,65338.74,119289.19,130158.29,152879.82,1194,11792.33,-8304.72,-3905.31,-4705.31,-5305.31,

Balance sheet (ZAR '000),"Feb 2020","Feb 2019","Feb 2018","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","1 Dec 2020","1 Dec 2020","1 Dec 2020","7 Dec 2016","28 Jun 2016","4 Dec 2015","29 May 2015","15 Dec 2014","4 Jun 2014","28 Nov 2013","31 May 2013","19 Nov 2012","31 May 2012","30 Nov 2011","27 May 2011","26 Nov 2010","28 May 2010",
"Fixed Assets",,,,,,,143,239,474,577,713,790,,,,,,,
"Intangible Assets",,,,,,,1200,1200,1200,1200,1200,1200,,,,,,,
"Deferred Tax Asset",,,,,,,,,,,,,4600,4600,5600,5700,5600,5600,
"Other Assets",250,250,250,250,403,250,830,687,563,563,570,250,,,,,,,
"Total Fixed Assets",250,250,250,250,403,250,2173,2126,2237,2340,2483,2240,4600,4600,,,,,
"Debtors",1706,1337,1056,843,274,213,124,252,275,991,2076,1077,,,,,,400,
"Cash",1,1,1,1,7,400,1546,33,1509,31,972,4731,38400,39600,41100,39900,41300,41600,
"Tax",,,,,,,,,,,,1167,,,,,,,
"Other Current Assets",,,,,,1384,,,,,,,,,,,,,
"Total Current Assets",1707,1338,1057,844,281,1997,1670,285,1784,1022,3048,6975,38400,39600,,,,,
"Total Assets",1957,1588,1307,1094,684,2247,3843,2411,4021,3362,5531,9215,43000,44200,46700,45600,46900,47600,
"Ordinary Share Capital & Premium",99469,99469,99469,99468,99468,99468,91595,87889,87890,85747,82747,82747,169200,169200,169200,169200,169200,169200,
"Distributable Reserves",-116004,-113402,-111263,-108383,-102726,-100295,-105058,-100929,-92465,-85592,-79362,-74891,-127800,-127000,-125200,-125700,-125000,-123900,
"Non-Distributable Reserves",,,,,,,1779,1779,,,,,,,,,,,
"Other Capital",,,,,,,614,,5645,,,,,,,,,,
"Ordinary Shareholders' Interest",-16535,-13933,-11794,-8915,-3258,-827,-11070,-11261,1069,155,3385,7856,41400,42200,44000,43500,44200,45300,
"Minority Interest",-13,-13,-13,-13,-338,-13,-89,-89,-88,-88,-86,-86,,,,,,,
"Near Equities",,,,,,,,,,,,,,,300,300,300,200,
"Total Shareholders' Interest",-16548,-13946,-11807,-8928,-3596,-840,-11159,-11350,982,67,3299,7771,41400,42200,44300,43800,44500,45500,
"Interest Bearing Loans",,,,,,,,,,,,,1600,2000,2400,1800,2400,2100,
"Deferred Tax Liability",,,,,,,,,,,,,,,2700,2100,2700,2300,
"Other Long-Term Liabilities",14865,12693,10381,7511,473,,8289,11350,1621,1623,1444,443,,,,,,,
"Total Long-Term Liabilities",14865,12693,10381,7511,473,,8289,11350,1621,1623,1444,443,1600,2000,,,,,
"Creditors and Provisions",3640,2841,2733,2406,3807,3087,713,1444,1418,1547,788,1001,,,,,,,
"Bank Overdrafts/Short-Term Loans",,,,,,,,,,125,,,,,,,,,
"Other Current Liabilities",,,,105,,,6000,967,,,,,,,,,,,
"Total Current Liabilities",3640,2841,2733,2511,3807,3087,6713,2411,1418,1672,788,1001,,,,,,,
"Total Liabilities",18505,15534,13114,10022,4280,3087,15002,13761,3039,3295,2232,1444,1600,2000,,,,,
"Total Equity and Liabilities",1957,1588,1307,1094,684,2247,3843,2411,4021,3362,5531,9215,43000,44200,,,,,

Share/unit data,"Feb 2020","Feb 2019","Feb 2018","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","1 Dec 2020","1 Dec 2020","1 Dec 2020","7 Dec 2016","28 Jun 2016","4 Dec 2015","29 May 2015","15 Dec 2014","4 Jun 2014","28 Nov 2013","31 May 2013","19 Nov 2012","31 May 2012","30 Nov 2011","27 May 2011","26 Nov 2010","28 May 2010",
"Number of Shares in Issue (Actual)",435126517,435126517,435126517,435126517,4351265,4351265,2279118.08,2279118.08,1968698.37,1923922.44,1874518.48,1855256.73,379940,379941,379941,379941,379941,379941,
"Near Equities",435126517,435126517,435126517,,,,,,,,,,,,,,,,
"Weighted Average Shares in Issue (Actual)",435126517,435126517,435126517,435126517,4351265,2477274,2279118.08,2064068.66,1550381.52,1481720.85,1458033.55,1637221.82,379940,379941,379941,379941,379941,379941,
"Fully Diluted Weighted Average Shares in Issue",,,,435126517,4351265,2477274,,2064068.66,,,,,,,,,,,
"Market Capitalisation (R'000)",4786392,4786392,4786392,4786392,65269,108782,61536.19,29628.54,66935.74,119283.19,131216.29,157696.82,37994,49392.33,30395.28,34194.69,34194.69,34194.69,
"Number of Months",12,12,12,12,6,12,6,12,6,12,6,6,12,,,,,,
"Number of Employees",,,,,,,,,,,,,,,99,,99,,

Share statistics,"Feb 2020","Feb 2019","Feb 2018","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","1 Dec 2020","1 Dec 2020","1 Dec 2020","7 Dec 2016","28 Jun 2016","4 Dec 2015","29 May 2015","15 Dec 2014","4 Jun 2014","28 Nov 2013","31 May 2013","19 Nov 2012","31 May 2012","30 Nov 2011","27 May 2011","26 Nov 2010","28 May 2010",
"Earnings Per Share (ZARc)",-0.6,-0.49,-0.66,-1.86,-35,0.13,-181,-743,-443.31,-722,-306.65,-2167,500.08,-210.56,,-1.84,-500,-1.84,
"Diluted Earnings Per Share (ZARc)",-0.6,-0.49,-0.66,-1.86,-35,0.13,-181,-743,,-722,,,-680,-500,,-20,-50,,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-0.6,-0.49,-0.66,-1.54,-35,-3.76,-56,-141,-443,-722,-307,-2167,-680,-1800,-600,-700,-500,-200,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-0.6,-0.49,-0.66,-1.54,-35,-3.76,-56,-141,,-722,,,-680,-500,-600,-20,-50,,
"Distributions Per Share (ZARc)",,,,,,,,,,,,,,6.32,6.32,6.32,6.32,6.32,
"Net Asset Value Per Share (ZARc)",-3.8,-3.2,-2.71,-2.05,-73,-19.01,-485.71,-494.09,69,10,232,539,10896.46,11106.99,11580.75,11449.15,11633.39,11922.9,
"3 Year Beta",,0.18,-1.01,-1.03,-1.15,-1.25,-3.19,0.23,0.3,0.42,0.48,0.61,0.82,0.29,0.49,0.29,0.24,0.28,
"Cash Generated Per Share",-0.07,-0.09,-0.25,-0.73,-19.93,-207.18,-180.42,-558.72,-309.09,-450.12,-236.81,-1120.38,-710.64,-394.8,-52.64,-368.48,-368.48,-289.52,
"Net Asset Value Per Share (Base Currency)",-3.8,-3.2,-2.71,-2.05,-73,-19.01,-486,-494,69,10,232,539,10896,11107,11581,11449,11633,11923,
