Income statement (million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","2 Jun 2020","14 Nov 2019","23 May 2019","15 Nov 2018","24 May 2018","16 Nov 2017","24 May 2017","10 Nov 2016","25 May 2016","12 Nov 2015","21 May 2015","6 Nov 2014","21 May 2014","6 Nov 2013","22 May 2013","6 Nov 2013","6 Nov 2013","22 May 2012","8 Nov 2011","24 May 2011","9 Nov 2010","26 May 2010",
,"GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR",
"Turnover",1411,3083,1515,2932,1387,2876,1405,2749,1283,2107,1010,35238,16828,30495,14128,24436,11672,11672,21986,10467,18625,8768,17141,
"Cost of Sales",,1960,975,1890,872,1779,885,1696,784,1264,616,19887,9742,17189,8050,13881,6742,6742,12314,5968,10327,5009,9573,
"Gross Profit",,1123,540,1042,,,,,,,,,,,,,,,,,,3759,,
"Operating Expenses",,1311,391,958,476,1387,382,689,330,554,240,8116,3784,6562,3034,5428,2512,2512,5003,2320,4112,1893,3735,
"EBITDA (ProfileData Calc)",159,13,,76,-53,-235,,512,,383,,7194,3421,6621,2981,5473,2473,2473,4466,2086,4060,1798,3781,
"Depreciation",106,217,,168,76,168,,145,,93,,1512,723,1239,574,994,465,465,910,436,738,351,718,
"Operating Income",64,-184,149,81,39,-288,133,362,169,288,154,5723,2579,5505,2470,4133,1953,1953,3759,1743,3448,1515,3115,
"Profit Before Exceptional Items",64,-184,149,81,39,-288,133,362,169,288,154,5723,2579,5505,2470,4133,1953,1953,3759,1743,3448,1515,3115,
"Exceptional Item 1",,-10,,-164,-164,-109,-109,,,,,92,190,2,,534,183,183,-26,-29,13,,28,
