Income statement (ZAR '000),"Sep 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","28 May 2020","30 Jan 2020","31 Oct 2019","1 Aug 2019","14 May 2019","31 Jan 2019","1 Nov 2018","2 Aug 2018","10 May 2018","1 Feb 2018","2 Nov 2017","3 Aug 2017","25 May 2017","2 Feb 2017","3 Nov 2016","4 Aug 2016","26 May 2016","4 Feb 2016","5 Nov 2015","6 Aug 2015","28 May 2015","12 Feb 2015","6 Nov 2014","12 Feb 2015","5 Jun 2014","7 Nov 2013","10 Jun 2013","12 Nov 2012","11 Jun 2012","17 Nov 2011","13 Jun 2011","15 Nov 2010","7 Jun 2010",
"Turnover",1019408,2151997,536619,1059961,521735,1975863,514407,953559,456822,1712482,442125,816830,405662,1540058,401375,747256,379096,1465021,378615,702382,344128,1389380,351484,670210,319210,1271658,613408,1171480,564341,1018482,468974,886604,435575,840488,
"Cost of Sales",336875,796800,193588,364722,178914,655844,176622,311168,151062,586963,153526,275864,134132,498785,134032,238369,123319,439305,121048,219280,102246,449663,120840,218559,107628,422034,211036,424545,210945,390926,182820,340168,171137,337603,
"Gross Profit",682533,1355197,343031,695239,342821,1320019,337785,642391,305760,1125519,288599,540966,271530,1041273,267343,508887,255777,1025716,257567,483102,241882,939717,230644,451651,211582,849624,402372,746935,353396,627556,286154,546436,264438,502885,
"Operating Expenses",554966,1044048,264676,521893,261252,982116,251481,488383,238024,914813,235485,455676,231559,903837,219520,460321,233366,887876,224340,423675,208717,793651,202669,392767,189623,680277,331998,565318,281649,488176,241833,434133,220565,394577,
"EBITDA (ProfileData Calc)",,701289,,,,630030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Depreciation",,257323,,,,183478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Operating Income",127698,311278,78292,173404,81813,338912,86671,154431,67724,214952,53016,88169,42914,137862,47854,49096,22870,139084,33657,59770,32567,149861,31012,59668,22528,171498,71983,185877,76345,146388,47469,117180,44336,109855,
"Profit Before Exceptional Items",127698,311278,78292,173404,81813,338912,86671,154431,67724,214952,53016,88169,42914,137862,47854,49096,22870,139084,33657,59770,32567,149861,31012,59668,22528,171498,71983,185877,76345,146388,47469,117180,44336,109855,
"Amortisation",,121892,,,,95354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",127698,311278,78292,173404,81813,338912,86671,154431,67724,214952,53016,88169,42914,137862,47854,49096,22870,139084,33657,59770,32567,149861,31012,59668,22528,171498,71983,185877,76345,146388,47469,117180,44336,109855,
"Interest Received",3729,10792,2071,6710,3972,12286,2567,5970,2678,8951,1996,3900,2001,16068,1216,23082,25401,152164,70195,107627,13311,82905,20241,38582,2068,43264,10390,2018,1090,2392,865,2193,1532,3665,
"Interest Paid",13397,24934,7055,7582,2902,10900,2812,5342,2523,9020,2672,3984,5486,5677,5679,4087,286,1837,598,787,354,2127,377,1369,752,2604,1266,8029,1993,5265,3373,13625,8395,19994,
"Net Interest Paid/(Received)",9668,14142,4984,872,-1070,-1386,245,-628,-155,69,676,84,3485,-10391,4463,-18995,-25115,-150327,-69597,-106840,-12957,-80778,-19864,-37213,-1316,-40660,-9124,6011,903,2873,2508,11432,6863,16329,
"Income From Associates Before Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-529,
"Income Before Tax",118030,297136,73308,172532,82883,340298,86426,155059,67879,214883,52340,88085,39429,148253,43391,68091,47985,289411,103254,166610,45524,230639,50876,96881,23844,212158,81107,179866,75442,143515,44961,105748,37473,92997,
"Taxation",19827,152118,2206,61328,16198,137962,29855,86274,53445,33690,-6439,29941,5523,26812,8314,12973,16065,106920,45321,55814,14453,81623,18978,31874,7785,60574,24519,51400,21972,40275,14751,34247,13886,26909,
"Profit For The Period",98203,145018,71102,111204,66685,202336,56571,68785,14434,181193,58779,58144,33906,121441,35077,55118,31920,182491,57933,110796,31071,149016,31898,65007,16059,151584,56588,128466,53470,103240,30210,71501,23587,66088,
"Income Attributable To Minority Interests",-4,-4,-1,,1,,-1,-1,,59,-1,60,69,-17,-5,-12,-5,-498,-14,-324,-167,-606,-93,-184,-23,-5,,-5,,,,,,,
"Attributable Income Before Extraordinary Items",98207,145022,71103,111204,66684,202336,56572,68786,14434,181134,58780,58084,33837,121458,35082,55130,31925,182989,57947,111120,31238,149622,31991,65191,16082,151589,56588,128471,53470,103240,30210,71501,23587,66088,
"Income Attributable To Equity Holders",98207,145022,71103,111204,66684,202336,56572,68786,14434,181134,58780,58084,33837,121458,35082,55130,31925,182989,57947,111120,31238,149622,31991,65191,16082,151589,56588,128471,53470,103240,30210,71501,23587,66088,
"Total Comprehensive Income/Loss for the period",67483,292559,,129495,,318083,,164729,,120625,,76940,,40512,,-3023,,270690,,177254,,,,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",98434,147826,,112720,,202595,,68652,,182186,,57898,,123442,,55268,,187731,,111020,,148811,,66079,,151786,56628,132352,54764,104679,30659,74542,23606,66473,
"Enterprise Value (EV)",2788208,3034606,3700631,4384923,4358905,4987619,4468053,4258700,5285566,3859601,3436699,2728634,1967354,1544520,1627392,1647073,1189234,909282,1219261,1394019,2061733,1652112,1548053,2628744,2673365,2797903,3832021,2341926,1511358,1078087,965263,774141,947274,699092,

Balance sheet (ZAR '000),"Sep 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","28 May 2020","30 Jan 2020","31 Oct 2019","1 Aug 2019","14 May 2019","31 Jan 2019","1 Nov 2018","2 Aug 2018","10 May 2018","1 Feb 2018","2 Nov 2017","3 Aug 2017","25 May 2017","2 Feb 2017","3 Nov 2016","4 Aug 2016","26 May 2016","4 Feb 2016","5 Nov 2015","6 Aug 2015","28 May 2015","12 Feb 2015","6 Nov 2014","12 Feb 2015","5 Jun 2014","7 Nov 2013","10 Jun 2013","12 Nov 2012","11 Jun 2012","17 Nov 2011","13 Jun 2011","15 Nov 2010","7 Jun 2010",
"Fixed Assets",453013,529832,556138,560805,455002,457446,476217,461968,433474,334038,355414,352503,308312,294120,276892,277442,253393,235584,209076,168925,140595,135844,139853,132914,130506,129079,117550,96547,47788,85207,44070,81038,42765,44424,
"Investments and Loans",9075,,8938,,,,,,,,,,,,,,,,,,,,,,,,,,,,5738,,3903,2683,
"Intangible Assets",1019580,1020505,974236,977374,958034,955646,941351,934225,924645,898527,901651,909920,889794,881900,864135,845804,846797,846851,846631,823754,791736,778518,772032,707836,697118,692190,662322,645736,643791,643086,654712,647013,651756,653171,
"Deferred Tax Asset",66162,62962,54345,57603,52298,51666,44737,44857,38867,40717,39843,33124,30364,28130,36048,35895,33020,30005,35756,34955,27050,23607,27266,27116,24300,19825,18552,13868,17735,13266,15584,11302,13586,8209,
"Other Assets",58687,73567,64188,70472,56508,54066,52653,50290,48951,,,,6,22,40,60,116,167,113,413,950,1002,1712,3295,4913,6677,6975,6359,,,,,,,
"Total Fixed Assets",1606517,1686866,1657845,1666254,1521842,1518824,1514958,1491340,1445937,1273282,1296908,1295547,1228476,1204172,1177115,1159201,1133326,1112607,1091576,1028047,960331,938971,940863,871161,856837,847771,805399,762510,709314,741559,720104,703120,712010,708487,
"Stock",63624,58618,64936,56610,52665,51263,66124,66154,67603,57013,54356,53738,40811,26449,44526,45942,69134,64489,63579,52467,48464,38934,52057,46192,49552,39774,51973,38927,83954,35903,76178,62588,67141,54500,
"Debtors",403667,523779,476778,443203,433801,376475,361094,351726,379577,286406,290366,299984,295143,260576,258805,277628,301100,293045,318670,280579,272779,261574,262217,260108,252163,234839,215123,186987,206755,163125,141251,114744,118635,126929,
"Cash",588873,334292,315029,313787,375322,403630,339550,379917,278552,329193,288471,297677,303862,389050,372855,360818,867548,898270,922983,947268,971330,975920,907185,918100,829800,840728,777404,155937,93176,121828,113367,110007,104065,155011,
"Tax",27019,34565,11600,19098,14592,24119,3440,12371,21906,30373,24203,26689,24411,26302,22138,21651,10141,8886,3050,11309,5125,7602,7905,13148,99,7336,3022,4823,,,1441,1897,1503,1857,
"Other Current Assets",,,,,17058,17058,17058,17058,17058,17058,,62,96,140,183,271,573,984,1719,3789,4351,5607,6921,6816,17158,6652,5350,3604,6656,6001,2274,1852,1653,1639,
"Total Current Assets",1083183,951254,868343,832698,893438,872545,787266,827226,764696,720043,657396,678150,664323,702517,698507,706310,1248496,1265674,1310001,1295412,1302049,1289637,1236285,1244364,1148772,1129329,1052872,390278,390541,326857,334511,254855,292997,339936,
"Total Assets",2689700,2638120,2526188,2498952,2415280,2391369,2302224,2318566,2210633,1993325,1954304,1973697,1892799,1906689,1875622,1865511,2381822,2378281,2401577,2323459,2262380,2228608,2177148,2115525,2005609,1977100,1858271,1152788,1099855,1068416,1054615,994208,1005007,1048423,
"Ordinary Share Capital & Premium",656747,642362,665946,667154,786633,786633,786631,857475,846405,846405,841239,837004,835679,854345,854345,851802,1325484,1320955,1316195,1344864,1436993,1436993,1436993,1435033,1431992,1429250,1416673,790491,789410,787602,787366,787366,787366,787366,
"Distributable Reserves",992400,937971,994454,948045,926026,881819,821694,781968,744538,722380,672167,627371,617080,594514,574537,550723,542780,526082,527255,482172,481577,450347,397907,365916,,300725,205724,188750,140127,139233,66203,75413,27499,36762,
"Non-Distributable Reserves",,,,,,,,,,,,,,,,,,,,,,,,,-52154,,,,,,,,,,
"Other Capital",219864,237201,69037,106547,58150,83212,66949,51099,35916,-51614,-33707,17788,-14887,-4370,6029,21604,62304,74262,104525,47886,-4049,-21894,-31575,-36761,316801,-58335,-78461,-111362,-135863,-154745,-153316,-179844,-177475,-174306,
"Ordinary Shareholders' Interest",1869011,1817534,1729437,1721746,1770809,1751664,1675274,1690542,1626859,1517171,1479699,1482163,1437872,1444489,1434911,1424129,1930568,1921299,1947975,1874922,1914521,1865446,1803325,1764188,1696639,1671640,1543936,867879,793674,772090,700253,682935,637390,649822,
"Minority Interest",7,11,11,14,12,13,11,12,12,10,12,14,-1367,-1558,-1543,-1551,-1658,-1491,-1260,-1082,-1070,-874,-744,-651,-490,-10,-5,-5,,,,,,,
"Total Shareholders' Interest",1869018,1817545,1729448,1721760,1770821,1751677,1675285,1690554,1626871,1517181,1479711,1482177,1436505,1442931,1433368,1422578,1928910,1919808,1946715,1873840,1913451,1864572,1802581,1763537,1696149,1671630,1543931,867874,793674,772090,700253,682935,637390,649822,
"Interest Bearing Loans",,,,,,,,,,,,,,,,,,,,373,744,1104,1456,1799,,2462,,,,,15783,36070,56551,96056,
"Deferred Tax Liability",200812,225743,142519,162590,137304,139049,139348,132369,123649,82658,96084,111743,98222,100067,109551,109882,125934,120981,135981,104173,74719,63425,53616,38486,25043,20601,11965,8605,12572,25816,25892,28170,28035,27067,
"Share Incentive Scheme",,,,,,,,,,,,,,,,,,,2057,1794,2045,1950,1950,,1950,,,,,,,,,,
"Other Long-Term Liabilities",85862,101374,104126,103170,37039,35207,39110,38748,37521,2132,1768,1981,1840,1833,1822,2498,3622,3514,5403,4743,4117,4005,2878,4750,4646,2282,2427,283,,,,1092,15290,14703,
"Total Long-Term Liabilities",286674,327117,246645,265760,174343,174256,178458,171117,161170,84790,97852,113724,100062,101900,111373,112380,129556,124495,143441,111083,81625,70484,59900,45035,31639,25345,14392,8888,12572,25816,41675,65332,99876,137826,
"Creditors and Provisions",428178,418255,463880,450154,428048,421918,394215,405702,375790,370802,347168,342909,314596,337888,277475,283986,295152,313706,277668,288124,241819,270601,268714,247888,205057,248124,211829,184397,153938,157038,163882,133190,133967,124090,
"Tax",26293,13191,14048,3840,11964,2511,12367,5894,5154,2832,9517,6872,8634,4521,18004,10654,13776,2795,3935,344,4880,3586,9583,744,6279,2912,4462,10691,16297,11403,7651,4669,3239,3964,
"Bank Overdrafts/Short-Term Loans",54158,42416,55721,39197,20708,30262,32224,34977,30781,17720,20056,28015,33002,19449,35402,35913,13364,17477,29818,50068,20605,19365,36370,58321,46473,29089,64484,56005,89236,50165,83917,39968,28998,35347,
"Other Current Liabilities",25379,19596,16446,18241,9396,10745,9675,10322,10867,,,,,,,,1064,,,,,,,,20012,,19173,24933,34138,51904,57237,68114,101537,97374,
"Total Current Liabilities",534008,493458,550095,511432,470116,465436,448481,456895,422592,391354,376741,377796,356232,361858,330881,330553,323356,333978,311421,338536,267304,293552,314667,306953,277821,280125,299948,276026,293609,270510,312687,245941,267741,260775,
"Total Liabilities",820682,820575,796740,777192,644459,639692,626939,628012,583762,476144,474593,491520,456294,463758,442254,442933,452912,458473,454862,449619,348929,364036,374567,351988,309460,305470,314340,284914,306181,296326,354362,311273,367617,398601,
"Total Equity and Liabilities",2689700,2638120,2526188,2498952,2415280,2391369,2302224,2318566,2210633,1993325,1954304,1973697,1892799,1906689,1875622,1865511,2381822,2378281,2401577,2323459,2262380,2228608,2177148,2115525,2005609,1977100,1858271,1152788,1099855,1068416,1054615,994208,1005007,1048423,

Share/unit data,"Sep 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","28 May 2020","30 Jan 2020","31 Oct 2019","1 Aug 2019","14 May 2019","31 Jan 2019","1 Nov 2018","2 Aug 2018","10 May 2018","1 Feb 2018","2 Nov 2017","3 Aug 2017","25 May 2017","2 Feb 2017","3 Nov 2016","4 Aug 2016","26 May 2016","4 Feb 2016","5 Nov 2015","6 Aug 2015","28 May 2015","12 Feb 2015","6 Nov 2014","12 Feb 2015","5 Jun 2014","7 Nov 2013","10 Jun 2013","12 Nov 2012","11 Jun 2012","17 Nov 2011","13 Jun 2011","15 Nov 2010","7 Jun 2010",
"Number of Shares in Issue (Actual)",551064000,547117000,549990000,550118000,562471000,561947000,561808000,569756000,564625000,564420000,562231000,559381000,558499000,563435000,563435000,562259000,763088000,759138000,754888000,763976000,792838000,792838000,792838000,790788000,787513000,784150000,772950000,659963000,658825000,657000000,657000000,657000000,657000000,657000000,
"Weighted Average Shares in Issue (Actual)",547569000,553653000,550133000,558401000,562060000,563578000,561934000,565249000,564465000,561088000,560282000,560677000,562552000,629626000,562858000,695746000,760078000,775139000,762955000,790782000,792383000,789316000,791537000,786468000,784696000,732171000,688787000,658456000,657289000,657045000,657000000,657000000,657000000,657000000,
"Fully Diluted Weighted Average Shares in Issue",558216000,568037000,562412000,574462000,579241000,583647000,579633000,587152000,586627000,573981000,577579000,566715000,567033000,631819000,567005000,697920000,763479000,783414000,770929000,801435000,803709000,804385000,804398000,804660000,804352000,768306000,727259000,674772000,671954000,662322000,660841000,658366000,660394000,657974000,
"Market Capitalisation (R'000)",3322916,3326471,3959928,4659499,4713507,5360974,4775368,4603628,5533325,4171064,3705102,2998282,2239581,1915679,1966388,1973529,2045076,1791566,2113686,2291928,3012784,2608437,2418156,3487375,3457182,3607090,4544946,2441863,1515298,1149750,978930,808110,965790,722700,
"Number of Months",6,12,3,6,3,12,3,6,3,12,3,6,3,12,3,6,3,12,3,6,3,12,3,6,3,12,6,12,6,12,6,12,6,12,
"Number of Employees",,1103,,,,1078,,,,1054,,,,1056,,,,1089,,,,1056,,,,,,,,,,765,,716,

Share statistics,"Sep 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","28 May 2020","30 Jan 2020","31 Oct 2019","1 Aug 2019","14 May 2019","31 Jan 2019","1 Nov 2018","2 Aug 2018","10 May 2018","1 Feb 2018","2 Nov 2017","3 Aug 2017","25 May 2017","2 Feb 2017","3 Nov 2016","4 Aug 2016","26 May 2016","4 Feb 2016","5 Nov 2015","6 Aug 2015","28 May 2015","12 Feb 2015","6 Nov 2014","12 Feb 2015","5 Jun 2014","7 Nov 2013","10 Jun 2013","12 Nov 2012","11 Jun 2012","17 Nov 2011","13 Jun 2011","15 Nov 2010","7 Jun 2010",
"Earnings Per Share (ZARc)",18,26,13,20,12,36,10,12,3,32,10,10,6,19,6,8,4,24,8,14,4,19,4,8.29,2,21,8.22,20,8.13,15.71,4.6,10.9,3.59,10.1,
"Diluted Earnings Per Share (ZARc)",18,26,13,19,12,35,10,12,2,32,10,10,6,19,6,8,4,23,8,14,4,19,4,8,2,20,8,19,8,15.6,4.6,10.9,3.6,10,
"Headline Earnings Per Share (Cont Ops) (ZARc)",18,27,,20,,36,,12,,32,,10,,20,,8,,24,,14,,19,,8,,21,8.2,20,8.3,15.93,4.7,11.3,3.6,10.1,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",18,26,,20,,35,,12,,32,,10,,20,,8,,24,,14,,18,,8,,20,7.8,20,8.1,15.8,4.6,11.3,3.6,10.1,
"Interim Dividend (ZARc)",4,4,,4,,3,,3,,2.5,,2.5,,2,2,2,,2,,2,,,,,,,,4,4,,,,,,
"Final Dividend (ZARc)",,4,,,,4,,,,3,,,,2,,,,2,,,,8,,,,,,6,,8,,6,,5,
"Dividend Per Share (ZARc)",4,8,,4,,7,,3,,5.5,,2.5,,4,2,2,,4,,2,,8,,,,,,10,4,8,,6,,5,
"Other Distributions (ZARc)",4,8,4,4,4,6,3,,3,5,2.5,,2.5,4,,,2,4,2,,2,,,,,,,,,,,,,,
"Distributions Per Share (ZARc)",8,16,4,8,4,13,3,3,3,10.5,2.5,2.5,2.5,8,2,2,2,8,2,2,2,8,,,,,,10,4,8,,6,,5,
"Net Asset Value Per Share (ZARc)",339,332,314.45,313,314.83,312,298.19,297,288.13,269,263.18,265,257.45,256,254.67,253,252.99,253,258.05,245,241.48,235,227.45,223.09,215.44,213,199.75,131.5,120.47,117.52,106.58,103.95,97.02,98.91,
"3 Year Beta",0.5,0.32,-0.33,-0.14,-0.26,0.09,0.12,0.72,0.64,0.48,0.5,0.47,0.29,0.54,0.31,0.27,0.52,0.36,0.22,-0.01,0.03,0.23,0.59,0.25,0.16,0.12,0.15,0.36,0.15,-0.1,1.05,1.23,,,
"Cash Generated Per Share",68.72,82.86,21.6,41.56,16.17,82.54,23.67,35.36,4.03,62.58,19.48,21.86,3.28,57.43,17.27,17.29,3.68,31.67,3.53,13.97,4.44,27.45,7.65,8.51,0.78,25.99,9.18,32.11,7.9,23.3,8.48,21.96,8.49,18.72,
"Net Asset Value Per Share (Base Currency)",339,332,314.45,313,314.83,312,298.19,297,288.13,269,263.18,265,257.45,256,254.67,253,252.99,253,258.05,245,241.48,235,227.45,223.09,215.44,213,199.75,131.5,120.47,117.52,106.58,103.95,97.02,98.91,
"Price at Period End (Base Currency)",603,608,720,847,838,954,850,808,980,739,659,536,401,340,349,351,268,236,280,300,380,329,305,441,439,460,588,370,230,175,149,123,147,110,
