Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","29 May 2020","29 Nov 2019","31 May 2019","12 Nov 2018","31 May 2018",
"Turnover",161481,297220,141541,226977,84112,44190,
"Operating Expenses",58831,115755,53755,95409,43490,28385,
"Operating Income",108826,172439,88805,132711,49621,24371,
"Profit Before Exceptional Items",108826,172439,88805,132711,49621,24371,
"Exceptional Item 1",-2784,-16012,-5506,-19692,,,
"Profit Before Interest And Tax",106042,156427,83299,113019,49621,24371,
"Interest Paid",53166,84338,41713,56975,20674,6905,
"Net Interest Paid/(Received)",53166,84338,41713,56975,20674,6905,
"Income From Associates Before Tax",4503,-5807,244,-6735,-6128,3054,
"Income Before Tax",57379,66282,41830,49309,22819,20520,
"Taxation",10346,20124,10264,17270,7733,4686,
"Profit For The Period",47033,46158,31566,32039,15086,15834,
"Income Attributable To Minority Interests",11083,22625,10847,16622,5685,,
"Attributable Income Before Extraordinary Items",35950,23533,20719,15417,9401,15834,
"Income Attributable To Equity Holders",35950,23533,20719,15417,9401,15834,
"Total Comprehensive Income/Loss for the period",102765,81419,28838,65846,58101,15834,
"Headline Earnings (Cont Ops)",27668,33938,25720,31701,8605,15508,
"Enterprise Value (EV)",1470256,1479301,1199036,897948,1099187,88940,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","29 May 2020","29 Nov 2019","31 May 2019","12 Nov 2018","31 May 2018",
"Fixed Assets",2667,2930,10355,1693,1703,592,
"Right-of-use Asset",6936,7029,,,,,
"Investments in Associates",96630,87030,95105,37111,49466,53123,
"Investments and Loans",48119,44770,45992,101435,58840,39463,
"Goodwill",2905,2905,5595,5595,7475,7475,
"Deferred Tax Asset",1326,1774,975,1644,1129,1142,
"Other Assets",,,11124,10932,32297,31234,
"Long-Term Receivables",30705,32593,35260,36421,29263,18285,
"Total Fixed Assets",189288,179031,204406,194831,180173,151314,
"Debtors",1693410,1566636,1281201,1201909,31999,35827,
"Cash",312602,90702,180412,109648,91500,6278,
"Tax",76,59,,11,,1,
"Other Current Assets",16758,15236,32350,26012,1196451,29655,
"Total Current Assets",2022846,1672633,1493963,1337580,1319950,71761,
"Total Assets",2212134,1851664,1698369,1532411,1500123,223075,
"Ordinary Share Capital & Premium",545828,545828,545828,545828,545828,100622,
"Distributable Reserves",68830,67910,65053,38765,31599,22198,
"Non-Distributable Reserves",-122864,-123212,-123560,-123560,-121226,,
"Translation Reserves",105303,58177,26067,28572,36530,,
"Other Capital",,,,,55723,,
"Ordinary Shareholders' Interest",597097,548703,513388,489605,548454,122820,
"Minority Interest",75324,70495,66182,60317,,,
"Total Shareholders' Interest",672421,619198,579570,549922,548454,122820,
"Interest Bearing Loans",1182494,960225,719573,731099,888012,43757,
"Deferred Tax Liability",1141,1247,954,771,1303,309,
"Other Long-Term Liabilities",198411,175270,120704,197435,,,
"Total Long-Term Liabilities",1382046,1136742,841231,929305,889315,44066,
"Creditors and Provisions",18815,19186,21720,23485,22528,4646,
"Tax",5687,7771,9424,7800,9043,82,
"Bank Overdrafts/Short-Term Loans",122146,67181,245178,21899,30783,51461,
"Other Current Liabilities",11019,1586,1246,,,,
"Total Current Liabilities",157667,95724,277568,53184,62354,56189,
"Total Liabilities",1539713,1232466,1118799,982489,951669,100255,
"Total Equity and Liabilities",2212134,1851664,1698369,1532411,1500123,223075,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","29 May 2020","29 Nov 2019","31 May 2019","12 Nov 2018","31 May 2018",
"Number of Shares in Issue (Actual)",247174000,247174000,247174000,215868000,247174375,96291720,
"Weighted Average Shares in Issue (Actual)",247174000,247174375,247174000,215867829,185072000,96291720,
"Fully Diluted Weighted Average Shares in Issue",248149000,247958471,247174000,215867829,185072000,96291720,
"Market Capitalisation (R'000)",402894,472102,348515,194281,271892,,
"Number of Months",6,12,6,12,6,12,
"Number of Employees",,8,,8,,6,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","29 May 2020","29 Nov 2019","31 May 2019","12 Nov 2018","31 May 2018",
"Earnings Per Share (ZARc)",14.54,9.52,8.38,7.14,5.08,16.44,
"Diluted Earnings Per Share (ZARc)",14.49,9.49,8.38,7.14,5.08,16.44,
"Headline Earnings Per Share (Cont Ops) (ZARc)",11.19,13.73,10.41,14.69,4.65,16.11,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",11.15,13.69,10.41,14.69,4.65,16.11,
"Net Asset Value Per Share (ZARc)",242,222,208,198,221.89,127.55,
"Cash Generated Per Share",33.79,-77.78,-20.54,-28.56,-22.33,5.92,
"Net Asset Value Per Share (Base Currency)",242,222,208,198,221.89,127.55,
