Income statement (USD '000),"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"29 Jun 2020","20 Dec 2019","3 Jun 2019","18 Dec 2018","22 Jun 2018","21 Dec 2017","14 Jun 2017","22 Dec 2016","9 Jun 2016","23 Dec 2015","9 Jun 2015","19 Dec 2014","9 Jun 2014","20 Dec 2013","10 Jun 2013","20 Dec 2012","11 Jun 2012","21 Dec 2011","15 Jun 2011","31 Dec 2010","4 Jun 2010",
"Turnover",68985,201883,105116,210337,196248,343321,162229,247521,115728,262779,124462,212339,104331,209767,109975,210183,101297,196391,104393,163870,93570,
"Operating Expenses",,,,,,329713,156026,231810,112584,256510,119383,205323,100627,201452,106348,201533,97560,185688,98456,154060,88627,
"EBITDA (ProfileData Calc)",-3733,5351,703,6904,6687,11130,4945,10169,5602,11020,,,,,,,,,,,,
"Depreciation",290,520,332,865,558,927,452,744,395,802,,,,,,,,,,,,
"Operating Income",664,8119,2204,9246,7692,12681,4614,10747,2749,5467,5079,7016,3704,8315,3627,8650,3737,10703,5937,9810,4943,
"Non Trading Income",,,,,,,,,,,-25,740,206,-32,-92,-196,-138,-287,-232,-285,-284,
"Other Income",,,,,,,,,2968,6614,200,504,164,460,221,518,172,532,164,397,159,
"Profit Before Exceptional Items",664,8119,2204,9246,7692,12681,4614,10747,5717,12081,5254,8260,4074,8743,3756,8972,3771,10948,5869,9922,4818,
"Exceptional Item 1",-4744,39,-274,,,,,,,,164,774,355,4568,155,1989,1118,1041,370,-508,-280,
"Profit Before Interest And Tax",-4080,8158,1930,9246,7692,12681,4614,10747,5717,12081,5418,9034,4429,13311,3911,10961,4889,11989,6239,9414,4538,
"Interest Received",,,,,,,,,,,127,555,99,467,60,835,338,976,170,670,131,
"Interest Paid",1163,1992,939,2122,1138,2316,532,2502,526,2338,879,2284,992,2986,898,2533,1025,2820,1006,2461,903,
"Net Interest Paid/(Received)",1163,1992,939,2122,1138,2316,532,2502,526,2338,752,1729,893,2519,838,1698,687,1844,836,1791,772,
"Income From Associates Before Tax",110,20,12,,40,36,33,31,19,-16,,,,,,,,,,,,
"Income Before Tax",-5133,6186,1003,7124,6594,10401,5252,8276,5210,9727,4666,7305,3536,10792,3073,9263,4202,10145,5403,7623,3766,
"Taxation",-55,2084,600,1244,2731,2902,1894,2992,1944,2627,1218,2273,1109,4137,814,2671,1642,2792,1430,2678,1023,
"Profit For The Period",-5078,4102,403,5880,3863,7499,3358,5284,3266,7100,3448,5032,2427,6655,2259,6592,2560,7353,3973,4945,2743,
"Income Attributable To Minority Interests",53,3347,1571,3207,1603,2514,1291,1353,529,1847,1180,1735,627,1150,724,1537,701,1903,1075,2012,1183,
"Attributable Income Before Extraordinary Items",-5131,755,-1168,2673,2260,4985,2067,3931,2737,5253,2268,3297,1800,5505,1535,5055,1859,5450,2898,2933,1560,
"Extraordinary Profit",2099,6975,3655,7050,,,,-778,-304,-434,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,6975,3655,7050,,,,-778,-304,-434,,,,,,,,,,,,
"Income Attributable To Equity Holders",-3032,7730,2487,9723,2260,4985,2067,3153,2433,4819,2268,3297,1800,5505,1535,5055,1859,5450,2898,2933,1560,
"Total Comprehensive Income/Loss for the period",-7647,8403,3251,11340,8324,10158,3978,7196,2566,-572,1468,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-5110,3055,196,7410,2279,4535,2061,817,205,3324,2119,2271,1632,1880,1621,4562,2590,4570,2905,2821,,
"Enterprise Value (EV)",686186,670991,656953,772419,610546,687768,635868,659972,627123,575323,507169,400315,332326,288940,251505,236505,238165,218969,209946,10890,-666,

Balance sheet (USD '000),"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"29 Jun 2020","20 Dec 2019","3 Jun 2019","18 Dec 2018","22 Jun 2018","21 Dec 2017","14 Jun 2017","22 Dec 2016","9 Jun 2016","23 Dec 2015","9 Jun 2015","19 Dec 2014","9 Jun 2014","20 Dec 2013","10 Jun 2013","20 Dec 2012","11 Jun 2012","21 Dec 2011","15 Jun 2011","31 Dec 2010","4 Jun 2010",
"Fixed Assets",28746,31254,33754,35089,34825,31320,30182,29697,30320,36391,36018,37137,37131,37706,36884,39851,40143,38977,42927,41637,39363,
"Investments in Associates",562,409,865,192,236,187,186,185,181,2383,2331,,1520,,1587,,1738,,1603,,3390,
"Investments and Loans",29228,31662,31019,31292,31258,27994,25387,25382,24065,20042,21416,21553,20306,19883,16915,16505,14208,17763,17274,17380,15356,
"Goodwill",,,,175,209,183,185,180,169,179,205,220,224,234,257,286,553,525,,,,
