Income statement (EUR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Interim (6m)",
,"6 Aug 2020","27 Feb 2020","1 Aug 2019","28 Feb 2019","3 Aug 2018","2 Mar 2018","3 Aug 2017","23 Feb 2017","4 Aug 2016","25 Feb 2016","6 Aug 2015","24 Feb 2015","7 Aug 2014","28 Feb 2014","8 Aug 2013","21 Feb 2013","7 Aug 2012","23 Feb 2012","28 Jul 2011","21 Feb 2011","28 Jul 2011","10 Aug 2010",
"Turnover",3452,7268,3771,7481,3727,7096,3582,6662,,6819,3459,6402,3148,6476,3342,5790,2819,5739,2942,5610,,3033,
"Cost of Sales",1886,3998,2032,4060,,3977,,3249,,3413,1991,3314,1905,3391,2040,3551,1744,3509,1785,3500,,1901,
"Gross Profit",1566,3270,1697,3421,,3119,,2914,,2894,1468,2589,1243,2562,1302,2239,1075,2230,1157,2110,,1132,
"Operating Expenses",835,1573,803,1702,,1381,,1566,,1622,832,1496,693,1521,774,1338,638,1272,630,1285,,727,
"EBITDA (ProfileData Calc)",,1671,,1686,,,,,,,617,1071,537,1025,516,801,418,918,503,779,391,409,
"Depreciation",213,476,215,527,289,491,227,405,,372,185,365,176,436,243,354,165,390,172,363,,183,
"Operating Income",518,1221,679,1192,530,968,508,943,,900,451,728,374,605,285,547,272,568,355,462,,222,
"Profit Before Exceptional Items",518,1221,679,1192,530,968,508,943,,900,451,728,374,605,285,547,272,568,355,462,,222,
"Exceptional Item 1",,,,,,,,,,,,,,7,,-64,6,-1,1,-18,,1,
"Profit Before Interest And Tax",518,1221,679,1192,530,968,508,943,,900,451,728,374,612,285,483,278,567,356,444,,223,
"Interest Received",,8,,8,,,,,,,2,3,1,3,2,4,,30,15,31,,27,
"Interest Paid",,126,,96,,,,,,,61,113,64,118,59,114,55,141,73,144,,75,
"Net Interest Paid/(Received)",51,118,47,88,40,85,47,101,,105,59,110,63,115,57,110,55,111,58,113,,48,
"Income From Associates Before Tax",-1,,,1,,1,,1,,1,,1,1,2,1,-5,-1,1,2,2,,2,
"Income Before Tax",466,1103,632,1105,490,884,461,843,,796,392,619,312,499,229,368,222,457,300,333,,177,
"Taxation",106,257,146,239,113,173,87,157,,151,79,122,62,85,43,91,45,100,59,82,,42,
"Profit For The Period",360,846,486,866,377,711,374,686,,645,313,497,250,414,186,277,177,357,241,251,,135,
"Income Attributable To Minority Interests",11,34,22,42,26,43,25,48,,45,21,26,15,28,15,35,24,70,42,61,,26,
"Attributable Income Before Extraordinary Items",349,812,464,824,351,668,349,638,,600,292,471,235,386,171,242,153,287,199,190,,109,
"Extraordinary Profit",,,,,,,,,,,,,,,,,,43,13,34,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,,,,,,,,,13,,,,
"Income Attributable To Equity Holders",349,812,464,824,351,668,349,638,,600,292,471,235,386,171,242,153,330,212,224,,109,
"Total Comprehensive Income/Loss for the period",75,967,556,635,227,646,340,822,,546,422,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",347,836,463,895,412,704,352,658,,597,291,481,234,442,221,304,149,349,201,239,,126,
"Enterprise Value (EV)",159907.513,161003.343,157942.966,150200.338,139696.045,119124.334,127085.58,104027.357,131562.892,151585.197,129385.659,71543.133,72684.872,68417.361,47487.619,35666.361,35587.58,29089.232,26293.858,26966.306,23229.2,24990.5,

Balance sheet (EUR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Interim (6m)",
,"6 Aug 2020","27 Feb 2020","1 Aug 2019","28 Feb 2019","3 Aug 2018","2 Mar 2018","3 Aug 2017","23 Feb 2017","4 Aug 2016","25 Feb 2016","6 Aug 2015","24 Feb 2015","7 Aug 2014","28 Feb 2014","8 Aug 2013","21 Feb 2013","7 Aug 2012","23 Feb 2012","28 Jul 2011","21 Feb 2011","28 Jul 2011","10 Aug 2010",
"Fixed Assets",4614,4800,4520,4340,4187,4128,3994,3788,,3554,3615,3432,3505,3428,3446,3709,3431,3355,3625,3976,,3990,
"Investments in Associates",,,,,,,,,,,,,,,6,6,18,19,12,16,,6,
"Investments and Loans",,14,,9,,,,,,,,,,,25,26,24,22,31,34,,33,
"Goodwill",931,948,946,942,932,698,696,681,,590,549,545,,,,,,,,,,,
"Intangible Assets",72,81,82,91,101,111,124,120,,105,106,113,670,675,684,695,243,238,241,312,,314,
"Deferred Tax Asset",,49,,49,,26,,26,,23,,,,4,8,10,5,5,11,21,,31,
"Other Assets",448,459,487,367,384,358,374,351,,254,309,277,270,267,259,311,326,320,311,334,,303,
"Total Fixed Assets",6065,6351,6035,5798,5604,5321,5188,4966,,4526,4579,4367,4445,4374,4428,4757,4047,3959,4231,4693,,4677,
"Stock",971,984,1035,968,921,867,879,850,,838,895,843,834,746,767,783,663,633,726,702,,688,
"Debtors",1172,1111,1255,1190,1265,1106,1146,1049,,994,1147,966,1058,954,1112,1010,927,814,959,992,,1083,
"Cash",669,74,78,52,54,38,104,404,,64,48,56,49,130,84,56,60,193,33,83,,77,
"Tax",,15,,22,,29,,,,,,,,26,17,10,5,6,8,11,,19,
"Other Current Assets",25,5,36,12,35,15,29,41,,47,48,116,22,10,10,7,5,11,500,12,,185,
"Total Current Assets",2837,2189,2404,2244,2275,2055,2158,2344,,1943,2138,1981,1963,1866,1990,1866,1660,1657,2226,1800,,2052,
"Total Assets",8902,8540,8439,8042,7879,7376,7346,7310,,6469,6717,6348,6408,6240,6418,6623,5707,5616,6457,6493,,6729,
"Ordinary Share Capital & Premium",97,97,542,542,542,542,542,542,,542,542,542,542,542,542,542,542,542,646,646,,646,
"Distributable Reserves",3990,3918,3215,2943,2646,3141,2948,2850,,2363,2321,2086,2103,2049,1963,2030,1973,2044,2168,2117,,2006,
"Ordinary Shareholders' Interest",4087,4015,3757,3485,3188,3683,3490,3392,,2905,2863,2628,2645,2591,2505,2572,2515,2586,2814,2763,,2652,
"Minority Interest",373,370,351,340,328,324,304,304,,282,270,266,260,255,259,301,296,446,452,461,,441,
"Total Shareholders' Interest",4460,4385,4108,3825,3516,4007,3794,3696,,3187,3133,2894,2905,2846,2764,2873,2811,3032,3266,3224,,3093,
"Interest Bearing Loans",2059,1496,2101,2002,2206,1280,1434,1119,,1319,1506,1565,1343,1571,1664,1648,1023,746,748,1037,,1492,
"Deferred Tax Liability",269,301,270,253,241,248,251,267,,241,261,259,254,264,291,344,319,313,326,349,,334,
"Retirement Obligation",213,225,265,234,227,232,223,240,,212,234,250,226,211,225,253,217,202,196,211,,202,
"Other Long-Term Liabilities",49,53,58,60,57,60,70,70,,57,56,57,52,52,53,58,49,48,66,77,,79,
"Total Long-Term Liabilities",2590,2075,2694,2549,2731,1820,1978,1696,,1829,2057,2131,1875,2098,2233,2303,1608,1309,1336,1674,,2107,
"Creditors and Provisions",1073,1190,1159,1247,1121,1074,1065,1100,,1038,1363,998,1486,1035,1083,1096,908,921,1282,1098,,1173,
"Tax",,101,,140,,126,,,,,,,,76,69,66,81,78,84,78,,75,
"Bank Overdrafts/Short-Term Loans",660,780,318,268,305,291,351,651,,250,,176,,181,265,281,294,268,485,410,,217,
"Other Current Liabilities",119,9,160,13,206,58,158,167,,165,164,149,142,4,4,4,5,8,4,9,,64,
"Total Current Liabilities",1852,2080,1637,1668,1632,1549,1574,1918,,1453,1527,1323,1628,1296,1421,1447,1288,1275,1855,1595,,1529,
"Total Liabilities",4442,4155,4331,4217,4363,3369,3552,3614,,3282,3584,3454,3503,3394,3654,3750,2896,2584,3191,3269,,3636,
"Total Equity and Liabilities",8902,8540,8439,8042,7879,7376,7346,7310,,6469,6717,6348,6408,6240,6418,6623,5707,5616,6457,6493,,6729,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Interim (6m)",
,"6 Aug 2020","27 Feb 2020","1 Aug 2019","28 Feb 2019","3 Aug 2018","2 Mar 2018","3 Aug 2017","23 Feb 2017","4 Aug 2016","25 Feb 2016","6 Aug 2015","24 Feb 2015","7 Aug 2014","28 Feb 2014","8 Aug 2013","21 Feb 2013","7 Aug 2012","23 Feb 2012","28 Jul 2011","21 Feb 2011","28 Jul 2011","10 Aug 2010",
"Exchange Rate (period end)",19.52,15.78,16.12,16.46,16.06,14.81,14.92,14.46,,16.95,13.64,14.04,14.46,14.57,13.07,11.17,10.37,10.48,9.86,8.82,,9.38,
"Exchange Rate (weighted average)",18.38,16.18,16.04,15.62,14.88,15.04,14.31,16.27,,14.17,13.31,14.42,14.67,12.83,12.1,10.55,10.29,10.1,9.69,9.68,,9.99,
"Number of Shares in Issue (Actual)",484800000,484600000,484500000,484400000,484400000,484300000,484300000,485553780,,485553780,483900000,483600000,484000000,484000000,484000000,486000000,486000000,485553780,486000000,514137127,,515000000,
"Weighted Average Shares in Issue (Actual)",484800000,484600000,484500000,484400000,484400000,484300000,484300000,484200000,,483900000,483900000,483600000,483500000,484000000,484000000,483000000,483000000,499000000,482000000,508000000,,508000000,
"Fully Diluted Weighted Average Shares in Issue",484800000,484600000,484600000,484600000,484600000,484600000,484700000,484500000,,485000000,484800000,484900000,484800000,485000000,485000000,485000000,484000000,505000000,482000000,514000000,,515000000,
"Market Capitalisation (R'000)",157484513,158431343,155250966,147642338,136911045,117267334,125100580,102357357,,149798197,127657659,69592133,71130872,66540361,45383619,33492361,34034580,27822232,24641858,25141306,,22917500,
"Market Capitalisation (R'000): MONDIPLC (MNP)",157484513,158431343,155250966,147642338,136911045,117267334,125100580,102357357,,113297461,96881797,69592133,71130872,66540361,45383619,33492361,25717874,21042898,24641858,,,16342216,
"Number of Months",6,12,6,12,6,12,6,12,,12,6,12,6,12,6,12,6,12,6,12,,6,
"Number of Employees",,26000,,26100,,26300,,25400,,25300,,,,,,,,,,,,,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Jun 2010",
