Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"5 Aug 2020","4 Mar 2020","7 Aug 2019","13 Mar 2019","8 Aug 2018","7 Mar 2018","8 Aug 2017","2 Mar 2017","11 Aug 2016","2 Mar 2016","12 Aug 2015","4 Mar 2015","13 Aug 2014","5 Mar 2014","14 Aug 2013","7 Mar 2013","6 Sep 2012","8 Mar 2012","11 Aug 2011",
"Turnover",5062.3,11076.3,5131.9,10543.2,4976,10119.7,4833.9,10098.6,4687.7,9547.7,4413.9,8617.2,3983.4,7697.8,3519.5,6820.8,3209.8,6281,3006.3,
"Cost of Sales",2858.9,6007.5,2750,6523.9,3194,6473.8,3118.3,6281.4,2892.4,5883,2756.5,5332.3,2483.4,4746.7,2156.3,4079.7,1944.8,3775.5,1829.9,
"Gross Profit",2203.4,3702.8,2381.9,4019.3,1782,3645.9,1715.6,3817.2,1795.3,3664.7,1657.4,3284.9,1500,2951.1,1363.2,2741.1,1265,2505.5,1176.4,
"Operating Expenses",1807.6,2833.5,1807.4,2757.6,1617.8,3202.2,1546.5,2566.9,1473.6,2345.7,1315,2150.6,1230,1940.9,1127.3,1835,1048.1,1718.7,978.7,
"EBITDA (ProfileData Calc)",392.1,1463,589.8,1291.7,,1018.3,,1287.2,,1325.6,,1136.4,,1009.4,,911.9,,800.2,,
"Depreciation",268.9,1942,319.3,561.9,,555.5,,504,,410,,405.8,,357.8,,327.4,,323.4,,
"Operating Income",126.9,-576,255.2,698.8,164.2,443.7,169.1,746.3,321.7,909,342.4,728.5,270,652.4,235.9,578.7,216.9,463.4,192.3,
"Profit Before Exceptional Items",126.9,-576,255.2,698.8,164.2,443.7,169.1,746.3,321.7,909,342.4,728.5,270,652.4,235.9,578.7,216.9,463.4,192.3,
"Exceptional Item 1",-7,1.3,1.3,,,,,7.2,,13,5,15.6,3.1,9.8,4,8.6,,2.6,,
"Profit Before Interest And Tax",119.9,-574.7,256.5,698.8,164.2,443.7,169.1,753.5,321.7,922,347.4,744.1,273.1,662.2,239.9,587.3,216.9,466,192.3,
"Interest Received",5.7,19.4,10.5,11.8,5.4,11.4,4.5,18.4,10.6,8.7,4.7,9.7,3.8,6.9,3.5,9.9,7.8,28.4,15.9,
"Interest Paid",100.5,264.7,133.3,221,117.8,214,104.2,209.4,101.5,140.7,62.6,130.7,63.4,121.1,63.1,137.7,71.5,319,200.7,
"Net Interest Paid/(Received)",94.8,245.3,122.8,209.2,112.4,202.6,99.7,191,90.9,132,57.9,121,59.6,114.2,59.6,127.8,63.7,290.6,184.8,
"Income From Associates Before Tax",0.4,14.1,-4,30,13.4,20,5.1,17,5.9,0.2,,,,,,,2.2,,1.6,
"Income Before Tax",25.5,-805.9,129.7,519.6,65.2,261.1,74.5,579.5,236.7,790.2,289.5,623.1,213.5,548,180.3,459.5,155.4,175.4,9.1,
"Taxation",7.3,-83.9,25.1,102.2,19.6,-26.4,22.2,182.7,81.5,172.4,61.1,176.9,64,150.4,51.5,138,48.8,67.7,2.9,
"Profit For The Period",18.2,-722,104.6,417.4,45.6,287.5,52.3,396.8,155.2,617.8,228.4,446.2,149.5,397.6,128.8,321.5,106.6,107.7,6.2,
"Income Attributable To Minority Interests",2.8,-62.2,-7.5,10.8,-4.9,12.3,-5.7,5.7,-2.6,15.3,6.7,23.2,,17.5,2.7,12.7,6,17.6,4.5,
"Attributable Income Before Extraordinary Items",15.4,-659.8,112.1,406.6,50.5,275.2,58,391.1,157.8,602.5,221.7,423,149.5,380.1,126.1,308.8,100.6,90.1,1.7,
"Extraordinary Profit",,-162.5,-43.4,-90.4,,,,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,-162.5,-43.4,-90.4,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",15.4,-822.3,68.7,316.2,50.5,275.2,58,391.1,157.8,602.5,221.7,423,149.5,380.1,126.1,308.8,100.6,90.1,1.7,
"Total Comprehensive Income/Loss for the period",-24.2,-880.4,61.8,317,49.3,289.1,51,380.6,142.4,635.9,222.6,,,,,,,,,
"Headline Earnings (Cont Ops)",14.3,317.7,96.8,401.9,51.9,279.2,57.3,403.5,157.3,600.7,220.3,428.9,148.9,381.4,125.6,307.1,100.4,89,1.3,
"Enterprise Value (EV)",3656.497,4755.037,6556.894,5876.528,6372.379,6536.864,7200.447,6874.311,7046.954,9489.198,8953.123,7448.404,6066.225,5614.085,5368.213,4398.72,4294.361,3147.857,3773.1,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"5 Aug 2020","4 Mar 2020","7 Aug 2019","13 Mar 2019","8 Aug 2018","7 Mar 2018","8 Aug 2017","2 Mar 2017","11 Aug 2016","2 Mar 2016","12 Aug 2015","4 Mar 2015","13 Aug 2014","5 Mar 2014","14 Aug 2013","7 Mar 2013","6 Sep 2012","8 Mar 2012","11 Aug 2011",
"Fixed Assets",2780,2828.6,3728.7,3737.3,3760.2,3822,3652.4,3489,3368.5,3041.2,2761.7,2422.9,2205.2,2076,2058.2,1999.2,1956.9,,1921.7,
"Right-of-use Asset",291.1,270.7,377.2,,,,,,,,,,,,,,,,,
"Investments in Associates",38.4,41.4,51.8,108.1,106,102,99.5,102.1,95.6,90.5,89.2,90.2,111.6,80,103.2,70.2,104.6,,71,
"Investments and Loans",94.5,97,91.4,94.8,42.1,50,41.4,41.5,15,24.6,21.5,19.8,,24.9,,10.6,,,,
"Goodwill",562.4,568.6,1124,1102,1106.7,1110.2,1119.3,1126.1,1132.3,1066.5,1071.2,1076.4,1078.3,1083.8,,1057.1,,,,
"Intangible Assets",,,,,,,,,,,,,,,1053.2,,1053.2,,1080.5,
"Deferred Tax Asset",9.3,10.8,7.2,8.6,6.4,6.9,10.2,4.9,14,15.3,22.2,18.5,13.2,11.1,9,6,10.3,,34,
"Other Assets",,0.5,,,,,,,,13.9,,5,,4.6,,,,,,
"Total Fixed Assets",3775.7,3817.6,5380.3,5050.8,5021.4,5091.1,4922.8,4763.6,4625.4,4252,3965.8,3632.8,3408.3,3280.4,3223.6,3143.1,3125,3121.5,3107.2,
"Stock",1735.3,1885.3,1999.9,1748.1,1542.7,1431.2,1438.8,1393.2,1503.5,1275,1237.2,1125.8,1030.8,944.1,883.9,826.7,718.4,,730.7,
"Debtors",2185.2,2236.3,2261.1,2352.9,2262.5,2266.2,2082.3,2103.1,1932.6,2013.2,1873.8,1765.3,1722,1571.6,1526.9,1462.9,1436.7,,1270.1,
"Cash",387.7,447.1,157,705.9,441.4,350.6,104.8,405.7,359.8,508.9,196.1,535.1,323,402.3,91.6,399.5,291.2,,225,
"Tax",21.8,18.9,24,20.5,20.8,40.4,34,30.9,9.8,5,19,2.8,,4.5,,1.6,,,,
"Other Current Assets",18.7,20,2.7,0.9,32.7,2.1,5,15.7,5.7,15.1,2.1,1,,3.6,,2.7,,,,
"Total Current Assets",4348.7,4607.6,4444.7,4828.3,4300.1,4090.5,3664.9,3948.6,3811.4,3817.2,3328.2,3430,3075.8,2926.1,2502.4,2693.4,2446.3,2483.7,2225.8,
"Total Assets",8124.4,8425.2,9825,9879.1,9321.5,9181.6,8587.7,8712.2,8436.8,8069.2,7294,7062.8,6484.1,6206.5,5726,5836.5,5571.3,5605.2,5333,
"Ordinary Share Capital & Premium",2669.2,2669.2,2669.2,2669.2,2653.9,2621.4,2605.6,2532.7,2505,2426.2,2397.3,2344.1,2326,2326,2326,2326,2334.1,2334.1,244.3,
"Distributable Reserves",740.9,788,1709.7,1722.3,1460.5,1470.7,1285.8,1346.3,1167.8,1170.8,842.6,747.2,515,459.5,260,226.8,23.6,-33,-55.6,
"Other Capital",-17.1,33.5,24.8,26.6,48.9,41.3,52.7,28.3,45.1,7.8,-0.3,,4,,42.8,,26.3,,-83,
"Ordinary Shareholders' Interest",3393,3490.7,4403.7,4418.1,4163.3,4133.4,3944.1,3907.3,3717.9,3604.8,3239.6,3091.3,2845,2785.5,2628.8,2552.8,2384,2301.1,105.7,
"Minority Interest",245.3,256.1,147.6,110.8,98.1,109.5,116.4,113.3,98.3,107,101.8,114.8,98,98.1,75.2,89.6,84.2,110.9,77.4,
"Total Shareholders' Interest",3638.3,3746.8,4551.3,4528.9,4261.4,4242.9,4060.5,4020.6,3816.2,3711.8,3341.4,3206.1,2943,2883.6,2704,2642.4,2468.2,2412,183.1,
"Non-Interest Bearing Loans",1955.8,2328.3,1390.1,1400.8,1390.5,1387.6,1431.9,1417,1379.8,1331,1265,950.3,,1120.8,,1122.3,,,,
"Interest Bearing Loans",,,,,,,,,,,,,1141.5,,1118.5,,1124.9,,3777.9,
"Deferred Tax Liability",78,95.7,242.4,227.3,211.1,212.2,320,342.5,301.5,266.8,225.2,214,183.1,202.5,204.9,161.4,88.3,,12.4,
"Retirement Obligation",40.2,39.9,40.7,40.2,49.8,48.9,52.7,51.6,54.4,53,58.5,57.4,55.4,54,64.7,63.1,60.5,,69.2,
"Other Long-Term Liabilities",371.7,315.6,389.3,21.9,26.3,33,34.3,33.4,55.7,56.3,37.2,34.3,68.3,69.2,,6.2,19.1,,60.1,
"Total Long-Term Liabilities",2445.7,2779.5,2062.5,1690.2,1677.7,1681.7,1838.9,1844.5,1791.4,1707.1,1585.9,1256,1448.3,1446.5,1388.1,1353,1292.8,1308.2,3919.6,
"Creditors and Provisions",1892.9,1776.2,1805.4,2219.8,2084.5,2026.3,1696.1,1777.2,1878.2,1859.2,1691.1,1699.8,1493.3,1466.1,1173.8,1480.4,1252.3,1296.1,1075.1,
"Dividends",72.8,,,,,,,,,,,,,,,,,,,
"Tax",0.3,5.6,0.8,4.3,,1.4,4.7,3.3,9.8,4,14.7,6.5,11.9,7.6,5.3,1.5,9.7,9.1,12.4,
"Bank Overdrafts/Short-Term Loans",23.4,35.5,1332.3,1429.7,1268,1206.7,963.7,990,923,770,658.3,887.7,587.6,397.3,454.8,332.8,548.3,577.9,142.8,
"Other Current Liabilities",51,81.6,72.7,6.2,29.9,22.6,23.8,76.6,18.2,17.1,2.6,6.7,,5.4,,26.4,,1.9,,
"Total Current Liabilities",2040.4,1898.9,3211.2,3660,3382.4,3257,2688.3,2847.1,2829.2,2650.3,2366.7,2600.7,2092.8,1876.4,1633.9,1841.1,1810.3,1885,1230.3,
"Total Liabilities",4486.1,4678.4,5273.7,5350.2,5060.1,4938.7,4527.2,4691.6,4620.6,4357.4,3952.6,3856.7,3541.1,3322.9,3022,3194.1,3103.1,3193.2,5149.9,
"Total Equity and Liabilities",8124.4,8425.2,9825,9879.1,9321.5,9181.6,8587.7,8712.2,8436.8,8069.2,7294,7062.8,6484.1,6206.5,5726,5836.5,5571.3,5605.2,5333,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"5 Aug 2020","4 Mar 2020","7 Aug 2019","13 Mar 2019","8 Aug 2018","7 Mar 2018","8 Aug 2017","2 Mar 2017","11 Aug 2016","2 Mar 2016","12 Aug 2015","4 Mar 2015","13 Aug 2014","5 Mar 2014","14 Aug 2013","7 Mar 2013","6 Sep 2012","8 Mar 2012","11 Aug 2011",
"Number of Shares in Issue (Actual)",173304517,173304517,173304517,173304517,172645908,171461623,170882251,168485360,167637426,165958619,165331235,164100797,163575656,163575656,163575656,163575656,164046476,164046476,164046476,
"Weighted Average Shares in Issue (Actual)",171017608,171030378,171057427,170784638,170308325,169746140,169106287,166734753,165721399,164218439,163876224,163268866,162804567,163510495,163815846,163825216,164046476,164046476,164046476,
