Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"8 Sep 2020","9 Mar 2020","5 Aug 2019","11 Mar 2019","6 Aug 2018","5 Mar 2018","7 Aug 2017","7 Mar 2017","1 Aug 2016","8 Mar 2016","4 Aug 2015","3 Mar 2015","12 Aug 2014","11 Mar 2014","6 Aug 2013","5 Mar 2013","7 Aug 2012","6 Mar 2012","2 Aug 2011","1 Mar 2011","3 Aug 2010",
"Turnover",2337.801,5379.329,2789.188,5606.324,2720.702,5888.945,2579.981,5701.567,2412.883,4428.075,2222.885,3609.066,1990.697,3496.983,1469.324,2541.984,1229.84,2426.755,1319.278,2558.441,1191.272,
"EBITDA (ProfileData Calc)",-1177.715,-1398.061,459.873,1364.535,,1673.892,,,,,,,,,,,,,,,,
"EBITDA (company calc)",157.471,391.886,435.142,1345.94,,,,,,,,,,,,,,,,,,
"Depreciation",100.856,467.261,205.853,405.548,203.629,368.212,164.938,329.893,146.509,273.753,120.538,237.335,84.619,252.99,145.37,217.641,67.832,153.113,44.906,113.535,46.023,
"Operating Income",56.615,-1921.718,245.283,940.392,592.622,1297.047,700.455,803.304,110.06,542.239,215.352,351.93,346.478,304.66,64.815,96.009,195.066,226.712,161.101,416.28,276.356,
"Profit Before Exceptional Items",56.615,-1921.718,245.283,940.392,592.622,1297.047,700.455,803.304,110.06,542.239,215.352,351.93,346.478,304.66,64.815,96.009,195.066,226.712,161.101,416.28,276.356,
"Exceptional Item 1",-1340,,,,,,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",-1283.385,-1921.718,245.283,940.392,592.622,1297.047,700.455,803.304,110.06,542.239,215.352,351.93,346.478,304.66,64.815,96.009,195.066,226.712,161.101,416.28,276.356,
"Interest Received",4.976,56.396,8.737,18.595,,8.633,,,,,,,,,,,,,,,,
"Interest Paid",0.835,1.594,0.74,14.512,,27.958,,,,,,,,,,,,,,,,
"Net Interest Paid/(Received)",-4.141,-54.802,-7.997,-4.083,2.82,19.325,23.781,59.356,31.615,63.065,37.081,51.295,26.64,17.281,9.579,19.66,10.426,21.565,16.12,24.997,12.727,
"Income From Associates Before Tax",-0.162,,,,,,,,,,,,,,,,,,,,,
"Income Before Tax",-1279.406,-1866.916,253.28,944.475,589.802,1277.722,676.674,743.948,78.445,479.174,178.271,300.635,319.838,287.379,55.236,76.349,184.64,205.147,144.981,391.283,263.629,
"Taxation",-318.279,-505.097,72.045,261.059,164.696,363.604,190.183,211.518,21.127,135.717,54.021,86.538,95.175,76.763,21.713,27.476,46.57,88.397,58.971,112.579,74.89,
"Profit For The Period",-961.127,-1361.819,181.235,683.416,425.106,914.118,486.491,532.43,57.318,343.457,124.25,214.097,224.663,210.616,33.523,48.873,138.07,116.75,86.01,278.704,188.739,
"Attributable Income Before Extraordinary Items",-961.127,-1361.819,181.235,683.416,425.106,914.118,486.491,532.43,57.318,343.457,124.25,214.097,224.663,210.616,33.523,48.873,138.07,116.75,86.01,278.704,188.739,
"Income Attributable To Equity Holders",-961.127,-1361.819,181.235,683.416,425.106,914.118,486.491,532.43,57.318,343.457,124.25,214.097,224.663,210.616,33.523,48.873,138.07,116.75,86.01,278.704,188.739,
"Total Comprehensive Income/Loss for the period",,-1361.819,165.241,683.416,425.106,914.118,486.491,532.43,57.318,343.457,124.25,,,,,,,,,,,
"Headline Earnings (Cont Ops)",,-44.755,165.241,683.416,425.105,914.118,486.491,532.43,57.318,348.031,124.25,209.553,221.283,269.43,94.235,126.37,138.07,158.16,86,269.352,179,
"Enterprise Value (EV)",633.167,1824.997,2948.141,3294.224,3999.019,3153.704,3604.564,4565.432,2541.981,1971.64,2737.869,3148.188,3506.647,2651.749,2296.104,2162.188,2228.021,2386.591,2819.345,4104.142,3066.628,

