Income statement (ZAR '000),"Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (14m)","Interim (8m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","29 Oct 2019","18 Dec 2018","20 Jun 2018","29 Nov 2017","14 Nov 2017","29 Nov 2017","14 Nov 2017","30 Nov 2015","29 May 2015","1 Dec 2014","2 Jun 2014","18 Nov 2013","31 May 2013","30 Nov 2012","15 Jun 2012","6 Feb 2012","28 Dec 2011","30 Nov 2010","1 Jun 2010",
"Turnover",,,,,,187,,2643,2642,9110,2827,,,,,,,,20062,34615,
"Cost of Sales",,,,,,,,1192,,3824,,,,,,,,,13678,23944,
"Gross Profit",,,,,,,,1451,,5286,,,,,,,,,6384,10671,
"Operating Expenses",1918,6376,1291,2842,1151,1299,234,36290,3956,46715,12572,61966,4093,9048,3985,,,,4773,7886,
"Depreciation",,,,,,,,,,,,,,,,,,,232,382,
"Operating Income",-1918,-6376,-1291,-2842,-1152,-466,-234,-33746,-32552,-8324,19761,-61930,-4093,-3070,4014,-2198,-100,-1097,1379,2403,
"Profit Before Exceptional Items",-1918,-6376,-1291,-2842,-1152,-466,-234,-33746,-32552,-8324,19761,-61930,-4093,-3070,4014,-2198,-100,-1097,1379,2403,
"Exceptional Item 1",,,,,,,,,,,,,,,-1,27,8,5649,,,
"Profit Before Interest And Tax",-1918,-6376,-1291,-2842,-1152,-466,-234,-33746,-32552,-8324,19761,-61930,-4093,-3070,4013,-2171,-92,4552,1379,2403,
"Interest Received",401,,,,,567,549,244,,,,6,5,177,91,,,,,,
"Interest Paid",1341,1756,692,842,291,1088,769,428,,5421,3059,6156,2707,4908,2023,,,,,,
"Net Interest Paid/(Received)",940,1756,692,842,291,521,220,184,,5421,3059,6150,2702,4731,1932,-227,-118,-45,-132,-826,
"Income Before Tax",-2858,-8132,-1983,-3684,-1442,-987,-454,-33930,-32552,-13745,16702,-68080,-6795,-7801,2081,-1944,26,4597,1511,3229,
"Taxation",,,,,,9,,-5836,-5876,-4683,2804,-7833,-1550,11416,-244,,-14,31,519,658,
"Profit For The Period",-2858,-8132,-1983,-3684,-1442,-996,-454,-28094,-26676,-9062,13898,-60247,-5245,-19217,2325,-1944,40,4566,992,2571,
"Income Attributable To Minority Interests",,34,,-2,,41,,-91,44,-14407,1882,-3918,-962,-79,-50,,,,14,30,
"Attributable Income Before Extraordinary Items",-2858,-8166,-1983,-3682,-1442,-1037,-454,-28003,-26720,5345,12016,-56329,-4283,-19138,2375,-1944,40,4566,978,2541,
"Income Attributable To Equity Holders",-2858,-8166,-1983,-3682,-1442,-1037,-454,-28003,-26720,5345,12016,-56329,-4283,-19138,2375,-1944,40,4566,978,2541,
"Total Comprehensive Income/Loss for the period",-2858,-8132,-1983,-3684,-1442,-996,-454,-28094,,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-2858,-8132,-1983,-3684,-1442,-1037,-454,-5139,-1587,6473,12016,-18745,-4283,-19138,2375,-1971,31,5647,978,2541,
"Enterprise Value (EV)",25860,25753,25786,25775,25721,25798,25702,33983,59882,56600,73550,60297,74312,108176,128528,11913,11378,7314,12447,32760,

Balance sheet (ZAR '000),"Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (14m)","Interim (8m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","29 Oct 2019","18 Dec 2018","20 Jun 2018","29 Nov 2017","14 Nov 2017","29 Nov 2017","14 Nov 2017","30 Nov 2015","29 May 2015","1 Dec 2014","2 Jun 2014","18 Nov 2013","31 May 2013","30 Nov 2012","15 Jun 2012","6 Feb 2012","28 Dec 2011","30 Nov 2010","1 Jun 2010",
"Fixed Assets",,,,,,,7,7,4123,11585,14348,18296,14404,10798,2950,,,,7175,7405,
"Investments in Associates",,,,,,,,,,,,,,,1000,,,,,,
"Goodwill",,,,,,,,,,,1053,1053,9123,9123,,,,,,,
"Intangible Assets",,,,,,,,,,21382,46453,46453,91284,92411,92144,,,,,,
"Deferred Tax Asset",,,,,,,9,9,85,111,4288,3016,1550,7173,6380,,10,15,267,228,
