Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Nov 2020","25 Jun 2020","21 Nov 2019","31 May 2019","22 Nov 2018","1 Jun 2018","20 Nov 2017","30 May 2017","14 Nov 2016","31 May 2016","18 Nov 2015","2 Jun 2015","17 Nov 2014","27 May 2014","12 Nov 2013","22 May 2013","14 Nov 2012","23 May 2012","15 Nov 2011","26 May 2011","15 Nov 2010","26 May 2010",
"Turnover",9204,23030,10796,22558,10526,21347,9778,19763,9167,20004,9030,18099,8266,15892,7204,13800,6226,12122.18,5443.808,10973.327,4914.821,9454.13,
"Cost of Sales",5041,12890,6152,12284,5740,11582,5411,11365,5347,11314,5194,10186,4663,8907,4068,7744,3532,6843.063,3099.043,6201.64,2806.416,5685.157,
"Gross Profit",,,,,,,,,,,,7913,,6985,,14056,2694,5279.117,2344.765,4771.687,2108.405,3768.973,
"Operating Expenses",2864,5917,2823,6085,2970,5871,,,,,,4749,,4385,,3931,1844,3478,1636.178,3281.912,1542.072,8676.761,
"Operating Income",1148,3966,1686,3965,1713,3732,1526,3048,1251,3603,1445,3076,1242,2537,1013,2069,825,1741,679.477,1429.542,538.783,991.518,
"Profit Before Exceptional Items",1148,3966,1686,3965,1713,3732,1526,3048,1251,3603,1445,3076,1242,2537,1013,2069,825,1741,679.477,1429.542,538.783,991.518,
"Exceptional Item 1",,,,,,,,,,,,,,,,,,,,,,-164.688,
"Exceptional Item 1: Amorisation",,,,,,,,,,,,,,,,,,,,,,-164.688,
"Profit Before Interest And Tax",1148,3966,1686,3965,1713,3732,1526,3048,1251,3603,1445,3076,1242,2537,1013,2069,825,1741,679.477,1429.542,538.783,826.83,
"Interest Received",150,257,135,224,103,162,67,82,35,81,47,87,,63,,56,22,59.739,16.305,60.233,23.302,41.484,
"Interest Paid",237,457,223,4,2,2,,,,,,,,,,,,15,,5.571,,4.723,
"Net Interest Paid/(Received)",87,200,88,-220,-101,-160,-67,-82,-35,-81,-47,-87,-38,-63,-31,-56,-22,-44.739,-16.305,-54.662,-23.302,-36.761,
"Income Before Tax",1061,3766,1598,4185,1814,3892,1593,3130,1286,3684,1492,3163,1280,2600,1044,2125,847,1785.739,695.782,1484.204,562.085,863.591,
"Taxation",304,1053,452,1176,515,1111,454,867,365,1042,422,878,362,733,297,591,242,569.114,242.723,473.95,192.06,190.023,
"Profit For The Period",757,2713,1146,3009,1299,2781,1139,2263,921,2642,1070,2285,918,1867,747,1534,605,1216.625,453.059,1010.254,370.025,673.568,
"Income Attributable To Minority Interests",,,,,,,1,,,-3,-6,-8,-3,-1,,,,,,,,,
"Attributable Income Before Extraordinary Items",757,2713,1146,3009,1299,2781,1138,2263,921,2645,1076,2293,921,1868,747,1534,605,1216.625,453.059,1010.254,370.025,673.568,
"Extraordinary Profit",-4,-9,2,-27,-20,,,,,,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,-9,,-27,-20,,,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",753,2704,1148,2982,1279,2781,1138,2263,921,2645,1076,2293,921,1868,747,1534,605,1216.625,453.059,1010.254,370.025,673.568,
"Total Comprehensive Income/Loss for the period",608,2920,1152,3113,1409,2650,1165,2250,811,2586,1082,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",865,2724,1146,3054,1299,2842,1143,2331,922,2674,1080,2299,922,1888,750,1554,618,1222.375,454.783,1026.399,376.127,682.135,
"Enterprise Value (EV)",27751.37,24855.971,36867.427,46047.118,56418.395,71089.87,44855.032,39009.821,37640.285,43646.086,46476.978,60843.05,50831.341,36748.374,32694.103,27438.199,29715.559,21810.601,15397.187,13669.213,12184.368,8685.85,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Nov 2020","25 Jun 2020","21 Nov 2019","31 May 2019","22 Nov 2018","1 Jun 2018","20 Nov 2017","30 May 2017","14 Nov 2016","31 May 2016","18 Nov 2015","2 Jun 2015","17 Nov 2014","27 May 2014","12 Nov 2013","22 May 2013","14 Nov 2012","23 May 2012","15 Nov 2011","26 May 2011","15 Nov 2010","26 May 2010",
"Fixed Assets",2009,2137,2102,2117,2088,2092,2076,2130,1903,1672,1083,838,770,718,681,660,584,540,485.981,459.634,492.158,530.407,
"Right-of-use Asset",4426,4362,,,,,,,,,,,,,,,,,,,,,
"Intangible Assets",379,490,471,423,457,433,448,356,399,373,368,328,290,215,195,105,108,102,92.381,79.164,71.295,69.97,
"Deferred Tax Asset",176,41,46,11,23,22,10,20,77,137,107,152,133,152,122,134,80,76,47.022,48.304,65.968,68.965,
"Other Assets",55,55,4309,64,63,63,48,48,41,41,40,40,45,45,20,20,15,16,20.241,20.241,16.795,16.795,
"Long-Term Receivables",31,25,41,40,26,18,18,23,38,18,6,6,7,7,7,8,9,10,,0.338,0.338,0.338,
"Total Fixed Assets",7076,7110,6969,2655,2657,2628,2600,2577,2458,2241,1604,1364,1245,1137,1025,927,796,744,645.625,607.681,646.554,686.475,
"Stock",2426,2719,2669,2692,2322,2215,2159,2102,2104,2168,1887,1741,1654,1403,1324,1236,1117,1168,1054.502,953.666,826.807,934.671,
"Debtors",1985,2268,2222,2179,2192,2369,2275,2207,2104,2136,2037,1874,1771,1673,1630,1513,1342,1183,1056.249,931.278,897.824,818.355,
"Cash",6388,4726,4310,3275,2562,2756,1560,1823,1098,1419,2110,2764,2059,2252,1462,1222,1030,1201,899.947,1368.512,1241.31,1170.743,
"Tax",8,7,6,4,5,4,21,63,,,,,,,,,,,,,4.378,,
"Other Current Assets",404,524,265,340,279,147,234,143,174,99,184,124,163,98,124,,,,,,,,
"Total Current Assets",11211,10244,9472,8490,7360,7491,6249,6338,5480,5822,6218,6503,5647,5426,4540,3971,3489,3552,3010.698,3253.456,2970.319,2923.769,
"Total Assets",18287,17354,16441,11145,10017,10119,8849,8915,7938,8063,7822,7867,6892,6563,5565,4898,4285,4296,3656.323,3861.137,3616.873,3610.244,
"Ordinary Share Capital & Premium",,,,,,,,,,,,,,,,,,140.229,,167.383,,126.4,
"Treasury Shares",,1534,,1474,,1398,,1306,,1748,,,,,,,,868.883,,662.841,,450.589,
"Distributable Reserves",,10545,,9902,,8791,,7845,,7184,,,,,,,,3536.461,,2909.725,,2412.561,
"Non-Distributable Reserves",,563,,389,,213,,317,,298,,,,,,,,,,,,,
"Translation Reserves",,-142,,-132,,-153,,-95,,-12,,,,,,,,-22.348,,-19.064,,-15.123,
"Other Capital",,-4,,-3,,2,,-20,,-90,,,,,,,,-5.943,,-1.019,,-2.426,
"Ordinary Shareholders' Interest",10019,9428,8487,8682,7666,7455,6616,6741,5552,5632,4801,5021,4126,3922,3335,3309,2800,2777,2221.701,2394.184,1937.244,2070.823,
"Minority Interest",,,,,,,,-12,,-12,,,,,,,,,,,,,
"Total Shareholders' Interest",10019,9428,8487,8682,7666,7455,6616,6729,5552,5620,4801,5021,4126,3922,3335,3309,2800,2777,2221.701,2394.184,1937.244,2070.823,
