Income statement (EUR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (10m)","Final (4m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"28 Aug 2020","2 Mar 2020","5 Sep 2019","4 Mar 2019","7 Sep 2018","26 Feb 2018","7 Sep 2017","27 Feb 2017","9 Sep 2016","29 Feb 2016","14 Sep 2015","9 Mar 2015","18 Aug 2014","27 Jan 2014","31 Jul 2013","2 May 2013","7 Nov 2012","25 Apr 2012","3 Nov 2011","15 Jul 2011","4 May 2011","28 Feb 2011","30 Nov 2010","30 Aug 2010","25 May 2010",
"Turnover",66834,33547,57620,26145,37453,18974,27032,11068,14204,6586,8734,2625,5247,3450,,,,,,,,,,,,
"Operating Expenses",30203,16533,27316,11341,17997,9696,11377,4493,9385,4777,5710,2580,3960,3450,1341,4090,553,2242,601,223,689,507,-334,188,-26,
"EBITDA (ProfileData Calc)",-4015,67054,78761,19747,29384,15229,41538,,,,,,,,,,,,,,,,,,,
"Depreciation",318,116,102,54,100,18,28,,,,,,,,,,,,,,,,,,,
"Operating Income",45431,29430,42759,25553,38312,12575,20205,8116,9221,2652,3613,45,1287,1680,1275,50,2697,-2,-209,211,3322,57,-779,-237,-2639,
"Other Income",6308,,7259,,,,,,,,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",51739,29430,50018,25553,38312,12575,20205,8116,9221,2652,3613,45,1287,1680,1275,50,2697,-2,-209,211,3322,57,-779,-237,-2639,
"Exceptional Item 1",-72745,23867,12417,-12439,-18096,-2475,20908,-6174,-6481,-676,45537,18840,5649,2138,,,,,,,,,,,,
"Profit Before Interest And Tax",-21006,53297,62435,13114,20216,10100,41113,1942,2740,1976,49150,18885,6936,3818,1275,50,2697,-2,-209,211,3322,57,-779,-237,-2639,
"Interest Received",13253,6691,12058,5149,7976,3951,1207,40,393,319,5,147,199,118,27,12,8,714,,,,,,,,
"Interest Paid",13895,6944,10251,3854,5560,2477,2238,842,774,304,581,281,877,556,223,756,436,673,340,165,686,516,350,196,49,
"Net Interest Paid/(Received)",642,253,-1807,-1295,-2416,-1474,1031,802,381,-15,576,134,678,438,196,744,428,-41,340,165,686,516,350,196,49,
"Income From Associates Before Tax",4848,8378,11009,6399,3569,1543,178,36,-32,,,,,,,,,,,,,,,,,
"Income Before Tax",-16800,61422,75251,20808,26201,13117,40260,1176,2327,1991,48574,18751,6258,3380,1079,-694,2269,39,-549,46,2636,-459,-1129,-433,-2688,
"Taxation",3387,7427,13373,4752,6868,1031,5684,501,829,645,99,-374,1198,128,54,193,103,37,,,5,75,75,,,
"Profit For The Period",-20187,53995,61878,16056,19333,12086,34576,675,1498,1347,48475,19125,5060,3252,1025,-887,2166,2,-549,46,2631,-534,-1204,-433,-2688,
"Income Attributable To Minority Interests",1428,1428,6843,4969,2477,383,988,1073,,,,,,,,,,,,,,,,,,
"Attributable Income Before Extraordinary Items",-21615,52567,55035,11087,16856,11703,33588,-398,1498,1347,48475,19125,5060,3252,1025,-887,2166,2,-549,46,2631,-534,-1204,-433,-2688,
"Extraordinary Profit",,,,,,,,,,,,,,,,,,,,,,686,714,,,
"Income Attributable To Equity Holders",-21615,52567,55035,11087,16856,11703,33588,-398,1498,1347,48475,19125,5060,3252,1025,-887,2166,2,-549,46,2631,152,-490,-433,-2688,
"Total Comprehensive Income/Loss for the period",-20210,58328,60540,14498,18126,10898,29204,-2091,-10889,-1555,55051,,,,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",12076,42762,16037,-14782,11719,11913,593,-1404,4772,3181,41716,24127,4496,3252,,284,,,,,,,,,,
"Enterprise Value (EV)",9672647,13900529,15197131,15300846,14972634,21258588,16761262,14511964,11344429,7521039,6059977,7441121,7345858,7990185,5704215,3260973,490310,481507,450429,210105,420260,192177,454799,225136,242019,

Balance sheet (EUR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (10m)","Final (4m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)",
