Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"8 Sep 2020","28 Feb 2020","6 Sep 2019","22 Feb 2019","30 Aug 2018","22 Feb 2018","29 Aug 2017","23 Feb 2017","31 Aug 2016","23 Feb 2016","1 Sep 2015","25 Feb 2015","27 Aug 2014","20 Feb 2014","28 Aug 2013","21 Feb 2013","28 Aug 2012","29 Feb 2012","26 Aug 2011","25 Feb 2011","30 Aug 2010",
"Turnover",6397.419,3007.328,5845.907,2702.265,5671.293,2645.718,5243.147,2607.254,5286.384,2468.276,5042.119,2240.893,4764.123,2009.256,4202.881,1806.727,3502.543,1646.714,2896.924,1624.807,3409.515,
"Cost of Sales",5487.275,2575.752,5028.353,2291.738,4875.873,2297.374,4581.639,2278.185,4605.634,2113.411,4376.692,1916.059,4109.007,1730.318,3633.537,1569.033,3002.19,1400.092,2464.136,1391.629,2923.883,
"Gross Profit",910.144,431.576,817.554,410.527,795.42,348.344,661.508,329.069,680.75,354.865,665.427,324.834,655.116,278.938,569.344,237.694,500.353,246.622,432.788,233.178,485.632,
"Operating Expenses",600.405,298.197,573.374,817.554,540.556,261.452,487.352,239.331,483.603,242.262,462.351,222.145,483.663,201.318,438.431,174.291,333.591,156.449,314.145,191.05,378.227,
"EBITDA (ProfileData Calc)",265.965,,269.057,,,,,,,,,,,,,,,,,,,
"EBITDA (company calc)",247.237,,243.201,,,,,,,,,,,,,,,,,,,
"Depreciation",46.278,,25.672,,,,,,,,,,,,,,,,,,,
"Operating Income",200.959,116.465,217.529,116.427,163.08,86.892,173.692,89.374,188.828,108.1,236.857,96.871,181.459,80.895,135.401,50.476,136.929,40.18,135.576,63.262,128.031,
"Profit Before Exceptional Items",200.959,116.465,217.529,116.427,163.08,86.892,173.692,89.374,188.828,108.1,236.857,96.871,181.459,80.895,135.401,50.476,136.929,40.18,135.576,63.262,128.031,
"Exceptional Item 1",-2.055,0.007,0.07,,-0.792,-0.792,-0.468,,,,,,-0.739,-0.739,12.012,,-5.613,,-1.413,,-2.48,
"Profit Before Interest And Tax",198.904,116.472,217.599,116.427,162.288,86.1,173.224,89.374,188.828,108.1,236.857,96.871,180.72,80.156,147.413,50.476,131.316,40.18,134.163,63.262,125.551,
