Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Sep 2020","26 Feb 2020","28 Aug 2019","26 Feb 2019","27 Sep 2018",
"Turnover",73417000,41954000,79711000,39379000,77001000,
"Operating Expenses",69335000,39160000,74905000,36902000,72055000,
"EBITDA (ProfileData Calc)",3783000,2722000,4616000,2276000,5414000,
"EBITDA (company calc)",4082000,2794000,4806000,2477000,,
"Depreciation",1946000,963000,1186000,639000,1353000,
"Operating Income",2136000,1831000,3620000,1838000,3593000,
"Profit Before Exceptional Items",2136000,1831000,3620000,1838000,3593000,
"Amortisation",,,17000,9000,15000,
"Exceptional Item 1",-501000,-105000,-246000,-232000,330000,
"Exceptional Item 1: Foreign Exchange (loss)/gain",-13000,-46000,-14000,,,
"Exceptional Item 1: Impairment of assets",-60000,,,,,
"Exceptional Item 1: Other non-operating items",-242000,-59000,-87000,,,
"Exceptional Item 1: Profit on sale of property",,,15000,,,
"Exceptional Item 1: Restructure Costs",-186000,,,,,
"Exceptional Item 1: Share based expenses",,,-160000,,,
"Profit Before Interest And Tax",1635000,1726000,3357000,1597000,3908000,
"Interest Received",59000,23000,57000,31000,66000,
"Interest Paid",1175000,520000,831000,394000,803000,
"Net Interest Paid/(Received)",1116000,497000,774000,363000,737000,
"Income From Associates Before Tax",22000,14000,27000,8000,39000,
"Income Before Tax",541000,1243000,2610000,1242000,3210000,
"Taxation",356000,344000,714000,363000,897000,
"Profit For The Period",185000,899000,1896000,879000,2313000,
"Income Attributable To Minority Interests",-121000,4000,28000,8000,-33000,
"Attributable Income Before Extraordinary Items",306000,895000,1868000,871000,2346000,
"Income Attributable To Equity Holders",306000,895000,1868000,871000,2346000,
"Total Comprehensive Income/Loss for the period",1426000,774000,1680000,898000,2544000,
"Headline Earnings (Cont Ops)",550000,967000,1977000,947000,1991000,
"Enterprise Value (EV)",11647660,24871200,20950083,25431020,5904000,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Sep 2020","26 Feb 2020","28 Aug 2019","26 Feb 2019","27 Sep 2018",
"Fixed Assets",7625000,7327000,7023000,7034000,6786000,
"Right-of-use Asset",2279000,1896000,,,,
"Investments in Associates",232000,251000,258000,281000,348000,
"Investments and Loans",504000,631000,684000,607000,653000,
"Goodwill",1556000,1127000,1020000,1017000,953000,
"Intangible Assets",115000,243000,253000,255000,277000,
"Deferred Tax Asset",1302000,1184000,1048000,894000,782000,
"Other Assets",,56000,,,,
"Total Fixed Assets",13613000,12715000,10286000,10088000,9799000,
"Stock",20179000,19190000,19069000,17024000,15633000,
"Debtors",4040000,4526000,4744000,4720000,4821000,
"Cash",2121000,788000,1042000,788000,1737000,
"Tax",53000,171000,130000,186000,135000,
"Other Current Assets",3672000,4985000,3601000,4396000,4591000,
"Other Current Assets: Assets classified as held for sale",146000,161000,182000,208000,,
"Other Current Assets: Derivative financial assets",259000,7000,34000,121000,,
"Other Current Assets: Finance lease receivable",,54000,,,,
"Other Current Assets: Leases",100000,,,,,
"Other Current Assets: Vehicles for hire",3167000,4763000,3385000,4067000,,
"Total Current Assets",30065000,29660000,28586000,27114000,26917000,
"Total Assets",43678000,42375000,38872000,37202000,36716000,
"Ordinary Share Capital & Premium",22672000,22914000,22985000,23525000,23358000,
"Treasury Shares",411000,414000,435000,360000,,
"Distributable Reserves",8712000,9241000,8933000,8849000,8553000,
"Non-Distributable Reserves",-19210000,-19348000,-19161000,-19331000,-19555000,
"Other Capital",745000,-511000,-447000,-516000,-716000,
"Ordinary Shareholders' Interest",12508000,11882000,11875000,12167000,11640000,
"Minority Interest",-56000,59000,-37000,-37000,4000,
"Total Shareholders' Interest",12452000,11941000,11838000,12130000,11644000,
"Interest Bearing Loans",7612000,5725000,4640000,5589000,81000,
"Deferred Tax Liability",29000,27000,27000,27000,31000,
"Other Long-Term Liabilities",4033000,3877000,2049000,1908000,1802000,
"Total Long-Term Liabilities",11674000,9629000,6716000,7524000,1914000,
"Creditors and Provisions",15451000,14552000,15750000,13100000,13808000,
"Tax",165000,263000,190000,323000,450000,
"Bank Overdrafts/Short-Term Loans",303000,3862000,3020000,2889000,7556000,
"Other Current Liabilities",3633000,2128000,1358000,1236000,1344000,
"Other Current Liabilities: Contract liability",1164000,1165000,1169000,,1277000,
"Other Current Liabilities: Deferred funds",,,,1182000,,
"Other Current Liabilities: Derivative financial liabilities",210000,397000,135000,34000,46000,
"Other Current Liabilities: Floor Plan",1648000,,,,,
"Other Current Liabilities: Lease liabilities",573000,520000,,,,
"Other Current Liabilities: Liabilities held for sale",,,,20000,21000,
"Other Current Liabilities: Liabilities held-for-sale",21000,18000,19000,,,
