Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"6 Aug 2020","11 Mar 2020","8 Aug 2019","7 Mar 2019","8 Aug 2018","8 Mar 2018","3 Aug 2017","2 Mar 2017","5 Aug 2016","3 Mar 2016","5 Aug 2015","4 Mar 2015","7 Aug 2014","5 Mar 2014","14 Aug 2013","6 Mar 2013","8 Aug 2012","7 Mar 2012","17 Aug 2011","9 Mar 2011","19 Aug 2010",
"Turnover",84076,151460,72505,134560,62777,132869,64815,147920,79115,147063,69304,146930,72759,137270,65709,121867,59418,121884,56542,114684,55989,
"Cost of Sales",23456,43947,21649,47739,22308,46815,22941,49217,25714,42740,19106,,,,,,,,,,,
"Cost of Sales: Costs of handsets and other acccessories",,,,,5165,10764,5088,12304,6065,10829,4449,,,,,,,,,,,
"Cost of Sales: Direct network and technology operating costs",,,,,11927,25077,12460,23520,12291,18809,8327,,,,,,,,,,,
"Cost of Sales: Interconnect and roaming costs",,,,,5216,10974,5393,13393,7358,13102,6330,,,,,,,,,,,
"Gross Profit",60620,107513,50856,86621,40469,86054,41874,98703,53401,104323,50198,,,,,,,,,,,
"Operating Expenses",24238,44794,20853,,,,,,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",42493,65523,31672,44181,,41468,,41639,,,,,,,,,,,,,,
"Depreciation",15111,27320,13209,19709,9121,19277,9595,20988,10913,19557,8905,18262,9274,16458,7683,13791,6455,13296,6293,15368,7343,
"Operating Income",23261,31429,15387,23576,10832,20573,10407,14142,5191,35328,19925,49645,22876,41152,19990,36685,19184,39260,17767,32137,16906,
"Non Trading Income",,,,,,-2840,,,,,,,,,,,,,,,,
"Other Income",552,787,338,290,100,264,67,1723,919,1348,496,878,,,,,,,,,,
"Profit Before Exceptional Items",23813,32216,15725,23866,10932,17997,10474,15865,6110,36676,20421,50523,22876,41152,19990,36685,19184,39260,17767,32137,16906,
"Amortisation",2707,5138,2595,,,,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",23813,32216,15725,23866,10932,17997,10474,15865,6110,36676,20421,50523,22876,41152,19990,36685,19184,39260,17767,32137,16906,
"Interest Received",1492,1873,1030,1992,,3488,,4424,,,,,,,,,,,,,,
"Interest Paid",7689,17057,8118,10323,,12755,,14919,,,,,,,,,,,,,,
"Net Interest Paid/(Received)",6197,15184,7088,8331,3677,9267,3457,10495,5945,3010,2319,3668,1668,1234,88,3790,1684,1582,587,4094,2198,
"Income From Associates Before Tax",597,705,-29,-527,197,840,579,-127,-1692,1226,2027,4208,1691,3431,1658,3008,1720,-38,-14,52,59,
"Income Before Tax",18213,17737,8608,15008,7452,9570,7596,5243,-1527,34892,20129,51063,22899,43349,21560,35903,19220,37640,17166,28095,14767,
"Taxation",4869,6908,3180,5430,2541,5020,2416,8346,4726,11322,6249,13361,7261,12487,6730,11835,6999,13853,6343,11268,5430,
"Profit For The Period",13344,10829,5428,9578,4911,4550,5180,-3103,-6253,23570,13880,37702,15638,30862,14830,24068,12221,23787,10823,16827,9337,
"Income Attributable To Minority Interests",1227,1729,858,859,530,134,-280,-489,-764,3366,1980,5623,2248,4111,2009,3364,1627,3033,1373,2527,1243,
"Attributable Income Before Extraordinary Items",12117,9100,4570,8719,4381,4416,5460,-2614,-5489,20204,11900,32079,13390,26751,12821,20704,10594,20754,9450,14300,8094,
"Income Attributable To Equity Holders",12117,9100,4570,8719,4381,4416,5460,-2614,-5489,20204,11900,32079,13390,26751,12821,20704,10594,20754,9450,14300,8094,
"Total Comprehensive Income/Loss for the period",22407,9726,4698,937,3051,1291,6181,-25225,-16080,45773,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",7739,8411,3497,6055,3867,3279,4155,-1409,-4931,13600,11914,28123,13354,25860,12265,20018,9885,19811,8788,14011,7954,
"Enterprise Value (EV)",179078.016,221019.659,269484.996,231043.186,280526.707,308398.819,278562.179,289186.273,318620.959,288657.406,446653.739,418562.291,425671.483,409522.197,367137.133,342706.847,276510.879,269935.792,267264.997,254918.388,191716.651,

