Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","29 May 2020","27 Nov 2019","30 May 2019","27 Nov 2018","30 May 2018","28 Nov 2017","30 May 2017","21 Nov 2016","1 Jun 2016","26 Nov 2015","26 May 2015","20 Nov 2014","27 May 2014","21 Nov 2013","28 May 2013","21 Nov 2012","29 May 2012","23 Nov 2011","25 May 2011","22 Nov 2010","27 May 2010",
"Turnover",11277.9,6518.9,14642.4,7882.4,15963.3,8845.3,17401.8,8668.2,19138.9,9422.2,17291.3,8588.3,15305.6,7574.5,18085.8,8725.2,16530.3,8783.1,15818.6,7985.2,15774.2,7982.7,
"EBITDA (ProfileData Calc)",-3689.6,,1529.6,,,,2033,,,,,,,,,,,,,,,,
"Depreciation",536.6,,485.3,,,,606.2,,,,,,,,,,,,,,,,
"Operating Income",-283,286.7,402,893.6,1574.7,1043.5,1430.2,1109.1,2162.8,870.1,1681.4,934.6,1842.8,996.2,1921.1,1085.9,1800,934.3,1497.8,867,1228.7,747.8,
"Other Income",,,,,,,,,,,,,,,5.4,5.4,5.3,5.3,11.1,8.3,6,4.9,
"Profit Before Exceptional Items",-283,286.7,402,893.6,1574.7,1043.5,1430.2,1109.1,2162.8,870.1,1681.4,934.6,1842.8,996.2,1926,1091.3,1800,939.6,1508.9,875.3,1234.7,752.7,
"Exceptional Item 1",-4020.2,-3040.3,-148.2,43.4,,,,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",-4303.2,-2753.6,253.8,937,1574.7,1043.5,1430.2,1109.1,2162.8,870.1,1681.4,934.6,1842.8,996.2,1926,1091.3,1800,939.6,1508.9,875.3,1234.7,752.7,
"Interest Received",76.5,84,129.9,66.2,240.9,95.5,117.7,128.8,42,17.8,37.6,13.9,44.6,25.8,37.9,16.7,48.1,26.9,51.6,14,56.2,15.1,
"Interest Paid",524.1,252.3,376.2,217.4,465.2,184.3,339.1,243.6,527.5,256.8,316.6,179.7,353.1,184.3,236,118.9,216.7,91.6,171.5,61.1,246.6,136.9,
"Net Interest Paid/(Received)",447.6,168.3,246.3,151.2,224.3,88.8,221.4,114.8,485.5,239,279,165.8,308.5,158.5,198.1,102.2,168.6,64.7,119.9,47.1,190.4,121.8,
"Income From Associates Before Tax",0.5,-1,-1.4,-0.9,5.8,2.3,0.1,-2.3,0.1,2.7,-3.8,3.4,33.6,12.4,15.7,18.1,8.3,4.5,1.2,0.1,3.6,0.1,
"Income Before Tax",-4750.3,-2922.9,6.1,784.9,1356.2,957,1208.9,992,1677.4,633.8,1398.6,772.2,1567.9,850.1,1743.6,1007.2,1645,879.4,1390.2,828.3,1047.9,631,
"Taxation",-401.5,-65.3,395.8,-58.9,139.5,86,304,96.2,199.1,27.6,-57.5,8.6,141.9,127.2,380.6,211.1,448.3,219.2,456.5,259,269.4,185.1,
"Profit For The Period",-4348.8,-2857.6,-389.7,843.8,1216.7,871,904.9,895.8,1478.3,606.2,1456.1,763.6,1426,722.9,1364,796.1,1196.7,660.2,933.7,569.3,778.5,445.9,
"Income Attributable To Minority Interests",,-220.3,-662,-42.2,79.9,38.2,121.2,79.8,-132.1,-58,18.1,8.6,34.2,12.4,-19.4,3.6,-15.3,-9.2,-25.3,1.5,9,-0.3,
"Attributable Income Before Extraordinary Items",-4348.8,-2637.3,272.3,886,1136.8,832.8,783.7,816,1610.4,664.2,1438,755,1391.8,710.5,1383.4,792.5,1212,669.4,959,567.8,769.5,446.2,
"Extraordinary Profit",368.7,470.4,-1123.9,-190.5,-647.6,-107.1,-548.9,-42.6,,,-394.8,-68.4,-222.4,29.6,-87.9,-17.3,-4.9,,-331.1,-300,56.4,29.8,
"Extraordinary Profit: Discontinued Operations",368.7,470.4,-1123.9,-190.5,-647.6,-107.1,-548.9,-42.6,,,-394.8,-68.4,-222.4,29.6,-87.9,,-4.9,,-331.1,-300,56.4,29.8,
"Income Attributable To Equity Holders",-3980.1,-2166.9,-851.6,695.5,489.2,725.7,234.8,773.4,1610.4,664.2,1043.2,686.6,1169.4,740.1,1296,775.2,1207.1,669.4,627.9,267.8,825.9,476,
"Total Comprehensive Income/Loss for the period",-3795.5,-1863.1,-2307.4,205.8,872.6,187.4,239.3,713.7,443.6,1015.8,1883.1,,1597,,1541,,1171,,,,,,
"Headline Earnings (Cont Ops)",-500.1,45.4,348.8,838,1115.1,848.9,937.2,766.8,680.9,665.1,1311.1,639.5,1392.6,734.5,1249,645.4,1188,627.2,1016.5,551,879.9,428.3,
"Enterprise Value (EV)",5299.473,6181.612,12020.288,13881.991,17222.216,17382.258,18900.91,18453.856,18935.706,22433.945,25238.123,36295.651,34722.92,31129.616,23033.465,24435.936,21280.163,17673.532,15124.303,16439.031,14297.551,14511.95,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","29 May 2020","27 Nov 2019","30 May 2019","27 Nov 2018","30 May 2018","28 Nov 2017","30 May 2017","21 Nov 2016","1 Jun 2016","26 Nov 2015","26 May 2015","20 Nov 2014","27 May 2014","21 Nov 2013","28 May 2013","21 Nov 2012","29 May 2012","23 Nov 2011","25 May 2011","22 Nov 2010","27 May 2010",
"Fixed Assets",5905.8,8426.6,7195.2,7738,8177,7650.6,10151.4,10471.3,10573.4,11807.4,11025.7,9944,9864.3,8671,7283.7,6971.3,6611,6218.6,5687.3,5486.3,6199.9,6242.6,
"Right-of-use Asset",880.7,,,,,,,,,,,,,,,,,,,,,,
"Investments in Associates",14.9,22.4,21,25.3,35.3,22.8,21.8,25.3,27.7,34.8,44.1,62.7,213.3,316.2,219.2,,,,,,,,
"Intangible Assets",2042.4,2214.8,3904.3,3754.6,3708,3143.5,3568.8,3979.3,4043.4,4299.2,4118.6,3650.6,3419.5,3179.8,814.5,808.5,715.1,698,183.1,245.3,310.1,362.6,
"Deferred Tax Asset",388.6,109,429.3,651.7,173.5,25.6,49.3,57.3,70.6,152.2,145.3,99.9,135.7,111.3,98.6,75.8,65.5,24.6,24.5,37,46.9,10.3,
"Other Assets",139.7,192.3,862.2,1572.2,1787.9,1832,1164,752.8,673.9,43.9,33,46.7,65,106.3,137.9,364.5,153.2,158.9,362.8,398.1,408.9,404.1,
"Total Fixed Assets",9372.1,10965.1,12412,13741.8,13881.7,12674.5,14955.3,15286,15389,16337.5,15366.7,13803.9,13697.8,12384.6,8553.9,8220.1,7545.9,7100.1,6257.7,6166.7,6965.8,7019.6,
"Stock",2815.9,3363.6,3388.5,3261.2,3205.6,3010.3,3980.3,3572.9,3376.7,3827.1,3890.6,3287.9,3518.4,3821.1,3219.8,3323.2,3336.3,3051.7,2683,2327.3,2272.6,2387.3,
"Debtors",1980.6,2855.3,2628.8,2980.6,3071,2417.7,2761,3010.8,3109,3276.4,3404.4,2721.3,3538.9,3221.9,2873.6,2783.5,2557,2600.5,2514.8,2407.8,2697.3,2999.6,
"Cash",1528.9,3493.6,1462.7,1966.2,2844.8,1844.2,2385,2369.5,2217.9,2398.2,1587.4,1374.2,1127.5,945.8,4421.4,2079.9,1780,1902.2,1450.8,1067,718.6,437.1,
"Tax",45.5,17.1,133.3,21.7,14.1,19.9,17.3,194.6,11.2,9.4,12,6.3,8.5,3.7,3.6,2.1,2.9,2.2,1.7,1.3,77.2,12.6,
"Other Current Assets",451.3,308.1,2434.3,2697.5,2896.9,3472.2,882.1,424.8,,21.4,146.4,3057.8,,523.7,551.6,,27.9,,,104.5,202.6,152.5,
"Total Current Assets",6822.2,10037.7,10047.6,10927.2,12032.4,10764.3,10025.7,9572.6,8714.8,9511,8894,10447.5,8193.3,8516.2,11070,8188.7,7704.1,7556.6,6650.3,5907.9,5968.3,5989.1,
"Total Assets",16194.3,21002.8,22459.6,24669,25914.1,23438.8,24981,24858.6,24103.8,25870,24408,24251.4,21891.1,20900.8,19623.9,16408.8,15250,14656.7,12908,12074.6,12934.1,13008.7,
"Ordinary Share Capital & Premium",35.5,-31.5,35.5,-25.6,-34.8,-29.8,-80.9,-76.9,-86,67.3,-368.9,-357.2,-366.2,-369.4,-387.6,-668.5,-700.7,-701.7,-539.2,-487.4,-507.7,-544.3,
"Distributable Reserves",4701.3,5433.7,9059.2,10601.5,9975.1,10215.1,9476.9,10011.9,9238.5,8166,8109.6,8017.6,7985.1,7843.9,7720.1,7544.7,7321.5,7024.3,6535.2,6379.6,6603.7,6399.5,
"Non-Distributable Reserves",248.1,1831,-162.4,24.7,200,-604.5,-84.4,-98,51,1444.3,1061.7,399.2,315.2,48.5,-61.8,-77.8,-349.9,-446.2,-334.5,-660,-755.2,-555.3,
"Ordinary Shareholders' Interest",4984.9,7233.2,8932.3,10600.6,10140.3,9580.8,9311.6,9837,9203.5,9677.6,8802.4,8059.6,7934.1,7523,7270.7,6798.4,6270.9,5876.4,5695,5232.2,5340.8,5299.9,
"Minority Interest",-770.4,-1357.9,-722.4,137.6,472.2,351.3,369.5,322.6,241,338.4,370,305.5,-51,-70.4,-80.1,-55.4,-54.5,-44.7,-38.2,31.2,27.5,21.6,
"Total Shareholders' Interest",4214.5,5875.3,8209.9,10738.2,10612.5,9932.1,9681.1,10159.6,9444.5,10016,9172.4,8365.1,7883.1,7452.6,7190.6,6743,6216.4,5831.7,5623.3,5263.4,5368.3,5321.5,
"Interest Bearing Loans",5755.2,7847.1,6132.8,7683,8023.1,3225.1,6007.2,6080.2,6202.1,5462.5,4212,5017.2,4753.3,3330,3249.5,1560.3,1594.9,1579.6,1358.7,1360.1,1631,1954.8,
"Deferred Tax Liability",242.3,438.9,528.3,342.8,168.1,283.1,294.5,423.1,230.1,274.8,329.2,542.1,444.9,605.6,519,730.1,650.1,494.6,490.3,221.3,286.9,278.2,
"Retirement Obligation",775.5,866,923.9,1473.2,1478.4,1465.2,1558,1602.5,1855.7,1996.5,2008.4,2187.1,2173,2263.9,2193.1,1637.2,1618.3,1363.2,1360.5,1265.5,1404.5,1229.7,
"Other Long-Term Liabilities",1306.1,15.6,17.8,93.6,98.6,57.3,64.8,53.4,37,55.9,61.6,72.9,58.6,46.6,51.8,14.5,13.7,8,7.7,8.8,15.8,16.2,
"Total Long-Term Liabilities",8079.1,9167.6,7602.8,9592.6,9768.2,5030.7,7924.5,8159.2,8324.9,7789.7,6611.2,7819.3,7429.8,6246.1,6013.4,3942.1,3877,3445.4,3217.2,2855.7,3338.2,3478.9,
"Creditors and Provisions",2602.8,3370.7,3651.7,3339.2,4195.3,3125.1,4517.1,3797.3,4937.7,3681.3,4418.6,3329,4054.9,3222.8,3532.6,2980.7,3471.7,3375.6,3211.9,2795.6,3135.7,2939.1,
"Tax",34.9,93,14.5,118.8,45.5,33.9,82.6,55.6,73.9,20,86.2,56.8,195.3,140.1,142.5,121.3,91.1,116.4,109.8,248.4,175.2,45,
"Bank Overdrafts/Short-Term Loans",1263,2496.2,1954.1,287.9,990,5165.6,2775.7,2686.9,1322.8,4363,4119.1,3756.5,2328,3627.7,2504.1,2621.7,1593.8,1887.6,745.8,893.9,829.3,1152.6,
"Other Current Liabilities",,,1026.6,592.3,302.6,151.4,,,,,,924.7,,211.5,240.7,,,,,17.6,78.4,71.6,
"Total Current Liabilities",3900.7,5959.9,6646.9,4338.2,5533.4,8476,7375.4,6539.8,6334.4,8064.3,8623.9,8067,6578.2,7202.1,6419.9,5723.7,5156.6,5379.6,3996,3955.5,4218.6,4208.3,
"Total Liabilities",11979.8,15127.5,14249.7,13930.8,15301.6,13506.7,15299.9,14699,14659.3,15854,15235.1,15886.3,14008,13448.2,12433.3,9665.8,9033.6,8825,7284.7,6811.2,7556.8,7687.2,
"Total Equity and Liabilities",16194.3,21002.8,22459.6,24669,25914.1,23438.8,24981,24858.6,24103.8,25870,24407.5,24251.4,21891.1,20900.8,19623.9,16408.8,15250,14656.7,12908,12074.6,12925.1,13008.7,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","29 May 2020","27 Nov 2019","30 May 2019","27 Nov 2018","30 May 2018","28 Nov 2017","30 May 2017","21 Nov 2016","1 Jun 2016","26 Nov 2015","26 May 2015","20 Nov 2014","27 May 2014","21 Nov 2013","28 May 2013","21 Nov 2012","29 May 2012","23 Nov 2011","25 May 2011","22 Nov 2010","27 May 2010",
"Number of Shares in Issue (Actual)",645081000,689812000,644730000,689812000,689812000,689767000,689404000,689404000,688668000,688650000,702497000,702473000,700708000,700643000,697897000,697484000,696712000,696260000,695199000,693748000,660778000,660338000,
"Weighted Average Shares in Issue (Actual)",644935000,644935000,644727000,644727000,643374000,643367000,640496000,640620000,632667000,632361000,629726000,629719000,627728000,627710000,624921000,593001000,591750000,591646000,589550000,589250000,587782000,588165000,
