Income statement (EUR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Aug 2020","21 Feb 2020","23 Aug 2019","27 Feb 2019","29 Aug 2018","20 Feb 2018",
"Turnover",82669,583980,107524,501733,236243,336977,
"Operating Expenses",77588,183242,87751,155663,71608,104892,
"EBITDA (company calc)",149669,,190383,,,,
"Operating Income",-191188,535387,287705,309475,194874,360961,
"Profit Before Exceptional Items",-191188,535387,287705,309475,194874,360961,
"Exceptional Item 1",-10302,-29699,-10074,-1432,94,-885667,
"Profit Before Interest And Tax",-201490,505688,277631,308043,194968,-524706,
"Interest Received",926,1938,961,2444,1386,2526,
"Interest Paid",26970,54455,25700,42303,20349,25432,
"Net Interest Paid/(Received)",26044,52517,24739,39859,18963,22906,
"Income From Associates Before Tax",-1472,5872,3708,8329,4971,16068,
"Income Before Tax",-229006,459043,256600,276513,180976,-531544,
"Taxation",-21984,42701,31981,54808,31931,47870,
"Profit For The Period",-207022,416342,224619,221705,149045,-579414,
"Income Attributable To Minority Interests",-468,107,-110,-150,3,280,
"Attributable Income Before Extraordinary Items",-206554,416235,224729,221855,149042,-579694,
"Income Attributable To Equity Holders",-206554,416235,224729,221855,149042,-579694,
"Total Comprehensive Income/Loss for the period",-207022,416342,224619,221705,149045,-579414,
"Headline Earnings (Cont Ops)",-6159,301066,142565,119725,73546,152898,
"Enterprise Value (EV)",55628991,76342614,77878219,67298752,72356300,124851558,

Balance sheet (EUR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Aug 2020","21 Feb 2020","23 Aug 2019","27 Feb 2019","29 Aug 2018","20 Feb 2018",
"Fixed Assets",5863805,6022600,5849204,5911070,5324194,4927509,
"Investments and Loans",43436,44064,41137,70496,66373,66648,
"Goodwill",76804,76804,82760,93070,82582,82582,
"Deferred Tax Asset",25004,15209,16664,13739,14148,12490,
"Other Assets",9303,10493,17071,27684,40240,37968,
"Total Fixed Assets",6018352,6169170,6006836,6116059,5527537,5127197,
"Debtors",113438,89383,93112,80750,69780,60793,
"Cash",138146,208746,366166,96924,120569,195544,
"Other Current Assets",445088,506801,543254,208911,393357,614267,
"Total Current Assets",696672,804930,1002532,386585,583706,870604,
"Total Assets",6715024,6974100,7009368,6502644,6111243,5997801,
"Ordinary Share Capital & Premium",3631346,3631346,3631346,3631346,3631346,3631346,
"Distributable Reserves",105739,462953,337724,208426,288633,282897,
"Other Capital",-6456,-3627,,,,,
"Ordinary Shareholders' Interest",3730629,4090672,3969070,3839772,3919979,3914243,
"Minority Interest",5740,6208,5991,6101,479,476,
"Total Shareholders' Interest",3736369,4096880,3975061,3845873,3920458,3914719,
"Interest Bearing Loans",2387653,2251891,2214986,1822445,1619700,1624410,
"Deferred Tax Liability",337441,354756,352324,351187,302571,271105,
"Other Long-Term Liabilities",77573,80750,78087,47706,44468,41767,
"Total Long-Term Liabilities",2802667,2687397,2645397,2221338,1966739,1937282,
"Creditors and Provisions",101220,130411,140076,159786,123595,113553,
"Bank Overdrafts/Short-Term Loans",35984,20374,209998,275647,99212,21313,
"Other Current Liabilities",38784,39038,38836,,1239,10934,
"Total Current Liabilities",175988,189823,388910,435433,224046,145800,
"Total Liabilities",2978655,2877220,3034307,2656771,2190785,2083082,
"Total Equity and Liabilities",6715024,6974100,7009368,6502644,6111243,5997801,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Aug 2020","21 Feb 2020","23 Aug 2019","27 Feb 2019","29 Aug 2018","20 Feb 2018",
"Exchange Rate (period end)",19.47,15.77,14.09,16.47,16.06,14.86,
"Exchange Rate (weighted average)",18.37,16.18,14.19,15.61,14.88,15.76,
"Number of Shares in Issue (Actual)",600921133,599797201,585838887,577800734,577800734,577800734,
"Weighted Average Shares in Issue (Actual)",600325014,585511850,580524775,577800734,577800734,436806684,
"Fully Diluted Weighted Average Shares in Issue",600325014,585511850,580524775,577800734,577800734,436809203,
"Market Capitalisation (R'000)",53337760,74272887,75813410,65291483,70757478,123400903,
"Number of Months",6,12,6,12,6,12,
"Number of Employees",,444,,498,,400,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Aug 2020","21 Feb 2020","23 Aug 2019","27 Feb 2019","29 Aug 2018","20 Feb 2018",
"Earnings Per Share (ZARc)",-632.11,1150.24,549.29,599.42,383.76,-2091.51,
"Diluted Earnings Per Share (ZARc)",-632.11,1150.24,549.29,599.42,383.76,-2091.51,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-18.92,831.98,348.51,323.44,189.42,551.6,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-18.92,831.98,348.51,323.44,189.42,551.6,
"Interim Dividend (ZARc)",,481.72,481.72,463.56,463.56,369.31,
"Final Dividend (ZARc)",,471.48,,419.41,,362.62,
"Dividend Per Share (ZARc)",,953.2,481.72,882.97,463.56,731.93,
"Distributions Per Share (ZARc)",,953.2,481.72,882.97,463.56,731.93,
"Net Asset Value Per Share (ZARc)",12090.87,10770.91,9567.11,10969.02,10904.74,10075.08,
"Cash Generated Per Share",10.6,53.62,25.49,48.49,19.68,36.88,
"Earnings Per Share (Base Currency)",-34.41,71.09,38.71,38.4,25.79,-132.71,
"Diluted Earnings Per Share (Base Currency)",-34.41,71.09,38.71,38.4,25.79,-132.71,
"Headline Earnings Per Share (Cont) (Base Currency)",-1.03,51.42,24.56,20.72,12.73,35,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",-1.03,51.42,24.56,20.72,12.73,35,
"Distributions Per Share (Base Currency)",,56.33,29.02,52.86,26.49,48.26,
"Net Asset Value Per Share (Base Currency)",621,683,679,666,679,678,
"Price at Period End (Base Currency)",455,789,808,686,763,1460,
"JSE Market Price High (ZARc)",12765,13971,13352,21500,21500,22020,
"JSE Market Price Low (ZARc)",5204,10909,10909,9692,10301,17100,
"JSE Market Price at Period End (ZARc)",8876,12383,12941,11300,12246,21357,
"JSE Volume Traded (Actual)",184781008,190182784,88567601,298300618,173552059,233762057,
"JSE Rand Value Traded (Actual)",17320017247,23990731492,10797871204,38426878905,23304633582,46558861238,
"12 Month HEPS",464.55,831.98,482.53,323.44,378.84,551.6,
"12 Month Dividend",471.47,953.2,901.13,882.97,826.18,731.92,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Aug 2020","21 Feb 2020","23 Aug 2019","27 Feb 2019","29 Aug 2018","20 Feb 2018",
"Cash generated by operations",,,,326298,,222281,
"Working capital changes",-56834,-10024,-11754,-3228,-21603,-9205,
"Net Cash flow from operating activities",63696,321618,149314,280175,113694,213076,
"Net cash flow from investing activities",-114559,-196927,-107724,-473189,-107885,-844902,
"Net cash flow from financing activities",-14634,-8696,232681,94394,-80784,779350,
"Dividends paid",-150660,,-95431,,,,
"Net increase(decrease) in cash & cash equivalents",-65497,115995,274271,-98620,-74975,147524,
"Cash & Cash Equivalent beginning of period",212919,96924,96924,195544,195544,48020,
"Cash & Cash Equivalent end of period",138146,208746,366166,96924,120569,195544,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Aug 2020","21 Feb 2020","23 Aug 2019","27 Feb 2019","29 Aug 2018","20 Feb 2018",
"Return on Capital Employed",-6.33,6.14,6.79,3.65,5.06,-9.9,
"Return on Shareholder Funds",-11.08,10.16,11.3,5.76,7.6,-14.8,
"Return on Total Assets",-6.59,7.09,7.7,4.34,6,5.99,
"Operating Profit Margin",-231.27,91.68,267.57,61.68,82.49,107.12,
"Net Profit Margin",-249.86,71.28,209,44.22,63.09,-172.03,
"Debt:Equity (excl non-int debt)",0.76,0.66,0.72,0.65,0.53,0.5,
"Interest Bearing Debt as % of Long-Term Finance",38.99,35.47,35.78,32.15,29.24,29.33,
"Interest Cover",-7.74,9.63,11.22,7.73,10.28,-22.91,
"Quick Ratio",3.96,4.24,2.58,0.89,2.61,5.97,
"Current Ratio",3.96,4.24,2.58,0.89,2.61,5.97,
"Dividend Cover",,1.21,1.14,0.68,0.83,-2.86,
"Dividend Cover (HEPS)",,0.87,0.72,0.37,0.41,0.75,
"Debtors Collection Period",250.43,55.87,158.04,58.74,53.91,65.85,
"Price : Earnings",19.11,14.88,26.82,34.94,32.32,38.72,
"Sales Per Share (Base Currency)",27.54,99.74,37.04,86.83,81.77,77.15,
"Price/Sales Per Share",16.52,7.91,21.81,7.9,9.33,18.92,
"Price/Net Asset Value",0.73,1.16,1.19,1.03,1.12,2.15,
"Price/Cash Flow",85.86,14.71,63.38,14.15,77.53,39.58,
"NAV%Price",136.22,86.98,73.93,97.07,89.05,47.17,
"Liquidity%",4.28,11.18,9.84,10.55,10.38,10.23,
"Cash Flow:Attributable Profit",-0.65,0.72,1.27,1.25,1.53,0.7,
"Cash/Equity (%)",3.7,5.1,9.21,2.52,3.08,5,
"EV/Ebitda (Pd)",,,,210.99,464.85,575.63,
"PEG Ratio",0.33,0.26,-0.65,-0.84,,,

