Income statement (ZAR '000),"Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","14 Oct 2019","31 May 2019","30 Oct 2018","30 May 2018","20 Oct 2017","31 May 2017","3 Nov 2016","24 May 2016","16 Nov 2015","29 May 2015","6 Nov 2014","30 May 2014","24 Oct 2013","24 May 2013","30 Nov 2012","23 May 2012","18 Nov 2011","27 May 2011","29 Oct 2010","31 May 2010",
"Turnover",40829,16706,37876,19430,42496,22462,43215,21805,38269,18162,37753,19300,36284,19224,34178,17527,41212,22809,46708,26534,53607,
"Cost of Sales",20842,,22757,,30462,,26826,13431,25779,11696,23101,11501,,,,,,,,,,
"Gross Profit",19987,,15119,,12034,,16389,8374,12490,6466,14652,7799,,8031,13811,,15839,,21712,13406,21821,
"Operating Expenses",18664,,18895,,19297,,23665,,,,,,,,20146,,21361,,26737,15989,33120,
"Operating Income",1285,-3773,-3776,-2053,-7263,-2275,-14870,-1599,-4692,-2109,-4063,-1562,-5575,-1708,-5861,-3689,-5319,-2249,-4544,-2583,-8564,
"Other Income",,,37,,51,,,,,,,,,,,,,,,138,,
"Profit Before Exceptional Items",1285,-3773,-3739,-2053,-7212,-2275,-14870,-1599,-4692,-2109,-4063,-1562,-5575,-1708,-5861,-3689,-5319,-2249,-4544,-2445,-8564,
"Exceptional Item 1",,,122,,-2484,,,,,,,,-38,,-7200,,7200,7200,,,,
"Profit Before Interest And Tax",1285,-3773,-3617,-2053,-9696,-2275,-14870,-1599,-4692,-2109,-4063,-1562,-5613,-1708,-13061,-3689,1881,4951,-4544,-2445,-8564,
"Interest Received",,,,,,,,,,,,,,14,186,166,577,346,1039,3,580,
