Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","31 Jul 2020","11 Nov 2019","13 Jun 2019","16 Nov 2018","15 Jun 2018","10 Nov 2017","9 Jun 2017","4 Nov 2016","8 Jun 2016","5 Nov 2015","11 Jun 2015",
"Turnover",1523.15,4112.092,2227.417,4331.8,2297.452,4308.102,2294.583,4312.464,2176.516,4174.517,2082.757,4261.484,
"Cost of Sales",1197.309,3344.396,1749.831,3387.778,1698.461,3181.105,1635.939,3207.06,1600.198,2914.816,1428.357,3092.247,
"Gross Profit",325.841,767.696,477.586,944.022,598.991,1126.997,658.644,1105.404,576.318,1259.701,654.4,1169.237,
"Operating Expenses",335.017,641.235,331.511,650.5,371.033,626.278,326.537,576.579,272.185,608.928,302.085,534.255,
"EBITDA (ProfileData Calc)",,-227.113,,445.807,,,,,,,,,
"Depreciation",,163.943,,161.075,,,,,,,,,
"Operating Income",3.224,-395.055,127.741,276.831,222.331,141.947,338.522,393.736,304.443,648.76,352.178,561.498,
"Profit Before Exceptional Items",3.224,-395.055,127.741,276.831,222.331,141.947,338.522,393.736,304.443,648.76,352.178,561.498,
"Profit Before Interest And Tax",3.224,-395.055,127.741,276.831,222.331,141.947,338.522,393.736,304.443,648.76,352.178,561.498,
"Interest Received",37.073,3.695,1.811,6.648,4.111,12.948,6.499,13.433,7.635,20.688,11.748,12.572,
"Interest Paid",8.045,55.239,29.341,45.33,15.106,52.894,13.429,45.688,22.161,31.048,25.085,67.735,
"Net Interest Paid/(Received)",-29.028,51.544,27.53,38.682,10.995,39.946,6.93,32.255,14.526,10.36,13.337,55.163,
"Income From Associates Before Tax",-0.249,0.319,0.228,,,,,,,,,,
"Income Before Tax",32.003,-446.28,100.439,238.149,211.336,102.001,331.592,361.481,289.917,638.4,338.841,506.335,
"Taxation",9.389,-102.308,29.522,67.796,58.501,30.898,97.839,104.654,87.597,190.132,94.609,141.531,
"Profit For The Period",22.614,-343.972,70.917,170.353,152.835,71.103,233.753,256.827,202.32,448.268,244.232,364.804,
"Income Attributable To Minority Interests",-0.019,0.015,-0.374,-1.253,0.133,0.685,0.002,0.008,-0.017,2.504,2.504,29.9,
"Attributable Income Before Extraordinary Items",22.633,-343.987,71.291,171.606,152.702,70.418,233.751,256.819,202.337,445.764,241.728,334.904,
"Income Attributable To Equity Holders",22.633,-343.987,71.291,171.606,152.702,70.418,233.751,256.819,202.337,445.764,241.728,334.904,
"Total Comprehensive Income/Loss for the period",-29.475,-297.786,68.798,180.479,154.729,68.368,251.248,255.62,203.524,452.763,280.09,358.957,
"Headline Earnings (Cont Ops)",13.705,67.4,84.491,183.624,156.753,328.734,229.132,354.083,202.114,447.158,241.81,385.181,
"Enterprise Value (EV)",101.312,603.231,1325.178,1600.176,1653.765,1485.091,2508.544,2822.62,3869.965,3727.545,4848.984,5583.824,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","31 Jul 2020","11 Nov 2019","13 Jun 2019","16 Nov 2018","15 Jun 2018","10 Nov 2017","9 Jun 2017","4 Nov 2016","8 Jun 2016","5 Nov 2015","11 Jun 2015",
"Fixed Assets",1221.132,1268.439,1841.528,1857.753,1894.411,1919.115,2092.353,2102.674,2261.227,2237.208,2160.711,2134.523,
"Investments in Associates",2.477,2.726,3.37,,,,,,,,,,
"Investments and Loans",,,,,,6.517,6.58,3.05,1.538,1.508,1.587,1.92,
"Goodwill",96.92,96.92,182.709,182.709,173.054,173.054,155.419,155.419,155.419,138.711,138.711,132.052,
"Intangible Assets",14.764,15.978,22.743,26.391,28.03,30.79,40.37,42.25,41.918,38.028,29.036,27.254,
"Deferred Tax Asset",102.444,100.883,106.408,105.487,106.673,120.717,62.751,50.597,24.431,12.562,5.829,3.043,
"Other Assets",5.74,6.181,6.689,7.539,8.56,3.09,3,3,,,0.053,0.075,
"Other Assets: Derivative financial instruments",,,,,,,,,,,0.053,0.075,
"Total Fixed Assets",1443.477,1491.127,2163.447,2179.879,2210.728,2253.283,2360.473,2356.99,2484.533,2428.017,2335.927,2298.867,
"Stock",484.845,486.634,631.457,692.022,587.455,474.675,345.214,342.33,526.071,325.276,452.069,325.714,
"Debtors",700.887,554.401,960.671,686.195,1011.452,702.154,1244.3,605.397,975.696,660.132,635.935,503.736,
"Cash",245.141,177.872,93.233,120.626,79.63,243.948,173.51,229.968,100.031,278.22,258.962,389.044,
"Tax",15.78,28.614,11.631,4.18,19.179,8,,,,,,2.86,
"Other Current Assets",126.679,202.339,7.319,36.27,41.609,91.422,86.074,64.866,2.376,5.596,46.569,1.486,
"Other Current Assets: Derivative financial instruments",,76.664,,8.983,14.322,0.731,22.67,1.462,2.376,5.596,46.569,1.486,
"Other Current Assets: Non-current assets held for sale",,125.675,,,27.287,90.691,63.404,,,,,,
"Total Current Assets",1573.332,1449.86,1704.311,1539.293,1739.325,1520.199,1849.098,1242.561,1604.174,1269.224,1393.535,1222.84,
"Total Assets",3016.809,2940.987,3867.758,3719.172,3950.053,3773.482,4209.571,3599.551,4088.707,3697.241,3729.462,3521.707,
"Ordinary Share Capital & Premium",602.656,602.656,602.656,602.656,602.656,606.04,606.04,606.04,606.04,606.04,606.04,606.04,
"Treasury Shares",507.344,507.344,507.344,507.344,427.824,368.172,368.172,368.172,368.172,368.172,368.172,368.172,
"Distributable Reserves",2226.293,2203.66,2619.081,2646.409,2627.504,2629.815,3504.256,3449.436,3390.85,3412.197,3208.161,3170.942,
"Non-Distributable Reserves",-67.892,-19.496,-73.052,-71.073,-74.516,-80.596,-780.669,-804.465,-816.864,-827.441,-805.242,-872.575,
"Ordinary Shareholders' Interest",2253.713,2279.476,2641.341,2670.648,2727.82,2787.087,2961.455,2882.839,2811.854,2822.624,2640.787,2536.235,
"Minority Interest",2.76,2.779,2.39,2.764,4.15,3.672,-0.371,-0.374,-0.398,,,30.48,
"Total Shareholders' Interest",2256.473,2282.255,2643.731,2673.412,2731.97,2790.759,2961.084,2882.465,2811.456,2822.624,2640.787,2566.715,
"Interest Bearing Loans",104.5,116.342,142.329,84.114,91.51,99.252,58.886,60.436,,,,,
"Deferred Tax Liability",64.657,97.9,211.432,207.619,237.32,221.357,251.268,242.429,267.022,270.521,276.6,267.015,
"Retirement Obligation",17.267,18.016,17.249,18.734,19.95,20.191,19.183,2.987,12.035,3.486,,,
"Share Incentive Scheme",,,,,,1.845,1.469,3.139,5.193,6.239,13.12,12.061,
"Other Long-Term Liabilities",6.968,7.959,26.583,29.644,29.192,31.518,43.337,62.18,46.464,80.03,104.876,129.899,
"Other Long-Term Liabilities: Deferred Income",6.968,7.959,26.583,29.644,29.192,31.518,43.337,45.135,45.573,51.956,31.821,31.74,
"Other Long-Term Liabilities: Long-term liabilities",,,,,,,,,0.891,19.473,55.466,80.636,
"Other Long-Term Liabilities: Post-employment medical obligations",,,,,,,,,,,17.589,17.523,
"Other Long-Term Liabilities: Provisions",,15.95,,,,,,17.045,,8.601,,,
"Total Long-Term Liabilities",193.392,240.217,397.593,340.111,377.972,374.163,374.143,371.171,330.714,360.276,394.596,408.975,
"Creditors and Provisions",536.991,384.972,501.98,513.088,617.702,533.149,501.014,291.025,585.258,401.06,523.8,346.949,
"Dividends",,,,,0.11,,,,,,,,
"Tax",,2.847,,,,,13.843,0.12,29.897,16.561,18.623,,
"Bank Overdrafts/Short-Term Loans",,3.335,292.655,174.501,199.111,35.332,355.458,22.834,257.41,11.442,88.992,107.203,
"Other Current Liabilities",29.953,27.361,31.799,18.06,23.188,40.079,4.029,31.936,73.972,85.278,62.664,91.865,
"Other Current Liabilities: Current portion of L/T Liab",24.155,26.055,29.202,15.474,15.274,,2.098,,44.542,61.014,60.753,71.149,
"Other Current Liabilities: Deferred Income",1.35,1.306,2.14,1.223,2.77,2.77,1.877,,10.762,9.262,1.868,1.839,
"Other Current Liabilities: Deferred Lease Liabilities",,,,,,,,4.84,,,,,
"Other Current Liabilities: Derivative financial instruments",4.448,,0.457,,5.144,21.055,0.054,16.52,18.668,15.002,0.043,18.877,
"Other Current Liabilities: Derivative financial liabilities",,,,0.052,,,,,,,,,
"Other Current Liabilities: Long-term financial liabilities",,,,,,16.254,,,,,,,
"Other Current Liabilities: Related party payables",,,,,,,,1.154,,,,,
"Other Current Liabilities: Share based payment liability",,,,1.311,,,,9.422,,,,,
"Total Current Liabilities",566.944,418.515,826.434,705.649,840.111,608.56,874.344,345.915,946.537,514.341,694.079,546.017,
"Total Liabilities",760.336,658.732,1224.027,1045.76,1218.083,982.723,1248.487,717.086,1277.251,874.617,1088.675,954.992,
"Total Equity and Liabilities",3016.809,2940.987,3867.758,3719.172,3950.053,3773.482,4209.571,3599.551,4088.707,3697.241,3729.462,3521.707,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","31 Jul 2020","11 Nov 2019","13 Jun 2019","16 Nov 2018","15 Jun 2018","10 Nov 2017","9 Jun 2017","4 Nov 2016","8 Jun 2016","5 Nov 2015","11 Jun 2015",
"Number of Shares in Issue (Actual)",346656348,346656348,346656348,346656348,346656348,347332454,347332454,347332454,347332454,347332454,347332454,347332454,
"Weighted Average Shares in Issue (Actual)",287610917,287610917,287610917,304020814,317552998,319545857,319545857,319545857,319545857,319545857,319545857,301927811,
"Fully Diluted Weighted Average Shares in Issue",287610917,287610917,287610917,304020814,317552998,319545857,319545857,319545857,319545857,319545857,319545857,301927811,
"Market Capitalisation (R'000)",239193,658647,981037,1459423,1438624,1590783,2268081,2969692,3712984,3994323,5018954,5835185,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,
"Number of Employees",,2275,,2364,,2344,,2018,,2003,,1915,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","31 Jul 2020","11 Nov 2019","13 Jun 2019","16 Nov 2018","15 Jun 2018","10 Nov 2017","9 Jun 2017","4 Nov 2016","8 Jun 2016","5 Nov 2015","11 Jun 2015",
"Earnings Per Share (ZARc)",7.87,-119.6,24.79,56.45,48.09,22.04,73.15,80.37,63.32,139.5,75.65,110.92,
"Diluted Earnings Per Share (ZARc)",7.87,-119.6,24.79,56.45,48.09,22.04,73.15,80.37,63.32,139.5,75.65,110.92,
"Headline Earnings Per Share (Cont Ops) (ZARc)",4.77,23.43,29.38,60.4,49.36,102.88,71.71,110.81,63.25,139.94,75.67,127.57,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",4.77,23.43,29.38,60.4,49.36,102.88,71.71,110.81,63.25,139.94,75.67,127.57,
"Final Dividend (ZARc)",,,,30,,52,,56,,70,,64,
"Dividend Per Share (ZARc)",,,,30,,52,,56,,70,,64,
"Distributions Per Share (ZARc)",,,,30,,52,,56,,70,,64,
"Net Asset Value Per Share (ZARc)",783.6,792.56,918.4,878.44,786.89,872.2,852.63,902.17,809.56,883.32,760.31,793.7,
"3 Year Beta",-0.24,-0.04,-0.09,0.46,0.42,0.34,,,,,,,
"Cash Generated Per Share",22.78,108.8,-15.85,43.12,-15.99,146.57,-37.62,136.77,-11.24,156.72,80.62,177.24,
"Net Asset Value Per Share (Base Currency)",783.6,792.56,918.4,878.44,786.89,872.2,852.63,902.17,809.56,883.32,760.31,793.7,
"Price at Period End (Base Currency)",69,190,283,421,415,458,653,855,1069,1150,1445,1680,
"JSE Market Price High (ZARc)",192,495,495,590,590,870,885,1275,1275,1870,2500,2500,
"JSE Market Price Low (ZARc)",64,111,274,314,314,337,545,652,1035,901,1299,1600,
"JSE Market Price at Period End (ZARc)",69,190,283,421,415,458,653,855,1069,1150,1445,1680,
"JSE Volume Traded (Actual)",40548437,43677338,16999816,114890901,72023772,253783055,126591398,26782883,18236492,38891803,19883357,314360,
"JSE Rand Value Traded (Actual)",41954783,123191846,61587505,481667049,300678852,1572103007,813268363,292267854,206624991,515320815,311304661,6056669,
"12 Month HEPS",-1.18,23.43,40.42,60.4,80.53,102.88,119.27,110.81,127.52,139.94,139.45,127.57,
"12 Month Dividend",,,30,30,52,52,52,56,56,70,70,64,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","31 Jul 2020","11 Nov 2019","13 Jun 2019","16 Nov 2018","15 Jun 2018","10 Nov 2017","9 Jun 2017","4 Nov 2016","8 Jun 2016","5 Nov 2015","11 Jun 2015",
"Cash generated by operations",,,,,,683.632,-36.522,661.829,49.527,720.128,358.372,802.486,
"Working capital changes",33.665,91.076,-243.505,-201.884,-299.204,-34.497,,-74.326,,,,,
"Cash generated from operations after WC",94.61,427.538,-11.367,231.165,-8.942,,,,,,,,
"Net Cash flow from operating activities",78.951,377.147,-54.954,149.491,-55.437,509.1,-130.653,475.031,-39.023,544.356,280.035,615.596,
"Net cash flow from investing activities",10.752,-21.814,8.799,-92.994,-37.185,-321.812,-80.386,-230.448,-126.92,-262.916,-131.568,-282.18,
"Net cash flow from financing activities",-19.099,-126.921,-99.392,-318.988,-235.475,-205.896,-198.133,-284.137,-258.214,-296.503,-260.338,-90.377,
"Dividends paid",,-86.283,-86.283,-160.84,-160.84,-178.946,-178.946,-223.682,-223.682,-205.357,-205.357,,
"Net increase(decrease) in cash & cash equivalents",70.604,228.412,-145.547,-262.491,-328.097,-18.608,-409.172,-39.554,-424.157,-15.063,-111.871,243.039,
"Cash & Cash Equivalent beginning of period",174.537,-53.875,-53.875,208.616,208.616,227.224,227.224,266.778,266.778,281.841,281.841,38.802,
"Cash & Cash Equivalent end of period",245.141,174.537,-199.422,-53.875,-119.481,208.616,-181.948,227.224,-157.379,266.778,169.97,281.841,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","31 Jul 2020","11 Nov 2019","13 Jun 2019","16 Nov 2018","15 Jun 2018","10 Nov 2017","9 Jun 2017","4 Nov 2016","8 Jun 2016","5 Nov 2015","11 Jun 2015",
"Return on Capital Employed",1.85,-13.64,4.66,5.65,9.83,2.25,14.02,7.89,12.88,14.08,16.09,12.26,
"Return on Shareholder Funds",2,-15.07,5.36,6.37,11.19,2.55,15.79,8.91,14.39,15.88,18.5,14.21,
"Return on Total Assets",2.2,-15.78,5.49,6.78,11.27,2.86,16.52,10.63,14.9,18.13,19.03,15.06,
"Gross Profit Margin",21.39,18.67,21.44,21.79,26.07,26.16,28.7,25.63,26.48,30.18,31.42,27.44,
"Operating Profit Margin",0.21,-9.61,5.73,6.39,9.68,3.29,14.75,9.13,13.99,15.54,16.91,13.18,
"Net Profit Margin",1.49,-8.37,3.2,3.96,6.65,1.63,10.19,5.96,9.3,10.68,11.61,7.86,
"Debt:Equity (excl non-int debt)",0.09,0.11,0.26,0.19,0.21,0.15,0.25,0.14,0.21,0.13,0.18,0.2,
"Interest Bearing Debt as % of Long-Term Finance",4.43,4.85,5.11,3.05,3.24,3.43,1.95,2.05,,,,,
"Interest Cover",-0.11,-7.66,4.64,7.16,20.22,3.55,48.85,12.21,20.96,62.62,26.41,10.18,
"Quick Ratio",1.92,2.3,1.3,1.2,1.37,1.72,1.72,2.6,1.14,1.84,1.36,1.64,
"Current Ratio",2.78,3.46,2.06,2.18,2.07,2.5,2.11,3.59,1.69,2.47,2.01,2.24,
"Dividend Cover",,,,1.88,,0.42,,1.44,,1.99,,1.73,
"Dividend Cover (HEPS)",,,,2.01,,1.98,,1.98,,2,,1.99,
"Debtors Collection Period",83.98,49.21,78.71,57.82,80.35,59.49,98.97,51.24,81.81,57.72,55.72,43.15,
"Stock Turn",4.94,6.87,5.54,4.9,5.78,6.7,9.48,9.37,6.08,8.96,6.32,9.49,
"Price : Earnings",-58.47,8.11,7,6.97,5.15,4.45,5.47,7.72,8.38,8.22,10.36,13.17,
"Sales Per Share (Base Currency)",1059.17,1429.74,1548.91,1424.84,1446.97,1348.2,1436.15,1349.56,1362.26,1306.39,1303.57,1411.42,
"Price/Sales Per Share",0.07,0.13,0.18,0.3,0.29,0.34,0.45,0.63,0.78,0.88,1.11,1.19,
"Price/Net Asset Value",0.09,0.24,0.31,0.48,0.53,0.53,0.77,0.95,1.32,1.3,1.9,2.12,
"Price/Cash Flow",6.06,1.75,-35.71,9.76,-51.91,3.12,-34.72,6.25,-190.21,7.34,35.85,9.48,
"NAV%Price",1135.65,417.14,324.52,208.66,189.61,190.44,130.57,105.52,75.73,76.81,52.62,47.24,
"Liquidity%",20.77,57.25,-8.98,14.29,-9.1,51.81,-20.93,66.24,-6.11,62.24,51.45,64.46,
"Cash Flow:Attributable Profit",6.98,-1.1,-1.54,0.87,-0.73,7.23,-1.12,1.85,-0.39,1.22,2.32,1.84,
"Cash/Equity (%)",10.86,7.79,3.53,4.51,2.91,8.74,5.86,7.98,,,,,
"EV/Ebitda (Pd)",,-2.66,,3.59,7.31,,,,,,,,
