Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Oct 2020","22 Apr 2020","28 Oct 2019","16 Apr 2019","23 Oct 2018","24 Apr 2018","24 Oct 2017","25 Apr 2017","27 Oct 2016","26 Apr 2016","27 Oct 2015","14 Apr 2015","22 Oct 2014","16 Apr 2014","24 Oct 2013","14 May 2013","25 Oct 2012","9 May 2012","27 Oct 2011","10 May 2011","27 Oct 2010","20 Apr 2010",
"Turnover",2627.705,1530.987,3031.951,1721.356,3004.227,1683.002,2948.025,1549.494,2590.415,1359.483,2159.24,1090.504,2108.073,1035.292,1684.064,897.514,1716.071,1122.187,1609.921,925.964,1702.024,926.805,
"Cost of Sales",,,2398.4,,2327.165,,2274.398,,2055.577,,,,,,,,,,,,,,
"Gross Profit",,,633.551,,677.062,,673.627,,534.839,,,,,,,,,,,,,,
"Operating Expenses",,,441.553,,429.599,,441.917,,520.204,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",211.841,108.525,228.36,134.5,271.734,128.898,237.513,111.727,138.608,63.808,135.618,59.33,107.69,50.955,72.55,48.957,82.329,63.385,56.014,58.902,104.616,56.684,
"Depreciation",17.799,1.41,2.821,1.325,2.74,1.362,4.884,1.379,2.812,1.203,2.437,0.956,1.915,0.704,1.875,0.964,1.976,2.267,6.38,2.158,6.629,3.155,
"Operating Income",205.562,107.761,223.055,134.798,269.379,128.475,237.117,114.314,113.062,52.244,131.15,58.612,109.237,52.193,70.3,47.789,84.581,65.34,51.205,62.347,103.459,57.344,
"Profit Before Exceptional Items",187.763,107.761,223.055,134.798,269.379,128.475,237.117,114.314,113.062,52.244,131.15,58.612,109.237,52.193,70.3,47.789,84.581,65.34,51.205,62.347,103.459,57.344,
