Income statement (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"22 Oct 2020","30 Apr 2020","22 Oct 2019","29 Apr 2019","24 Oct 2018","3 May 2018","24 Oct 2017","3 May 2017","26 Oct 2016","3 May 2016","14 Oct 2015","4 May 2015","16 Oct 2014","6 May 2014","18 Oct 2013","8 May 2013","19 Oct 2012","9 May 2012","20 Oct 2011","11 May 2011","21 Oct 2010","11 May 2010",
"Turnover",51993,114590,58557,116225,56952,106135,51928,98733,47378,94684,47023,84607,40573,56801,25922,69756,28096,59471,29461,57904,28035,56382,
"Cost of Sales",23606,49988,25083,45146,22213,41823,20404,40203,20202,32967,15656,32851,14715,26806,13238,24634,12291,23714,11589,20448,9674,17929,
"Gross Profit",28387,64602,33474,71079,34739,64312,31524,58530,27176,61717,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",,49020,,155927,,,,,,,,,,,,,,,,,,,
"Depreciation",,55,,180,,,,,,,,,,,,,,,,,,,
"Operating Income",37885,48572,63099,155361,100451,119253,41152,78834,26468,86711,30746,69945,24138,54580,18393,32018,18974,46436,18761,45853,18435,55212,
"Profit Before Exceptional Items",37885,48572,63099,155361,100451,119253,41152,78834,26468,86711,30746,69945,24138,54580,18393,32018,18974,46436,18761,45853,18435,55212,
"Profit Before Interest And Tax",37885,48572,63099,155361,100451,119253,41152,78834,26468,86711,30746,69945,24138,54580,18393,32018,18974,46436,18761,45853,18435,55212,
"Interest Received",153,393,160,386,194,618,332,512,281,338,207,362,155,203,104,199,69,519,334,214,131,809,
"Interest Paid",559,792,260,541,312,1149,617,,,,,,,,,23,23,5,,6,4,13,
"Net Interest Paid/(Received)",406,399,100,155,118,531,285,-512,-281,-338,-207,-362,-155,-203,-104,-176,-46,-514,-334,-208,-127,-796,
"Income Before Tax",37479,48173,62999,155206,100333,118722,40867,79346,26749,87049,30953,70307,24293,54783,18497,32194,19020,46950,19095,46061,18562,56008,
"Profit For The Period",37479,48173,62999,155206,100333,118722,40867,79346,26749,87049,30953,70307,24293,54783,18497,32194,19020,46950,19095,46061,18562,56008,
"Attributable Income Before Extraordinary Items",37479,48173,62999,155206,100333,118722,40867,79346,26749,87049,30953,70307,24293,54783,18497,32194,19020,46950,19095,46061,18562,56008,
"Extraordinary Profit",,,,,,,,-922,-505,-795,-401,-713,,,,,,,,,,,
"Extraordinary Profit: Non-permissible income",,,,,,,-617,922,-505,-795,-401,-713,,,,,,,,,,,
"Income Attributable To Equity Holders",37479,48173,62999,155206,100333,118722,40867,78424,26244,86254,30552,69594,24293,54783,18497,32194,19020,46950,19095,46061,18562,56008,
"Total Comprehensive Income/Loss for the period",37479,48173,62994,155206,100333,66629,62495,30140,13159,151381,57528,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",36982,19689,63372,126370,101872,63910,32788,58120,26952,60704,30617,50386,24994,30198,12788,45298,15851,36271,18206,37664,18488,39249,
"Enterprise Value (EV)",1394480,1366634,1349375,1306756,1280630,1232865,1135435,1138363,1051680,1003333,872575,797536,722395,652968,581397,563911,529562,523632,495167,489052,456186,427398,

Balance sheet (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"22 Oct 2020","30 Apr 2020","22 Oct 2019","29 Apr 2019","24 Oct 2018","3 May 2018","24 Oct 2017","3 May 2017","26 Oct 2016","3 May 2016","14 Oct 2015","4 May 2015","16 Oct 2014","6 May 2014","18 Oct 2013","8 May 2013","19 Oct 2012","9 May 2012","20 Oct 2011","11 May 2011","21 Oct 2010","11 May 2010",
"Fixed Assets",722542,721815,692157,720185,683482,669288,571317,572309,552565,528964,459483,454310,431495,427532,394195,380741,388630,386982,375099,372842,364432,364350,
"Other Assets",555609,528087,575779,533093,18287,17067,14166,13066,11832,9763,9442,8212,7889,6650,10262,17758,6750,9536,9569,10458,10031,10105,
"Long-Term Receivables",,,,,507126,432555,477621,458897,486770,481851,411915,379998,330251,286027,262813,240955,195369,166634,148628,136446,116912,103767,
"Total Fixed Assets",1278151,1249902,1267936,1253278,1208895,1118910,1063104,1044272,1051167,1020578,880840,842520,769635,720209,667270,639454,590749,563152,533296,519746,491375,478222,
"Debtors",13959,14302,4950,12687,10996,11200,16077,9518,11947,8122,7907,8633,12565,11472,8333,5364,5465,5900,6649,6831,3054,8381,
"Cash",7392,3203,3193,5411,4971,2987,19121,5951,2830,2202,3070,18498,4441,13135,7501,5549,12927,5019,17950,6927,8353,33394,
"Other Current Assets",174389,180556,203291,156712,152682,147498,161377,143679,95747,92972,97587,61298,53037,42413,45911,44487,37448,35578,16972,21790,20960,,
"Total Current Assets",195740,198061,211434,174810,168649,161685,196575,159148,110524,103296,108564,88429,70043,67020,61745,55400,55840,46497,41571,35548,32367,41775,
"Total Assets",1473891,1447963,1479370,1428088,1377544,1280595,1259679,1203420,1161691,1123874,989404,930949,839678,787229,729015,694854,646589,609649,574867,555294,523742,519997,
"Ordinary Share Capital & Premium",917090,901307,883735,858531,831530,806713,761008,736401,686785,636845,565579,542565,521819,504663,487012,469552,453803,446794,432067,414809,402440,402487,
"Distributable Reserves",28405,31868,36390,35109,27792,25880,20677,9988,8639,8245,7227,5375,4445,2438,2538,1309,663,295,421,449,,,
"Non-Distributable Reserves",479650,307874,508779,279545,468120,402781,433651,412023,425275,438360,373773,346797,279733,250068,119900,198681,123919,127088,117331,117331,108507,108581,
"Other Capital",,159281,,200512,,,,,,,,,,,93569,,34347,11057,-185,-3397,-12927,-16469,
"Ordinary Shareholders' Interest",1425145,1400330,1428904,1373697,1327442,1235374,1215336,1158412,1120699,1083450,946579,894737,805997,757169,703019,669542,612732,585234,549634,529192,498020,494599,
"Total Shareholders' Interest",1425145,1400330,1428904,1373697,1327442,1235374,1215336,1158412,1120699,1083450,946579,894737,805997,757169,703019,669542,612732,585234,549634,529192,498020,494599,
"Other Long-Term Liabilities",1635,1678,88,,,,,,,,,,,,,,,,,,,,
"Total Long-Term Liabilities",1635,1678,88,,,,,,,,,,,,,,,,,,,,
"Creditors and Provisions",17449,13534,16498,17861,15379,14745,12805,14971,12363,11471,9442,7831,8263,8184,5277,5115,13603,4670,5683,4269,5268,3335,
"Dividends",29005,31982,33253,35913,33373,30014,30451,29434,26111,28427,30047,25173,22995,19409,18815,18604,18751,18229,18945,20285,19749,20155,
"Other Current Liabilities",657,439,627,617,1350,462,1087,603,2518,526,3336,3208,2423,2467,1904,1593,1503,1516,605,1548,705,1908,
"Total Current Liabilities",47111,45955,50378,54391,50102,45221,44343,45008,40992,40424,42825,36212,33681,30060,25996,25312,33857,24415,25233,26102,25722,25398,
"Total Liabilities",48746,47633,50466,54391,50102,45221,44343,45008,40992,40424,42825,36212,33681,30060,25996,25312,33857,24415,25233,26102,25722,25398,
"Total Equity and Liabilities",1473891,1447963,1479370,1428088,1377544,1280595,1259679,1203420,1161691,1123874,989404,930949,839678,787229,729015,694854,646589,609649,574867,555294,523742,519997,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
