Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"16 Nov 2020","22 Apr 2020","29 Oct 2019","13 May 2019","22 Oct 2018","23 Apr 2018","31 Oct 2017","2 May 2017","31 Oct 2016","3 May 2016","4 Nov 2015","4 May 2015","30 Oct 2014","6 May 2014","23 Oct 2013","25 Apr 2013","22 Oct 2012","19 Apr 2012","21 Oct 2011","26 Apr 2011","21 Oct 2010","22 Apr 2010",
"Turnover",1880.496,1004.561,1982.695,976.18,1895.288,930.924,1831.346,897.19,1770.438,856.032,1639.089,808.204,537.792,269.256,506.67,245.975,461.403,215.801,388.516,186.074,333.68,158.49,
"Admin & Collection Fees",91.03,46.402,78.515,39.625,82.875,52.238,77.813,37.66,71.005,37.465,72.915,37.543,28.869,14.196,25.29,12.872,22.748,8.694,21.264,,15.014,,
"Other Expenses",940.655,475.782,929.594,450.3,864.911,410.79,843.636,402.13,790.529,384.93,742.212,364.528,261.498,128.316,254.82,123.15,223.401,107.092,185.891,,150.345,,
"Net Rental / Investment Income",848.811,482.377,974.586,486.255,947.502,467.896,909.897,457.4,908.904,433.637,823.962,406.133,247.425,126.744,226.56,109.953,215.254,100.015,181.361,86.995,168.321,81.84,
"Interest Receivable",15.344,7.728,18.844,8.987,18.584,9.498,18.094,8.404,10.138,3.294,5.953,3.058,1.973,1.101,1.584,0.785,1.153,0.363,1.729,1.149,1.388,0.68,
"Other Income",,,,,,,,,,,,12.576,201.431,,111.411,,36.884,,50.033,,46.844,8.881,
"Depreciation",14.757,7.932,15.989,7.977,17.559,8.214,20.536,11.341,,,,,,,,,,,,,,,
"Total Income",864.155,490.105,993.43,495.242,966.086,477.394,927.991,465.804,919.042,436.931,829.915,421.767,450.829,127.845,339.555,110.738,253.291,124,233.123,118,216.553,91.401,
