Income statement ('000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Sep 2020","18 Feb 2020","18 Sep 2019","20 Feb 2019","19 Sep 2018","13 Feb 2018","20 Sep 2017","22 Feb 2017","21 Sep 2016","23 Feb 2016","16 Sep 2015","26 Feb 2015","16 Sep 2014","19 Feb 2014","17 Sep 2013","13 Feb 2013","27 Sep 2012","22 Feb 2012","12 Sep 2011","22 Feb 2011","31 Aug 2010",
,"USD","USD","USD","USD","USD","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP","GBP",
"Turnover",274107,132849,217679,97531,145975,51300,125111,90100,161312,73752,135611,65538,150289,82880,129277,47534,101069,51230,79208,38326,68506,
"Cost of Sales",,86501,,70847,,1400,75443,65200,100487,48935,106645,52727,103099,52519,67646,24048,46123,23201,45345,22950,40554,
"Gross Profit",,,,,,49900,,,,,,,,,,,,,,,,
"Operating Expenses",158457,,152980,,107140,38300,,,,3486,,523,,223,,3169,,1762,,1346,,
"EBITDA (ProfileData Calc)",87047,45494,75486,24576,23614,10600,53164,24800,45351,20240,28598,13031,44841,28660,61963,19767,45621,24389,29342,13362,25126,
"Depreciation",21503,10526,16228,6840,6626,2600,5499,5700,9996,5277,10337,4676,10023,5088,5998,2033,3259,1536,2885,1909,3125,
"Operating Income",94146,34761,48471,17293,32209,9000,47409,17700,49873,19500,19636,8631,37784,25249,56129,21653,51524,26407,28023,13392,22735,
"Other Income",,,9937,,,-1400,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",94146,34761,58408,17293,32209,7600,47409,17700,49873,19500,19636,8631,37784,25249,56129,21653,51524,26407,28023,13392,22735,
"Exceptional Item 1",-29067,,,,-17225,,,1300,-14951,-4681,-1724,-725,-3654,-1969,-1619,-4467,-9814,-3777,-2368,-2354,-1172,
"Profit Before Interest And Tax",65079,34761,58408,17293,14984,7600,47409,19000,34922,14819,17912,7906,34130,23280,54510,17186,41710,22630,25655,11038,21563,
"Interest Received",465,207,850,443,2004,400,256,100,433,144,349,321,687,381,1455,548,652,223,802,415,661,
"Interest Paid",13346,7760,13042,5699,4225,800,2803,1100,1448,558,2458,498,878,725,1258,95,136,26,40,20,68,
"Net Interest Paid/(Received)",12881,7553,12192,5256,2221,400,2547,1000,1015,414,2109,177,191,344,-197,-453,-516,-197,-762,-395,-593,
"Income From Associates Before Tax",,,,,,,,,,,,128,,-89,,,,,,,,
"Income Before Tax",52198,27208,46216,12037,12763,7200,44862,18000,33907,14405,15803,7857,33939,22847,54707,17639,42226,22827,26417,11433,22156,
"Taxation",7905,5303,8174,2325,-2826,700,4203,5100,8578,3480,4133,2310,7155,5537,12133,5288,12985,8390,9248,3849,7656,
"Profit For The Period",44293,21905,38042,9712,15589,6500,40659,12900,25329,10925,11670,5547,26785,17310,42574,12351,29241,14437,17169,7584,14500,
"Income Attributable To Minority Interests",,,,,,,,,,,,,,,,,,,,,223,
"Attributable Income Before Extraordinary Items",44293,21905,38042,9712,15589,6500,40659,12900,25329,10925,11670,5547,26785,17310,42574,12351,29241,14437,17169,7584,14277,
"Extraordinary Profit",,,,,-138405,-3200,-22749,1100,173,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,-138405,-3200,,1100,173,,,,,,,,,,,,,
"Income Attributable To Equity Holders",44293,21905,38042,9712,-122816,3300,17910,14000,25502,10925,11670,5547,26785,17310,42574,12351,29241,14437,17169,7584,14277,
"Total Comprehensive Income/Loss for the period",2704,21082,36594,6700,-132344,3800,39274,36028,23709,-9836,2748,,1400,,,,,,,,,
"Headline Earnings (Cont Ops)",44158,21742,22854,9712,26352,3600,35101,13756,25500,10925,11869,5744,26776,17310,35190,12351,29308,14437,17169,7584,14613,
"Enterprise Value (EV)",8234814,4841835,3581352,3527316,2426823,5356150,5264416,5761447,8377419,3401054,3293363,3548206,4854754,4348532,3088967,4383916,3477608,2145300,1684343,1632068,1096075,

