Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Aug 2011","Feb 2011","Aug 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (7m)","Final (12m)","Interim (6m)","Final (14m)","Final (12m)",
,"27 Nov 2020","17 Jul 2020","28 Nov 2019","28 Jun 2019","7 Dec 2018","16 Jul 2018","20 Dec 2017","3 Jul 2017","14 Dec 2016","29 Jun 2016","30 Nov 2015","24 Jun 2015","27 Nov 2014","30 Jun 2014","28 Nov 2013","25 Jun 2013","29 Nov 2012","31 May 2012","30 Nov 2011","19 Apr 2011","15 Dec 2010","1 Oct 2010",
"Turnover",389.307,672.504,320.646,588.414,281.033,556.094,283.485,595.877,291.432,543.136,264.533,835.861,389.37,664.626,332.841,477.308,173.92,276.595,190.576,94.07,84.2,3.8,
"Cost of Sales",295.329,505.203,239.616,440.865,213.215,457.972,234.993,447.985,,,,,,,,,,,121.873,52.255,60.8,,
"Gross Profit",93.977,167.301,81.03,147.549,67.818,98.122,48.492,147.892,,,,,,,,,,,68.704,41.815,23.4,,
"Operating Expenses",56.015,102.167,48.099,106.049,58.757,87.682,40.393,117.038,267.697,94.868,238.088,296.31,306.762,231.72,254.553,190.668,100.964,,,,,,
"EBITDA (ProfileData Calc)",35.167,59.299,30.316,43.839,,,,,,,,,,,,,,,,,,,
"Depreciation",4.127,7.703,3.573,3.233,,,,,,,,,,,,,,,,,,,
"Operating Income",40.965,65.123,33.37,48.142,14.466,-118.195,10.884,-3.22,23.735,42.24,26.445,186.029,82.608,146.307,78.288,142.408,72.956,123.131,36.116,18.982,10.7,-0.4,
"Other Income",,,,,,,,,0.505,2.494,,,,,,,,,,,,,
