Income statement (ZAR million),"Aug 2020","Mar 2020","Sep 2019","Mar 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Mar 2015","Aug 2014","Mar 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"20 Oct 2020","12 May 2020","22 Oct 2019","26 Apr 2019","16 Oct 2018","19 Apr 2018","17 Oct 2017","19 Apr 2017","18 Oct 2016","26 Apr 2016","13 Oct 2015","21 Apr 2015","16 Oct 2014","15 Apr 2014","22 Oct 2013","23 Apr 2013","24 Oct 2012","18 Apr 2012","19 Oct 2011","18 Apr 2011","20 Oct 2010","21 Apr 2010",
"Turnover",44227.4,89281.5,43208.6,86271.2,41244,80523.5,38755.6,76596.3,37357.1,72445.1,34855.8,67783.1,32452.6,63117,30278,59271.3,28306,55330.5,26853.5,51185,25208.4,48703,
"Cost of Sales",35580.3,71679.8,34648.3,71436.7,33504,65294.6,31530.7,63029.5,30686.3,59474.8,28689.5,54994.3,26424.7,52077.1,24693.8,48761.4,23310.8,45350,21922.8,42098.8,20716.5,40245,
"Gross Profit",8647.1,17601.7,8560.3,16856.5,7740,15228.9,7224.9,14456.6,6670.8,12970.3,6166.3,11946.5,5685.9,11039.9,5373.8,10509.9,4995.2,9980.5,4800.4,9086.2,4491.9,8823.6,
"Operating Expenses",8521.6,16023.9,8128.2,15299.5,7403.9,15191,7666.8,14655.7,,,,,,,,,,,,,,,
"Operating Income",885.6,3148,1187.6,3054.9,1056,1819.9,399.1,1735.6,554.1,1516.3,462.8,1240.1,386.6,1010.3,317.5,852,288,1275,492.2,1417.7,720.3,1638.7,
"Profit Before Exceptional Items",885.6,3148,1187.6,3054.9,1056,1819.9,399.1,1735.6,554.1,1516.3,462.8,1240.1,386.6,1010.3,317.5,874,288,1267.5,492.2,1417.7,720.3,1638.7,
"Exceptional Item 1",-47.5,-177.9,0.8,25.4,19.3,-21,-5.7,-46.3,-20.1,-32.6,-1.5,10.4,3,-109.6,-5.2,,,,,7.5,,190.9,
"Exceptional Item 1: Profit/Loss on sale of investment properties",,,,,,,,,,,,,,,,,,,,,,190.9,
"Profit Before Interest And Tax",838.1,2970.1,1188.4,3080.3,1075.3,1798.9,393.4,1689.3,534,1483.7,461.3,1250.5,389.6,900.7,312.3,874,288,1267.5,492.2,1425.2,720.3,1829.6,
"Interest Received",218.6,471.7,236.8,445.5,219.6,184.1,96.7,126.1,60.3,60.9,29.7,59.4,26,44.3,19.2,42.8,27.1,39.5,13.5,39.5,21.9,68.7,
"Interest Paid",875.5,1772.1,886.2,1726.4,847.8,331.2,167.3,218.6,94.7,117,55.7,119,59.9,143.9,74.1,131.3,65.6,135.1,71.8,111,60.1,86.3,
