Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"27 Nov 2020","3 Apr 2020","26 Nov 2019","17 Apr 2019","30 Nov 2018","20 Apr 2018","8 Nov 2017","24 Apr 2017","2 Nov 2016","1 Apr 2016","5 Nov 2015","27 Mar 2015","7 Nov 2014","10 Apr 2014","14 Nov 2013","11 Apr 2013","8 Nov 2012","29 Mar 2012","16 Nov 2011","16 Mar 2011","9 Nov 2010","17 Mar 2010",
"Turnover",162672,56038,98476,48625,70216,34264,74518,37441,105811,65484,131433,62622,93897,48857,82921,36220,78417,46166,59614,23347,59746,32570,
"Operating Expenses",120790,48340,103899,51611,97807,48828,91557,49183,95690,41004,76676,34358,65491,29561,62763,29045,56177,37359,65631,25693,62057,30923,
"Operating Income",41882,7698,-5423,-2986,-27591,-13534,-21580,-14147,1326,18352,45080,24987,20810,16314,13308,4474,8024,10515,8426,5931,-2109,2767,
"Other Income",47,284,33,25,4069,,,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",41929,7982,-5390,-2961,-23522,-13534,-21580,-14147,1326,18352,45080,24987,20810,16314,13308,4474,8024,10515,8426,5931,-2109,2767,
"Amortisation",14052,5873,9813,4677,8500,3342,4837,2296,2871,1815,2265,957,1982,893,1797,1568,1617,1494,5612,3071,49694,10395,
"Exceptional Item 1",2405,384,102,-396,-6540,-8113,-44109,-42942,,,499,,-31624,,-15324,9255,,,,,,,
"Profit Before Interest And Tax",30282,2493,-15101,-8034,-38562,-24989,-70526,-59385,-1545,16537,43314,24030,-12796,15421,-3813,12161,6407,9021,2814,2860,-51803,-7628,
"Interest Received",1303,,3636,593,2687,1339,,,,,,,208,197,368,,,,,,,,
"Interest Paid",9016,4515,7286,4026,7003,3779,3456,1805,2176,532,1043,384,1075,600,1084,,,,,,,,
"Net Interest Paid/(Received)",7713,4515,3650,3433,4316,2440,3456,1805,2176,532,1043,384,867,403,716,344,971,791,442,699,7930,2389,
"Income From Associates Before Tax",1183,2869,3474,-336,-483,-195,,,,,,,,,,,,,,,,,
"Income Before Tax",23752,847,-15277,-11803,-43361,-27624,-73982,-61190,-3721,16005,42271,23646,-13663,15018,-4529,11817,5436,8230,2372,2161,-59733,-10017,
"Taxation",6615,-97,-3264,-2152,-10443,-7784,-16120,-12942,-531,4855,12833,7376,1379,4444,-2391,2064,2222,2633,250,1135,-9225,-2078,
"Profit For The Period",17137,945,-12013,-9651,-32918,-19840,-57862,-48248,-3190,11150,29438,16270,-15042,10574,-2138,9753,3214,5597,2122,1026,-50508,-7939,
"Income Attributable To Minority Interests",2694,106,-2469,-3489,-6471,-3012,,,,,,,,,,,-734,-432,-598,-243,,,
"Attributable Income Before Extraordinary Items",14443,839,-9544,-6162,-26447,-16828,-57862,-48248,-3190,11150,29438,16270,-15042,10574,-2138,9753,3948,6029,2720,1269,-50508,-7939,
"Extraordinary Profit",,,,,,,,,,,,,-2027,-2172,4403,-8500,,,,,,,
"Income Attributable To Equity Holders",14443,839,-9544,-6162,-26447,-16828,-57862,-48248,-3190,11150,29438,16270,-17069,8402,2265,1253,3948,6029,2720,1269,-50508,-7939,
"Total Comprehensive Income/Loss for the period",17213,838,-11806,,-33549,-20402,-57355,-47661,-1696,11119,28815,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",,,-9455,-6170,-27148,-16828,-57862,-48248,-3190,11150,29438,16270,-16366,8402,-18419,1253,3948,6029,2720,1269,-50508,-7939,
"Enterprise Value (EV)",612837,285384,301732,237038,258047,88249,312751,360054,414785,408067,150465,14688,137778,57781,59902,95366,151414,150421,186023,256658,86554,105585,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"27 Nov 2020","3 Apr 2020","26 Nov 2019","17 Apr 2019","30 Nov 2018","20 Apr 2018","8 Nov 2017","24 Apr 2017","2 Nov 2016","1 Apr 2016","5 Nov 2015","27 Mar 2015","7 Nov 2014","10 Apr 2014","14 Nov 2013","11 Apr 2013","8 Nov 2012","29 Mar 2012","16 Nov 2011","16 Mar 2011","9 Nov 2010","17 Mar 2010",
"Fixed Assets",2839,2886,3273,3753,3944,2620,3168,3327,4003,4336,2828,2819,2716,2617,3072,1080,1439,1731,1987,2433,2848,3231,
"Right-of-use Asset",4209,,,,,,,,,,,,,,,,,,,,,,
"Investments in Associates",,,,,,,,,,,,,,5396,5200,5200,6152,,,,,,
"Investments and Loans",18613,21198,17658,14935,14412,12208,12208,12208,58418,57664,57556,25999,3628,30834,30167,55676,45485,49718,48295,47734,39819,39790,
"Goodwill",204568,267567,204568,253947,204568,240607,204568,220785,216137,210889,209637,208007,207560,206815,206223,207068,215189,208146,208146,216104,204568,204568,
"Intangible Assets",76719,,53089,,44270,,29300,,,,,,,,,7373,,8034,6366,,4874,43113,
"Deferred Tax Asset",59396,60928,60591,58884,56289,53629,45845,41119,29725,27846,28275,29375,28645,22695,22711,16065,17283,13955,14402,13517,16569,9964,
"Other Assets",,5013,,,,,,,,,,,,,,,,,,,,,
"Long-Term Receivables",2954,2835,2826,2867,2824,1013,1004,906,954,932,3170,740,3156,598,118,,1166,1085,1069,1043,4503,4478,
"Total Fixed Assets",369298,360427,342005,334386,326307,310077,296093,278345,309237,301667,301466,266940,245705,268955,267491,292462,286714,282669,280265,280831,273181,305144,
