Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","27 May 2020","25 Nov 2019","29 May 2019","26 Nov 2018","29 May 2018","4 Dec 2017",
"Turnover",63679,37552,61454,35273,63912,32998,57850,
"Cost of Sales",41237,24576,39055,23144,41815,21245,37412,
"Gross Profit",22442,12976,22399,12129,22097,11753,20438,
"Operating Expenses",11323,6593,14421,8295,16021,9084,14364,
"EBITDA (ProfileData Calc)",5233,5954,7807,4114,7209,3374,7041,
"Depreciation",3628,1920,1195,599,1134,555,960,
"Operating Income",1384,3902,6484,3407,5843,2707,5786,
"Profit Before Exceptional Items",1384,3902,6484,3407,5843,2707,5786,
"Profit Before Interest And Tax",1384,3902,6484,3407,5843,2707,5786,
"Interest Received",219,133,129,108,242,118,312,
"Interest Paid",3138,1763,1704,847,1410,671,932,
"Net Interest Paid/(Received)",2919,1630,1575,739,1168,553,620,
"Income From Associates Before Tax",2,,,,,,,
"Income Before Tax",-1533,2272,4909,2668,4675,2154,5166,
"Taxation",1293,814,1674,900,1791,899,1599,
"Profit For The Period",-2826,1458,3235,1768,2884,1255,3567,
"Income Attributable To Minority Interests",,1,1,,10,6,17,
"Attributable Income Before Extraordinary Items",-2826,1457,3234,1768,2874,1249,3550,
"Extraordinary Profit",-208,17,-1074,-17,11,,,
"Extraordinary Profit: Discontinued Operations",-208,17,-1074,-17,11,,,
"Income Attributable To Equity Holders",-3034,1474,2160,1751,2885,1249,3550,
"Total Comprehensive Income/Loss for the period",-2859,2385,1814,1614,2686,405,4868,
"Headline Earnings (Cont Ops)",2203,1530,3295,1766,2906,1250,3576,
"Enterprise Value (EV)",37033.4,50808.2,74683.5,76139,67323,75285.5,55045.76,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","27 May 2020","25 Nov 2019","29 May 2019","26 Nov 2018","29 May 2018","4 Dec 2017",
"Fixed Assets",5176,5464,5466,5209,5251,4720,4613,
"Right-of-use Asset",10770,,,,,,,
"Investments in Associates",52,50,50,,,,,
"Investments and Loans",189,192,328,203,253,120,170,
"Goodwill",37280,59893,41865,61036,61049,60966,42458,
"Intangible Assets",18028,,17979,,,,18368,
"Deferred Tax Asset",2468,2582,1242,1305,1365,1281,1586,
"Other Assets",,12423,,,,,,
