Income statement (USD '000),"Sep 2020","Mar 2020","Sep 2019",
,"Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","29 Jun 2020","22 Nov 2019",
"Turnover",2173000,3330000,1417000,
"Cost of Sales",1435000,2177000,869000,
"Gross Profit",738000,1847000,548000,
"Operating Expenses",921000,1762000,806000,
"EBITDA (ProfileData Calc)",3043000,4149000,2678000,
"Depreciation",43000,80000,37000,
"Operating Income",-207000,-593000,-252000,
"Profit Before Exceptional Items",-207000,-593000,-252000,
"Exceptional Item 1",275000,361000,486000,
"Profit Before Interest And Tax",68000,-232000,234000,
"Interest Received",59000,262000,118000,
"Interest Paid",113000,223000,104000,
"Net Interest Paid/(Received)",54000,-39000,-14000,
"Income From Associates Before Tax",2875000,3930000,2271000,
"Income Before Tax",2889000,3737000,2519000,
"Taxation",-128000,75000,40000,
"Profit For The Period",3017000,3662000,2479000,
"Income Attributable To Minority Interests",2000,-109000,-18000,
"Attributable Income Before Extraordinary Items",3015000,3771000,2497000,
"Income Attributable To Equity Holders",3015000,3771000,2497000,
"Total Comprehensive Income/Loss for the period",7343000,2256000,1499000,
"Headline Earnings (Cont Ops)",2429000,2742000,1606000,
"Enterprise Value (EV)",-1787731995,2005979623,1799563841,

Balance sheet (USD '000),"Sep 2020","Mar 2020","Sep 2019",
,"Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","29 Jun 2020","22 Nov 2019",
"Fixed Assets",379000,377000,340000,
"Investments in Associates",29638000,22233000,20434000,
"Investments and Loans",1289000,958000,1224000,
"Goodwill",2113000,2169000,2121000,
"Intangible Assets",782000,844000,794000,
"Deferred Tax Asset",16000,15000,14000,
"Other Assets",6000,55000,4000,
"Long-Term Receivables",4000,4000,3000,
"Total Fixed Assets",34227000,26655000,24934000,
"Stock",249000,213000,142000,
"Debtors",116000,111000,137000,
"Cash",3664000,4181000,2484000,
"Other Current Assets",6944000,4604000,6847000,
"Total Current Assets",10973000,9109000,9610000,
"Total Assets",45200000,35764000,34544000,
"Ordinary Share Capital & Premium",613000,606000,605000,
"Distributable Reserves",33396000,30416000,29654000,
"Non-Distributable Reserves",2077000,-1922000,-1703000,
"Ordinary Shareholders' Interest",36086000,29100000,28556000,
"Minority Interest",212000,214000,249000,
"Total Shareholders' Interest",36298000,29314000,28805000,
"Non-Interest Bearing Loans",1000,3000,1000,
"Interest Bearing Loans",5660000,3712000,2238000,
"Deferred Tax Liability",177000,187000,174000,
"Share Incentive Scheme",,233000,,
"Other Long-Term Liabilities",394000,168000,745000,
"Total Long-Term Liabilities",6232000,4303000,3158000,
"Creditors and Provisions",396000,300000,239000,
"Tax",,7000,,
"Bank Overdrafts/Short-Term Loans",89000,95000,1070000,
"Other Current Liabilities",2185000,1745000,1272000,
"Total Current Liabilities",2670000,2147000,2581000,
"Total Liabilities",8902000,6450000,5739000,
"Total Equity and Liabilities",45200000,35764000,34544000,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019",
,"Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","29 Jun 2020","22 Nov 2019",
"Exchange Rate (period end)",16.71,17.8,15.16,
"Exchange Rate (weighted average)",17.42,14.78,14.59,
"Number of Shares in Issue (Actual)",1625354000,1625354434,1625871000,
"Weighted Average Shares in Issue (Actual)",1625354000,1625354434,1625354000,
"Fully Diluted Weighted Average Shares in Issue",1625354000,1625354434,1625354000,
"Market Capitalisation (R'000)",-1790029995,2006136623,1798489841,
"Market Capitalisation (R'000): PROSUS (PRX)",2504937301,2006136623,1798489841,
"Number of Months",6,12,6,
"Number of Employees",,20524,,

Share statistics,"Sep 2020","Mar 2020","Sep 2019",
,"Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","29 Jun 2020","22 Nov 2019",
"Earnings Per Share (ZARc)",3222.7,3428.96,2246.86,
"Diluted Earnings Per Share (ZARc)",3187.86,3369.84,2217.68,
"Headline Earnings Per Share (Cont Ops) (ZARc)",2595.58,2497.82,1444.41,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",2560.74,2438.7,1429.82,
"Final Dividend (ZARc)",,227.82,,
"Dividend Per Share (ZARc)",,227.82,,
"Distributions Per Share (ZARc)",,227.82,,
"Net Asset Value Per Share (ZARc)",37099.37,31868.76,26626.27,
"Cash Generated Per Share",23.75,-12.86,7.5,
"Earnings Per Share (Base Currency)",185,232,154,
"Diluted Earnings Per Share (Base Currency)",183,228,152,
"Headline Earnings Per Share (Cont) (Base Currency)",149,169,99,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",147,165,98,
"Distributions Per Share (Base Currency)",,11,,
"Net Asset Value Per Share (Base Currency)",2220.19,1790.38,1756.35,
"Price at Period End (Base Currency)",9218,6910,7303,
"JSE Market Price High (ZARc)",178338,125000,125000,
"JSE Market Price Low (ZARc)",116976,86782,108500,
"JSE Market Price at Period End (ZARc)",154183,123481,110700,
"JSE Volume Traded (Actual)",98422409,145005813,31571468,
"JSE Rand Value Traded (Actual)",150601555288,156791382359,36191082534,
"12 Month HEPS",3648.99,2497.82,2888.82,
"12 Month Dividend",227.82,227.82,,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019",
,"Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","29 Jun 2020","22 Nov 2019",
"Cash generated by operations",,-302000,,
"Working capital changes",,-173000,,
"Cash generated from operations after WC",,-475000,-255000,
"Net Cash flow from operating activities",386000,-209000,122000,
